	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d
	Head_AngMom_wrt_LAB	Head_AngMom_wrt_LAB	Head_AngMom_wrt_LAB	Head_Shadow_AngMom_wrt_LAB	Head_Shadow_AngMom_wrt_LAB	Head_Shadow_AngMom_wrt_LAB	Trunk_AngMom_wrt_LAB	Trunk_AngMom_wrt_LAB	Trunk_AngMom_wrt_LAB	R_UA_AngMom_wrt_LAB	R_UA_AngMom_wrt_LAB	R_UA_AngMom_wrt_LAB	R_FA_AngMom_wrt_LAB	R_FA_AngMom_wrt_LAB	R_FA_AngMom_wrt_LAB	R_Hand_AngMom_wrt_LAB	R_Hand_AngMom_wrt_LAB	R_Hand_AngMom_wrt_LAB	L_UA_AngMom_wrt_LAB	L_UA_AngMom_wrt_LAB	L_UA_AngMom_wrt_LAB	L_FA_AngMom_wrt_LAB	L_FA_AngMom_wrt_LAB	L_FA_AngMom_wrt_LAB	L_Hand_AngMom_wrt_LAB	L_Hand_AngMom_wrt_LAB	L_Hand_AngMom_wrt_LAB	Pelvis_AngMom_wrt_LAB	Pelvis_AngMom_wrt_LAB	Pelvis_AngMom_wrt_LAB	R_Thigh_AngMom_wrt_LAB	R_Thigh_AngMom_wrt_LAB	R_Thigh_AngMom_wrt_LAB	R_Shank_AngMom_wrt_LAB	R_Shank_AngMom_wrt_LAB	R_Shank_AngMom_wrt_LAB	R_Foot_AngMom_wrt_LAB	R_Foot_AngMom_wrt_LAB	R_Foot_AngMom_wrt_LAB	R_Foot_Shadow_AngMom_wrt_LAB	R_Foot_Shadow_AngMom_wrt_LAB	R_Foot_Shadow_AngMom_wrt_LAB	R_Toes_AngMom_wrt_LAB	R_Toes_AngMom_wrt_LAB	R_Toes_AngMom_wrt_LAB	L_Thigh_AngMom_wrt_LAB	L_Thigh_AngMom_wrt_LAB	L_Thigh_AngMom_wrt_LAB	L_Shank_AngMom_wrt_LAB	L_Shank_AngMom_wrt_LAB	L_Shank_AngMom_wrt_LAB	L_Foot_AngMom_wrt_LAB	L_Foot_AngMom_wrt_LAB	L_Foot_AngMom_wrt_LAB	L_Foot_Shadow_AngMom_wrt_LAB	L_Foot_Shadow_AngMom_wrt_LAB	L_Foot_Shadow_AngMom_wrt_LAB	L_Toes_AngMom_wrt_LAB	L_Toes_AngMom_wrt_LAB	L_Toes_AngMom_wrt_LAB	FullBody_AngMom	FullBody_AngMom	FullBody_AngMom
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																																															
2	0.00016	0.00021	0.00034	0.00624	0.00755	0.01666	-0.02987	-0.00797	-0.00656	0.00384	-0.00338	0.00013	0.00090	0.00032	0.00200	0.00056	-0.00047	0.00110	-0.00108	0.00315	0.00462	-0.00284	0.00059	-0.00114	0.00131	-0.00080	-0.00106	-0.00554	0.00815	-0.00224	-0.02317	0.02276	0.01170	0.00782	-0.00350	0.00067	-0.00028	-0.00003	-0.00203	-0.00028	-0.00003	-0.00203	-0.00001	0.00001	-0.00001	-0.03215	-0.00071	-0.00223	0.00455	-0.00293	-0.00073	0.00079	-0.00006	-0.00174	0.00079	-0.00006	-0.00174	-0.00001	0.00001	-0.00001			
3	-0.00035	0.00024	0.00004	-0.01917	0.01268	0.00213	-0.03976	-0.01590	0.07016	-0.00029	-0.00132	0.00131	-0.00265	0.00029	0.00255	0.00002	-0.00030	0.00156	-0.00587	0.00413	0.00505	-0.00334	-0.00053	-0.00091	0.00223	-0.00089	-0.00115	-0.00131	-0.00212	0.00021	-0.03156	0.00313	-0.00370	0.00438	-0.00396	-0.00121	-0.00049	0.00383	0.00026	-0.00049	0.00383	0.00026	-0.00001	-0.00004	-0.00000	-0.00096	-0.01666	0.05074	0.00057	-0.00348	0.00658	-0.00203	0.00215	-0.00277	-0.00203	0.00215	-0.00277	0.00003	-0.00001	-0.00001	-0.81337	-0.03793	0.21730
4	-0.00048	0.00010	-0.00010	-0.02507	0.00745	-0.00409	-0.13391	-0.07519	0.14078	-0.00160	-0.00070	0.00147	-0.00375	-0.00171	-0.00136	-0.00067	-0.00131	-0.00021	-0.00319	-0.00058	0.00091	-0.00077	-0.00202	0.00147	0.00033	0.00106	0.00032	0.00510	-0.00644	0.01619	-0.03131	0.01014	0.03198	-0.00253	0.00137	0.00419	-0.00044	0.00112	0.00264	-0.00044	0.00112	0.00264	-0.00001	-0.00001	0.00001	0.01741	-0.00413	0.01408	-0.00927	-0.00701	0.00063	0.00055	0.00001	0.00044	0.00055	0.00001	0.00044	0.00001	0.00000	0.00000	-0.55070	-0.32226	0.45373
5	-0.00001	-0.00010	0.00001	0.00001	-0.00513	0.00110	-0.08364	-0.01180	0.10362	0.00158	0.00383	0.00611	0.00016	-0.00189	-0.00090	-0.00000	-0.00054	-0.00070	0.00242	-0.00084	0.00043	0.00193	-0.00007	0.00456	-0.00147	0.00201	0.00251	-0.00851	0.01337	0.01685	0.02006	-0.01293	0.01000	-0.01046	0.00303	0.00275	0.00033	-0.00236	0.00057	0.00033	-0.00236	0.00057	0.00000	0.00003	0.00000	0.03747	-0.04200	-0.01408	-0.01047	-0.00205	-0.00105	0.00306	-0.00164	0.00200	0.00306	-0.00164	0.00200	-0.00002	0.00002	0.00001	-0.23875	-0.25913	0.39131
6	0.00003	-0.00031	0.00015	0.00233	-0.01595	0.00919	0.04160	0.05330	0.08019	0.00879	0.00994	0.01151	0.00578	0.00140	0.00075	0.00038	0.00132	-0.00031	0.00335	-0.00021	0.00026	0.00191	0.00101	0.00393	-0.00297	0.00239	0.00242	-0.00744	0.00655	0.00716	0.01686	-0.02772	-0.00436	-0.00149	0.00476	-0.00093	0.00030	-0.00139	-0.00240	0.00030	-0.00139	-0.00240	0.00000	0.00002	-0.00001	0.03427	-0.03448	-0.03402	-0.00471	0.00517	-0.00257	0.00142	-0.00138	0.00060	0.00142	-0.00138	0.00060	-0.00002	0.00001	0.00000	-0.38357	0.07090	0.26799
