	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d
	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	0.28505	0.11287	0.00754	0.25178	0.66332	0.00949	0.23586	0.11151	0.01262	0.22354	0.62291	0.01358	0.24285	0.09380	0.02023	0.20774	0.64242	0.02212	0.05166	0.08921	0.01527	0.09448	0.47972	0.01198
2	0.28483	0.11261	0.00684	0.25223	0.66324	0.00901	0.23575	0.11142	0.01294	0.22406	0.62291	0.01418	0.24266	0.09372	0.02065	0.20821	0.64236	0.02275	0.05146	0.08976	0.01518	0.09514	0.47962	0.01142
3	0.28496	0.11225	0.00689	0.25300	0.66305	0.00882	0.23582	0.11122	0.01245	0.22460	0.62284	0.01370	0.24270	0.09349	0.02013	0.20892	0.64239	0.02236	0.05148	0.09010	0.01516	0.09479	0.48034	0.01176
4	0.28469	0.11247	0.00715	0.25325	0.66254	0.00903	0.23540	0.11132	0.01117	0.22471	0.62229	0.01254	0.24242	0.09367	0.01890	0.20911	0.64192	0.02118	0.05117	0.08955	0.01594	0.09457	0.48007	0.01182
5	0.28506	0.11288	0.00675	0.25314	0.66261	0.00889	0.23588	0.11148	0.01185	0.22480	0.62233	0.01350	0.24293	0.09386	0.01960	0.20912	0.64182	0.02229	0.05172	0.08889	0.01536	0.09520	0.47963	0.01138
6	0.28526	0.11246	0.00680	0.25266	0.66292	0.00901	0.23610	0.11117	0.01217	0.22446	0.62258	0.01393	0.24309	0.09351	0.01988	0.20873	0.64198	0.02282	0.05189	0.08905	0.01539	0.09525	0.47954	0.01112
7	0.28495	0.11214	0.00647	0.25265	0.66257	0.00871	0.23589	0.11107	0.01267	0.22443	0.62236	0.01457	0.24277	0.09337	0.02040	0.20865	0.64180	0.02330	0.05155	0.08983	0.01525	0.09509	0.47945	0.01108
8	0.28485	0.11240	0.00648	0.25290	0.66208	0.00846	0.23575	0.11127	0.01241	0.22447	0.62191	0.01346	0.24267	0.09365	0.02028	0.20881	0.64146	0.02213	0.05147	0.08963	0.01510	0.09456	0.47950	0.01134
9	0.28513	0.11304	0.00663	0.25249	0.66253	0.00741	0.23617	0.11175	0.01357	0.22441	0.62235	0.01405	0.24306	0.09416	0.02154	0.20848	0.64181	0.02246	0.05194	0.08953	0.01439	0.09565	0.47892	0.01075
