	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	-2.83765	-37.70895	272.69299	1.66779	47.77716	517.42505
2	-2.82597	-37.71824	272.78989	1.66812	47.76488	517.32269
3	-2.81430	-37.72758	272.88712	1.66840	47.75257	517.21997
4	-2.80265	-37.73705	272.98499	1.66858	47.74020	517.11633
5	-2.79103	-37.74667	273.08386	1.66861	47.72776	517.01147
6	-2.77945	-37.75653	273.18408	1.66845	47.71521	516.90485
7	-2.76792	-37.76668	273.28592	1.66804	47.70252	516.79602
8	-2.75645	-37.77717	273.38974	1.66732	47.68967	516.68469
9	-2.74504	-37.78805	273.49591	1.66627	47.67663	516.57031
10	-2.73372	-37.79940	273.60468	1.66481	47.66337	516.45245
11	-2.72249	-37.81125	273.71640	1.66292	47.64988	516.33081
12	-2.71136	-37.82360	273.83093	1.66060	47.63614	516.20538
13	-2.70032	-37.83645	273.94830	1.65785	47.62218	516.07635
14	-2.68938	-37.84979	274.06836	1.65470	47.60800	515.94379
15	-2.67856	-37.86360	274.19098	1.65114	47.59361	515.80780
16	-2.66784	-37.87788	274.31610	1.64720	47.57900	515.66846
17	-2.65725	-37.89262	274.44366	1.64289	47.56419	515.52588
18	-2.64677	-37.90781	274.57352	1.63821	47.54919	515.38031
19	-2.63642	-37.92344	274.70560	1.63318	47.53400	515.23175
20	-2.62620	-37.93951	274.83981	1.62782	47.51863	515.08026
21	-2.61612	-37.95601	274.97620	1.62212	47.50307	514.92596
22	-2.60617	-37.97294	275.11469	1.61608	47.48733	514.76880
23	-2.59637	-37.99033	275.25534	1.60971	47.47139	514.60864
24	-2.58671	-38.00817	275.39819	1.60300	47.45525	514.44568
25	-2.57721	-38.02646	275.54321	1.59597	47.43890	514.27966
26	-2.56786	-38.04522	275.69049	1.58860	47.42234	514.11078
27	-2.55866	-38.06445	275.83994	1.58091	47.40557	513.93890
28	-2.54963	-38.08415	275.99161	1.57289	47.38858	513.76404
29	-2.54077	-38.10432	276.14554	1.56454	47.37136	513.58618
30	-2.53207	-38.12498	276.30170	1.55588	47.35390	513.40546
31	-2.52354	-38.14611	276.45999	1.54690	47.33622	513.22174
32	-2.51518	-38.16772	276.62048	1.53763	47.31831	513.03522
33	-2.50698	-38.18980	276.78311	1.52807	47.30017	512.84589
34	-2.49895	-38.21234	276.94785	1.51823	47.28179	512.65375
35	-2.49108	-38.23536	277.11469	1.50812	47.26317	512.45898
36	-2.48338	-38.25883	277.28351	1.49774	47.24431	512.26147
37	-2.47585	-38.28278	277.45438	1.48711	47.22522	512.06140
38	-2.46848	-38.30718	277.62723	1.47624	47.20588	511.85873
39	-2.46128	-38.33205	277.80209	1.46514	47.18629	511.65350
40	-2.45423	-38.35738	277.97885	1.45382	47.16647	511.44580
41	-2.44734	-38.38318	278.15753	1.44228	47.14640	511.23566
42	-2.44060	-38.40944	278.33810	1.43055	47.12607	511.02310
43	-2.43401	-38.43617	278.52054	1.41863	47.10550	510.80820
44	-2.42757	-38.46338	278.70483	1.40654	47.08468	510.59100
45	-2.42126	-38.49104	278.89093	1.39428	47.06361	510.37149
46	-2.41509	-38.51919	279.07880	1.38187	47.04228	510.14981
47	-2.40905	-38.54781	279.26843	1.36932	47.02070	509.92590
48	-2.40315	-38.57689	279.45981	1.35664	46.99886	509.69989
49	-2.39737	-38.60646	279.65289	1.34384	46.97676	509.47177
50	-2.39170	-38.63651	279.84763	1.33093	46.95441	509.24161
51	-2.38616	-38.66703	280.04401	1.31792	46.93180	509.00946
52	-2.38073	-38.69804	280.24197	1.30483	46.90892	508.77539
53	-2.37540	-38.72953	280.44156	1.29166	46.88580	508.53940
54	-2.37018	-38.76151	280.64264	1.27842	46.86241	508.30161
55	-2.36506	-38.79397	280.84528	1.26513	46.83876	508.06195
56	-2.36003	-38.82692	281.04938	1.25180	46.81485	507.82059
57	-2.35510	-38.86036	281.25491	1.23842	46.79069	507.57748
58	-2.35025	-38.89428	281.46188	1.22501	46.76627	507.33273
59	-2.34550	-38.92869	281.67023	1.21157	46.74159	507.08636
60	-2.34082	-38.96359	281.87988	1.19811	46.71667	506.83844
61	-2.33623	-38.99897	282.09088	1.18463	46.69149	506.58899
62	-2.33172	-39.03483	282.30316	1.17114	46.66607	506.33804
63	-2.32729	-39.07118	282.51669	1.15763	46.64041	506.08569
64	-2.32293	-39.10801	282.73141	1.14413	46.61450	505.83194
65	-2.31864	-39.14531	282.94733	1.13062	46.58835	505.57684
66	-2.31442	-39.18310	283.16437	1.11712	46.56197	505.32047
67	-2.31027	-39.22137	283.38257	1.10361	46.53535	505.06284
68	-2.30619	-39.26011	283.60184	1.09011	46.50851	504.80396
69	-2.30219	-39.29932	283.82220	1.07661	46.48145	504.54385
70	-2.29825	-39.33900	284.04361	1.06311	46.45417	504.28265
71	-2.29438	-39.37916	284.26602	1.04960	46.42666	504.02029
72	-2.29059	-39.41978	284.48944	1.03610	46.39895	503.75690
73	-2.28686	-39.46088	284.71384	1.02260	46.37103	503.49243
74	-2.28320	-39.50243	284.93915	1.00909	46.34290	503.22699
75	-2.27961	-39.54446	285.16541	0.99558	46.31458	502.96057
76	-2.27610	-39.58695	285.39255	0.98205	46.28606	502.69324
77	-2.27266	-39.62991	285.62061	0.96852	46.25735	502.42499
78	-2.26929	-39.67332	285.84952	0.95497	46.22845	502.15588
79	-2.26601	-39.71721	286.07928	0.94139	46.19938	501.88596
80	-2.26280	-39.76155	286.30988	0.92779	46.17013	501.61520
81	-2.25968	-39.80635	286.54135	0.91415	46.14071	501.34375
82	-2.25664	-39.85162	286.77356	0.90048	46.11111	501.07156
83	-2.25368	-39.89735	287.00656	0.88678	46.08136	500.79868
84	-2.25081	-39.94353	287.24036	0.87303	46.05146	500.52515
85	-2.24803	-39.99018	287.47491	0.85923	46.02140	500.25104
86	-2.24535	-40.03727	287.71021	0.84538	45.99121	499.97632
87	-2.24276	-40.08482	287.94623	0.83147	45.96088	499.70108
88	-2.24028	-40.13283	288.18298	0.81751	45.93042	499.42535
89	-2.23790	-40.18129	288.42044	0.80348	45.89984	499.14911
90	-2.23563	-40.23020	288.65860	0.78938	45.86914	498.87244
91	-2.23347	-40.27955	288.89746	0.77521	45.83834	498.59534
92	-2.23142	-40.32935	289.13696	0.76096	45.80744	498.31790
93	-2.22950	-40.37959	289.37720	0.74663	45.77643	498.04013
94	-2.22770	-40.43027	289.61807	0.73222	45.74535	497.76202
95	-2.22602	-40.48140	289.85959	0.71773	45.71417	497.48367
96	-2.22449	-40.53297	290.10172	0.70315	45.68294	497.20508
97	-2.22310	-40.58496	290.34448	0.68848	45.65163	496.92618
98	-2.22185	-40.63740	290.58789	0.67372	45.62025	496.64719
99	-2.22076	-40.69027	290.83197	0.65886	45.58883	496.36801
100	-2.21983	-40.74357	291.07657	0.64390	45.55737	496.08875
101	-2.21905	-40.79729	291.32181	0.62885	45.52587	495.80939
102	-2.21845	-40.85145	291.56763	0.61370	45.49434	495.52991
103	-2.21802	-40.90602	291.81400	0.59844	45.46279	495.25049
104	-2.21777	-40.96101	292.06094	0.58309	45.43122	494.97104
105	-2.21770	-41.01641	292.30844	0.56763	45.39964	494.69165
106	-2.21783	-41.07222	292.55646	0.55207	45.36806	494.41235
107	-2.21814	-41.12842	292.80502	0.53641	45.33649	494.13312
108	-2.21866	-41.18503	293.05408	0.52065	45.30494	493.85406
109	-2.21938	-41.24203	293.30365	0.50478	45.27340	493.57520
110	-2.22031	-41.29943	293.55368	0.48881	45.24189	493.29651
111	-2.22145	-41.35720	293.80420	0.47275	45.21042	493.01810
112	-2.22281	-41.41535	294.05515	0.45659	45.17899	492.74002
113	-2.22438	-41.47387	294.30655	0.44035	45.14760	492.46222
114	-2.22617	-41.53276	294.55838	0.42403	45.11627	492.18472
115	-2.22818	-41.59199	294.81061	0.40764	45.08500	491.90762
116	-2.23042	-41.65158	295.06323	0.39118	45.05379	491.63098
117	-2.23288	-41.71151	295.31622	0.37466	45.02265	491.35480
118	-2.23557	-41.77176	295.56958	0.35809	44.99159	491.07904
119	-2.23849	-41.83235	295.82327	0.34147	44.96061	490.80383
120	-2.24163	-41.89325	296.07733	0.32482	44.92971	490.52917
121	-2.24500	-41.95447	296.33167	0.30813	44.89891	490.25500
122	-2.24860	-42.01598	296.58630	0.29143	44.86820	489.98151
123	-2.25241	-42.07780	296.84125	0.27472	44.83759	489.70859
124	-2.25644	-42.13990	297.09644	0.25801	44.80708	489.43631
125	-2.26069	-42.20227	297.35187	0.24131	44.77668	489.16470
126	-2.26515	-42.26492	297.60754	0.22464	44.74640	488.89374
127	-2.26982	-42.32782	297.86340	0.20800	44.71622	488.62350
128	-2.27469	-42.39098	298.11951	0.19140	44.68618	488.35397
129	-2.27978	-42.45438	298.37573	0.17485	44.65625	488.08524
130	-2.28507	-42.51801	298.63214	0.15837	44.62645	487.81720
131	-2.29056	-42.58187	298.88867	0.14196	44.59678	487.55002
132	-2.29626	-42.64594	299.14539	0.12564	44.56723	487.28360
133	-2.30217	-42.71021	299.40216	0.10942	44.53782	487.01794
134	-2.30828	-42.77467	299.65906	0.09331	44.50854	486.75314
135	-2.31459	-42.83931	299.91602	0.07732	44.47940	486.48923
136	-2.32110	-42.90412	300.17303	0.06146	44.45039	486.22610
137	-2.32781	-42.96909	300.43008	0.04575	44.42152	485.96390
138	-2.33472	-43.03422	300.68719	0.03018	44.39279	485.70251
139	-2.34183	-43.09948	300.94427	0.01476	44.36420	485.44208
140	-2.34912	-43.16486	301.20139	-0.00049	44.33575	485.18243
141	-2.35661	-43.23037	301.45844	-0.01559	44.30745	484.92374
142	-2.36429	-43.29597	301.71548	-0.03051	44.27928	484.66589
143	-2.37216	-43.36166	301.97247	-0.04527	44.25125	484.40903
144	-2.38021	-43.42743	302.22937	-0.05984	44.22336	484.15302
145	-2.38844	-43.49327	302.48621	-0.07424	44.19562	483.89792
146	-2.39684	-43.55916	302.74292	-0.08844	44.16801	483.64374
147	-2.40543	-43.62510	302.99954	-0.10246	44.14054	483.39044
148	-2.41418	-43.69107	303.25601	-0.11629	44.11321	483.13809
149	-2.42309	-43.75705	303.51236	-0.12993	44.08601	482.88660
150	-2.43217	-43.82304	303.76855	-0.14337	44.05895	482.63605
151	-2.44141	-43.88904	304.02451	-0.15662	44.03202	482.38635
152	-2.45079	-43.95501	304.28030	-0.16967	44.00523	482.13760
153	-2.46032	-44.02096	304.53583	-0.18252	43.97857	481.88971
154	-2.47000	-44.08687	304.79117	-0.19518	43.95203	481.64270
155	-2.47981	-44.15273	305.04623	-0.20763	43.92562	481.39655
156	-2.48976	-44.21852	305.30106	-0.21988	43.89933	481.15134
157	-2.49982	-44.28424	305.55554	-0.23194	43.87317	480.90695
158	-2.51001	-44.34987	305.80972	-0.24378	43.84711	480.66339
159	-2.52031	-44.41541	306.06354	-0.25543	43.82117	480.42068
160	-2.53071	-44.48083	306.31702	-0.26687	43.79533	480.17889
161	-2.54121	-44.54613	306.57013	-0.27811	43.76958	479.93784
162	-2.55180	-44.61129	306.82275	-0.28914	43.74392	479.69763
163	-2.56247	-44.67630	307.07501	-0.29996	43.71836	479.45822
164	-2.57323	-44.74116	307.32678	-0.31058	43.69287	479.21964
165	-2.58405	-44.80584	307.57806	-0.32100	43.66747	478.98181
166	-2.59493	-44.87035	307.82889	-0.33121	43.64212	478.74478
167	-2.60587	-44.93466	308.07919	-0.34122	43.61683	478.50845
168	-2.61685	-44.99878	308.32889	-0.35104	43.59158	478.27295
169	-2.62788	-45.06268	308.57803	-0.36066	43.56638	478.03821
170	-2.63894	-45.12638	308.82657	-0.37009	43.54120	477.80414
171	-2.65003	-45.18983	309.07452	-0.37933	43.51604	477.57083
172	-2.66113	-45.25306	309.32181	-0.38838	43.49090	477.33826
173	-2.67224	-45.31603	309.56842	-0.39725	43.46576	477.10638
174	-2.68337	-45.37875	309.81436	-0.40593	43.44061	476.87521
175	-2.69449	-45.44120	310.05957	-0.41444	43.41545	476.64471
176	-2.70560	-45.50339	310.30405	-0.42277	43.39028	476.41492
177	-2.71670	-45.56529	310.54773	-0.43094	43.36509	476.18585
178	-2.72779	-45.62690	310.79068	-0.43894	43.33986	475.95743
179	-2.73885	-45.68821	311.03278	-0.44678	43.31460	475.72974
180	-2.74988	-45.74921	311.27405	-0.45446	43.28929	475.50269
181	-2.76088	-45.80990	311.51443	-0.46199	43.26394	475.27634
182	-2.77183	-45.87027	311.75397	-0.46937	43.23854	475.05063
183	-2.78275	-45.93030	311.99255	-0.47660	43.21307	474.82568
184	-2.79361	-45.99000	312.23022	-0.48369	43.18755	474.60135
185	-2.80443	-46.04936	312.46692	-0.49064	43.16196	474.37772
186	-2.81519	-46.10837	312.70264	-0.49745	43.13629	474.15482
187	-2.82589	-46.16703	312.93732	-0.50412	43.11055	473.93256
188	-2.83653	-46.22532	313.17096	-0.51066	43.08473	473.71103
189	-2.84711	-46.28326	313.40356	-0.51706	43.05883	473.49026
190	-2.85762	-46.34082	313.63504	-0.52334	43.03284	473.27014
191	-2.86806	-46.39801	313.86539	-0.52949	43.00676	473.05078
192	-2.87843	-46.45482	314.09464	-0.53551	42.98058	472.83215
193	-2.88872	-46.51125	314.32269	-0.54141	42.95432	472.61429
194	-2.89894	-46.56730	314.54959	-0.54718	42.92795	472.39722
195	-2.90907	-46.62297	314.77530	-0.55283	42.90150	472.18091
196	-2.91912	-46.67825	314.99982	-0.55835	42.87495	471.96545
197	-2.92908	-46.73314	315.22314	-0.56376	42.84830	471.75079
198	-2.93895	-46.78764	315.44516	-0.56904	42.82156	471.53696
199	-2.94873	-46.84175	315.66595	-0.57419	42.79473	471.32404
200	-2.95841	-46.89546	315.88547	-0.57923	42.76780	471.11197
201	-2.96800	-46.94878	316.10370	-0.58415	42.74076	470.90082
202	-2.97748	-47.00170	316.32068	-0.58894	42.71365	470.69058
203	-2.98686	-47.05422	316.53625	-0.59362	42.68645	470.48132
204	-2.99613	-47.10633	316.75061	-0.59817	42.65917	470.27304
205	-3.00529	-47.15804	316.96353	-0.60261	42.63182	470.06577
206	-3.01433	-47.20934	317.17520	-0.60692	42.60439	469.85950
207	-3.02326	-47.26022	317.38547	-0.61112	42.57690	469.65430
208	-3.03206	-47.31069	317.59436	-0.61520	42.54934	469.45016
209	-3.04073	-47.36074	317.80188	-0.61915	42.52173	469.24716
210	-3.04928	-47.41038	318.00800	-0.62299	42.49407	469.04523
211	-3.05770	-47.45959	318.21271	-0.62670	42.46636	468.84451
212	-3.06598	-47.50838	318.41602	-0.63029	42.43862	468.64496
