	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d
	FullBody_CoG_vel	FullBody_CoG_vel	FullBody_CoG_vel	L_Hand_CoG_vel	L_Hand_CoG_vel	L_Hand_CoG_vel	R_Hand_CoG_vel	R_Hand_CoG_vel	R_Hand_CoG_vel	L_Forearm_CoG_vel	L_Forearm_CoG_vel	L_Forearm_CoG_vel	R_Forearm_CoG_vel	R_Forearm_CoG_vel	R_Forearm_CoG_vel	L_UpperArm_CoG_vel	L_UpperArm_CoG_vel	L_UpperArm_CoG_vel	R_UpperArm_CoG_vel	R_UpperArm_CoG_vel	R_UpperArm_CoG_vel	Head_CoG_vel	Head_CoG_vel	Head_CoG_vel	Head_Shadow_CoG_vel	Head_Shadow_CoG_vel	Head_Shadow_CoG_vel	Trunk_CoG_vel	Trunk_CoG_vel	Trunk_CoG_vel	Pelvis_CoG_vel	Pelvis_CoG_vel	Pelvis_CoG_vel	L_Thigh_CoG_vel	L_Thigh_CoG_vel	L_Thigh_CoG_vel	R_Thigh_CoG_vel	R_Thigh_CoG_vel	R_Thigh_CoG_vel	L_Shank_CoG_vel	L_Shank_CoG_vel	L_Shank_CoG_vel	R_Shank_CoG_vel	R_Shank_CoG_vel	R_Shank_CoG_vel	L_Foot_CoG_vel	L_Foot_CoG_vel	L_Foot_CoG_vel	R_Foot_CoG_vel	R_Foot_CoG_vel	R_Foot_CoG_vel	L_Foot_Shadow_CoG_vel	L_Foot_Shadow_CoG_vel	L_Foot_Shadow_CoG_vel	R_Foot_Shadow_CoG_vel	R_Foot_Shadow_CoG_vel	R_Foot_Shadow_CoG_vel
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																																									
2	-0.00304	-0.00548	0.00583																																																						
3	-0.00584	-0.00744	-0.00871	0.05253	0.13332	-0.06525	-0.00039	0.28523	-0.02251	-0.01324	0.04411	-0.02208	0.01481	-0.04086	0.00122	-0.02106	-0.04758	-0.00467	-0.02740	-0.05320	0.01247	0.02282	-0.02291	-0.03053	0.00683	-0.01604	-0.04199	-0.02557	-0.00295	-0.01872	0.01478	-0.02293	0.00423	-0.01118	-0.03581	-0.00159	0.01765	0.00928	0.00173	-0.01325	-0.01651	0.00504	0.01385	0.03735	0.00035	0.00141	-0.00285	0.01732	0.02221	0.01530	-0.00380	0.00176	-0.00266	0.01827	0.02281	0.01656	0.00200
4	-0.00528	-0.00760	-0.02220	0.02154	0.14216	-0.12455	0.07088	0.31912	-0.05298	-0.03121	0.02501	-0.07781	0.04560	-0.02891	-0.01471	-0.00309	-0.03125	-0.06697	0.02046	-0.05679	0.01634	-0.01468	-0.05431	-0.01362	-0.04406	-0.04163	-0.03519	-0.01098	-0.00152	-0.01682	0.01391	-0.01949	-0.01863	-0.00519	-0.02476	-0.00771	0.00645	0.00526	-0.03690	-0.02320	-0.01296	-0.00515	-0.00592	0.02091	-0.03499	-0.03401	0.00715	0.00872	0.00397	-0.00663	-0.02593	-0.03394	0.00722	0.01005	0.00367	-0.00829	-0.02033
5	-0.00079	-0.00558	-0.02246	0.00733	0.18573	-0.15512	0.10867	0.28871	-0.07482	-0.04732	0.01296	-0.08891	0.05684	-0.00797	-0.03054	-0.00354	-0.02587	-0.07999	0.04226	-0.05769	0.01453	-0.03897	-0.05655	0.01583	-0.06302	-0.04009	-0.01448	0.01339	-0.01476	-0.00830	0.00873	0.00312	-0.02808	-0.00189	0.00102	-0.00747	-0.00035	0.00930	-0.04665	-0.03477	-0.00596	-0.01304	-0.01833	-0.00388	-0.04230	-0.05340	0.01430	-0.00235	-0.02053	-0.02332	-0.03199	-0.05389	0.01407	-0.00215	-0.02163	-0.02712	-0.03049
6	0.00187	-0.00423	-0.00707	0.04595	0.28146	-0.14947	0.09016	0.25864	-0.08600	-0.05504	0.03386	-0.04513	0.05310	0.01275	-0.03978	-0.04153	-0.02914	-0.02277	0.02197	-0.05712	0.00869	-0.05095	-0.02217	0.03937	-0.03979	-0.00781	0.00862	0.02329	-0.03079	0.00313	0.00389	0.02020	-0.01329	-0.00343	0.01196	-0.00059	0.00014	0.01349	-0.01816	-0.03633	-0.00706	-0.01130	-0.01399	-0.02026	-0.01418	-0.04142	0.01109	-0.00504	-0.02727	-0.02105	-0.01268	-0.04214	0.01071	-0.00620	-0.02845	-0.02447	-0.01694
