	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.00000	0.00000	0.05325	0.00000	0.00000	-2.01177
2	0.00000	0.00000	0.05472	0.00000	0.00000	-2.01393
3	0.00000	0.00000	0.05619	0.00000	0.00000	-2.01607
4	0.00000	0.00000	0.05766	0.00000	0.00000	-2.01821
5	0.00000	0.00000	0.05914	0.00000	0.00000	-2.02032
6	0.00000	0.00000	0.06062	0.00000	0.00000	-2.02241
7	0.00000	0.00000	0.06212	0.00000	0.00000	-2.02447
8	0.00000	0.00000	0.06363	0.00000	0.00000	-2.02649
9	0.00000	0.00000	0.06515	0.00000	0.00000	-2.02847
10	0.00000	0.00000	0.06669	0.00000	0.00000	-2.03040
11	0.00000	0.00000	0.06824	0.00000	0.00000	-2.03228
12	0.00000	0.00000	0.06981	0.00000	0.00000	-2.03410
13	0.00000	0.00000	0.07139	0.00000	0.00000	-2.03586
14	0.00000	0.00000	0.07299	0.00000	0.00000	-2.03757
15	0.00000	0.00000	0.07459	0.00000	0.00000	-2.03922
16	0.00000	0.00000	0.07620	0.00000	0.00000	-2.04082
17	0.00000	0.00000	0.07781	0.00000	0.00000	-2.04236
18	0.00000	0.00000	0.07943	0.00000	0.00000	-2.04384
19	0.00000	0.00000	0.08104	0.00000	0.00000	-2.04527
20	0.00000	0.00000	0.08266	0.00000	0.00000	-2.04664
21	0.00000	0.00000	0.08427	0.00000	0.00000	-2.04795
22	0.00000	0.00000	0.08587	0.00000	0.00000	-2.04920
23	0.00000	0.00000	0.08748	0.00000	0.00000	-2.05039
24	0.00000	0.00000	0.08908	0.00000	0.00000	-2.05151
25	0.00000	0.00000	0.09067	0.00000	0.00000	-2.05258
26	0.00000	0.00000	0.09225	0.00000	0.00000	-2.05358
27	0.00000	0.00000	0.09383	0.00000	0.00000	-2.05451
28	0.00000	0.00000	0.09540	0.00000	0.00000	-2.05538
29	0.00000	0.00000	0.09696	0.00000	0.00000	-2.05617
30	0.00000	0.00000	0.09851	0.00000	0.00000	-2.05690
