	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	-1.96586	-34.39569	219.48328	-0.35939	36.38289	563.33417
2	-1.96680	-34.40005	219.52286	-0.37623	36.34299	563.26416
3	-1.96775	-34.40443	219.56250	-0.39310	36.30304	563.19403
4	-1.96874	-34.40885	219.60236	-0.41003	36.26297	563.12360
5	-1.96978	-34.41333	219.64247	-0.42705	36.22271	563.05286
6	-1.97090	-34.41787	219.68297	-0.44419	36.18222	562.98138
7	-1.97210	-34.42251	219.72391	-0.46148	36.14143	562.90936
8	-1.97340	-34.42726	219.76541	-0.47895	36.10027	562.83649
9	-1.97483	-34.43215	219.80753	-0.49663	36.05870	562.76263
10	-1.97640	-34.43718	219.85040	-0.51454	36.01665	562.68768
11	-1.97812	-34.44237	219.89406	-0.53272	35.97408	562.61157
12	-1.98000	-34.44772	219.93851	-0.55115	35.93100	562.53418
13	-1.98204	-34.45323	219.98364	-0.56982	35.88746	562.45587
14	-1.98424	-34.45889	220.02946	-0.58872	35.84349	562.37653
15	-1.98659	-34.46469	220.07585	-0.60783	35.79913	562.29626
16	-1.98911	-34.47063	220.12279	-0.62714	35.75441	562.21515
17	-1.99178	-34.47669	220.17023	-0.64663	35.70938	562.13336
18	-1.99461	-34.48288	220.21808	-0.66628	35.66406	562.05090
19	-1.99761	-34.48919	220.26630	-0.68609	35.61850	561.96790
20	-2.00076	-34.49561	220.31483	-0.70605	35.57273	561.88440
21	-2.00408	-34.50214	220.36366	-0.72613	35.52677	561.80048
22	-2.00757	-34.50879	220.41273	-0.74634	35.48063	561.71606
23	-2.01124	-34.51553	220.46204	-0.76667	35.43432	561.63135
24	-2.01510	-34.52237	220.51151	-0.78710	35.38786	561.54620
25	-2.01915	-34.52931	220.56116	-0.80764	35.34127	561.46075
26	-2.02340	-34.53635	220.61092	-0.82826	35.29456	561.37500
27	-2.02786	-34.54349	220.66077	-0.84898	35.24773	561.28900
28	-2.03254	-34.55072	220.71069	-0.86977	35.20082	561.20270
29	-2.03743	-34.55803	220.76065	-0.89063	35.15383	561.11621
30	-2.04256	-34.56543	220.81058	-0.91155	35.10678	561.02954
31	-2.04791	-34.57291	220.86044	-0.93252	35.05971	560.94281
32	-2.05349	-34.58045	220.91020	-0.95354	35.01262	560.85583
33	-2.05932	-34.58806	220.95982	-0.97458	34.96555	560.76898
34	-2.06538	-34.59573	221.00923	-0.99564	34.91850	560.68201
35	-2.07169	-34.60345	221.05836	-1.01671	34.87152	560.59515
36	-2.07826	-34.61122	221.10722	-1.03778	34.82462	560.50830
37	-2.08508	-34.61902	221.15575	-1.05883	34.77781	560.42163
38	-2.09215	-34.62686	221.20387	-1.07987	34.73114	560.33514
39	-2.09949	-34.63472	221.25157	-1.10088	34.68460	560.24878
40	-2.10710	-34.64260	221.29880	-1.12186	34.63823	560.16278
41	-2.11497	-34.65050	221.34552	-1.14279	34.59204	560.07703
42	-2.12311	-34.65840	221.39169	-1.16367	34.54605	559.99152
43	-2.13153	-34.66629	221.43727	-1.18449	34.50029	559.90643
44	-2.14022	-34.67418	221.48224	-1.20525	34.45475	559.82172
45	-2.14918	-34.68204	221.52652	-1.22593	34.40948	559.73737
46	-2.15843	-34.68988	221.57010	-1.24653	34.36449	559.65350
47	-2.16796	-34.69769	221.61293	-1.26705	34.31979	559.57013
48	-2.17778	-34.70546	221.65498	-1.28746	34.27539	559.48730
49	-2.18788	-34.71318	221.69621	-1.30777	34.23134	559.40503
50	-2.19826	-34.72086	221.73659	-1.32797	34.18763	559.32336
51	-2.20893	-34.72849	221.77606	-1.34804	34.14428	559.24231
52	-2.21989	-34.73605	221.81461	-1.36799	34.10131	559.16193
53	-2.23113	-34.74356	221.85220	-1.38779	34.05874	559.08221
54	-2.24266	-34.75100	221.88876	-1.40744	34.01659	559.00330
55	-2.25448	-34.75836	221.92430	-1.42694	33.97486	558.92511
56	-2.26659	-34.76564	221.95876	-1.44627	33.93359	558.84772
57	-2.27898	-34.77285	221.99213	-1.46543	33.89278	558.77124
58	-2.29166	-34.77996	222.02434	-1.48440	33.85244	558.69556
59	-2.30462	-34.78698	222.05544	-1.50319	33.81260	558.62079
60	-2.31785	-34.79391	222.08536	-1.52178	33.77326	558.54700
61	-2.33136	-34.80074	222.11409	-1.54016	33.73444	558.47412
62	-2.34514	-34.80747	222.14160	-1.55833	33.69616	558.40222
63	-2.35918	-34.81408	222.16786	-1.57627	33.65843	558.33148
64	-2.37350	-34.82059	222.19289	-1.59399	33.62125	558.26172
65	-2.38807	-34.82699	222.21663	-1.61146	33.58466	558.19305
66	-2.40290	-34.83327	222.23904	-1.62869	33.54865	558.12555
67	-2.41798	-34.83941	222.26018	-1.64567	33.51324	558.05920
68	-2.43330	-34.84543	222.27997	-1.66239	33.47845	557.99408
69	-2.44885	-34.85132	222.29843	-1.67885	33.44429	557.93011
70	-2.46463	-34.85706	222.31552	-1.69503	33.41077	557.86743
71	-2.48063	-34.86266	222.33122	-1.71093	33.37790	557.80603
72	-2.49684	-34.86811	222.34555	-1.72655	33.34571	557.74591
73	-2.51325	-34.87341	222.35847	-1.74187	33.31419	557.68713
74	-2.52987	-34.87854	222.36996	-1.75690	33.28336	557.62970
75	-2.54667	-34.88351	222.38004	-1.77162	33.25323	557.57367
76	-2.56364	-34.88831	222.38867	-1.78603	33.22383	557.51904
77	-2.58078	-34.89294	222.39587	-1.80012	33.19514	557.46594
78	-2.59807	-34.89738	222.40161	-1.81389	33.16719	557.41425
79	-2.61549	-34.90165	222.40591	-1.82733	33.13999	557.36395
80	-2.63304	-34.90572	222.40872	-1.84043	33.11354	557.31531
81	-2.65070	-34.90960	222.41010	-1.85320	33.08786	557.26813
82	-2.66846	-34.91328	222.40999	-1.86562	33.06296	557.22247
83	-2.68631	-34.91676	222.40840	-1.87769	33.03885	557.17847
84	-2.70424	-34.92003	222.40533	-1.88939	33.01552	557.13599
85	-2.72224	-34.92310	222.40079	-1.90074	32.99300	557.09515
86	-2.74030	-34.92595	222.39481	-1.91170	32.97128	557.05597
87	-2.75840	-34.92858	222.38734	-1.92229	32.95037	557.01831
88	-2.77655	-34.93099	222.37842	-1.93250	32.93028	556.98236
89	-2.79472	-34.93318	222.36806	-1.94231	32.91101	556.94800
90	-2.81291	-34.93513	222.35623	-1.95172	32.89257	556.91541
91	-2.83111	-34.93686	222.34299	-1.96072	32.87496	556.88434
92	-2.84930	-34.93835	222.32831	-1.96931	32.85819	556.85498
93	-2.86749	-34.93961	222.31219	-1.97748	32.84227	556.82733
94	-2.88565	-34.94063	222.29466	-1.98522	32.82719	556.80127
95	-2.90378	-34.94141	222.27576	-1.99252	32.81295	556.77692
96	-2.92188	-34.94195	222.25546	-1.99938	32.79957	556.75421
97	-2.93992	-34.94224	222.23376	-2.00578	32.78704	556.73328
98	-2.95790	-34.94230	222.21072	-2.01171	32.77536	556.71393
99	-2.97582	-34.94210	222.18629	-2.01718	32.76455	556.69623
100	-2.99366	-34.94167	222.16055	-2.02217	32.75459	556.68018
101	-3.01140	-34.94099	222.13347	-2.02667	32.74550	556.66583
102	-3.02906	-34.94006	222.10506	-2.03068	32.73728	556.65314
103	-3.04660	-34.93888	222.07538	-2.03420	32.72992	556.64197
104	-3.06404	-34.93746	222.04439	-2.03723	32.72344	556.63245
105	-3.08135	-34.93579	222.01216	-2.03977	32.71784	556.62463
106	-3.09854	-34.93388	221.97868	-2.04181	32.71311	556.61841
107	-3.11558	-34.93172	221.94395	-2.04336	32.70927	556.61377
108	-3.13248	-34.92932	221.90807	-2.04440	32.70632	556.61066
109	-3.14923	-34.92668	221.87096	-2.04495	32.70426	556.60913
110	-3.16581	-34.92379	221.83269	-2.04499	32.70309	556.60919
111	-3.18223	-34.92066	221.79326	-2.04454	32.70280	556.61072
112	-3.19847	-34.91729	221.75273	-2.04360	32.70340	556.61377
113	-3.21453	-34.91368	221.71106	-2.04217	32.70488	556.61823
114	-3.23039	-34.90984	221.66829	-2.04026	32.70724	556.62421
115	-3.24607	-34.90575	221.62450	-2.03787	32.71046	556.63159
116	-3.26154	-34.90144	221.57962	-2.03501	32.71455	556.64032
117	-3.27680	-34.89688	221.53371	-2.03169	32.71949	556.65033
118	-3.29184	-34.89209	221.48680	-2.02790	32.72529	556.66168
119	-3.30667	-34.88707	221.43889	-2.02366	32.73194	556.67432
120	-3.32127	-34.88183	221.39003	-2.01898	32.73942	556.68817
121	-3.33564	-34.87635	221.34023	-2.01386	32.74774	556.70325
122	-3.34978	-34.87065	221.28949	-2.00831	32.75687	556.71948
123	-3.36370	-34.86472	221.23781	-2.00234	32.76682	556.73682
124	-3.37738	-34.85858	221.18526	-1.99597	32.77756	556.75525
125	-3.39083	-34.85221	221.13184	-1.98919	32.78909	556.77478
126	-3.40405	-34.84563	221.07756	-1.98203	32.80139	556.79523
127	-3.41703	-34.83884	221.02243	-1.97448	32.81447	556.81671
128	-3.42977	-34.83183	220.96651	-1.96656	32.82830	556.83911
129	-3.44227	-34.82461	220.90976	-1.95828	32.84287	556.86243
130	-3.45453	-34.81718	220.85223	-1.94965	32.85817	556.88654
131	-3.46656	-34.80954	220.79395	-1.94068	32.87418	556.91150
132	-3.47836	-34.80169	220.73491	-1.93139	32.89088	556.93719
133	-3.48992	-34.79362	220.67511	-1.92178	32.90827	556.96362
134	-3.50124	-34.78535	220.61458	-1.91187	32.92632	556.99066
135	-3.51233	-34.77687	220.55334	-1.90167	32.94501	557.01831
136	-3.52320	-34.76817	220.49144	-1.89119	32.96434	557.04657
137	-3.53382	-34.75927	220.42883	-1.88045	32.98428	557.07532
138	-3.54422	-34.75016	220.36559	-1.86944	33.00481	557.10455
139	-3.55438	-34.74084	220.30165	-1.85820	33.02592	557.13422
140	-3.56430	-34.73132	220.23712	-1.84673	33.04757	557.16425
141	-3.57398	-34.72161	220.17198	-1.83504	33.06975	557.19458
142	-3.58342	-34.71171	220.10620	-1.82315	33.09242	557.22516
143	-3.59261	-34.70163	220.03987	-1.81106	33.11557	557.25598
144	-3.60156	-34.69135	219.97298	-1.79880	33.13917	557.28699
145	-3.61025	-34.68090	219.90550	-1.78637	33.16321	557.31805
146	-3.61869	-34.67027	219.83751	-1.77378	33.18765	557.34924
147	-3.62687	-34.65948	219.76898	-1.76105	33.21247	557.38037
148	-3.63480	-34.64851	219.70000	-1.74819	33.23765	557.41144
149	-3.64247	-34.63739	219.63049	-1.73520	33.26316	557.44257
150	-3.64989	-34.62611	219.56058	-1.72210	33.28898	557.47345
151	-3.65705	-34.61469	219.49022	-1.70889	33.31508	557.50427
152	-3.66395	-34.60311	219.41945	-1.69559	33.34144	557.53479
153	-3.67059	-34.59140	219.34831	-1.68220	33.36804	557.56519
154	-3.67697	-34.57955	219.27679	-1.66873	33.39485	557.59515
155	-3.68310	-34.56758	219.20494	-1.65520	33.42184	557.62488
156	-3.68895	-34.55548	219.13277	-1.64160	33.44900	557.65411
157	-3.69455	-34.54327	219.06032	-1.62794	33.47630	557.68304
158	-3.69987	-34.53094	218.98763	-1.61422	33.50372	557.71155
159	-3.70493	-34.51852	218.91470	-1.60044	33.53123	557.73950
160	-3.70971	-34.50600	218.84160	-1.58661	33.55883	557.76697
161	-3.71421	-34.49340	218.76831	-1.57273	33.58648	557.79395
162	-3.71844	-34.48072	218.69492	-1.55880	33.61416	557.82025
163	-3.72238	-34.46796	218.62143	-1.54482	33.64185	557.84601
164	-3.72604	-34.45514	218.54785	-1.53080	33.66953	557.87109
165	-3.72941	-34.44226	218.47429	-1.51673	33.69718	557.89551
166	-3.73250	-34.42934	218.40073	-1.50261	33.72478	557.91931
167	-3.73531	-34.41638	218.32721	-1.48843	33.75233	557.94238
168	-3.73783	-34.40339	218.25377	-1.47419	33.77977	557.96466
169	-3.74006	-34.39039	218.18051	-1.45989	33.80713	557.98633
170	-3.74202	-34.37738	218.10741	-1.44552	33.83436	558.00720
171	-3.74368	-34.36438	218.03456	-1.43107	33.86146	558.02728
172	-3.74507	-34.35139	217.96194	-1.41654	33.88839	558.04657
173	-3.74617	-34.33842	217.88965	-1.40193	33.91516	558.06506
174	-3.74698	-34.32549	217.81769	-1.38723	33.94173	558.08276
175	-3.74752	-34.31261	217.74617	-1.37243	33.96812	558.09967
176	-3.74779	-34.29979	217.67506	-1.35753	33.99429	558.11572
177	-3.74778	-34.28704	217.60446	-1.34252	34.02024	558.13098
178	-3.74750	-34.27437	217.53441	-1.32740	34.04597	558.14545
179	-3.74695	-34.26180	217.46497	-1.31214	34.07145	558.15906
180	-3.74614	-34.24934	217.39613	-1.29676	34.09669	558.17188
181	-3.74506	-34.23701	217.32800	-1.28124	34.12165	558.18384
182	-3.74373	-34.22480	217.26060	-1.26558	34.14635	558.19495
183	-3.74215	-34.21274	217.19402	-1.24977	34.17076	558.20532
184	-3.74031	-34.20084	217.12823	-1.23380	34.19490	558.21478
185	-3.73824	-34.18911	217.06339	-1.21769	34.21874	558.22345
186	-3.73593	-34.17755	216.99948	-1.20142	34.24229	558.23132
187	-3.73338	-34.16619	216.93661	-1.18499	34.26554	558.23846
188	-3.73062	-34.15503	216.87477	-1.16839	34.28849	558.24469
189	-3.72763	-34.14408	216.81407	-1.15163	34.31112	558.25024
190	-3.72444	-34.13336	216.75455	-1.13470	34.33345	558.25494
191	-3.72103	-34.12287	216.69626	-1.11760	34.35546	558.25891
192	-3.71742	-34.11264	216.63924	-1.10034	34.37715	558.26208
193	-3.71360	-34.10266	216.58354	-1.08291	34.39852	558.26453
194	-3.70959	-34.09295	216.52924	-1.06531	34.41957	558.26630
195	-3.70537	-34.08350	216.47635	-1.04756	34.44030	558.26727
196	-3.70097	-34.07435	216.42493	-1.02966	34.46070	558.26758
197	-3.69636	-34.06549	216.37506	-1.01161	34.48078	558.26715
198	-3.69157	-34.05693	216.32674	-0.99341	34.50054	558.26605
199	-3.68658	-34.04868	216.28004	-0.97508	34.51997	558.26428
200	-3.68141	-34.04076	216.23502	-0.95660	34.53907	558.26184
201	-3.67605	-34.03316	216.19170	-0.93799	34.55785	558.25879
202	-3.67052	-34.02591	216.15010	-0.91926	34.57630	558.25507
203	-3.66480	-34.01899	216.11029	-0.90041	34.59442	558.25061
204	-3.65892	-34.01243	216.07231	-0.88146	34.61221	558.24561
205	-3.65286	-34.00621	216.03616	-0.86240	34.62968	558.23993
206	-3.64664	-34.00037	216.00191	-0.84324	34.64681	558.23358
207	-3.64025	-33.99490	215.96954	-0.82400	34.66361	558.22668
208	-3.63370	-33.98981	215.93916	-0.80468	34.68009	558.21912
