	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.05496	0.07281	0.01294	0.13739	0.42630	0.01147
2	0.05515	0.07277	0.01355	0.13773	0.42630	0.01151
3	0.05544	0.07276	0.01383	0.13789	0.42625	0.01153
4	0.05560	0.07277	0.01363	0.13773	0.42628	0.01145
5	0.05548	0.07276	0.01317	0.13735	0.42641	0.01128
6	0.05513	0.07278	0.01287	0.13700	0.42655	0.01113
7	0.05487	0.07282	0.01299	0.13690	0.42662	0.01108
8	0.05488	0.07280	0.01347	0.13697	0.42660	0.01114
9	0.05501	0.07267	0.01395	0.13697	0.42652	0.01123
10	0.05506	0.07252	0.01414	0.13675	0.42646	0.01127
11	0.05503	0.07244	0.01400	0.13649	0.42650	0.01124
12	0.05506	0.07237	0.01371	0.13640	0.42665	0.01124
13	0.05515	0.07225	0.01353	0.13650	0.42681	0.01139
14	0.05523	0.07214	0.01354	0.13673	0.42684	0.01164
15	0.05529	0.07214	0.01368	0.13699	0.42675	0.01176
16	0.05531	0.07228	0.01384	0.13712	0.42669	0.01167
17	0.05527	0.07251	0.01384	0.13702	0.42680	0.01150
18	0.05523	0.07267	0.01364	0.13678	0.42699	0.01139
19	0.05523	0.07273	0.01332	0.13661	0.42709	0.01133
20	0.05535	0.07277	0.01299	0.13663	0.42704	0.01123
21	0.05556	0.07283	0.01276	0.13676	0.42690	0.01108
22	0.05575	0.07286	0.01271	0.13688	0.42680	0.01097
23	0.05579	0.07280	0.01286	0.13697	0.42681	0.01091
24	0.05563	0.07275	0.01306	0.13713	0.42693	0.01084
25	0.05537	0.07289	0.01321	0.13729	0.42721	0.01067
26	0.05525	0.07318	0.01324	0.13727	0.42763	0.01047
27	0.05533	0.07337	0.01317	0.13703	0.42800	0.01039
28	0.05543	0.07325	0.01299	0.13677	0.42812	0.01046
29	0.05535	0.07290	0.01274	0.13660	0.42798	0.01062
30	0.05503	0.07257	0.01249	0.13653	0.42772	0.01077
31	0.05464	0.07243	0.01240	0.13655	0.42746	0.01099
