	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d
	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	0.24682	0.07270	0.00485	0.15913	0.67977	0.00852	0.19834	0.05881	0.00942	0.14171	0.63301	0.01712	0.20860	0.04517	0.01570	0.14181	0.63929	0.02566	0.02499	-0.00712	0.02180	0.07327	0.44978	0.03052
2	0.24704	0.07253	0.00504	0.15842	0.67981	0.00864	0.19852	0.05871	0.00929	0.14110	0.63300	0.01714	0.20875	0.04507	0.01563	0.14118	0.63928	0.02569	0.02507	-0.00698	0.02154	0.07302	0.44964	0.03061
3	0.24725	0.07233	0.00527	0.15825	0.67978	0.00868	0.19868	0.05858	0.00920	0.14087	0.63295	0.01694	0.20889	0.04494	0.01558	0.14097	0.63924	0.02547	0.02514	-0.00686	0.02142	0.07253	0.44971	0.03070
4	0.24725	0.07211	0.00535	0.15862	0.67968	0.00865	0.19867	0.05841	0.00928	0.14108	0.63289	0.01679	0.20887	0.04475	0.01564	0.14121	0.63919	0.02533	0.02506	-0.00686	0.02151	0.07208	0.44990	0.03065
5	0.24705	0.07189	0.00526	0.15918	0.67959	0.00857	0.19848	0.05820	0.00946	0.14148	0.63287	0.01675	0.20868	0.04452	0.01575	0.14163	0.63915	0.02529	0.02486	-0.00701	0.02173	0.07188	0.45010	0.03048
6	0.24685	0.07162	0.00518	0.15960	0.67961	0.00846	0.19829	0.05794	0.00954	0.14182	0.63291	0.01658	0.20850	0.04422	0.01576	0.14200	0.63919	0.02512	0.02466	-0.00723	0.02194	0.07185	0.45028	0.03032
7	0.24682	0.07130	0.00527	0.15982	0.67974	0.00837	0.19824	0.05764	0.00945	0.14200	0.63299	0.01614	0.20845	0.04392	0.01566	0.14223	0.63927	0.02468	0.02460	-0.00746	0.02208	0.07182	0.45047	0.03030
8	0.24687	0.07109	0.00539	0.15990	0.67987	0.00830	0.19827	0.05745	0.00930	0.14208	0.63305	0.01563	0.20848	0.04375	0.01556	0.14235	0.63935	0.02416	0.02462	-0.00760	0.02214	0.07182	0.45062	0.03036
9	0.24685	0.07116	0.00536	0.15987	0.67997	0.00829	0.19825	0.05750	0.00923	0.14210	0.63308	0.01530	0.20846	0.04383	0.01552	0.14238	0.63939	0.02382	0.02462	-0.00759	0.02212	0.07200	0.45061	0.03037
