	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d
	FullBody_CoG_pos	FullBody_CoG_pos	FullBody_CoG_pos	L_Hand_CoG_pos	L_Hand_CoG_pos	L_Hand_CoG_pos	R_Hand_CoG_pos	R_Hand_CoG_pos	R_Hand_CoG_pos	L_Forearm_CoG_pos	L_Forearm_CoG_pos	L_Forearm_CoG_pos	R_Forearm_CoG_pos	R_Forearm_CoG_pos	R_Forearm_CoG_pos	L_UpperArm_CoG_pos	L_UpperArm_CoG_pos	L_UpperArm_CoG_pos	R_UpperArm_CoG_pos	R_UpperArm_CoG_pos	R_UpperArm_CoG_pos	Head_Shadow_CoG_pos	Head_Shadow_CoG_pos	Head_Shadow_CoG_pos	Head_CoG_pos	Head_CoG_pos	Head_CoG_pos	Trunk_CoG_pos	Trunk_CoG_pos	Trunk_CoG_pos	Pelvis_CoG_pos	Pelvis_CoG_pos	Pelvis_CoG_pos	L_Thigh_CoG_pos	L_Thigh_CoG_pos	L_Thigh_CoG_pos	R_Thigh_CoG_pos	R_Thigh_CoG_pos	R_Thigh_CoG_pos	L_Shank_CoG_pos	L_Shank_CoG_pos	L_Shank_CoG_pos	R_Shank_CoG_pos	R_Shank_CoG_pos	R_Shank_CoG_pos	L_Foot_CoG_pos	L_Foot_CoG_pos	L_Foot_CoG_pos	R_Foot_CoG_pos	R_Foot_CoG_pos	R_Foot_CoG_pos	L_Foot_Shadow_CoG_pos	L_Foot_Shadow_CoG_pos	L_Foot_Shadow_CoG_pos	R_Foot_Shadow_CoG_pos	R_Foot_Shadow_CoG_pos	R_Foot_Shadow_CoG_pos
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	0.12962	0.20120	1.00123	0.03665	0.50664	1.39271	0.30927	0.37468	1.51210	-0.05108	0.36119	1.26578	0.35504	0.25469	1.33885	-0.07576	0.25992	1.30717	0.33633	0.12160	1.33844	0.15076	0.20198	1.65976	0.14002	0.15444	1.62921	0.12809	0.16433	1.26082	0.12191	0.16679	0.95637	0.07792	0.31732	0.75158	0.18772	0.10581	0.74784	0.09161	0.45382	0.32555	0.12067	0.05144	0.31015	0.11419	0.55336	0.02805	0.12505	0.03089	0.01866	0.11444	0.56361	0.02760	0.14139	0.02603	0.01793
2	0.12965	0.20118	1.00103	0.03638	0.50801	1.39225	0.30992	0.37474	1.50584	-0.05121	0.36208	1.26550	0.35440	0.25223	1.33402	-0.07565	0.26024	1.30712	0.33582	0.11991	1.33579	0.15069	0.20258	1.65970	0.14010	0.15492	1.62929	0.12838	0.16453	1.26090	0.12204	0.16669	0.95636	0.07764	0.31698	0.75167	0.18778	0.10580	0.74765	0.09119	0.45348	0.32558	0.12062	0.05144	0.30996	0.11374	0.55330	0.02810	0.12518	0.03090	0.01847	0.11396	0.56355	0.02765	0.14151	0.02602	0.01780
3	0.12967	0.20117	1.00083	0.03607	0.50893	1.39177	0.31131	0.37514	1.49966	-0.05114	0.36262	1.26505	0.35388	0.25002	1.32949	-0.07557	0.26041	1.30693	0.33554	0.11830	1.33346	0.15045	0.20307	1.65959	0.13977	0.15537	1.62927	0.12856	0.16468	1.26097	0.12215	0.16671	0.95632	0.07742	0.31678	0.75171	0.18794	0.10587	0.74754	0.09074	0.45323	0.32552	0.12071	0.05141	0.30986	0.11341	0.55330	0.02802	0.12529	0.03088	0.01837	0.11364	0.56356	0.02756	0.14163	0.02598	0.01772
4	0.12962	0.20114	1.00066	0.03573	0.50922	1.39121	0.31310	0.37576	1.49328	-0.05096	0.36262	1.26456	0.35354	0.24770	1.32517	-0.07555	0.26039	1.30670	0.33533	0.11640	1.33146	0.15012	0.20360	1.65954	0.13921	0.15593	1.62925	0.12848	0.16478	1.26105	0.12220	0.16680	0.95628	0.07726	0.31666	0.75167	0.18814	0.10594	0.74757	0.09039	0.45302	0.32537	0.12084	0.05124	0.30994	0.11333	0.55335	0.02792	0.12526	0.03078	0.01846	0.11360	0.56360	0.02745	0.14158	0.02586	0.01779
5	0.12949	0.20110	1.00051	0.03549	0.50924	1.39058	0.31475	0.37702	1.48631	-0.05085	0.36235	1.26420	0.35328	0.24512	1.32091	-0.07557	0.26021	1.30652	0.33491	0.11418	1.32963	0.14977	0.20424	1.65960	0.13864	0.15662	1.62932	0.12823	0.16491	1.26110	0.12215	0.16689	0.95628	0.07712	0.31654	0.75157	0.18823	0.10598	0.74769	0.09021	0.45282	0.32518	0.12091	0.05097	0.31010	0.11347	0.55341	0.02782	0.12507	0.03058	0.01865	0.11378	0.56366	0.02736	0.14139	0.02566	0.01794
6	0.12933	0.20110	1.00035	0.03538	0.50934	1.38992	0.31610	0.37912	1.47871	-0.05092	0.36211	1.26400	0.35292	0.24250	1.31667	-0.07557	0.25993	1.30638	0.33415	0.11191	1.32776	0.14944	0.20496	1.65978	0.13825	0.15736	1.62949	0.12803	0.16507	1.26113	0.12200	0.16700	0.95630	0.07699	0.31649	0.75145	0.18815	0.10601	0.74780	0.09018	0.45269	0.32497	0.12088	0.05077	0.31024	0.11366	0.55350	0.02765	0.12488	0.03032	0.01879	0.11398	0.56375	0.02720	0.14120	0.02539	0.01802
