	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d
	R_KNEE_MOMENT	R_KNEE_MOMENT	R_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	NECK_MOMENT	NECK_MOMENT	NECK_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																										
2																																										
3	-6.38080	-6.65098	2.41688	-13.71067	2.56003	0.81016	-10.61777	-33.88331	7.28589	-14.83259	-1.29955	0.92918	-16.98646	31.35792	-1.60560	-18.56676	6.42764	1.36934	-12.32429	-8.25199	-2.12157	20.59766	-26.06783	-3.00115	0.22678	0.94558	-0.20139	5.38637	-4.91112	-2.96758	3.44737	-1.15095	-1.38939	1.35144	1.77023	-1.06248	0.34963	-0.16394	-0.01437	-0.04156	0.21190	-0.20808
4	-6.06964	-6.12316	2.19607	-14.46254	2.33383	0.96865	-9.19830	-26.87104	5.53542	-17.02291	-2.56452	0.69297	-17.11818	31.49331	-1.57710	-18.65241	6.58189	1.59090	-15.08202	2.51237	-5.07528	5.98986	-19.35666	-2.23047	2.25854	1.39122	0.08766	2.70092	-2.06805	-0.43249	2.79904	-1.34681	-0.70038	0.09538	0.61268	-0.06973	0.24923	-0.03967	-0.07981	-0.42172	-0.08833	0.11108
5	-4.16398	-7.67517	1.76955	-13.95688	4.00550	1.39386	-1.19761	-27.64721	2.21139	-12.49805	1.48575	1.45882	-17.43983	31.59253	-1.59250	-18.88732	6.89168	1.85754	1.92934	10.03319	-7.04779	-3.92722	-3.19575	1.48880	4.14041	1.57759	0.49518	3.60273	-0.09717	2.24740	1.99829	-1.60355	0.17437	-0.65864	0.13473	0.39996	0.21232	0.01028	-0.08874	-0.55070	-0.14438	0.25522
6	-2.44655	-9.20367	1.59917	-13.76537	5.87911	1.67924	5.19358	-33.87520	1.18872	-9.72056	5.87297	1.47062	-17.70559	31.62275	-1.57659	-19.09439	7.05948	1.97964	15.69046	6.99926	-5.83798	2.97937	4.26512	6.06821	3.76883	1.77695	0.85924	6.36889	-0.38489	3.51031	1.96863	-1.68607	0.39564	0.44189	-0.04273	0.81638	0.26723	-0.03588	-0.01799	-0.12828	-0.12686	0.26564
7	-1.89053	-8.87922	1.82363	-15.07771	6.04947	1.57066	3.72826	-38.10877	3.78495	-16.32073	5.41979	-0.32713	-17.71416	31.66275	-1.46485	-19.13056	6.94690	1.94940	5.00113	-1.40480	-2.80792	15.24357	-0.85432	7.03289	3.03348	1.35028	0.57338	6.30689	-2.37462	2.32091	2.30165	-1.42632	0.09358	2.09768	-0.32919	1.22498	0.34423	-0.08560	0.05976	0.34034	-0.16775	0.23982
8	-2.37577	-7.61787	2.16653	-16.51957	5.16576	1.39714	-2.97125	-37.33540	7.03945	-24.74516	2.36053	-1.68692	-17.57001	31.77051	-1.35220	-19.11861	6.76876	1.90630	-17.09886	-5.04810	-1.04921	17.53376	-7.69720	1.31025	4.80951	-0.10164	-0.45060	2.34837	-4.51092	-1.03177	1.98308	-1.15198	0.09533	2.64273	-0.25020	0.98762	0.38212	-0.12701	0.09393	0.35746	-0.13309	0.11360
9	-3.74560	-7.12726	2.38036	-16.52641	5.70383	1.64740	-8.65400	-33.75782	7.97107	-25.25013	6.19406	0.85468	-17.51594	31.87419	-1.38568	-19.22622	6.73567	1.91952	-26.91763	4.53391	0.99722	8.31987	-9.91205	-7.94494	8.57623	-1.59261	-1.88637	-0.43658	-4.99981	-3.59534	0.82859	-0.95654	0.37334	2.14273	0.48871	0.02441	0.38696	-0.17530	0.00469	0.08957	0.01317	-0.09770
10	-5.22948	-7.58724	2.38157	-15.55298	7.86798	2.18453	-8.94700	-31.75665	6.57332	-20.01998	17.95012	6.28438	-17.59780	31.90476	-1.54674	-19.38692	6.81615	1.93499	-19.91575	21.41722	5.95256	-0.16834	-6.70014	-13.52557	10.19665	-1.61624	-3.03908	2.12341	-3.09364	-3.13718	0.00274	-0.53714	0.01095	1.89864	1.45964	-1.12706	0.36951	-0.16912	-0.21949	0.02098	0.13653	-0.30035
11	-5.48651	-8.08775	2.15304	-14.87207	8.95891	2.35688	-3.50028	-32.88425	4.47245	-15.52786	24.71793	8.97159	-17.67041	31.92632	-1.69751	-19.40480	6.90027	1.89892	-5.22449	28.67523	9.58772	5.68696	0.03472	-11.69232	6.47243	-0.01576	-2.50710	6.97120	-0.28377	-1.54804	0.87964	-0.32770	-0.94630	2.80895	2.17057	-2.07319	0.31079	-0.11448	-0.30241	0.31518	0.17266	-0.52130
12	-4.39882	-8.02089	1.83645	-14.62072	7.31484	1.86266	2.54477	-34.63319	3.12327	-12.39717	17.53122	5.83497	-17.63140	32.04400	-1.74597	-19.31113	6.94632	1.81798	7.92779	18.87447	5.81760	18.77007	5.00085	-4.77447	0.59121	1.82677	0.02925	8.57285	0.44866	-1.96628	2.84485	-1.11729	-1.14599	4.16689	2.56618	-2.72103	0.21401	-0.09868	-0.06154	0.68629	0.19342	-0.77202
13	-3.56844	-7.87437	1.72349	-14.74451	4.56515	1.16562	2.35284	-36.77770	3.08830	-10.82293	2.94526	0.16423	-17.56564	32.24551	-1.70614	-19.48904	7.01477	1.73300	10.60909	-2.23153	-3.61003	15.68428	6.56554	2.48855	-0.78970	2.47214	2.25226	6.65764	-2.54026	-3.91942	3.69829	-2.28772	-0.12721	4.57553	2.59333	-2.75522	0.15056	-0.10493	0.20017	0.84062	0.19457	-0.79990
14	-3.99227	-7.92721	1.86759	-15.32638	3.43987	0.97055	-3.90949	-38.79697	3.76036	-13.49325	-6.45361	-2.82737	-17.58971	32.37110	-1.63124	-20.02842	7.13717	1.71009	-0.00976	-19.68979	-10.90075	-2.88271	6.62214	6.84084	2.70132	1.90237	2.30546	5.08228	-6.90797	-3.99325	2.78088	-2.53437	0.99796	4.02901	1.90023	-1.49759	0.16882	-0.05980	0.21362	0.82729	0.07101	-0.31945
15	-4.97586	-7.35798	2.06349	-15.56116	4.48487	1.35496	-9.32635	-35.84417	4.60085	-19.06058	-5.22893	-1.78911	-17.65270	32.26720	-1.56247	-20.34690	7.15921	1.77561	-14.91714	-17.66047	-10.75319	-5.92522	0.03964	7.82171	5.14587	1.61382	1.67698	5.52752	-7.24135	-0.53224	1.92677	-2.17692	1.39404	3.53019	0.45882	0.90649	0.25490	-0.03446	0.16718	0.76752	-0.12285	0.40415
16	-5.36469	-5.95001	2.16239	-15.31166	5.71921	1.68929	-8.38343	-27.87140	5.56337	-22.70538	2.42430	0.79746	-17.65143	32.02091	-1.52065	-20.03561	6.94071	1.82823	-21.27049	2.48868	-4.21841	17.21945	-15.65414	5.24995	3.87378	2.07273	1.77719	6.23643	-1.62376	3.78254	2.45798	-2.13032	1.05124	3.86930	-0.91356	2.94076	0.36106	-0.10894	0.23474	0.74142	-0.20032	0.69339
17	-5.13861	-5.33770	2.23001	-15.14850	5.90163	1.67830	-3.36194	-24.61008	6.31019	-21.00196	10.54737	3.20820	-17.63742	31.85899	-1.51758	-19.46000	6.66523	1.82743	-14.56241	20.75854	4.07338	33.53613	-22.23937	0.10931	1.94091	1.92363	1.24935	5.27388	3.81824	4.74890	3.21752	-1.90981	0.05543	4.41145	-1.24427	3.08488	0.43381	-0.18130	0.20044	0.70746	-0.13275	0.39748
18	-4.64070	-5.99114	2.20827	-15.36681	5.73249	1.64102	-0.43923	-29.97986	6.05610	-16.38019	14.78153	4.80434	-17.70140	31.86698	-1.51212	-19.21326	6.62708	1.86452	-3.99852	22.30508	7.65829	18.64672	-5.43659	-1.93019	1.78695	0.77575	-0.38281	3.02254	2.43645	2.02319	2.98511	-1.14459	-1.02534	3.32571	-0.50012	1.46629	0.44360	-0.15586	-0.03329	0.43959	-0.04420	0.06283
19	-3.83815	-6.61514	1.98730	-15.83736	6.02332	1.78813	-2.14714	-36.82695	4.98788	-14.09703	13.60611	4.69088	-17.85448	31.92560	-1.47449	-19.40494	6.83266	1.97368	-1.56807	11.83666	3.43134	-5.58557	13.97449	3.70869	2.67009	0.23178	-0.75830	1.99530	-3.55729	-0.50649	2.37940	-1.03482	-0.95636	0.47712	0.39762	-0.22819	0.35940	-0.10202	-0.14886	-0.05244	0.00395	0.07126
20	-2.95198	-6.54600	1.71089	-16.06063	6.47387	1.91025	-4.91494	-38.23731	4.15545	-14.42196	10.10097	3.14276	-18.06996	31.94306	-1.44348	-19.71625	7.02123	2.05377	-4.75285	4.21799	-3.45628	-12.60127	9.49960	11.86824	3.57118	1.00106	0.78750	4.65660	-7.36108	-0.01588	2.33484	-2.03545	0.20699	-1.39175	0.64453	-0.66839	0.20661	-0.07368	-0.01963	-0.34390	0.01357	0.22523
21	-2.73294	-6.18018	1.63696	-16.36221	6.16979	1.72891	-4.77662	-34.51643	3.98138	-15.13051	7.33386	1.57624	-18.29045	31.99338	-1.44776	-19.93886	6.98890	1.97629	-4.67892	4.64296	-6.14463	-7.11244	-11.46534	11.96756	4.19319	1.78119	1.79460	9.70090	-6.83152	1.92429	2.53004	-2.67829	0.89288	0.19412	0.31864	-0.14138	0.10252	-0.04408	0.09186	-0.07692	-0.04178	0.21810
22	-3.73662	-6.34537	1.91610	-16.93645	5.55180	1.47579	-3.54111	-32.06820	4.69638	-16.08775	7.61511	1.56980	-18.42557	32.09233	-1.47721	-19.97429	6.79282	1.81972	-3.52890	7.48382	-2.66837	0.30256	-22.91405	0.87011	4.20942	1.62915	0.93534	10.90590	-4.48853	1.78378	2.32526	-2.05230	0.39099	3.88370	0.04138	0.16296	0.14926	-0.03497	0.03164	0.52336	-0.14627	0.02381
23	-4.78845	-6.93277	2.30506	-16.99536	5.60180	1.46069	-2.89210	-33.44631	6.08558	-19.33650	11.55283	2.96336	-18.37014	32.09605	-1.47765	-19.68674	6.53902	1.72932	-8.57516	10.24673	3.41050	12.03847	-15.66411	-12.33564	4.01691	0.84509	-0.64290	4.98355	-2.54889	-0.92866	1.97146	-1.02850	-0.53588	6.23733	-0.03904	-0.10294	0.36058	-0.06831	-0.14715	0.90129	-0.23491	-0.18971
24	-4.59173	-7.24494	2.40731	-16.46537	5.54927	1.41330	-0.65194	-35.49427	6.77646	-24.62841	12.73601	3.07432	-18.16056	31.97309	-1.43913	-19.33480	6.26149	1.62886	-16.07382	8.48218	5.38498	23.68896	-0.77962	-16.40982	4.65616	-0.40538	-1.78389	-1.76754	-1.59661	-2.73193	1.88436	-0.55420	-1.00621	6.10210	-0.23080	-0.01712	0.63329	-0.11334	-0.30362	0.82682	-0.25007	-0.20611
25	-4.26266	-7.03240	2.22811	-16.00830	4.49675	1.15805	1.88255	-35.69711	5.77827	-25.53395	5.13758	0.73362	-17.97069	31.92179	-1.42638	-19.40730	6.09979	1.48307	-14.52438	-2.58375	0.16636	20.89391	9.84006	-11.22320	6.42153	-1.96559	-2.38118	-1.99445	-1.27764	-0.98171	1.81400	-0.57962	-0.78595	4.63951	-0.52017	1.10895	0.75267	-0.14820	-0.27592	0.49413	-0.15705	0.08210
26	-5.31238	-6.31646	2.08508	-15.21760	3.87383	1.21736	-0.98041	-33.32125	4.06412	-17.07173	-3.15766	-0.59114	-17.84638	32.03227	-1.43119	-19.71922	6.19839	1.52976	-4.37670	-9.93365	-6.49861	4.93059	10.60284	-4.62910	8.15744	-2.51100	-2.31971	3.08274	-1.25978	2.45273	1.48673	-0.81388	-0.14529	2.92219	-0.59453	2.37101	0.56392	-0.15969	-0.06620	0.21036	-0.02279	0.46904
27	-6.49107	-4.89926	1.97448	-14.36624	5.33004	1.91633	-7.02530	-28.07650	2.61289	-6.66913	-0.49398	2.11138	-17.73405	32.19624	-1.35712	-19.80871	6.47668	1.84212	2.68163	2.44952	-7.31076	-4.21017	1.01175	1.04380	8.05918	-0.87553	-1.24557	8.49043	-2.17556	4.29593	1.25563	-1.21964	0.44797	1.92829	-0.53267	2.42980	0.18953	-0.12233	0.12958	0.18751	-0.02779	0.61532
28	-5.89173	-3.85125	1.79685	-15.09150	7.80995	2.67496	-7.01029	-24.66487	1.70031	-6.11089	9.70106	6.21682	-17.70926	32.29732	-1.22477	-19.80952	6.72615	2.10202	2.04644	22.09948	-2.37470	3.15047	-8.41671	7.69952	5.65331	1.84977	0.46208	12.22440	-4.31899	3.55052	1.54581	-1.65039	0.66186	2.66332	-0.52858	1.03069	-0.03736	-0.05068	0.17397	0.43679	-0.21188	0.34062
29	-4.27848	-5.09293	1.89603	-17.21817	8.96488	2.74212	-0.79455	-30.31186	2.65144	-15.65949	16.54202	7.34093	-17.82868	32.29119	-1.16139	-19.95334	6.78655	2.05746	-2.89882	24.69040	3.67444	11.87686	-3.57747	11.55148	2.66183	3.25296	1.55741	13.41490	-5.89998	1.50207	2.07558	-1.72438	0.46705	4.46298	-0.45711	-0.72126	0.04386	-0.00828	0.11729	0.74792	-0.37297	-0.14244
30	-3.55768	-7.84899	2.44253	-18.50472	7.70138	2.01611	2.85019	-42.73706	5.94788	-25.23096	15.61416	4.52552	-17.93700	32.27558	-1.18396	-20.03859	6.61295	1.80316	-8.98049	7.39007	6.63654	6.50248	9.54265	8.90800	0.68897	2.57147	1.39560	11.72912	-5.24300	0.32031	2.35182	-1.37108	0.00171	5.70415	-0.32416	-1.12893	0.26032	-0.03128	0.04710	0.93302	-0.36075	-0.34958
31	-3.87305	-9.22012	2.88835	-17.77941	4.77862	1.04018	0.74190	-50.37082	8.70434	-26.89359	7.52745	-0.13287	-17.85886	32.36915	-1.21771	-19.87587	6.32870	1.56643	-12.44072	-14.67091	3.80188	-5.16159	8.16326	5.33474	-0.36063	1.24891	0.59002	9.71358	-3.82226	0.89532	2.39608	-0.94139	-0.60393	5.87965	-0.18140	-0.03618	0.38530	-0.07500	-0.04251	0.91842	-0.21712	-0.12117
32	-4.74960	-8.17951	2.79586	-15.67645	2.47118	0.57709	-3.88939	-45.54085	8.13749	-20.25359	-2.79390	-3.22002	-17.65891	32.48470	-1.26839	-19.63675	6.15617	1.49087	-9.66458	-23.65726	-3.07647	-5.97716	-12.55951	5.74580	0.28248	0.24966	-0.35247	10.03479	-3.38486	2.33593	2.17057	-0.64563	-0.99348	5.42059	0.00951	1.17986	0.36314	-0.07335	-0.14343	0.77679	-0.07476	0.26568
33	-6.35894	-5.95961	2.49617	-13.37421	2.38069	0.83962	-9.06429	-31.66330	5.67928	-11.08553	-7.03201	-2.57838	-17.53463	32.46225	-1.33667	-19.55533	6.16982	1.54456	-4.21239	-10.82581	-8.30062	5.98134	-30.20222	5.91542	3.97230	-0.70267	-1.48135	12.10253	-2.72065	4.09399	1.53053	-0.46981	-0.77183	5.08993	-0.17241	2.31324	0.27981	-0.01428	-0.19242	0.81419	-0.11434	0.66797
34	-7.92590	-4.59030	2.50720	-12.30703	3.61109	1.25364	-13.44394	-21.21250	4.84810	-6.47505	-2.72780	0.14977	-17.58376	32.32377	-1.33743	-19.64383	6.23944	1.58992	-3.58158	9.93437	-8.37856	16.72485	-25.55898	3.46241	8.06115	-0.76700	-1.96647	14.34701	-1.66487	5.22147	1.15879	-0.66010	-0.17643	5.71882	-0.83206	3.03012	0.24246	0.04495	-0.18153	1.20324	-0.38788	0.86692
35	-7.19674	-5.37924	2.70832	-13.65452	4.84500	1.42614	-12.96047	-22.87851	6.19758	-9.70424	5.26403	2.08730	-17.75238	32.25393	-1.23939	-19.75063	6.28639	1.62674	-8.51840	19.42804	-4.21439	12.34690	-5.87677	2.68415	8.41788	0.85836	-1.15424	16.11480	-2.86645	3.88333	1.57841	-1.20800	0.10777	7.22988	-1.15218	1.68853	0.25359	0.03970	-0.15636	1.61501	-0.66842	0.46246
36	-3.77888	-7.25501	2.59947	-16.71735	6.16917	1.62785	-5.93758	-30.38906	7.04863	-18.50275	12.92716	3.06532	-17.91414	32.38830	-1.14289	-19.71337	6.36032	1.76999	-14.24098	20.94490	1.39602	-4.41355	6.99056	3.49894	6.69289	1.79381	-0.56367	15.65432	-6.47615	0.77825	2.05324	-1.40673	-0.06458	8.02136	-0.79553	-0.91215	0.28434	-0.02732	-0.10331	1.53342	-0.70450	-0.19267
37	-0.88348	-8.11533	2.16330	-19.15417	7.40962	1.96326	2.19675	-34.09929	5.69923	-26.00626	16.84321	3.69816	-17.98002	32.71215	-1.14567	-19.57895	6.47556	1.94768	-16.52276	21.14909	4.04889	-11.34750	4.97286	0.56318	6.19886	0.08320	-1.04675	10.84109	-9.35228	-1.83475	1.90008	-1.05905	-0.04333	7.30596	-0.35125	-2.24682	0.31350	-0.12025	0.08821	0.98265	-0.53723	-0.46172
38	-1.32818	-7.66304	1.85530	-18.94064	7.42900	2.03572	5.09977	-35.16316	3.38516	-25.89238	13.08215	2.94156	-17.96273	33.06021	-1.23380	-19.51783	6.53852	1.94596	-13.66719	10.96153	0.47665	7.18002	-0.36375	-4.74511	4.90221	-1.40912	-0.86817	3.70218	-9.77294	-3.47502	1.69164	-0.88820	0.25490	6.13100	-0.14257	-2.21004	0.28914	-0.17687	0.30172	0.45714	-0.35900	-0.43630
39	-3.87332	-6.97835	1.85590	-16.11841	6.31098	1.75152	3.08789	-36.76919	2.13217	-18.93448	5.47270	1.01315	-17.92529	33.16502	-1.35491	-19.47815	6.48124	1.77988	-7.07410	-5.41535	-5.46593	33.86113	-1.58753	-5.00799	1.07957	0.49971	0.78684	1.08451	-8.38815	-3.90205	2.09604	-1.31649	0.12825	5.56287	0.06760	-2.00886	0.24856	-0.14794	0.20819	0.33930	-0.26600	-0.37357
40	-5.25516	-6.72405	1.96415	-13.75721	5.38398	1.48172	0.49070	-36.39071	2.80383	-12.96493	2.23417	-0.01364	-17.85197	32.94836	-1.46984	-19.36209	6.38773	1.67532	-0.86813	-7.35518	-6.94173	34.52288	-4.13312	0.31754	-1.19674	3.40709	1.83158	6.52925	-6.19548	-2.31757	2.41037	-1.72171	-0.40864	5.13899	0.52120	-1.91483	0.25094	-0.06816	-0.14867	0.53448	-0.21290	-0.23643
41	-5.15347	-7.49097	2.23092	-14.70308	5.00293	1.38656	-3.27923	-35.23223	5.45738	-13.30526	3.43889	0.36163	-17.71304	32.65934	-1.57791	-19.32268	6.36346	1.69510	-1.08671	3.15687	-3.43878	6.45629	-11.10427	3.94304	1.38577	2.78304	0.44512	14.19869	-3.63767	0.77578	2.28233	-1.47469	-0.85262	4.23296	0.96130	-1.30823	0.36212	-0.04048	-0.35818	0.69862	-0.13930	0.02797
42	-5.47158	-8.57918	2.60528	-17.45727	4.74749	1.33497	-9.07610	-35.63271	8.16360	-16.99158	4.37105	1.11231	-17.58740	32.57642	-1.67752	-19.50247	6.38777	1.68134	-8.11233	8.56939	-0.28208	-13.47779	-16.15398	1.37935	5.77260	-1.01187	-2.26348	15.40665	-0.84601	3.25550	1.85574	-0.61380	-1.05986	3.65244	0.87139	0.20992	0.46321	-0.06274	-0.27910	0.71888	-0.07107	0.26286
43	-6.35918	-8.37254	2.58627	-18.17566	4.79424	1.31656	-11.31365	-34.83207	7.76307	-17.39552	4.84268	1.97128	-17.61415	32.68528	-1.76584	-19.76097	6.40903	1.56869	-11.46688	7.55021	-0.95965	-3.53779	-9.73525	-1.79324	7.58447	-3.37846	-3.56906	10.00732	0.66026	3.27668	0.90357	0.20144	-0.82280	4.00106	0.31950	1.46600	0.32415	-0.03282	-0.13001	0.65517	-0.04322	0.21947
