	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedTeepE1.c3d
	L_TO_ANGLE	L_TO_ANGLE	L_TO_ANGLE	R_TO_ANGLE	R_TO_ANGLE	R_TO_ANGLE	L_FT_ANGLE	L_FT_ANGLE	L_FT_ANGLE	R_FT_ANGLE	R_FT_ANGLE	R_FT_ANGLE	L_FT_SHADOW_ANGLE	L_FT_SHADOW_ANGLE	L_FT_SHADOW_ANGLE	R_FT_SHADOW_ANGLE	R_FT_SHADOW_ANGLE	R_FT_SHADOW_ANGLE	L_SK_ANGLE	L_SK_ANGLE	L_SK_ANGLE	R_SK_ANGLE	R_SK_ANGLE	R_SK_ANGLE	L_TH_ANGLE	L_TH_ANGLE	L_TH_ANGLE	R_TH_ANGLE	R_TH_ANGLE	R_TH_ANGLE	PELVIS_ANGLE	PELVIS_ANGLE	PELVIS_ANGLE	TRUNK_ANGLE	TRUNK_ANGLE	TRUNK_ANGLE	HEAD_ANGLE	HEAD_ANGLE	HEAD_ANGLE	HEAD_SHADOW_ANGLE	HEAD_SHADOW_ANGLE	HEAD_SHADOW_ANGLE	L_AR_ANGLE	L_AR_ANGLE	L_AR_ANGLE	R_AR_ANGLE	R_AR_ANGLE	R_AR_ANGLE	L_FA_ANGLE	L_FA_ANGLE	L_FA_ANGLE	R_FA_ANGLE	R_FA_ANGLE	R_FA_ANGLE	L_HA_ANGLE	L_HA_ANGLE	L_HA_ANGLE	R_HA_ANGLE	R_HA_ANGLE	R_HA_ANGLE
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	-10.45706	-0.09527	-20.11835	0.18114	5.43308	-74.09169	-2.54755	-2.97982	-19.90571	1.09807	2.21610	-74.15288	-2.54755	-2.97982	-19.90571	1.09807	2.21610	-74.15288	10.88439	0.28708	-29.10180	-8.70399	10.12082	-56.47350	22.69617	-3.19696	-29.08671	-5.92173	7.57797	-56.93037	-5.54949	2.25389	-40.55597	1.94879	1.18019	-30.87274	-0.38221	-4.49184	-15.48960	-21.90086	1.65439	-16.02950	13.72609	14.52517	-24.30778	34.06117	-25.28966	7.61114	136.95882	-28.02572	-106.61616	143.26738	16.44382	131.52370	120.47314	-16.76275	-112.07557	149.19196	3.80873	130.02409
2	-10.34375	-0.12485	-20.00243	0.09308	5.02703	-74.16397	-2.54989	-2.94946	-19.79297	0.92277	2.10226	-74.21558	-2.54989	-2.94946	-19.79297	0.92277	2.10226	-74.21558	10.94412	0.26049	-29.29720	-8.64368	10.10924	-56.62304	22.64758	-3.14736	-29.28951	-5.96255	7.61114	-57.06253	-5.51089	2.35072	-40.41856	1.88420	1.10433	-30.86237	-0.49709	-4.35362	-15.23317	-22.04394	1.68912	-15.74082	13.72604	14.40436	-24.04871	32.83542	-24.92264	7.24513	136.68642	-27.75875	-107.11391	142.68478	16.15422	131.35486	120.53250	-17.13259	-112.58025	148.02472	3.33953	129.92972
3	-10.06631	-0.16719	-20.07339	0.07622	4.63827	-74.24832	-2.61919	-2.87706	-19.87524	0.80748	2.04618	-74.29097	-2.61918	-2.87706	-19.87524	0.80748	2.04618	-74.29097	11.03152	0.23579	-29.43834	-8.59476	10.12170	-56.74285	22.56844	-3.08101	-29.43707	-6.01915	7.61764	-57.16352	-5.37150	2.33219	-40.32824	1.84422	1.05012	-30.87255	-0.57288	-4.21007	-15.24121	-22.12051	1.82558	-15.69554	13.71488	14.30997	-23.96231	31.71062	-24.68674	7.08586	136.46071	-27.64351	-107.34681	141.98776	16.04414	132.24420	120.71648	-17.02640	-112.63078	146.91968	2.03798	130.75076
4	-9.93749	-0.16830	-20.27204	0.15279	4.65970	-74.30869	-2.65224	-2.84821	-20.07998	0.87883	2.07574	-74.35134	-2.65224	-2.84822	-20.07998	0.87884	2.07574	-74.35134	11.11922	0.21099	-29.42463	-8.58430	10.15951	-56.69039	22.48154	-3.02125	-29.42498	-6.08275	7.60479	-57.09733	-5.22478	2.22549	-40.27306	1.83996	1.04768	-30.89744	-0.60091	-4.09563	-15.45012	-22.12833	2.00852	-15.84743	13.64876	14.27277	-24.03692	30.58622	-24.54618	6.98001	136.32253	-27.68660	-107.36836	141.12057	15.97167	133.59055	120.80061	-16.52102	-112.41579	145.74228	0.49623	131.98372
5	-9.97512	-0.10381	-20.45939	0.30774	5.02577	-74.33885	-2.61921	-2.83743	-20.27030	1.10772	2.17278	-74.38908	-2.61921	-2.83743	-20.27030	1.10772	2.17278	-74.38908	11.19108	0.17670	-29.25772	-8.61875	10.19823	-56.52431	22.40551	-2.98694	-29.25326	-6.12660	7.58336	-56.92890	-5.15481	2.11590	-40.25385	1.85129	1.06850	-30.93445	-0.60696	-4.02096	-15.65681	-22.11378	2.15361	-16.01195	13.57364	14.26988	-24.11647	29.40238	-24.37708	6.71651	136.24849	-27.75032	-107.35027	140.16856	15.72536	134.40659	120.63145	-16.11922	-112.31638	143.85777	-0.54493	132.83562
6	-9.86432	-0.00175	-20.56221	0.46206	5.25527	-74.36396	-2.58781	-2.72194	-20.38899	1.29385	2.28393	-74.41866	-2.58781	-2.72194	-20.38899	1.29385	2.28393	-74.41866	11.24843	0.12491	-29.00306	-8.67692	10.20920	-56.49675	22.34260	-2.97156	-28.98989	-6.13773	7.56420	-56.90940	-5.15786	2.05993	-40.28481	1.85010	1.06513	-30.99072	-0.57707	-3.95765	-15.69362	-22.08091	2.22597	-16.02292	13.55117	14.28374	-24.07782	28.20864	-24.07990	6.25336	136.19029	-27.72721	-107.36591	139.26535	15.24750	134.14580	120.26156	-16.13029	-112.46156	141.02051	-0.98476	132.81390
