	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.12221	0.08451	0.01201	0.10570	0.48271	0.00179
2	0.12227	0.08451	0.01215	0.10569	0.48318	0.00162
3	0.12236	0.08440	0.01224	0.10566	0.48362	0.00142
4	0.12244	0.08413	0.01221	0.10558	0.48376	0.00128
5	0.12249	0.08377	0.01201	0.10550	0.48361	0.00124
6	0.12250	0.08352	0.01171	0.10552	0.48335	0.00135
7	0.12247	0.08347	0.01147	0.10575	0.48310	0.00168
8	0.12240	0.08355	0.01140	0.10609	0.48286	0.00219
9	0.12226	0.08361	0.01145	0.10631	0.48263	0.00269
10	0.12205	0.08364	0.01149	0.10622	0.48243	0.00302
11	0.12186	0.08374	0.01136	0.10583	0.48232	0.00314
12	0.12183	0.08392	0.01114	0.10526	0.48228	0.00311
13	0.12192	0.08405	0.01106	0.10471	0.48222	0.00309
14	0.12199	0.08407	0.01122	0.10437	0.48213	0.00319
15	0.12192	0.08400	0.01148	0.10429	0.48214	0.00337
16	0.12173	0.08388	0.01165	0.10434	0.48231	0.00344
17	0.12153	0.08376	0.01173	0.10439	0.48257	0.00331
18	0.12141	0.08372	0.01181	0.10450	0.48277	0.00314
19	0.12141	0.08372	0.01197	0.10470	0.48278	0.00323
20	0.12147	0.08365	0.01218	0.10481	0.48260	0.00366
21	0.12144	0.08353	0.01240	0.10465	0.48240	0.00418
22	0.12128	0.08353	0.01262	0.10434	0.48228	0.00446
23	0.12113	0.08375	0.01285	0.10426	0.48225	0.00441
24	0.12115	0.08405	0.01308	0.10449	0.48234	0.00419
25	0.12132	0.08418	0.01330	0.10478	0.48251	0.00409
26	0.12150	0.08416	0.01351	0.10492	0.48265	0.00417
27	0.12160	0.08421	0.01365	0.10484	0.48266	0.00433
28	0.12157	0.08435	0.01372	0.10458	0.48257	0.00445
29	0.12146	0.08442	0.01376	0.10425	0.48243	0.00453
30	0.12134	0.08428	0.01379	0.10406	0.48222	0.00465
31	0.12123	0.08398	0.01386	0.10409	0.48186	0.00484
32	0.12117	0.08366	0.01397	0.10423	0.48145	0.00505
