	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d
	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	0.33795	0.17752	0.00658	0.24149	0.67962	0.00871	0.29151	0.16278	0.01183	0.21743	0.63721	0.01349	0.30558	0.14234	0.01951	0.20100	0.65415	0.02140	0.12230	0.08441	0.02061	0.10515	0.48247	0.00997
2	0.33807	0.17743	0.00642	0.24199	0.67966	0.00891	0.29160	0.16271	0.01140	0.21782	0.63734	0.01400	0.30567	0.14228	0.01909	0.20144	0.65428	0.02199	0.12237	0.08443	0.02076	0.10515	0.48291	0.00980
3	0.33812	0.17747	0.00631	0.24245	0.67972	0.00946	0.29164	0.16271	0.01109	0.21820	0.63742	0.01434	0.30575	0.14229	0.01875	0.20188	0.65436	0.02249	0.12248	0.08433	0.02085	0.10514	0.48329	0.00960
4	0.33802	0.17763	0.00631	0.24266	0.67970	0.01002	0.29157	0.16277	0.01101	0.21838	0.63736	0.01435	0.30572	0.14237	0.01864	0.20213	0.65428	0.02268	0.12257	0.08405	0.02082	0.10511	0.48339	0.00946
5	0.33785	0.17777	0.00634	0.24255	0.67960	0.01011	0.29144	0.16280	0.01112	0.21830	0.63723	0.01419	0.30563	0.14242	0.01871	0.20208	0.65411	0.02263	0.12262	0.08367	0.02062	0.10506	0.48322	0.00942
6	0.33774	0.17773	0.00632	0.24218	0.67961	0.00971	0.29138	0.16270	0.01134	0.21802	0.63721	0.01403	0.30558	0.14231	0.01888	0.20178	0.65407	0.02247	0.12261	0.08338	0.02032	0.10509	0.48297	0.00954
7	0.33777	0.17746	0.00623	0.24173	0.67984	0.00923	0.29143	0.16248	0.01160	0.21771	0.63739	0.01390	0.30559	0.14204	0.01911	0.20139	0.65423	0.02223	0.12257	0.08331	0.02007	0.10530	0.48276	0.00987
8	0.33786	0.17710	0.00618	0.24136	0.68013	0.00905	0.29152	0.16220	0.01181	0.21747	0.63762	0.01381	0.30564	0.14173	0.01929	0.20106	0.65446	0.02197	0.12249	0.08337	0.02000	0.10562	0.48257	0.01037
9	0.33791	0.17673	0.00627	0.24117	0.68024	0.00918	0.29154	0.16193	0.01182	0.21734	0.63768	0.01376	0.30562	0.14142	0.01928	0.20086	0.65454	0.02174	0.12235	0.08343	0.02006	0.10580	0.48240	0.01087
