	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	9.72450	-45.52373	356.30042	-4.44091	39.01626	489.04156
2	9.70522	-45.47144	356.06216	-4.38481	39.07934	489.39938
3	9.68591	-45.41899	355.82349	-4.32869	39.14259	489.75772
4	9.66658	-45.36624	355.58395	-4.27252	39.20619	490.11713
5	9.64718	-45.31302	355.34320	-4.21629	39.27031	490.47809
6	9.62771	-45.25918	355.10071	-4.15998	39.33511	490.84116
7	9.60815	-45.20457	354.85614	-4.10355	39.40078	491.20685
8	9.58848	-45.14904	354.60904	-4.04700	39.46748	491.57571
9	9.56867	-45.09242	354.35901	-3.99029	39.53539	491.94827
10	9.54871	-45.03456	354.10556	-3.93341	39.60468	492.32498
11	9.52859	-44.97533	353.84836	-3.87633	39.67552	492.70645
12	9.50831	-44.91465	353.58728	-3.81907	39.74796	493.09271
13	9.48788	-44.85258	353.32245	-3.76169	39.82194	493.48334
14	9.46732	-44.78918	353.05414	-3.70422	39.89739	493.87805
15	9.44667	-44.72449	352.78259	-3.64671	39.97425	494.27637
16	9.42593	-44.65856	352.50787	-3.58923	40.05245	494.67801
17	9.40514	-44.59144	352.23029	-3.53181	40.13192	495.08249
18	9.38431	-44.52319	351.94998	-3.47450	40.21260	495.48950
19	9.36346	-44.45385	351.66718	-3.41736	40.29443	495.89865
20	9.34263	-44.38348	351.38211	-3.36043	40.37732	496.30951
21	9.32182	-44.31212	351.09488	-3.30377	40.46124	496.72177
22	9.30104	-44.23977	350.80557	-3.24739	40.54615	497.13522
23	9.28031	-44.16645	350.51419	-3.19133	40.63206	497.54977
24	9.25963	-44.09215	350.22073	-3.13561	40.71893	497.96515
25	9.23901	-44.01689	349.92526	-3.08026	40.80677	498.38120
26	9.21846	-43.94065	349.62772	-3.02530	40.89555	498.79782
27	9.19799	-43.86344	349.32816	-2.97076	40.98527	499.21484
28	9.17760	-43.78527	349.02658	-2.91666	41.07591	499.63202
29	9.15730	-43.70614	348.72299	-2.86303	41.16746	500.04929
30	9.13711	-43.62605	348.41745	-2.80989	41.25990	500.46643
31	9.11702	-43.54502	348.10992	-2.75728	41.35322	500.88324
32	9.09705	-43.46306	347.80045	-2.70521	41.44737	501.29959
33	9.07721	-43.38019	347.48907	-2.65370	41.54232	501.71515
34	9.05751	-43.29644	347.17584	-2.60279	41.63803	502.12976
35	9.03796	-43.21183	346.86078	-2.55250	41.73446	502.54318
36	9.01856	-43.12637	346.54391	-2.50284	41.83158	502.95523
37	8.99933	-43.04010	346.22528	-2.45384	41.92934	503.36566
38	8.98027	-42.95303	345.90491	-2.40554	42.02773	503.77432
39	8.96140	-42.86517	345.58282	-2.35794	42.12667	504.18094
40	8.94272	-42.77655	345.25909	-2.31107	42.22616	504.58527
41	8.92424	-42.68720	344.93365	-2.26496	42.32615	504.98721
42	8.90598	-42.59711	344.60651	-2.21962	42.42661	505.38654
43	8.88793	-42.50630	344.27765	-2.17507	42.52748	505.78311
44	8.87012	-42.41478	343.94708	-2.13132	42.62876	506.17670
45	8.85254	-42.32258	343.61478	-2.08840	42.73040	506.56717
46	8.83520	-42.22970	343.28070	-2.04632	42.83235	506.95432
47	8.81812	-42.13615	342.94485	-2.00510	42.93459	507.33804
48	8.80130	-42.04195	342.60721	-1.96475	43.03708	507.71808
49	8.78476	-41.94711	342.26779	-1.92531	43.13979	508.09430
50	8.76849	-41.85165	341.92651	-1.88678	43.24267	508.46652
51	8.75251	-41.75556	341.58337	-1.84918	43.34569	508.83456
52	8.73682	-41.65887	341.23831	-1.81253	43.44881	509.19833
53	8.72143	-41.56157	340.89127	-1.77686	43.55198	509.55762
54	8.70634	-41.46367	340.54221	-1.74218	43.65516	509.91232
55	8.69157	-41.36517	340.19113	-1.70851	43.75832	510.26224
56	8.67711	-41.26610	339.83792	-1.67587	43.86142	510.60718
57	8.66298	-41.16645	339.48257	-1.64427	43.96441	510.94705
58	8.64919	-41.06623	339.12500	-1.61375	44.06724	511.28168
59	8.63573	-40.96545	338.76523	-1.58431	44.16990	511.61090
60	8.62261	-40.86410	338.40308	-1.55597	44.27233	511.93460
61	8.60984	-40.76220	338.03860	-1.52875	44.37449	512.25275
62	8.59742	-40.65973	337.67172	-1.50266	44.47635	512.56512
63	8.58536	-40.55670	337.30234	-1.47770	44.57787	512.87158
64	8.57366	-40.45311	336.93039	-1.45390	44.67902	513.17212
65	8.56233	-40.34895	336.55582	-1.43127	44.77974	513.46661
66	8.55136	-40.24423	336.17856	-1.40983	44.87999	513.75488
67	8.54077	-40.13895	335.79855	-1.38958	44.97976	514.03687
68	8.53057	-40.03310	335.41571	-1.37053	45.07899	514.31250
69	8.52074	-39.92669	335.03003	-1.35271	45.17765	514.58167
70	8.51131	-39.81970	334.64139	-1.33613	45.27570	514.84406
71	8.50226	-39.71214	334.24976	-1.32079	45.37311	515.09991
72	8.49360	-39.60400	333.85501	-1.30672	45.46984	515.34900
73	8.48534	-39.49527	333.45718	-1.29392	45.56586	515.59125
74	8.47747	-39.38595	333.05606	-1.28240	45.66114	515.82654
75	8.47001	-39.27603	332.65164	-1.27218	45.75564	516.05487
76	8.46294	-39.16550	332.24390	-1.26328	45.84933	516.27606
77	8.45628	-39.05437	331.83276	-1.25570	45.94217	516.49005
78	8.45003	-38.94262	331.41812	-1.24945	46.03413	516.69684
79	8.44418	-38.83025	330.99991	-1.24456	46.12518	516.89624
80	8.43874	-38.71724	330.57809	-1.24102	46.21529	517.08820
81	8.43369	-38.60359	330.15253	-1.23885	46.30442	517.27277
82	8.42905	-38.48928	329.72321	-1.23806	46.39256	517.44971
83	8.42480	-38.37430	329.29010	-1.23867	46.47966	517.61896
84	8.42095	-38.25864	328.85309	-1.24067	46.56570	517.78058
85	8.41749	-38.14229	328.41211	-1.24409	46.65065	517.93445
86	8.41442	-38.02525	327.96704	-1.24893	46.73449	518.08032
87	8.41174	-37.90749	327.51791	-1.25520	46.81716	518.21838
88	8.40944	-37.78901	327.06464	-1.26291	46.89867	518.34845
89	8.40753	-37.66980	326.60715	-1.27206	46.97897	518.47040
90	8.40598	-37.54984	326.14542	-1.28265	47.05805	518.58429
91	8.40479	-37.42913	325.67938	-1.29469	47.13589	518.69012
92	8.40396	-37.30766	325.20905	-1.30817	47.21246	518.78784
93	8.40347	-37.18541	324.73425	-1.32309	47.28774	518.87726
94	8.40333	-37.06237	324.25507	-1.33946	47.36171	518.95856
95	8.40352	-36.93854	323.77139	-1.35728	47.43435	519.03149
96	8.40404	-36.81390	323.28320	-1.37655	47.50563	519.09613
97	8.40488	-36.68844	322.79047	-1.39726	47.57553	519.15247
98	8.40603	-36.56215	322.29306	-1.41942	47.64404	519.20038
99	8.40748	-36.43502	321.79108	-1.44301	47.71114	519.23999
100	8.40923	-36.30705	321.28439	-1.46804	47.77680	519.27112
101	8.41127	-36.17822	320.77307	-1.49450	47.84102	519.29382
102	8.41359	-36.04852	320.25696	-1.52237	47.90377	519.30804
103	8.41618	-35.91795	319.73615	-1.55167	47.96504	519.31384
104	8.41903	-35.78650	319.21048	-1.58237	48.02480	519.31122
105	8.42214	-35.65414	318.68002	-1.61448	48.08305	519.29999
106	8.42550	-35.52089	318.14478	-1.64799	48.13976	519.28021
107	8.42909	-35.38672	317.60461	-1.68289	48.19492	519.25201
108	8.43292	-35.25164	317.05957	-1.71916	48.24852	519.21527
109	8.43697	-35.11564	316.50964	-1.75679	48.30053	519.17004
110	8.44124	-34.97872	315.95480	-1.79576	48.35096	519.11633
111	8.44571	-34.84087	315.39508	-1.83606	48.39980	519.05414
112	8.45038	-34.70209	314.83041	-1.87767	48.44701	518.98364
113	8.45524	-34.56237	314.26083	-1.92057	48.49260	518.90460
114	8.46028	-34.42171	313.68628	-1.96476	48.53655	518.81720
115	8.46550	-34.28012	313.10684	-2.01021	48.57885	518.72150
116	8.47087	-34.13757	312.52240	-2.05691	48.61949	518.61737
117	8.47641	-33.99408	311.93301	-2.10483	48.65847	518.50500
118	8.48208	-33.84966	311.33881	-2.15394	48.69577	518.38446
119	8.48790	-33.70430	310.73975	-2.20423	48.73141	518.25586
120	8.49384	-33.55803	310.13586	-2.25565	48.76538	518.11914
121	8.49989	-33.41083	309.52725	-2.30820	48.79768	517.97467
122	8.50606	-33.26272	308.91385	-2.36184	48.82831	517.82233
123	8.51232	-33.11370	308.29578	-2.41654	48.85726	517.66229
124	8.51867	-32.96378	307.67310	-2.47228	48.88453	517.49463
125	8.52510	-32.81296	307.04578	-2.52904	48.91013	517.31940
126	8.53160	-32.66126	306.41394	-2.58678	48.93404	517.13672
127	8.53816	-32.50868	305.77759	-2.64547	48.95629	516.94672
128	8.54477	-32.35525	305.13687	-2.70509	48.97686	516.74957
129	8.55144	-32.20097	304.49185	-2.76560	48.99577	516.54547
130	8.55814	-32.04585	303.84256	-2.82698	49.01302	516.33441
131	8.56486	-31.88992	303.18915	-2.88919	49.02861	516.11658
132	8.57162	-31.73318	302.53171	-2.95221	49.04254	515.89215
133	8.57838	-31.57564	301.87021	-3.01600	49.05483	515.66125
134	8.58515	-31.41733	301.20490	-3.08053	49.06547	515.42389
135	8.59192	-31.25825	300.53574	-3.14578	49.07447	515.18036
136	8.59868	-31.09843	299.86285	-3.21171	49.08184	514.93073
137	8.60542	-30.93790	299.18643	-3.27827	49.08760	514.67529
138	8.61214	-30.77668	298.50656	-3.34544	49.09174	514.41400
139	8.61882	-30.61480	297.82336	-3.41318	49.09429	514.14728
140	8.62547	-30.45228	297.13696	-3.48145	49.09525	513.87512
141	8.63208	-30.28915	296.44754	-3.55022	49.09464	513.59778
142	8.63863	-30.12544	295.75516	-3.61945	49.09246	513.31543
143	8.64512	-29.96117	295.05997	-3.68910	49.08873	513.02808
144	8.65155	-29.79637	294.36206	-3.75914	49.08347	512.73608
145	8.65791	-29.63107	293.66168	-3.82953	49.07667	512.43964
146	8.66419	-29.46531	292.95889	-3.90023	49.06837	512.13879
147	8.67039	-29.29913	292.25394	-3.97120	49.05860	511.83392
148	8.67651	-29.13256	291.54688	-4.04241	49.04735	511.52509
149	8.68254	-28.96564	290.83801	-4.11381	49.03467	511.21252
150	8.68848	-28.79842	290.12738	-4.18537	49.02056	510.89648
151	8.69432	-28.63092	289.41522	-4.25705	49.00505	510.57709
152	8.70006	-28.46320	288.70169	-4.32881	48.98816	510.25464
153	8.70569	-28.29527	287.98694	-4.40061	48.96991	509.92926
154	8.71122	-28.12719	287.27115	-4.47242	48.95033	509.60114
155	8.71663	-27.95900	286.55450	-4.54420	48.92942	509.27054
156	8.72193	-27.79072	285.83716	-4.61591	48.90724	508.93765
157	8.72711	-27.62241	285.11923	-4.68753	48.88378	508.60260
158	8.73218	-27.45411	284.40097	-4.75902	48.85909	508.26562
159	8.73712	-27.28585	283.68256	-4.83035	48.83318	507.92694
160	8.74194	-27.11767	282.96408	-4.90148	48.80608	507.58673
161	8.74663	-26.94962	282.24579	-4.97239	48.77781	507.24518
162	8.75120	-26.78174	281.52783	-5.04304	48.74841	506.90250
163	8.75563	-26.61406	280.81033	-5.11339	48.71789	506.55884
164	8.75993	-26.44663	280.09357	-5.18342	48.68629	506.21448
165	8.76409	-26.27949	279.37766	-5.25311	48.65362	505.86954
166	8.76810	-26.11267	278.66272	-5.32242	48.61992	505.52423
167	8.77195	-25.94623	277.94901	-5.39133	48.58523	505.17874
168	8.77566	-25.78019	277.23663	-5.45981	48.54956	504.83325
169	8.77919	-25.61460	276.52582	-5.52785	48.51294	504.48795
170	8.78256	-25.44950	275.81671	-5.59541	48.47542	504.14301
171	8.78575	-25.28493	275.10947	-5.66247	48.43701	503.79865
172	8.78877	-25.12094	274.40433	-5.72900	48.39774	503.45502
173	8.79159	-24.95755	273.70139	-5.79498	48.35764	503.11237
174	8.79423	-24.79481	273.00079	-5.86039	48.31675	502.77078
175	8.79668	-24.63275	272.30270	-5.92523	48.27510	502.43042
176	8.79893	-24.47141	271.60733	-5.98947	48.23272	502.09149
177	8.80099	-24.31081	270.91473	-6.05310	48.18965	501.75412
178	8.80285	-24.15100	270.22510	-6.11610	48.14592	501.41846
179	8.80451	-23.99201	269.53857	-6.17847	48.10156	501.08472
180	8.80596	-23.83387	268.85526	-6.24019	48.05662	500.75299
181	8.80720	-23.67662	268.17529	-6.30124	48.01111	500.42346
182	8.80824	-23.52029	267.49893	-6.36161	47.96508	500.09622
183	8.80906	-23.36491	266.82617	-6.42129	47.91856	499.77151
184	8.80968	-23.21051	266.15726	-6.48029	47.87157	499.44940
185	8.81008	-23.05710	265.49219	-6.53859	47.82416	499.13000
186	8.81027	-22.90473	264.83112	-6.59619	47.77634	498.81339
187	8.81026	-22.75341	264.17422	-6.65309	47.72816	498.49973
188	8.81003	-22.60316	263.52151	-6.70930	47.67963	498.18912
189	8.80960	-22.45401	262.87320	-6.76480	47.63080	497.88168
190	8.80896	-22.30599	262.22931	-6.81959	47.58170	497.57755
191	8.80811	-22.15912	261.59006	-6.87368	47.53234	497.27679
192	8.80705	-22.01342	260.95547	-6.92705	47.48277	496.97955
193	8.80579	-21.86892	260.32565	-6.97972	47.43302	496.68591
194	8.80432	-21.72562	259.70078	-7.03168	47.38310	496.39600
195	8.80266	-21.58356	259.08087	-7.08293	47.33305	496.10977
196	8.80080	-21.44275	258.46603	-7.13349	47.28291	495.82739
197	8.79876	-21.30321	257.85635	-7.18334	47.23269	495.54895
198	8.79652	-21.16496	257.25192	-7.23249	47.18242	495.27457
199	8.79410	-21.02801	256.65283	-7.28095	47.13213	495.00421
200	8.79150	-20.89240	256.05920	-7.32872	47.08186	494.73801
201	8.78872	-20.75812	255.47110	-7.37580	47.03162	494.47614
202	8.78577	-20.62521	254.88860	-7.42218	46.98144	494.21848
203	8.78265	-20.49366	254.31175	-7.46789	46.93136	493.96524
204	8.77936	-20.36350	253.74062	-7.51292	46.88139	493.71634
205	8.77592	-20.23473	253.17523	-7.55727	46.83155	493.47189
206	8.77233	-20.10736	252.61571	-7.60096	46.78188	493.23184
207	8.76859	-19.98141	252.06201	-7.64398	46.73239	492.99631
208	8.76471	-19.85687	251.51425	-7.68634	46.68311	492.76532
209	8.76070	-19.73377	250.97246	-7.72805	46.63406	492.53885
210	8.75655	-19.61212	250.43672	-7.76911	46.58527	492.31702
211	8.75228	-19.49192	249.90707	-7.80953	46.53676	492.09976
212	8.74789	-19.37318	249.38353	-7.84930	46.48856	491.88715
213	8.74339	-19.25591	248.86617	-7.88845	46.44067	491.67920
214	8.73878	-19.14011	248.35500	-7.92696	46.39312	491.47592
