	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d
	R_KNEE_MOMENT	R_KNEE_MOMENT	R_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	NECK_MOMENT	NECK_MOMENT	NECK_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																										
2																																										
3	-9.83974	6.32567	-2.37291	-3.26935	3.78337	2.98093	-11.78518	-18.16138	1.63952	-8.95288	0.54830	3.84431	-20.19380	35.01635	-5.28731	1.98575	3.79051	2.65510	-18.23439	-5.11286	-1.50858	5.81854	5.21427	5.90334	15.18760	-10.07820	-2.92728	9.53006	-12.85262	-2.52884	2.53833	-9.19624	-0.88840	6.45370	0.38164	-1.45271	0.65157	-1.14114	-0.27618	0.85099	-0.32227	0.21209
4	-9.02892	6.41365	-2.70703	-2.70094	5.07199	3.20184	-3.52801	-15.74311	-0.20615	-10.93598	6.09104	3.95156	-20.32049	34.89227	-5.39087	1.99231	3.54119	2.78394	-9.31132	8.06690	0.40448	9.19649	-7.32744	13.54780	12.63829	-6.11327	0.60420	7.94655	-13.19343	-1.03458	2.31017	-9.68948	-0.35961	5.35904	-0.51700	0.05524	0.48832	-1.18717	-0.02961	0.58966	-0.56441	0.55412
5	-8.39872	6.25310	-2.85742	-0.29610	6.00330	3.21826	-2.48307	-10.69567	-0.66317	-8.79646	16.90309	4.56519	-20.46816	34.80040	-5.49976	2.17629	3.20740	2.84724	-8.42813	27.87757	2.37685	10.94782	-10.82078	10.62982	12.57991	-3.27917	2.90560	7.46158	-11.97944	0.54224	1.33067	-8.43019	1.11130	5.09000	-1.44129	1.24721	0.29599	-1.08903	0.23598	0.38391	-0.64403	0.57362
6	-8.46298	6.49644	-2.83737	1.16410	5.01667	3.00303	-7.42302	-6.30309	-0.00819	-3.21707	17.42021	4.74537	-20.59636	34.73372	-5.52119	2.30058	2.95850	2.76629	-9.56934	30.59174	0.48417	9.26618	-6.82273	-0.96171	14.80220	-4.09547	0.47929	11.01263	-10.32803	2.05462	0.94642	-6.10755	1.25720	6.03930	-1.85206	1.39118	0.35083	-0.83303	0.06553	0.43625	-0.51133	0.25295
7	-8.94291	6.47521	-2.72816	0.04823	3.45574	2.86125	-9.37199	-7.67793	0.55474	-2.66598	8.35489	4.65031	-20.69621	34.72753	-5.46623	2.36439	2.84782	2.60918	-9.96155	15.23230	-2.00535	8.82067	-7.07388	-12.13262	14.84136	-5.51095	-3.78703	15.16651	-8.74318	2.39023	1.50854	-3.95641	-0.40077	7.65508	-1.57168	0.46115	0.52797	-0.50928	-0.36640	0.84580	-0.21894	-0.30210
8	-9.21944	6.08703	-2.69143	-2.72346	3.55444	2.91508	-4.17880	-12.93860	0.25165	-10.41454	5.14767	4.67675	-20.74966	34.73975	-5.41383	2.42163	2.85618	2.49206	-10.71166	5.93221	-0.79461	9.43262	-12.99258	-17.13840	11.77769	-4.21660	-4.10503	13.96258	-6.67385	0.91070	1.68217	-2.86270	-1.19289	8.58622	-0.99168	-0.51203	0.48576	-0.28734	-0.42902	1.38408	-0.00532	-0.69486
9	-8.75737	6.05222	-2.88118	-4.79664	4.91244	2.95684	3.81106	-13.60842	-1.26388	-18.06590	13.18962	4.51987	-20.68517	34.53906	-5.38531	2.55488	2.90710	2.48076	-8.77656	18.90252	1.35354	0.24910	-11.98572	-14.35148	9.78695	-1.87622	-0.57441	9.29671	-4.76948	0.63828	0.94216	-3.17542	0.17550	7.37809	-0.89621	0.34534	0.25518	-0.33118	-0.02390	1.45595	-0.13809	-0.31730
10	-8.06080	5.83476	-3.04394	-4.79877	5.40786	2.90044	6.93571	-11.40174	-2.52684	-17.20415	19.26844	3.83952	-20.47326	34.12269	-5.34271	2.76441	2.93347	2.57675	-3.10953	31.71515	0.39937	-17.67216	2.41865	-4.04499	10.68687	-1.58594	1.56768	8.45998	-5.22931	4.09616	0.52178	-4.35576	1.37751	4.04322	-1.30386	2.78196	0.16864	-0.55778	0.26806	0.70206	-0.47138	0.73553
11	-8.78924	4.31910	-2.75593	-4.14372	3.89432	2.75719	1.50257	-16.63241	-1.48846	-11.77682	10.90234	2.51466	-20.22483	33.91433	-5.30596	2.80203	2.90064	2.65601	-2.22705	13.03239	-2.62616	-26.55784	15.61330	8.22904	11.36824	-2.55348	0.48322	13.36689	-8.60952	7.85875	1.10417	-5.08744	0.47665	1.80112	-1.57890	3.86577	0.28152	-0.65058	0.10311	-0.17429	-0.66720	1.42662
12	-11.26813	2.66467	-2.21031	-3.54465	1.66560	2.57470	-7.94374	-25.63749	0.70260	-7.35433	-3.71210	1.10624	-20.05008	34.11151	-5.32858	2.62308	2.78216	2.66322	-7.44636	-19.29035	-5.05610	-18.77987	12.55654	14.26831	10.04420	-2.62840	-1.14759	18.06743	-11.39995	7.73956	1.74845	-4.66426	-1.15494	3.04126	-1.60940	2.50775	0.35254	-0.47967	-0.20202	-0.23216	-0.63847	1.06652
13	-13.49914	3.18454	-2.02659	-2.08607	0.74050	2.49791	-14.41475	-24.19904	1.22176	-3.37777	-7.44544	1.00585	-19.91889	34.27768	-5.37335	2.57198	2.53021	2.66394	-10.61805	-21.08850	-5.91308	-1.94500	2.21195	11.27971	8.71357	-2.34402	-2.08440	16.10436	-9.97516	4.19727	1.73503	-3.63037	-1.69695	5.02731	-1.27700	0.46888	0.32450	-0.24685	-0.34160	0.26217	-0.37197	0.14640
14	-14.01069	5.27799	-2.31513	-0.64287	1.97195	2.79043	-16.10374	-13.53547	-0.08100	-1.07442	2.68643	3.41344	-19.82677	34.00001	-5.38808	2.75924	2.25332	2.70059	-11.55760	8.13576	-4.10118	17.89980	-1.39012	3.04140	8.54237	-2.81063	-3.12342	8.47130	-5.95115	0.50412	1.38331	-2.63872	-1.23470	5.55110	-0.97895	0.13402	0.33335	-0.12300	-0.36881	0.65466	-0.14188	-0.28840
15	-13.16764	6.04931	-2.66875	-1.46284	4.17071	3.35249	-12.82816	-8.04271	-1.44099	-4.62742	14.41194	7.02916	-19.84280	33.48402	-5.41010	2.85308	2.12163	2.70594	-13.20604	30.10547	0.44687	31.31497	-0.77070	-5.04791	8.26820	-3.15711	-3.27633	1.21971	-3.52033	-1.74210	0.84676	-1.91077	-0.10776	5.24323	-1.07293	1.41096	0.34053	-0.09619	-0.27386	0.69929	-0.16769	0.03661
16	-11.90878	4.50550	-2.73721	-3.80121	5.08795	3.57065	-5.69832	-12.05384	-1.70128	-10.99723	16.65649	8.20756	-19.89437	33.15005	-5.44490	2.73377	2.06463	2.61827	-10.82220	26.25578	4.08161	29.45232	-3.99375	-9.19135	7.24844	-2.43311	-1.27175	-0.89754	-3.82563	-3.15961	0.16234	-1.79107	1.30399	5.13979	-1.00427	1.78131	0.24545	-0.15813	-0.03482	0.56570	-0.24672	0.35841
17	-11.42861	2.25779	-2.42229	-5.27129	3.83948	3.10863	-2.23000	-17.48931	-0.54535	-12.88003	8.73684	5.19478	-19.84234	33.12398	-5.43127	2.56955	1.99002	2.48669	-5.23140	9.99100	2.53640	20.24510	-10.41427	-6.23238	5.64618	-1.35566	0.68538	2.27038	-4.60976	-2.93048	-0.02392	-2.18837	1.28917	5.20398	-0.61295	0.69872	0.12534	-0.27388	0.06112	0.53659	-0.20018	0.18854
18	-12.51388	1.31490	-1.96931	-5.92866	1.91341	2.41428	-7.53656	-17.23757	1.00288	-11.07986	-0.41536	1.05739	-19.71766	33.26008	-5.36922	2.43685	1.97778	2.37421	-6.79074	2.02011	-2.64774	11.26318	-14.78201	2.71498	3.32070	-0.97956	-0.45670	6.93496	-4.47359	-0.23218	0.54882	-2.07901	-0.94135	4.44604	-0.29968	-0.30671	0.05144	-0.27827	-0.14891	0.54006	-0.07949	-0.16774
19	-14.00044	2.06740	-1.86037	-6.60736	2.02429	2.28685	-13.68934	-13.29801	1.07071	-11.46982	0.75728	0.29936	-19.64973	33.34460	-5.34447	2.39941	2.05761	2.34284	-15.72635	10.61371	-4.44265	-2.06370	-14.09329	8.32420	1.32758	-1.25291	-3.75090	9.72257	-4.51541	2.40147	1.07055	-0.93771	-3.05946	3.52328	-0.19297	-0.56467	-0.02580	-0.06960	-0.30846	0.54825	-0.01448	-0.31665
20	-13.92560	3.20326	-2.22741	-6.84258	4.16067	2.74520	-10.65550	-12.25166	-0.37147	-13.90403	9.91125	2.34378	-19.64710	33.24158	-5.39651	2.52355	2.02365	2.39008	-18.52795	21.37491	-1.35980	-11.24153	-5.76996	3.83735	1.64213	-1.50168	-5.69739	9.81529	-5.09893	2.35557	1.10834	0.11870	-2.96769	3.61563	-0.08827	-0.49781	-0.09353	0.20535	-0.12355	0.63724	-0.01698	-0.23469
21	-12.57492	3.02230	-2.54483	-5.85587	5.27669	3.00803	-2.77946	-16.53193	-1.08955	-11.97431	13.15132	2.92618	-19.56758	32.85725	-5.44944	2.81089	1.65466	2.41615	-8.28736	15.90450	0.11855	-2.46428	6.39390	-2.67389	3.86077	-1.63953	-4.44569	8.24703	-4.32816	2.75134	0.93990	-0.36265	-1.33343	3.33260	-0.34413	0.41508	-0.13711	0.24582	0.26153	0.54194	-0.06520	0.02847
22	-11.81184	1.57553	-2.43884	-4.13371	3.95218	2.77150	-1.00597	-21.54034	-0.46786	-4.54449	6.58343	1.55349	-19.35795	32.27117	-5.40286	3.16213	1.11973	2.35353	5.32089	0.59424	-2.93036	8.64680	10.09777	-0.58170	5.08038	-2.12275	-0.96173	6.42653	-1.44347	7.54337	0.33443	-2.14124	0.67155	0.97124	-1.44134	2.68534	-0.25819	-0.07749	0.60746	0.01780	-0.17488	0.42669
23	-12.40097	0.95498	-2.22329	-3.52901	1.93506	2.50341	-6.90846	-21.24109	-0.29780	-0.48003	-0.18364	1.80119	-19.22681	31.91184	-5.28109	3.27530	0.88412	2.21708	6.96364	-3.72601	-5.05327	1.12501	0.28472	5.16452	4.03040	-2.51665	2.26954	4.74643	1.08406	12.26770	-0.71956	-3.34186	2.28700	-1.46436	-2.57324	4.52085	-0.37285	-0.41083	0.65463	-0.51947	-0.27117	0.66664
24	-13.36108	1.97144	-2.19399	-5.42416	1.31566	2.52790	-13.98759	-16.38119	-0.57229	-7.00573	0.57320	4.44639	-19.31765	32.01343	-5.22130	2.95396	1.08629	2.05558	-7.98988	7.13466	-1.48741	-10.93340	-12.50659	2.60110	2.84642	-2.13815	2.96835	2.67266	1.04687	9.39759	-1.10906	-2.88260	2.55203	-0.90569	-2.42608	3.92318	-0.21578	-0.38082	0.28022	-0.50513	-0.21895	0.49267
25	-13.30574	3.08099	-2.25182	-8.02471	2.29840	2.65831	-15.99858	-12.65248	0.30140	-16.50961	5.70509	5.75888	-19.45127	32.24363	-5.29533	2.54184	1.37934	1.97749	-22.51573	18.58332	3.54166	-4.47807	-13.19190	-7.70785	4.70206	-2.32487	0.56281	0.24376	-0.61736	0.29271	-0.06630	-2.45562	1.51447	1.81491	-1.10035	1.61084	0.21660	-0.30571	-0.15446	-0.06849	-0.05193	0.07964
26	-12.22847	3.22086	-2.33842	-9.20386	3.36941	2.59896	-10.91744	-13.63781	1.55027	-19.51010	6.76826	3.54157	-19.42437	32.31963	-5.42649	2.36429	1.48064	2.00363	-19.56976	16.01064	3.57211	12.41034	0.88102	-13.24259	8.04550	-3.74494	-2.36500	-0.98680	-2.06549	-6.83686	1.05578	-3.12974	1.00487	3.64321	0.16368	-0.45035	0.47137	-0.46660	-0.10113	0.30491	0.05620	-0.24510
27	-12.10930	2.85923	-2.46173	-8.79105	3.46201	2.41503	-5.39944	-17.65502	1.21774	-16.41379	3.01397	0.81372	-19.25489	32.30575	-5.52873	2.33031	1.40725	2.02392	-7.31443	3.18554	-0.23624	19.60629	12.37218	-5.44082	7.26634	-4.58669	-2.54284	1.11552	-2.79800	-6.85161	0.94525	-3.64739	1.42606	3.73085	0.68539	-1.48546	0.30609	-0.68190	0.31070	0.52858	0.06783	-0.43508
28	-13.85038	2.52557	-2.51760	-7.38262	2.92881	2.36519	-7.16449	-19.54534	-0.44720	-11.81083	1.98542	1.20014	-19.00948	32.26822	-5.58273	2.36955	1.19915	1.98269	-3.31243	-0.88220	-2.24300	14.01819	4.44498	9.82988	2.45733	-3.95283	-0.37491	5.94899	-2.77423	-0.77888	0.58517	-3.52578	0.94003	3.21932	0.52255	-1.29713	0.07758	-0.81654	0.43783	0.78484	0.07688	-0.48468
29	-15.55938	2.35791	-2.43868	-6.72565	2.39965	2.41846	-12.90556	-16.80042	-1.41984	-10.93106	5.95197	3.62080	-18.76361	32.27205	-5.59974	2.45859	0.92781	1.89825	-10.74947	10.04577	-0.54605	6.57072	-10.92850	17.26204	-0.40308	-2.88238	0.25174	9.05059	-2.06416	5.57688	1.28517	-3.17342	-1.30026	2.90090	-0.02059	0.15335	0.10563	-0.82854	0.07994	0.97856	0.12723	-0.23503
30	-15.40981	2.25145	-2.32933	-7.08436	2.41875	2.47195	-14.62398	-12.78773	-0.73059	-12.30546	9.52707	4.80766	-18.66680	32.38623	-5.62148	2.54915	0.78567	1.85288	-16.59738	21.34720	1.72300	10.78822	-9.96362	9.68391	1.35305	-2.59040	-2.52608	6.90206	-1.10725	6.32817	2.79740	-2.93765	-3.98420	2.56909	-0.44657	1.77903	0.32802	-0.78388	-0.39313	0.77850	0.17821	0.19397
31	-13.46206	2.12273	-2.41224	-6.43710	2.72526	2.49484	-10.87263	-11.95474	0.15014	-8.97828	8.29594	4.15166	-18.73541	32.51762	-5.64535	2.68061	0.81800	1.87580	-9.36162	19.62227	1.19543	23.81079	5.27762	-4.24496	3.91122	-2.88378	-6.12243	1.89267	-0.21973	2.22641	3.72934	-2.52460	-5.19702	1.99422	-0.46966	2.18467	0.49374	-0.67908	-0.61064	0.25033	0.16988	0.40828
32	-11.49249	2.17750	-2.69403	-4.20455	2.60821	2.46874	-6.89385	-14.82804	-0.25068	0.31416	3.64234	3.32573	-18.82474	32.59825	-5.63502	2.83672	0.91757	1.90867	7.21133	8.37953	-1.54918	25.00296	9.81386	-11.79989	3.65335	-2.72259	-7.14077	-0.12184	0.22133	-0.35787	3.45940	-1.70512	-4.64883	1.93364	-0.53746	1.65404	0.50053	-0.45441	-0.59839	0.00795	0.04730	0.36736
33	-11.08605	2.59380	-2.91461	-2.58215	1.90498	2.34420	-6.20379	-17.68339	-1.30960	8.28080	-1.62393	2.70127	-18.83025	32.71330	-5.60841	2.84707	1.03958	1.90658	20.28685	-1.37521	-4.72119	4.79980	-6.55436	-8.90201	1.66117	-1.72690	-4.48457	2.34536	-0.13013	1.34499	2.73634	-1.12014	-3.55662	2.63362	-0.95851	1.17075	0.43216	-0.20500	-0.55344	0.34255	-0.14281	0.26296
34	-11.96968	2.68940	-2.90168	-3.74304	0.86525	2.05550	-7.11516	-18.84199	-1.70962	5.34767	-5.93496	1.42241	-18.75311	32.84740	-5.63453	2.65215	1.12970	1.84137	17.78936	-6.80795	-7.06795	-18.34818	-22.82389	-1.01017	0.29631	-0.54341	-0.70177	5.17150	-1.28457	3.38201	2.30869	-1.07427	-2.92864	2.93810	-1.20592	0.77203	0.34813	-0.04954	-0.52620	0.75011	-0.24404	0.13429
35	-13.07301	2.09498	-2.79015	-7.01784	0.12737	1.72264	-7.02711	-20.16270	-1.52303	-9.82731	-5.41474	0.23233	-18.65777	32.91658	-5.74330	2.42825	1.09717	1.70760	-1.41229	-7.59745	-6.16159	-21.01707	-16.51629	4.61256	0.33160	-0.18948	0.08331	4.92661	-2.52604	2.68062	2.34168	-1.08087	-2.89572	2.09130	-1.06461	0.43221	0.29968	-0.01177	-0.48399	0.71304	-0.21339	0.02764
36	-13.94769	1.77857	-2.82010	-9.06350	0.78087	1.69609	-6.54970	-20.79805	-1.88289	-24.33276	3.10336	0.92379	-18.61808	32.95967	-5.88026	2.35578	0.99078	1.60813	-21.68819	1.47690	-1.98390	-5.52348	3.91088	5.99204	1.53309	-0.81060	-2.17468	2.36790	-2.65422	1.10156	2.75675	-0.98852	-2.98204	0.77095	-0.97027	0.46055	0.37393	-0.09010	-0.40826	0.38228	-0.14131	0.01724
37	-14.51944	2.49156	-2.97602	-7.60061	2.57058	2.02320	-8.19760	-18.52886	-2.65550	-23.80918	13.15436	3.10388	-18.67043	33.06361	-5.96931	2.42072	0.90554	1.62091	-25.64192	15.75764	1.32202	7.04855	12.12636	5.38214	2.80505	-1.34009	-3.48433	0.31770	-1.61592	0.97177	3.11066	-1.00732	-2.70413	0.15753	-1.12328	0.87239	0.51206	-0.22353	-0.30813	0.17582	-0.09676	0.09746
38	-14.44218	3.30195	-2.96978	-4.60275	3.65585	2.33598	-11.81854	-16.12371	-1.91349	-11.58131	14.71072	4.62830	-18.80873	33.23260	-5.98733	2.48299	0.85895	1.67122	-14.73214	20.32490	2.30484	7.68546	0.52672	4.76764	2.53642	-1.01583	-2.27929	0.37449	-0.76490	2.04572	2.87782	-1.02013	-2.21637	0.53046	-1.28220	1.40547	0.51561	-0.29343	-0.23862	0.16320	-0.08871	0.24128
39	-13.22519	3.34922	-2.74477	-3.64576	3.04191	2.39407	-13.17688	-15.72101	0.57040	-3.61424	7.39583	4.63155	-19.01421	33.41199	-5.94315	2.48340	0.90809	1.69031	-3.51601	14.18536	2.79704	3.96980	-12.73069	5.51259	0.57633	-0.27123	-0.77536	2.18848	-1.12470	3.50914	2.02803	-0.76592	-1.88037	0.87482	-1.18375	1.73930	0.27717	-0.24246	-0.20717	0.11385	-0.09273	0.39527
40	-12.08952	2.56848	-2.47747	-5.00502	1.36094	2.21110	-11.68550	-16.82617	2.69845	-6.81242	-0.78499	3.63825	-19.30351	33.54021	-5.91333	2.53624	1.07135	1.69909	-2.14739	7.06555	3.02254	0.86141	-9.91000	7.74281	-0.33774	-0.01149	-0.40575	4.42894	-2.21159	5.19473	0.97955	-0.50920	-1.47076	0.18782	-0.80070	1.57955	-0.08210	-0.11699	-0.14207	-0.07773	-0.08067	0.45347
41	-12.62794	1.98105	-2.34480	-5.75107	0.28821	1.94881	-11.00659	-17.75972	2.95856	-12.69868	-1.79146	2.32038	-19.58223	33.70573	-5.95920	2.70143	1.23417	1.73887	-7.14821	5.73963	1.94530	-3.22508	3.59669	7.59558	1.91279	-0.54138	-0.53851	5.98398	-3.02320	6.22496	0.10321	-0.56246	-0.61535	-0.73898	-0.42086	1.02622	-0.30920	0.00613	-0.02160	-0.20122	-0.06221	0.35780
42	-13.94952	3.32208	-2.55912	-4.95904	1.31340	1.86460	-11.59156	-14.87286	1.25390	-13.84404	5.27751	1.45192	-19.64606	34.05967	-6.03041	2.67888	1.37755	1.78773	-11.22591	12.23193	-0.77805	-3.84096	10.12531	1.82753	5.07759	-1.23495	-0.93097	6.69485	-3.40305	4.61160	-0.39554	-0.52150	0.24313	-0.07531	-0.09259	0.37339	-0.27433	0.07138	0.06949	-0.00594	-0.02477	0.13104
43	-14.58568	5.40135	-2.99614	-4.72787	3.56755	2.05167	-11.21106	-11.27408	-1.16654	-12.85786	12.02892	1.68619	-19.52196	34.45715	-6.09629	2.20613	1.61636	1.78115	-12.78992	17.00854	-3.15470	5.59792	5.40005	-4.96448	6.15232	-1.30679	-2.01398	6.47665	-3.61117	0.16422	-0.33816	0.08166	0.24565	2.05003	0.38775	-0.18680	-0.09536	0.11248	0.01961	0.37585	0.05883	-0.10759
