	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.00000	0.00000	0.50679	0.00000	0.00000	-0.05068
2	0.00000	0.00000	0.50341	0.00000	0.00000	-0.04661
3	0.00000	0.00000	0.49997	0.00000	0.00000	-0.04254
4	0.00000	0.00000	0.49646	0.00000	0.00000	-0.03849
5	0.00000	0.00000	0.49285	0.00000	0.00000	-0.03445
6	0.00000	0.00000	0.48910	0.00000	0.00000	-0.03043
7	0.00000	0.00000	0.48521	0.00000	0.00000	-0.02643
8	0.00000	0.00000	0.48113	0.00000	0.00000	-0.02245
9	0.00000	0.00000	0.47685	0.00000	0.00000	-0.01851
10	0.00000	0.00000	0.47233	0.00000	0.00000	-0.01460
11	0.00000	0.00000	0.46756	0.00000	0.00000	-0.01073
12	0.00000	0.00000	0.46253	0.00000	0.00000	-0.00690
13	0.00000	0.00000	0.45725	0.00000	0.00000	-0.00311
14	0.00000	0.00000	0.45173	0.00000	0.00000	0.00063
15	0.00000	0.00000	0.44597	0.00000	0.00000	0.00432
16	0.00000	0.00000	0.43997	0.00000	0.00000	0.00797
17	0.00000	0.00000	0.43375	0.00000	0.00000	0.01156
18	0.00000	0.00000	0.42730	0.00000	0.00000	0.01510
19	0.00000	0.00000	0.42064	0.00000	0.00000	0.01859
20	0.00000	0.00000	0.41377	0.00000	0.00000	0.02201
21	0.00000	0.00000	0.40669	0.00000	0.00000	0.02538
22	0.00000	0.00000	0.39940	0.00000	0.00000	0.02869
23	0.00000	0.00000	0.39190	0.00000	0.00000	0.03194
24	0.00000	0.00000	0.38420	0.00000	0.00000	0.03512
25	0.00000	0.00000	0.37630	0.00000	0.00000	0.03825
26	0.00000	0.00000	0.36819	0.00000	0.00000	0.04131
27	0.00000	0.00000	0.35987	0.00000	0.00000	0.04431
28	0.00000	0.00000	0.35135	0.00000	0.00000	0.04725
29	0.00000	0.00000	0.34264	0.00000	0.00000	0.05012
30	0.00000	0.00000	0.33372	0.00000	0.00000	0.05293
31	0.00000	0.00000	0.32461	0.00000	0.00000	0.05567
