	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	16.04592	-51.83407	247.04141	-9.61874	26.24227	567.31256
2	15.99153	-51.86724	246.82521	-9.66374	26.19505	567.49005
3	15.93700	-51.90039	246.60822	-9.70882	26.14781	567.66864
4	15.88217	-51.93353	246.38959	-9.75408	26.10052	567.84943
5	15.82688	-51.96664	246.16853	-9.79960	26.05318	568.03351
6	15.77099	-51.99973	245.94421	-9.84548	26.00574	568.22211
7	15.71435	-52.03276	245.71587	-9.89180	25.95819	568.41620
8	15.65681	-52.06574	245.48260	-9.93864	25.91052	568.61688
9	15.59821	-52.09866	245.24368	-9.98610	25.86269	568.82526
10	15.53840	-52.13151	244.99826	-10.03426	25.81468	569.04260
11	15.47728	-52.16427	244.74571	-10.08319	25.76649	569.26965
12	15.41486	-52.19691	244.48608	-10.13288	25.71817	569.50647
13	15.35118	-52.22938	244.21959	-10.18328	25.66976	569.75293
14	15.28632	-52.26163	243.94647	-10.23434	25.62134	570.00903
15	15.22032	-52.29362	243.66696	-10.28604	25.57294	570.27435
16	15.15324	-52.32530	243.38127	-10.33833	25.52465	570.54901
17	15.08513	-52.35663	243.08966	-10.39117	25.47651	570.83282
18	15.01605	-52.38756	242.79233	-10.44452	25.42857	571.12555
19	14.94605	-52.41804	242.48950	-10.49834	25.38091	571.42712
20	14.87518	-52.44803	242.18137	-10.55260	25.33357	571.73743
21	14.80345	-52.47751	241.86798	-10.60730	25.28660	572.05658
22	14.73087	-52.50643	241.54927	-10.66243	25.24003	572.38477
23	14.65743	-52.53476	241.22525	-10.71801	25.19392	572.72211
24	14.58315	-52.56248	240.89592	-10.77403	25.14828	573.06879
25	14.50802	-52.58955	240.56122	-10.83051	25.10319	573.42493
26	14.43206	-52.61595	240.22113	-10.88745	25.05865	573.79083
27	14.35526	-52.64164	239.87566	-10.94485	25.01473	574.16650
28	14.27763	-52.66659	239.52478	-11.00272	24.97145	574.55219
29	14.19918	-52.69077	239.16849	-11.06106	24.92886	574.94800
30	14.11993	-52.71415	238.80687	-11.11987	24.88700	575.35394
31	14.03990	-52.73673	238.43999	-11.17914	24.84590	575.77002
32	13.95912	-52.75846	238.06801	-11.23889	24.80560	576.19617
33	13.87760	-52.77935	237.69093	-11.29910	24.76614	576.63245
34	13.79537	-52.79935	237.30894	-11.35978	24.72755	577.07880
35	13.71245	-52.81845	236.92207	-11.42091	24.68988	577.53510
36	13.62888	-52.83664	236.53047	-11.48251	24.65316	578.00153
37	13.54466	-52.85387	236.13417	-11.54456	24.61742	578.47784
38	13.45983	-52.87015	235.73332	-11.60707	24.58271	578.96423
39	13.37440	-52.88546	235.32797	-11.67003	24.54903	579.46045
40	13.28841	-52.89977	234.91832	-11.73345	24.51643	579.96643
41	13.20186	-52.91310	234.50438	-11.79731	24.48490	580.48230
42	13.11480	-52.92542	234.08629	-11.86161	24.45448	581.00769
43	13.02723	-52.93671	233.66422	-11.92636	24.42518	581.54279
44	12.93918	-52.94699	233.23817	-11.99155	24.39702	582.08722
45	12.85067	-52.95623	232.80832	-12.05717	24.37003	582.64111
46	12.76174	-52.96442	232.37476	-12.12322	24.34421	583.20441
47	12.67239	-52.97157	231.93761	-12.18970	24.31959	583.77686
48	12.58266	-52.97765	231.49698	-12.25661	24.29616	584.35840
49	12.49258	-52.98268	231.05307	-12.32393	24.27391	584.94885
50	12.40217	-52.98666	230.60599	-12.39165	24.25282	585.54797
51	12.31147	-52.98959	230.15590	-12.45978	24.23289	586.15570
52	12.22049	-52.99147	229.70296	-12.52830	24.21412	586.77173
53	12.12928	-52.99232	229.24733	-12.59720	24.19647	587.39587
54	12.03785	-52.99212	228.78914	-12.66648	24.17995	588.02814
55	11.94624	-52.99088	228.32855	-12.73614	24.16455	588.66815
56	11.85447	-52.98861	227.86571	-12.80615	24.15025	589.31580
57	11.76258	-52.98531	227.40080	-12.87651	24.13700	589.97083
58	11.67057	-52.98100	226.93398	-12.94721	24.12477	590.63293
59	11.57849	-52.97570	226.46545	-13.01823	24.11350	591.30188
60	11.48635	-52.96941	225.99538	-13.08956	24.10315	591.97736
61	11.39419	-52.96215	225.52394	-13.16118	24.09367	592.65912
62	11.30202	-52.95394	225.05130	-13.23308	24.08501	593.34680
63	11.20987	-52.94479	224.57765	-13.30525	24.07714	594.04022
64	11.11777	-52.93470	224.10315	-13.37767	24.07001	594.73907
65	11.02574	-52.92371	223.62801	-13.45033	24.06355	595.44312
66	10.93380	-52.91182	223.15237	-13.52321	24.05773	596.15192
67	10.84199	-52.89905	222.67641	-13.59630	24.05247	596.86523
68	10.75032	-52.88543	222.20032	-13.66959	24.04773	597.58270
69	10.65882	-52.87097	221.72427	-13.74304	24.04343	598.30408
70	10.56752	-52.85571	221.24844	-13.81667	24.03953	599.02887
71	10.47643	-52.83963	220.77298	-13.89043	24.03596	599.75696
72	10.38558	-52.82280	220.29808	-13.96433	24.03267	600.48773
73	10.29500	-52.80520	219.82393	-14.03834	24.02959	601.22119
74	10.20471	-52.78687	219.35068	-14.11244	24.02667	601.95679
75	10.11474	-52.76783	218.87849	-14.18663	24.02384	602.69427
76	10.02510	-52.74810	218.40753	-14.26088	24.02104	603.43317
77	9.93582	-52.72771	217.93796	-14.33516	24.01819	604.17316
78	9.84693	-52.70669	217.46992	-14.40946	24.01524	604.91388
79	9.75845	-52.68505	217.00362	-14.48376	24.01211	605.65497
80	9.67041	-52.66282	216.53917	-14.55804	24.00875	606.39612
81	9.58282	-52.64003	216.07675	-14.63227	24.00508	607.13690
82	9.49572	-52.61670	215.61650	-14.70644	24.00103	607.87689
83	9.40913	-52.59285	215.15862	-14.78052	23.99656	608.61584
84	9.32306	-52.56850	214.70316	-14.85450	23.99158	609.35333
85	9.23755	-52.54369	214.25024	-14.92836	23.98603	610.08905
86	9.15260	-52.51842	213.80000	-15.00207	23.97985	610.82269
87	9.06825	-52.49271	213.35252	-15.07561	23.97298	611.55383
88	8.98450	-52.46660	212.90790	-15.14896	23.96535	612.28229
89	8.90139	-52.44010	212.46625	-15.22210	23.95690	613.00751
90	8.81893	-52.41323	212.02766	-15.29502	23.94756	613.72931
91	8.73715	-52.38601	211.59225	-15.36768	23.93727	614.44733
92	8.65606	-52.35846	211.16011	-15.44007	23.92597	615.16125
93	8.57568	-52.33060	210.73129	-15.51217	23.91360	615.87067
94	8.49603	-52.30243	210.30585	-15.58397	23.90012	616.57550
95	8.41712	-52.27396	209.88380	-15.65545	23.88548	617.27539
96	8.33896	-52.24522	209.46523	-15.72659	23.86964	617.96997
97	8.26158	-52.21619	209.05013	-15.79737	23.85254	618.65918
98	8.18499	-52.18691	208.63860	-15.86779	23.83413	619.34265
99	8.10920	-52.15737	208.23064	-15.93781	23.81438	620.02002
100	8.03424	-52.12760	207.82631	-16.00744	23.79322	620.69122
101	7.96010	-52.09759	207.42566	-16.07664	23.77062	621.35583
102	7.88682	-52.06734	207.02866	-16.14541	23.74655	622.01379
103	7.81439	-52.03686	206.63531	-16.21373	23.72097	622.66473
104	7.74283	-52.00613	206.24561	-16.28160	23.69387	623.30878
105	7.67215	-51.97516	205.85954	-16.34900	23.66522	623.94543
106	7.60235	-51.94393	205.47708	-16.41591	23.63499	624.57471
107	7.53346	-51.91246	205.09824	-16.48234	23.60314	625.19635
108	7.46547	-51.88071	204.72298	-16.54825	23.56967	625.81030
109	7.39840	-51.84872	204.35130	-16.61365	23.53454	626.41614
110	7.33225	-51.81644	203.98318	-16.67851	23.49772	627.01398
111	7.26704	-51.78389	203.61856	-16.74284	23.45922	627.60358
112	7.20274	-51.75104	203.25734	-16.80663	23.41905	628.18500
113	7.13937	-51.71786	202.89941	-16.86987	23.37719	628.75818
114	7.07693	-51.68436	202.54475	-16.93254	23.33366	629.32312
115	7.01540	-51.65050	202.19324	-16.99466	23.28846	629.87970
116	6.95479	-51.61628	201.84477	-17.05621	23.24159	630.42810
117	6.89510	-51.58167	201.49931	-17.11718	23.19306	630.96808
118	6.83632	-51.54667	201.15674	-17.17756	23.14286	631.49976
119	6.77845	-51.51124	200.81697	-17.23736	23.09101	632.02301
120	6.72148	-51.47536	200.47987	-17.29658	23.03752	632.53802
121	6.66542	-51.43900	200.14532	-17.35520	22.98243	633.04474
122	6.61026	-51.40212	199.81319	-17.41324	22.92575	633.54346
123	6.55599	-51.36471	199.48331	-17.47069	22.86751	634.03412
124	6.50260	-51.32671	199.15556	-17.52756	22.80774	634.51691
125	6.45009	-51.28810	198.82980	-17.58384	22.74646	634.99194
126	6.39846	-51.24886	198.50591	-17.63954	22.68369	635.45917
127	6.34769	-51.20893	198.18372	-17.69465	22.61947	635.91888
128	6.29779	-51.16830	197.86311	-17.74918	22.55382	636.37103
129	6.24874	-51.12692	197.54388	-17.80314	22.48678	636.81610
130	6.20053	-51.08473	197.22588	-17.85653	22.41839	637.25391
131	6.15314	-51.04168	196.90887	-17.90935	22.34870	637.68488
132	6.10657	-50.99773	196.59271	-17.96161	22.27775	638.10925
133	6.06079	-50.95281	196.27718	-18.01332	22.20560	638.52716
134	6.01580	-50.90689	195.96211	-18.06449	22.13227	638.93884
135	5.97158	-50.85991	195.64729	-18.11511	22.05782	639.34442
136	5.92812	-50.81182	195.33257	-18.16520	21.98229	639.74420
137	5.88540	-50.76257	195.01772	-18.21476	21.90572	640.13837
138	5.84341	-50.71210	194.70255	-18.26381	21.82818	640.52734
139	5.80212	-50.66035	194.38684	-18.31234	21.74971	640.91107
140	5.76151	-50.60726	194.07039	-18.36037	21.67038	641.29028
141	5.72155	-50.55277	193.75301	-18.40791	21.59024	641.66504
142	5.68224	-50.49682	193.43442	-18.45496	21.50935	642.03552
143	5.64354	-50.43937	193.11450	-18.50154	21.42777	642.40228
144	5.60543	-50.38032	192.79301	-18.54765	21.34555	642.76538
145	5.56789	-50.31964	192.46971	-18.59331	21.26276	643.12537
146	5.53091	-50.25727	192.14442	-18.63852	21.17944	643.48230
147	5.49445	-50.19313	191.81691	-18.68328	21.09565	643.83667
148	5.45851	-50.12717	191.48703	-18.72761	21.01145	644.18872
149	5.42306	-50.05933	191.15453	-18.77152	20.92689	644.53864
150	5.38810	-49.98954	190.81923	-18.81500	20.84202	644.88684
151	5.35359	-49.91774	190.48090	-18.85808	20.75689	645.23370
152	5.31953	-49.84388	190.13936	-18.90075	20.67157	645.57941
153	5.28590	-49.76788	189.79442	-18.94302	20.58610	645.92438
154	5.25267	-49.68969	189.44585	-18.98490	20.50054	646.26880
155	5.21983	-49.60925	189.09348	-19.02640	20.41494	646.61310
156	5.18737	-49.52649	188.73708	-19.06752	20.32934	646.95746
157	5.15527	-49.44133	188.37650	-19.10826	20.24379	647.30231
158	5.12352	-49.35372	188.01155	-19.14864	20.15833	647.64783
159	5.09209	-49.26360	187.64211	-19.18865	20.07301	647.99451
160	5.06098	-49.17089	187.26790	-19.22829	19.98786	648.34235
161	5.03016	-49.07552	186.88878	-19.26758	19.90293	648.69189
162	4.99963	-48.97744	186.50458	-19.30652	19.81827	649.04327
163	4.96936	-48.87658	186.11513	-19.34511	19.73391	649.39697
164	4.93935	-48.77286	185.72023	-19.38335	19.64991	649.75311
165	4.90956	-48.66625	185.31978	-19.42125	19.56627	650.11212
166	4.87997	-48.55668	184.91367	-19.45880	19.48303	650.47400
167	4.85055	-48.44410	184.50179	-19.49601	19.40021	650.83917
168	4.82128	-48.32845	184.08400	-19.53287	19.31783	651.20776
169	4.79214	-48.20970	183.66025	-19.56938	19.23591	651.58008
170	4.76308	-48.08778	183.23038	-19.60555	19.15448	651.95630
171	4.73410	-47.96264	182.79431	-19.64138	19.07356	652.33679
172	4.70516	-47.83422	182.35191	-19.67685	18.99318	652.72162
173	4.67624	-47.70248	181.90311	-19.71198	18.91334	653.11108
174	4.64730	-47.56741	181.44783	-19.74675	18.83406	653.50537
175	4.61833	-47.42899	180.98604	-19.78117	18.75534	653.90460
176	4.58931	-47.28721	180.51768	-19.81521	18.67716	654.30896
177	4.56019	-47.14207	180.04274	-19.84888	18.59954	654.71851
178	4.53097	-46.99354	179.56116	-19.88217	18.52247	655.13342
179	4.50161	-46.84163	179.07291	-19.91507	18.44594	655.55396
180	4.47209	-46.68631	178.57793	-19.94757	18.36997	655.98010
181	4.44238	-46.52759	178.07617	-19.97968	18.29454	656.41205
182	4.41246	-46.36545	177.56764	-20.01137	18.21966	656.84998
183	4.38230	-46.19993	177.05232	-20.04264	18.14531	657.29401
184	4.35189	-46.03106	176.53023	-20.07349	18.07147	657.74402
185	4.32118	-45.85888	176.00143	-20.10389	17.99813	658.20026
186	4.29017	-45.68343	175.46594	-20.13383	17.92527	658.66260
187	4.25882	-45.50474	174.92377	-20.16332	17.85288	659.13135
188	4.22712	-45.32284	174.37494	-20.19233	17.78094	659.60632
189	4.19504	-45.13779	173.81950	-20.22086	17.70943	660.08765
190	4.16254	-44.94960	173.25749	-20.24889	17.63834	660.57538
191	4.12962	-44.75834	172.68892	-20.27641	17.56765	661.06964
192	4.09625	-44.56406	172.11389	-20.30343	17.49735	661.57025
193	4.06241	-44.36683	171.53247	-20.32992	17.42741	662.07727
194	4.02809	-44.16676	170.94479	-20.35589	17.35783	662.59058
195	3.99325	-43.96389	170.35095	-20.38134	17.28858	663.11011
196	3.95788	-43.75830	169.75105	-20.40625	17.21965	663.63599
197	3.92196	-43.55009	169.14514	-20.43062	17.15101	664.16803
198	3.88548	-43.33931	168.53336	-20.45445	17.08266	664.70612
199	3.84840	-43.12605	167.91580	-20.47773	17.01458	665.25024
200	3.81072	-42.91039	167.29257	-20.50045	16.94675	665.80048
201	3.77242	-42.69240	166.66376	-20.52262	16.87917	666.35645
202	3.73348	-42.47216	166.02951	-20.54423	16.81182	666.91827
203	3.69388	-42.24977	165.38994	-20.56528	16.74471	667.48572
204	3.65363	-42.02530	164.74516	-20.58576	16.67781	668.05890
205	3.61269	-41.79883	164.09531	-20.60568	16.61114	668.63727
206	3.57106	-41.57045	163.44044	-20.62503	16.54467	669.22107
207	3.52872	-41.34024	162.78075	-20.64382	16.47841	669.81000
208	3.48566	-41.10829	162.11633	-20.66203	16.41235	670.40405
209	3.44186	-40.87467	161.44728	-20.67967	16.34648	671.00305
210	3.39732	-40.63946	160.77377	-20.69674	16.28082	671.60681
211	3.35202	-40.40273	160.09589	-20.71325	16.21538	672.21527
212	3.30594	-40.16456	159.41379	-20.72920	16.15017	672.82819
213	3.25909	-39.92503	158.72758	-20.74459	16.08521	673.44543
214	3.21144	-39.68420	158.03740	-20.75942	16.02052	674.06677
