	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.16015	-0.01487	0.00558	0.09234	0.40623	0.00440
2	0.16037	-0.01487	0.00559	0.09276	0.40624	0.00412
3	0.16053	-0.01488	0.00579	0.09313	0.40617	0.00402
4	0.16057	-0.01489	0.00621	0.09321	0.40605	0.00430
5	0.16048	-0.01481	0.00669	0.09302	0.40597	0.00479
6	0.16033	-0.01459	0.00695	0.09279	0.40599	0.00520
7	0.16026	-0.01430	0.00693	0.09263	0.40615	0.00541
8	0.16031	-0.01409	0.00684	0.09254	0.40643	0.00558
9	0.16040	-0.01400	0.00685	0.09255	0.40666	0.00590
10	0.16045	-0.01402	0.00699	0.09274	0.40663	0.00644
11	0.16053	-0.01416	0.00721	0.09315	0.40639	0.00704
12	0.16069	-0.01437	0.00741	0.09361	0.40618	0.00750
13	0.16087	-0.01452	0.00757	0.09382	0.40622	0.00775
14	0.16097	-0.01450	0.00777	0.09377	0.40642	0.00791
15	0.16101	-0.01433	0.00810	0.09370	0.40668	0.00812
16	0.16105	-0.01410	0.00846	0.09381	0.40698	0.00841
17	0.16111	-0.01400	0.00872	0.09401	0.40734	0.00881
18	0.16119	-0.01405	0.00886	0.09399	0.40771	0.00932
19	0.16120	-0.01409	0.00902	0.09361	0.40804	0.00985
20	0.16114	-0.01392	0.00927	0.09298	0.40831	0.01042
21	0.16104	-0.01358	0.00963	0.09233	0.40845	0.01120
22	0.16100	-0.01337	0.01005	0.09184	0.40831	0.01232
23	0.16108	-0.01347	0.01041	0.09148	0.40796	0.01363
24	0.16122	-0.01379	0.01057	0.09109	0.40770	0.01485
25	0.16132	-0.01405	0.01055	0.09069	0.40768	0.01585
26	0.16139	-0.01409	0.01049	0.09042	0.40776	0.01684
27	0.16156	-0.01395	0.01048	0.09035	0.40782	0.01816
28	0.16181	-0.01372	0.01049	0.09042	0.40792	0.01987
29	0.16193	-0.01348	0.01054	0.09057	0.40810	0.02175
30	0.16180	-0.01332	0.01073	0.09085	0.40827	0.02364
31	0.16159	-0.01330	0.01103	0.09134	0.40841	0.02549
