	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d
	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	0.29380	0.23265	0.00324	0.06733	0.67404	0.00475	0.25751	0.19937	0.01013	0.06341	0.62505	0.01227	0.28792	0.17784	0.01404	0.04164	0.63313	0.02009	0.14387	0.04882	0.01394	0.02651	0.43591	0.01198
2	0.29353	0.23278	0.00334	0.06707	0.67410	0.00480	0.25726	0.19944	0.01007	0.06318	0.62511	0.01232	0.28770	0.17797	0.01403	0.04139	0.63318	0.02007	0.14387	0.04871	0.01394	0.02649	0.43592	0.01235
3	0.29327	0.23285	0.00362	0.06687	0.67421	0.00485	0.25701	0.19946	0.01018	0.06297	0.62521	0.01239	0.28747	0.17803	0.01422	0.04117	0.63331	0.02011	0.14379	0.04860	0.01400	0.02627	0.43604	0.01279
4	0.29312	0.23281	0.00380	0.06674	0.67428	0.00498	0.25686	0.19942	0.01032	0.06281	0.62531	0.01265	0.28732	0.17800	0.01439	0.04102	0.63343	0.02036	0.14367	0.04853	0.01412	0.02599	0.43615	0.01322
5	0.29309	0.23272	0.00368	0.06660	0.67422	0.00526	0.25682	0.19934	0.01023	0.06268	0.62527	0.01306	0.28728	0.17791	0.01425	0.04089	0.63339	0.02079	0.14358	0.04850	0.01428	0.02586	0.43612	0.01360
6	0.29309	0.23266	0.00333	0.06637	0.67404	0.00557	0.25682	0.19930	0.00994	0.06251	0.62511	0.01348	0.28729	0.17785	0.01381	0.04071	0.63318	0.02121	0.14354	0.04851	0.01436	0.02597	0.43590	0.01386
7	0.29306	0.23269	0.00295	0.06613	0.67384	0.00573	0.25683	0.19933	0.00978	0.06233	0.62494	0.01386	0.28730	0.17786	0.01348	0.04049	0.63297	0.02152	0.14351	0.04856	0.01424	0.02615	0.43566	0.01396
8	0.29298	0.23274	0.00275	0.06611	0.67374	0.00579	0.25682	0.19936	0.00987	0.06229	0.62487	0.01415	0.28730	0.17788	0.01351	0.04041	0.63289	0.02170	0.14352	0.04856	0.01395	0.02619	0.43558	0.01400
9	0.29287	0.23276	0.00278	0.06636	0.67376	0.00597	0.25676	0.19935	0.00999	0.06245	0.62490	0.01429	0.28725	0.17791	0.01374	0.04056	0.63295	0.02181	0.14364	0.04841	0.01371	0.02605	0.43566	0.01403
