	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.00000	0.00000	-0.73577	0.00000	0.00000	-1.30372
2	0.00000	0.00000	-0.73350	0.00000	0.00000	-1.31045
3	0.00000	0.00000	-0.73124	0.00000	0.00000	-1.31719
4	0.00000	0.00000	-0.72897	0.00000	0.00000	-1.32398
5	0.00000	0.00000	-0.72671	0.00000	0.00000	-1.33083
6	0.00000	0.00000	-0.72444	0.00000	0.00000	-1.33775
7	0.00000	0.00000	-0.72216	0.00000	0.00000	-1.34477
8	0.00000	0.00000	-0.71987	0.00000	0.00000	-1.35191
9	0.00000	0.00000	-0.71756	0.00000	0.00000	-1.35917
10	0.00000	0.00000	-0.71524	0.00000	0.00000	-1.36659
11	0.00000	0.00000	-0.71290	0.00000	0.00000	-1.37418
12	0.00000	0.00000	-0.71054	0.00000	0.00000	-1.38193
13	0.00000	0.00000	-0.70816	0.00000	0.00000	-1.38983
14	0.00000	0.00000	-0.70577	0.00000	0.00000	-1.39789
15	0.00000	0.00000	-0.70338	0.00000	0.00000	-1.40609
16	0.00000	0.00000	-0.70098	0.00000	0.00000	-1.41443
17	0.00000	0.00000	-0.69857	0.00000	0.00000	-1.42289
18	0.00000	0.00000	-0.69617	0.00000	0.00000	-1.43149
19	0.00000	0.00000	-0.69377	0.00000	0.00000	-1.44020
20	0.00000	0.00000	-0.69137	0.00000	0.00000	-1.44902
21	0.00000	0.00000	-0.68898	0.00000	0.00000	-1.45795
22	0.00000	0.00000	-0.68660	0.00000	0.00000	-1.46699
23	0.00000	0.00000	-0.68422	0.00000	0.00000	-1.47614
24	0.00000	0.00000	-0.68186	0.00000	0.00000	-1.48540
25	0.00000	0.00000	-0.67950	0.00000	0.00000	-1.49477
26	0.00000	0.00000	-0.67715	0.00000	0.00000	-1.50424
27	0.00000	0.00000	-0.67481	0.00000	0.00000	-1.51382
28	0.00000	0.00000	-0.67248	0.00000	0.00000	-1.52350
29	0.00000	0.00000	-0.67015	0.00000	0.00000	-1.53328
30	0.00000	0.00000	-0.66784	0.00000	0.00000	-1.54316
