	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	-0.73951	-8.49742	78.32027	-19.23006	66.28957	717.04327
2	-0.76577	-8.46239	77.76840	-19.20396	66.31132	717.45239
3	-0.79210	-8.42725	77.21564	-19.17783	66.33315	717.86249
4	-0.81854	-8.39187	76.66113	-19.15162	66.35513	718.27472
5	-0.84518	-8.35616	76.10399	-19.12530	66.37733	718.69012
6	-0.87205	-8.31998	75.54336	-19.09883	66.39986	719.10974
7	-0.89924	-8.28323	74.97832	-19.07216	66.42277	719.53455
8	-0.92679	-8.24579	74.40804	-19.04527	66.44614	719.96570
9	-0.95478	-8.20755	73.83162	-19.01811	66.47006	720.40411
10	-0.98326	-8.16839	73.24819	-18.99065	66.49461	720.85101
11	-1.01228	-8.12823	72.65713	-18.96285	66.51982	721.30707
12	-1.04182	-8.08707	72.05885	-18.93473	66.54572	721.77209
13	-1.07184	-8.04497	71.45401	-18.90631	66.57224	722.24573
14	-1.10231	-8.00196	70.84328	-18.87760	66.59937	722.72736
15	-1.13319	-7.95809	70.22732	-18.84862	66.62710	723.21667
16	-1.16446	-7.91339	69.60681	-18.81939	66.65536	723.71313
17	-1.19606	-7.86792	68.98240	-18.78994	66.68413	724.21643
18	-1.22797	-7.82171	68.35477	-18.76027	66.71340	724.72583
19	-1.26015	-7.77481	67.72456	-18.73041	66.74313	725.24109
20	-1.29257	-7.72725	67.09241	-18.70037	66.77328	725.76178
21	-1.32521	-7.67904	66.45869	-18.67015	66.80385	726.28772
22	-1.35805	-7.63018	65.82375	-18.63975	66.83483	726.81879
23	-1.39108	-7.58068	65.18792	-18.60917	66.86620	727.35492
24	-1.42428	-7.53054	64.55151	-18.57839	66.89795	727.89594
25	-1.45764	-7.47976	63.91489	-18.54742	66.93007	728.44177
26	-1.49113	-7.42835	63.27837	-18.51625	66.96255	728.99231
27	-1.52475	-7.37631	62.64230	-18.48488	66.99538	729.54749
28	-1.55847	-7.32364	62.00699	-18.45330	67.02854	730.10712
29	-1.59228	-7.27035	61.37283	-18.42151	67.06202	730.67114
30	-1.62615	-7.21645	60.74023	-18.38951	67.09581	731.23920
31	-1.66006	-7.16194	60.10969	-18.35731	67.12987	731.81122
32	-1.69397	-7.10686	59.48164	-18.32490	67.16417	732.38672
33	-1.72786	-7.05120	58.85658	-18.29229	67.19869	732.96570
34	-1.76171	-6.99499	58.23495	-18.25948	67.23341	733.54761
35	-1.79548	-6.93823	57.61723	-18.22647	67.26830	734.13245
36	-1.82915	-6.88094	57.00388	-18.19327	67.30332	734.71979
37	-1.86269	-6.82313	56.39537	-18.15988	67.33847	735.30945
38	-1.89607	-6.76481	55.79215	-18.12630	67.37370	735.90112
39	-1.92926	-6.70601	55.19467	-18.09253	67.40900	736.49463
40	-1.96224	-6.64672	54.60335	-18.05857	67.44434	737.08954
41	-1.99496	-6.58695	54.01863	-18.02443	67.47967	737.68585
42	-2.02741	-6.52672	53.44094	-17.99010	67.51496	738.28314
43	-2.05954	-6.46604	52.87072	-17.95558	67.55020	738.88123
44	-2.09134	-6.40492	52.30837	-17.92088	67.58534	739.47974
45	-2.12276	-6.34336	51.75436	-17.88600	67.62037	740.07867
46	-2.15377	-6.28138	51.20909	-17.85093	67.65524	740.67749
47	-2.18436	-6.21899	50.67301	-17.81568	67.68992	741.27606
48	-2.21448	-6.15619	50.14655	-17.78025	67.72438	741.87421
49	-2.24410	-6.09300	49.63015	-17.74464	67.75859	742.47156
50	-2.27320	-6.02943	49.12424	-17.70886	67.79249	743.06775
51	-2.30174	-5.96550	48.62927	-17.67291	67.82606	743.66266
52	-2.32969	-5.90120	48.14566	-17.63680	67.85925	744.25586
53	-2.35702	-5.83656	47.67385	-17.60053	67.89202	744.84729
54	-2.38370	-5.77158	47.21429	-17.56409	67.92435	745.43652
55	-2.40970	-5.70627	46.76740	-17.52751	67.95618	746.02319
56	-2.43499	-5.64065	46.33360	-17.49077	67.98747	746.60724
57	-2.45954	-5.57472	45.91328	-17.45389	68.01822	747.18817
58	-2.48333	-5.50849	45.50681	-17.41688	68.04835	747.76599
59	-2.50632	-5.44197	45.11452	-17.37974	68.07785	748.34027
60	-2.52850	-5.37518	44.73680	-17.34249	68.10667	748.91077
61	-2.54983	-5.30811	44.37400	-17.30514	68.13478	749.47729
62	-2.57028	-5.24078	44.02647	-17.26768	68.16215	750.03961
63	-2.58984	-5.17320	43.69459	-17.23015	68.18874	750.59735
64	-2.60848	-5.10537	43.37871	-17.19253	68.21452	751.15033
65	-2.62616	-5.03731	43.07919	-17.15485	68.23943	751.69830
66	-2.64287	-4.96902	42.79634	-17.11711	68.26348	752.24103
67	-2.65858	-4.90050	42.53047	-17.07934	68.28661	752.77826
68	-2.67326	-4.83176	42.28189	-17.04155	68.30882	753.30981
69	-2.68690	-4.76281	42.05091	-17.00376	68.33005	753.83545
70	-2.69946	-4.69366	41.83783	-16.96597	68.35029	754.35498
71	-2.71093	-4.62430	41.64296	-16.92821	68.36952	754.86804
72	-2.72128	-4.55474	41.46660	-16.89050	68.38770	755.37457
73	-2.73048	-4.48499	41.30907	-16.85284	68.40480	755.87433
74	-2.73852	-4.41506	41.17067	-16.81526	68.42080	756.36700
75	-2.74538	-4.34495	41.05164	-16.77778	68.43568	756.85242
76	-2.75102	-4.27467	40.95224	-16.74041	68.44939	757.33032
77	-2.75545	-4.20422	40.87271	-16.70318	68.46194	757.80060
78	-2.75863	-4.13362	40.81331	-16.66611	68.47327	758.26288
79	-2.76055	-4.06287	40.77428	-16.62922	68.48338	758.71710
80	-2.76120	-3.99198	40.75587	-16.59253	68.49223	759.16284
81	-2.76055	-3.92095	40.75833	-16.55606	68.49979	759.60010
82	-2.75858	-3.84980	40.78191	-16.51984	68.50604	760.02850
83	-2.75528	-3.77852	40.82682	-16.48388	68.51097	760.44788
84	-2.75064	-3.70714	40.89318	-16.44822	68.51452	760.85809
85	-2.74465	-3.63566	40.98108	-16.41286	68.51669	761.25885
86	-2.73729	-3.56410	41.09060	-16.37786	68.51746	761.64996
87	-2.72857	-3.49247	41.22182	-16.34321	68.51678	762.03125
88	-2.71848	-3.42077	41.37484	-16.30896	68.51466	762.40253
89	-2.70699	-3.34903	41.54974	-16.27513	68.51105	762.76355
90	-2.69412	-3.27725	41.74660	-16.24175	68.50592	763.11407
91	-2.67984	-3.20546	41.96552	-16.20883	68.49926	763.45404
92	-2.66414	-3.13365	42.20654	-16.17641	68.49104	763.78320
93	-2.64704	-3.06184	42.46967	-16.14451	68.48124	764.10114
94	-2.62851	-2.99007	42.75486	-16.11315	68.46982	764.40802
95	-2.60856	-2.91834	43.06208	-16.08237	68.45676	764.70331
96	-2.58718	-2.84668	43.39130	-16.05219	68.44202	764.98706
97	-2.56436	-2.77511	43.74247	-16.02263	68.42561	765.25885
98	-2.54011	-2.70364	44.11555	-15.99372	68.40746	765.51874
99	-2.51442	-2.63230	44.51052	-15.96548	68.38755	765.76617
100	-2.48727	-2.56110	44.92734	-15.93794	68.36588	766.00134
101	-2.45868	-2.49006	45.36594	-15.91113	68.34239	766.22375
102	-2.42864	-2.41921	45.82616	-15.88506	68.31707	766.43347
103	-2.39715	-2.34856	46.30779	-15.85974	68.28989	766.63000
104	-2.36420	-2.27814	46.81064	-15.83520	68.26083	766.81348
105	-2.32981	-2.20797	47.33450	-15.81144	68.22986	766.98352
106	-2.29396	-2.13807	47.87918	-15.78848	68.19694	767.14001
107	-2.25667	-2.06845	48.44448	-15.76633	68.16205	767.28290
108	-2.21792	-1.99915	49.03021	-15.74501	68.12518	767.41180
109	-2.17772	-1.93017	49.63615	-15.72454	68.08627	767.52661
110	-2.13607	-1.86155	50.26208	-15.70493	68.04533	767.62720
111	-2.09298	-1.79331	50.90759	-15.68617	68.00233	767.71356
112	-2.04846	-1.72548	51.57224	-15.66828	67.95724	767.78540
113	-2.00253	-1.65807	52.25558	-15.65125	67.91009	767.84283
114	-1.95520	-1.59113	52.95717	-15.63507	67.86084	767.88568
115	-1.90648	-1.52467	53.67657	-15.61976	67.80949	767.91394
116	-1.85637	-1.45873	54.41334	-15.60531	67.75601	767.92749
117	-1.80491	-1.39333	55.16703	-15.59173	67.70042	767.92627
118	-1.75209	-1.32849	55.93719	-15.57900	67.64268	767.91016
119	-1.69793	-1.26425	56.72336	-15.56714	67.58281	767.87921
120	-1.64245	-1.20065	57.52496	-15.55613	67.52077	767.83319
121	-1.58568	-1.13773	58.34138	-15.54597	67.45660	767.77234
122	-1.52764	-1.07554	59.17202	-15.53663	67.39029	767.69647
123	-1.46836	-1.01412	60.01626	-15.52813	67.32185	767.60565
124	-1.40786	-0.95352	60.87351	-15.52044	67.25127	767.49982
125	-1.34617	-0.89379	61.74316	-15.51355	67.17857	767.37903
126	-1.28331	-0.83496	62.62459	-15.50746	67.10374	767.24316
127	-1.21930	-0.77708	63.51720	-15.50215	67.02679	767.09241
128	-1.15418	-0.72020	64.42036	-15.49762	66.94772	766.92657
129	-1.08799	-0.66440	65.33337	-15.49385	66.86655	766.74573
130	-1.02078	-0.60973	66.25544	-15.49082	66.78328	766.55005
131	-0.95260	-0.55628	67.18583	-15.48851	66.69794	766.33948
132	-0.88351	-0.50412	68.12379	-15.48691	66.61051	766.11407
133	-0.81356	-0.45331	69.06858	-15.48599	66.52103	765.87384
134	-0.74278	-0.40394	70.01944	-15.48574	66.42950	765.61908
135	-0.67125	-0.35607	70.97562	-15.48615	66.33594	765.34949
136	-0.59901	-0.30977	71.93637	-15.48719	66.24033	765.06537
137	-0.52610	-0.26512	72.90092	-15.48884	66.14272	764.76672
138	-0.45260	-0.22219	73.86853	-15.49108	66.04311	764.45374
139	-0.37858	-0.18104	74.83839	-15.49389	65.94153	764.12653
140	-0.30408	-0.14174	75.80974	-15.49723	65.83797	763.78522
141	-0.22918	-0.10435	76.78178	-15.50108	65.73249	763.43018
142	-0.15395	-0.06895	77.75376	-15.50542	65.62508	763.06128
143	-0.07845	-0.03559	78.72485	-15.51022	65.51579	762.67896
144	-0.00274	-0.00435	79.69432	-15.51545	65.40459	762.28320
145	0.07311	0.02470	80.66137	-15.52109	65.29154	761.87433
146	0.14903	0.05152	81.62524	-15.52710	65.17665	761.45239
147	0.22497	0.07604	82.58529	-15.53347	65.05994	761.01776
148	0.30086	0.09824	83.54089	-15.54014	64.94144	760.57043
149	0.37662	0.11806	84.49136	-15.54710	64.82120	760.11090
150	0.45221	0.13547	85.43610	-15.55430	64.69921	759.63916
151	0.52755	0.15043	86.37447	-15.56171	64.57552	759.15570
152	0.60259	0.16290	87.30585	-15.56931	64.45013	758.66058
153	0.67725	0.17283	88.22958	-15.57705	64.32312	758.15405
154	0.75148	0.18019	89.14501	-15.58490	64.19447	757.63641
155	0.82521	0.18494	90.05158	-15.59283	64.06423	757.10785
156	0.89839	0.18709	90.94881	-15.60081	63.93244	756.56873
157	0.97097	0.18665	91.83630	-15.60880	63.79912	756.01917
158	1.04291	0.18363	92.71358	-15.61679	63.66432	755.45972
159	1.11414	0.17804	93.58028	-15.62472	63.52808	754.89056
160	1.18463	0.16991	94.43594	-15.63258	63.39043	754.31195
161	1.25432	0.15923	95.28016	-15.64034	63.25140	753.72437
162	1.32317	0.14602	96.11248	-15.64795	63.11105	753.12787
163	1.39112	0.13030	96.93252	-15.65540	62.96941	752.52295
164	1.45813	0.11208	97.73988	-15.66266	62.82652	751.90985
165	1.52417	0.09145	98.53439	-15.66969	62.68242	751.28894
166	1.58921	0.06846	99.31590	-15.67650	62.53716	750.66046
167	1.65323	0.04321	100.08430	-15.68305	62.39081	750.02490
168	1.71620	0.01577	100.83943	-15.68934	62.24341	749.38263
169	1.77810	-0.01378	101.58117	-15.69535	62.09501	748.73376
170	1.83889	-0.04537	102.30939	-15.70107	61.94566	748.07892
171	1.89856	-0.07891	103.02394	-15.70647	61.79542	747.41821
172	1.95707	-0.11432	103.72469	-15.71154	61.64434	746.75220
173	2.01440	-0.15153	104.41154	-15.71627	61.49246	746.08112
174	2.07055	-0.19041	105.08453	-15.72065	61.33984	745.40527
175	2.12551	-0.23086	105.74366	-15.72468	61.18652	744.72491
176	2.17926	-0.27274	106.38902	-15.72837	61.03256	744.04047
177	2.23180	-0.31595	107.02062	-15.73170	60.87800	743.35223
178	2.28314	-0.36037	107.63853	-15.73469	60.72290	742.66040
179	2.33325	-0.40587	108.24280	-15.73732	60.56729	741.96533
180	2.38213	-0.45235	108.83346	-15.73960	60.41124	741.26733
181	2.42977	-0.49967	109.41056	-15.74154	60.25478	740.56677
182	2.47618	-0.54772	109.97417	-15.74311	60.09797	739.86377
183	2.52135	-0.59639	110.52440	-15.74435	59.94083	739.15887
184	2.56530	-0.64553	111.06138	-15.74525	59.78342	738.45203
185	2.60803	-0.69504	111.58522	-15.74584	59.62577	737.74365
186	2.64955	-0.74477	112.09605	-15.74611	59.46790	737.03387
187	2.68987	-0.79462	112.59404	-15.74608	59.30987	736.32312
188	2.72899	-0.84445	113.07927	-15.74577	59.15170	735.61151
189	2.76694	-0.89414	113.55186	-15.74517	58.99342	734.89935
190	2.80370	-0.94357	114.01196	-15.74431	58.83509	734.18683
191	2.83931	-0.99261	114.45971	-15.74319	58.67672	733.47424
192	2.87377	-1.04117	114.89523	-15.74183	58.51836	732.76178
193	2.90711	-1.08917	115.31872	-15.74025	58.36001	732.04956
194	2.93936	-1.13651	115.73028	-15.73847	58.20171	731.33789
195	2.97055	-1.18311	116.13011	-15.73650	58.04350	730.62683
196	3.00069	-1.22887	116.51833	-15.73436	57.88537	729.91663
197	3.02982	-1.27371	116.89513	-15.73208	57.72738	729.20740
198	3.05796	-1.31754	117.26062	-15.72967	57.56953	728.49933
199	3.08513	-1.36027	117.61500	-15.72714	57.41187	727.79266
200	3.11136	-1.40182	117.95839	-15.72452	57.25440	727.08752
201	3.13669	-1.44213	118.29092	-15.72182	57.09716	726.38403
202	3.16114	-1.48118	118.61272	-15.71907	56.94014	725.68237
203	3.18473	-1.51892	118.92385	-15.71627	56.78338	724.98248
204	3.20751	-1.55532	119.22447	-15.71345	56.62689	724.28467
205	3.22949	-1.59032	119.51466	-15.71063	56.47068	723.58887
206	3.25072	-1.62390	119.79457	-15.70781	56.31476	722.89526
207	3.27122	-1.65601	120.06427	-15.70503	56.15917	722.20398
208	3.29101	-1.68661	120.32390	-15.70229	56.00389	721.51508
209	3.31014	-1.71567	120.57355	-15.69961	55.84897	720.82867
210	3.32863	-1.74318	120.81336	-15.69702	55.69440	720.14490
211	3.34652	-1.76913	121.04344	-15.69451	55.54019	719.46362
