	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedUpperE2.c3d
	Neck_Joint_Position	Neck_Joint_Position	Neck_Joint_Position	L_ANKLE_POSITION	L_ANKLE_POSITION	L_ANKLE_POSITION	R_ANKLE_POSITION	R_ANKLE_POSITION	R_ANKLE_POSITION	L_KNEE_POSITION	L_KNEE_POSITION	L_KNEE_POSITION	R_KNEE_POSITION	R_KNEE_POSITION	R_KNEE_POSITION	L_HIP_POSITION	L_HIP_POSITION	L_HIP_POSITION	R_HIP_POSITION	R_HIP_POSITION	R_HIP_POSITION	L_SHOULDER_POSITION	L_SHOULDER_POSITION	L_SHOULDER_POSITION	R_SHOULDER_POSITION	R_SHOULDER_POSITION	R_SHOULDER_POSITION	L_ELBOW_POSITION	L_ELBOW_POSITION	L_ELBOW_POSITION	R_ELBOW_POSITION	R_ELBOW_POSITION	R_ELBOW_POSITION	L_WRIST_POSITION	L_WRIST_POSITION	L_WRIST_POSITION	R_WRIST_POSITION	R_WRIST_POSITION	R_WRIST_POSITION
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	0.20234	0.25983	1.52083	0.03682	0.48636	0.07503	0.17958	0.09329	0.07234	0.07139	0.43476	0.48522	0.22522	0.17029	0.47513	0.08904	0.29562	0.87469	0.25933	0.20451	0.87945	0.01952	0.29710	1.44138	0.34734	0.17091	1.44741	-0.04373	0.41647	1.20216	0.44118	0.29516	1.20896	0.08943	0.49564	1.40682	0.35923	0.43450	1.41045
2	0.20183	0.25806	1.52095	0.03659	0.48653	0.07532	0.17946	0.09329	0.07233	0.07130	0.43357	0.48533	0.22566	0.17021	0.47507	0.08938	0.29386	0.87456	0.25996	0.20328	0.87947	0.01975	0.29476	1.44159	0.34786	0.16914	1.44733	-0.04315	0.41190	1.20119	0.44043	0.29341	1.20839	0.08900	0.49289	1.40578	0.35813	0.43313	1.40946
3	0.20136	0.25608	1.52132	0.03631	0.48677	0.07566	0.17921	0.09329	0.07241	0.07105	0.43258	0.48550	0.22604	0.17013	0.47509	0.08968	0.29225	0.87449	0.26058	0.20230	0.87954	0.02002	0.29238	1.44209	0.34862	0.16784	1.44721	-0.04260	0.40688	1.20034	0.43971	0.29205	1.20767	0.08846	0.49007	1.40476	0.35688	0.43213	1.40828
4	0.20126	0.25418	1.52167	0.03608	0.48694	0.07604	0.17903	0.09327	0.07253	0.07065	0.43178	0.48578	0.22631	0.16993	0.47520	0.08997	0.29076	0.87448	0.26121	0.20147	0.87966	0.02023	0.29018	1.44235	0.34948	0.16701	1.44716	-0.04195	0.40214	1.19930	0.43901	0.29092	1.20689	0.08800	0.48726	1.40364	0.35556	0.43141	1.40695
5	0.20141	0.25258	1.52175	0.03601	0.48688	0.07643	0.17908	0.09323	0.07261	0.07023	0.43103	0.48610	0.22654	0.16959	0.47531	0.09026	0.28926	0.87449	0.26186	0.20067	0.87978	0.02028	0.28810	1.44214	0.35030	0.16642	1.44727	-0.04114	0.39803	1.19798	0.43836	0.28968	1.20611	0.08782	0.48445	1.40238	0.35431	0.43068	1.40556
6	0.20171	0.25128	1.52156	0.03600	0.48663	0.07673	0.17931	0.09317	0.07258	0.06990	0.43025	0.48635	0.22690	0.16916	0.47533	0.09055	0.28776	0.87445	0.26251	0.19987	0.87980	0.02021	0.28606	1.44162	0.35090	0.16578	1.44740	-0.04025	0.39437	1.19649	0.43779	0.28813	1.20536	0.08778	0.48180	1.40106	0.35320	0.42964	1.40422
