	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.23698	0.03828	0.03110	0.00213	0.38332	0.01010
2	0.23695	0.03795	0.02960	0.00241	0.38343	0.01030
3	0.23685	0.03763	0.02794	0.00290	0.38376	0.01038
4	0.23669	0.03728	0.02618	0.00344	0.38412	0.01042
5	0.23648	0.03688	0.02450	0.00393	0.38432	0.01063
6	0.23623	0.03647	0.02306	0.00432	0.38446	0.01110
7	0.23596	0.03612	0.02190	0.00460	0.38468	0.01167
8	0.23561	0.03589	0.02087	0.00478	0.38504	0.01214
9	0.23515	0.03586	0.01984	0.00490	0.38534	0.01253
10	0.23466	0.03596	0.01887	0.00493	0.38539	0.01319
11	0.23424	0.03596	0.01809	0.00486	0.38525	0.01439
12	0.23396	0.03556	0.01758	0.00475	0.38509	0.01609
13	0.23385	0.03477	0.01728	0.00476	0.38497	0.01798
14	0.23381	0.03399	0.01699	0.00513	0.38487	0.01975
15	0.23378	0.03356	0.01651	0.00572	0.38487	0.02142
16	0.23376	0.03343	0.01591	0.00615	0.38505	0.02325
17	0.23382	0.03334	0.01541	0.00628	0.38535	0.02545
18	0.23398	0.03310	0.01523	0.00629	0.38564	0.02803
19	0.23410	0.03277	0.01528	0.00639	0.38590	0.03085
20	0.23405	0.03254	0.01525	0.00667	0.38634	0.03380
21	0.23395	0.03240	0.01500	0.00704	0.38708	0.03689
22	0.23406	0.03220	0.01465	0.00720	0.38795	0.04013
23	0.23430	0.03191	0.01440	0.00694	0.38869	0.04342
24	0.23441	0.03172	0.01430	0.00628	0.38923	0.04660
25	0.23438	0.03169	0.01427	0.00520	0.38983	0.04965
26	0.23435	0.03175	0.01422	0.00369	0.39075	0.05254
27	0.23438	0.03184	0.01409	0.00204	0.39200	0.05515
28	0.23446	0.03189	0.01392	0.00080	0.39329	0.05749
29	0.23467	0.03176	0.01385	0.00021	0.39435	0.05991
30	0.23503	0.03145	0.01380	-0.00004	0.39510	0.06280
31	0.23532	0.03116	0.01362	-0.00048	0.39567	0.06609
