	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d
	R_KNEE_MOMENT	R_KNEE_MOMENT	R_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	NECK_MOMENT	NECK_MOMENT	NECK_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																										
2																																										
3	-3.96391	-0.24980	0.16286	1.28008	-0.15406	-0.03834	-14.04247	-7.57620	2.23363	15.22406	1.37456	-1.27943	0.43659	-0.25462	0.04304	0.68267	0.13181	0.09044	2.81859	-5.68673	-2.44696	-14.52756	12.00343	-8.21905	10.71048	-0.55369	-3.62327	8.23555	1.31064	1.53008	-2.44400	1.07352	0.53145	2.50814	1.56809	0.80006	-0.43063	-0.01659	0.22155	0.15028	0.17626	0.11229
4	-3.01576	-0.62233	0.21839	-1.67078	1.19104	0.03384	-6.01541	-9.28281	2.53473	4.64286	8.48158	-0.52117	0.34190	-0.24824	-0.00074	0.47542	0.16819	0.09563	2.83576	3.43601	2.72254	5.02440	12.34505	-11.82384	12.75676	-1.71380	-4.82502	6.26362	0.92296	1.55853	1.93811	0.44516	-1.15602	1.82056	0.51203	0.54584	0.43670	-0.05141	-0.24452	0.22243	0.11262	0.05461
5	-1.62151	-0.76479	0.16942	-0.50444	1.74116	-0.11567	4.52445	-8.55640	2.41135	8.38638	8.85633	-0.64171	0.34720	-0.30532	-0.05051	0.64931	0.11565	0.00835	20.92576	2.78427	6.29051	27.36109	8.89876	-7.72445	8.03054	-1.50113	-2.74292	4.00955	-0.67723	-0.06732	4.84029	-0.83144	-1.79788	1.48016	0.50801	0.11984	0.94327	-0.14846	-0.46880	0.30763	0.11552	-0.01140
6	-0.93045	-0.65416	0.09248	1.86953	1.95842	-0.15778	9.25799	-6.01006	1.84719	14.92939	6.32503	-0.24391	0.43647	-0.34337	-0.05812	0.98622	0.10774	-0.02174	33.56829	-1.65816	8.43755	36.28463	1.90093	6.05153	1.48651	-0.80489	1.25229	3.84085	-1.10023	-1.36087	5.17825	-3.08145	-0.94012	1.91395	1.68842	-0.10032	0.95028	-0.51494	-0.29694	0.39278	0.26844	-0.03091
7	-1.06226	-0.01290	-0.09780	1.83601	2.13004	0.01680	4.50920	-0.37249	0.28741	13.23685	5.94912	1.23193	0.55684	-0.32189	-0.01184	1.06503	0.11221	-0.00741	23.71865	3.48224	7.72818	29.82933	-6.80184	15.51313	-0.52792	0.29725	2.95720	4.19501	-0.15304	-1.29568	3.22660	-3.71957	-0.00125	2.19078	2.53523	-0.04933	0.55455	-0.62904	-0.07583	0.31064	0.38884	-0.02842
8	-1.54171	0.93008	-0.41466	-0.58672	2.25976	0.29153	-7.38785	5.48311	-2.20456	6.86093	7.45834	2.81167	0.64000	-0.27371	0.07327	0.70408	0.08676	0.01229	-0.46437	14.41415	2.69201	21.21037	-11.63086	8.31145	1.82225	1.40709	1.05005	2.88019	0.42003	-0.77286	0.68500	-1.61104	-0.04504	1.98043	2.23520	0.16261	0.13425	-0.29095	-0.07376	0.04882	0.31499	-0.04069
9	-2.59187	1.36745	-0.60814	-2.25678	2.65675	0.46685	-19.69656	7.24578	-3.89986	5.71325	10.06565	3.77559	0.61740	-0.27313	0.12553	0.25809	0.09063	0.06596	-17.54024	22.30818	-2.51323	20.74845	-6.92555	-7.40509	4.28970	1.52631	-1.52107	1.15121	-0.09794	-0.53456	-0.23049	0.77973	-0.54284	1.81819	1.37630	0.44604	0.03645	0.05111	-0.14798	-0.12634	0.09894	-0.02043
10	-5.31153	0.72029	-0.33721	-1.06730	3.68162	0.37568	-27.97240	4.18517	-2.47196	10.96876	15.54952	4.56551	0.43161	-0.34535	0.05319	0.24810	0.14408	0.14534	-20.39585	28.29187	-0.89161	21.07159	0.35157	-12.47935	4.68140	0.73182	-1.87820	2.40217	-0.28359	0.12224	1.04477	1.08709	-0.58919	1.86816	0.78574	0.61236	0.22594	0.07117	-0.08637	0.00643	-0.03324	0.05549
11	-8.21131	-0.37603	0.29749	0.66819	4.70639	0.13867	-29.58337	-0.54848	1.69070	12.58248	21.92223	5.22791	0.17681	-0.39887	-0.07354	0.51858	0.16095	0.18988	-19.20383	31.58742	7.60835	10.26616	-2.38260	-2.27607	3.98961	0.15264	-0.47837	6.90592	0.96936	1.69070	2.75103	0.00007	-0.12215	1.58303	0.57365	0.42209	0.44082	-0.08463	0.08255	0.28976	0.02819	0.09636
12	-7.32129	-0.89690	0.84217	-0.07746	4.01152	-0.05112	-22.11303	-3.55681	5.51131	5.36901	22.14664	3.95854	0.20249	-0.37042	-0.05995	0.67105	0.04923	0.12810	-18.58636	25.69838	14.15517	-10.45365	-14.17348	9.29503	4.13420	0.31096	0.83950	10.86800	2.41952	3.15408	2.83030	-1.07196	0.55018	0.65898	0.32540	-0.00766	0.50154	-0.27293	0.23735	0.37792	0.11274	0.05496
13	-2.99192	-0.99300	0.95689	-1.16862	1.26810	-0.26591	-10.65070	-4.51078	6.05990	2.22252	13.50339	-0.24380	0.55699	-0.33679	0.05893	0.81627	-0.09848	-0.01781	-8.50773	12.13264	9.75349	-27.33265	-23.51819	10.15288	5.94131	0.83680	1.36228	11.23695	2.29729	3.23896	1.06705	-2.02027	1.17487	-0.08892	0.06157	-0.17574	0.36145	-0.47545	0.29764	0.22724	0.04404	0.03441
14	0.52597	-1.52436	0.60382	0.57361	-0.35714	-0.42952	-2.37377	-5.79610	2.62850	14.25962	4.69321	-3.55342	0.77224	-0.36867	0.06175	0.96583	-0.02223	-0.06057	16.82840	2.03563	-2.09947	-27.19831	-24.27279	4.09278	7.58423	1.25395	1.19272	8.87874	0.91122	1.78659	-1.08334	-2.53692	1.33932	0.41220	0.60323	0.03149	0.01316	-0.49999	0.22759	0.10739	-0.01552	0.07725
15	1.19134	-1.88377	-0.05345	3.53752	0.39253	-0.31186	0.85592	-6.96353	-2.65599	30.49519	1.20979	-2.46957	0.59682	-0.37270	-0.02965	0.85258	0.19026	-0.00263	40.51112	-1.93285	-10.02052	-9.79946	-19.60222	2.27160	6.07293	1.16148	0.56457	6.27793	-0.18499	-0.10176	-1.84790	-1.85742	0.76428	1.57929	1.88575	0.17115	-0.39124	-0.20858	0.08209	0.12063	0.11028	0.08571
16	-0.46343	-1.55490	-0.47731	4.40522	0.78883	-0.03108	-1.01708	-7.48117	-5.57086	35.35093	-1.15785	0.43277	0.27868	-0.27805	-0.05332	0.55709	0.17799	-0.04799	42.69321	-8.13071	-9.37934	14.92345	-14.39787	5.02271	1.97409	0.56130	-0.33242	4.13587	-0.75006	-1.39216	-0.06397	-0.27034	-0.43416	1.74096	2.57456	-0.05796	-0.39260	0.17388	-0.09855	0.07647	0.25701	0.00286
17	-2.40284	-1.35092	-0.17476	2.38860	0.49954	0.12638	-3.31503	-8.35117	-3.30104	28.02973	-1.19732	1.50169	0.20086	-0.19128	-0.00023	0.42021	-0.01031	-0.14662	30.52788	-12.66511	-2.18321	37.62032	-10.07170	1.52122	-0.09703	0.24827	-1.18901	2.29513	-1.63165	-1.92457	2.70662	0.93891	-1.47406	0.99369	2.02024	-0.35324	0.07029	0.31447	-0.25256	-0.03788	0.22673	-0.10005
18	-3.24976	-0.80948	0.41045	0.49670	0.83399	-0.06239	-3.51951	-5.07903	1.79470	19.68362	2.98690	-0.13479	0.47587	-0.21878	0.05025	0.67677	-0.11433	-0.15879	21.40864	-3.00622	4.96110	48.57058	-7.30285	-9.05090	2.47015	0.64624	-1.75067	2.49381	-2.30363	-1.31496	3.11106	1.14440	-1.46808	0.68644	0.80611	-0.29123	0.36622	0.18748	-0.25168	0.01474	0.08260	-0.11340
19	-3.17549	0.55799	0.51157	1.46249	1.25333	-0.43411	-5.42098	4.04973	4.37170	17.82230	5.44029	-2.54296	0.77653	-0.33778	0.04497	1.09091	-0.08355	-0.09933	16.55404	14.57104	5.49902	36.13238	-8.18832	-11.24329	6.11628	0.88729	-1.70954	5.99966	-1.19438	0.69168	1.00241	0.57305	-0.56601	0.61678	-0.10770	-0.08150	0.18162	-0.01194	-0.08352	0.20205	0.02771	-0.04840
20	-2.35037	1.03006	0.15956	2.89918	1.53669	-0.40774	-8.81278	8.02322	2.54427	17.39483	4.37350	-1.89986	0.71425	-0.45851	-0.01120	1.02684	0.04331	-0.00490	9.33142	18.97150	2.38563	6.87112	-12.59798	2.15843	6.22309	0.48977	-0.62770	9.66171	1.29943	2.71682	-0.48440	-0.57778	0.32228	0.03648	-0.14394	-0.10209	-0.08329	-0.19689	0.08941	0.23187	0.13027	-0.01246
21	-1.58817	0.67663	-0.26899	1.82285	2.66398	0.01760	-11.12800	2.37055	-0.67338	14.38238	7.49880	2.47941	0.38898	-0.44448	-0.02656	0.45973	0.18234	0.06077	2.37065	11.68183	1.61398	-10.38372	-17.40682	16.44749	3.84069	0.62212	1.23893	8.86541	2.65944	2.92604	0.22822	-1.95390	0.67737	-0.50092	0.32357	-0.19688	-0.06373	-0.36622	0.14758	0.03748	0.22994	-0.03448
22	-1.43963	0.78277	-0.47187	-1.12214	4.75434	0.25504	-11.13884	-3.46556	-1.72820	11.67093	18.95803	6.92330	0.25802	-0.31589	0.01174	0.04514	0.21451	0.03083	3.40173	14.40348	3.74996	-5.83652	-19.11636	16.00131	2.64784	2.06016	2.96917	3.86203	1.26019	1.06137	1.50648	-2.85867	0.78610	-0.32411	0.62995	-0.15211	0.05098	-0.44644	0.16735	-0.16435	0.16487	-0.05879
23	-1.43264	0.62685	-0.29533	-2.26852	5.48835	0.00133	-8.66705	-3.83996	-0.72597	13.50056	26.15696	6.87406	0.42126	-0.24483	0.01234	0.20529	0.12927	-0.09621	13.70621	23.54221	4.24123	-3.05159	-13.93597	4.80537	3.35423	3.31783	3.38156	0.13255	-1.62158	-1.05816	1.47476	-2.58578	0.93102	0.13340	0.55461	-0.10762	-0.02385	-0.32561	0.22545	-0.21791	-0.03832	-0.05287
24	-1.66624	-0.18901	0.02776	0.27363	3.42653	-0.43527	-6.40315	-1.52737	-0.01332	18.77900	16.45815	1.46073	0.55635	-0.25382	-0.01518	0.75968	0.10558	-0.19982	22.81430	17.11932	-0.04917	-12.59407	-2.33371	-2.68213	5.29560	2.54529	1.85363	2.11832	-3.08279	-1.11085	0.31081	-1.37489	0.93140	0.18997	0.16650	-0.13509	-0.15020	-0.10507	0.23724	-0.16523	-0.23246	-0.01980
25	-1.72717	-0.60119	0.18899	3.14096	0.41812	-0.57402	-3.48665	1.14463	-0.01901	20.30390	-0.96180	-4.77849	0.59867	-0.29859	0.00240	1.24048	0.19855	-0.16388	24.03653	-0.30671	-4.62803	-14.25956	6.17887	-0.95640	8.10873	0.61718	-0.37173	7.57507	-1.83880	0.78674	-0.65822	-0.56466	0.63566	0.11726	-0.09072	-0.10552	-0.10024	-0.01457	0.10378	-0.07774	-0.25556	0.01111
26	-1.04924	0.24397	0.07282	2.87394	-1.43371	-0.40190	3.62086	4.15730	0.24980	16.63771	-8.39786	-6.89852	0.67178	-0.37204	0.05557	1.27564	0.13519	-0.06918	26.58115	-6.17654	-3.68079	1.20016	1.33829	4.86917	9.42335	-0.21951	-1.55158	10.55488	0.74517	2.32815	-0.60692	-0.53665	0.03669	0.53517	0.29314	-0.01293	0.04074	0.00027	-0.13685	0.05131	-0.04842	0.00600
27	-0.39268	1.26685	-0.14020	-0.10455	-1.42364	-0.08499	10.84146	4.22747	0.76008	12.38749	-1.78524	-3.77860	0.61948	-0.41364	0.06826	0.68745	-0.14698	0.00435	33.34708	1.95359	2.67382	16.07279	-13.89221	8.63619	6.58859	0.15355	-1.43974	8.80356	2.36763	2.08361	0.37790	-0.33075	-0.63266	1.28996	1.17736	0.04481	0.11766	0.10227	-0.29503	0.23487	0.24338	-0.00412
28	-1.18341	0.80609	-0.14846	-2.47510	0.90404	0.25732	6.79735	0.12419	0.63474	14.08004	11.46005	1.97350	0.32043	-0.37755	-0.00439	-0.12965	-0.24001	0.13513	33.64206	15.13195	7.85419	17.85946	-26.38965	7.24125	1.55261	0.49845	-0.49101	4.68057	1.62283	0.37197	1.69938	0.09206	-0.74548	1.96525	2.04054	0.09003	0.18210	0.16841	-0.19034	0.43823	0.42399	0.03919
29	-2.93442	-0.38835	0.02153	-2.27892	4.20767	0.43870	-8.83862	-1.65837	-0.29077	21.81590	21.13875	5.94768	0.11146	-0.28377	-0.09061	-0.37183	0.01126	0.26668	22.43583	29.00641	6.60440	13.72999	-30.19815	3.27026	-1.48741	0.52014	1.07311	1.80823	-0.57256	-1.23005	2.35173	-0.32534	0.03585	2.18306	2.27458	0.15836	0.22209	-0.02247	0.12807	0.52076	0.39257	0.10852
30	-3.76013	-0.39745	0.08237	-1.03051	5.67260	0.41399	-20.40349	2.55785	-1.16855	23.53697	20.46627	5.97064	0.26727	-0.18286	-0.09374	0.21264	0.32362	0.23107	4.64126	35.14473	3.34787	12.60891	-28.15512	4.43504	-1.54251	0.91592	2.84096	2.47439	-1.66970	-0.78133	2.30177	-1.85824	0.94732	1.24876	1.18510	0.17309	0.20006	-0.38861	0.35021	0.27499	0.10058	0.12028
31	-2.85124	0.75984	-0.04263	-0.00021	4.55591	0.22494	-16.39140	7.53498	-1.25668	14.38975	12.92859	3.87461	0.57805	-0.14639	-0.01280	1.02303	0.46413	0.05187	-6.22499	28.35506	4.22342	11.15545	-20.34048	11.21827	0.70921	2.24488	3.82943	5.29696	-0.77884	1.36120	2.33086	-3.31359	1.02812	-0.47138	-0.68494	0.07833	0.19206	-0.57857	0.24250	-0.18584	-0.28623	0.04581
32	-1.11919	1.42623	-0.12750	1.32845	2.41093	-0.10256	-3.68462	7.75477	-0.73800	8.05307	7.12789	2.10107	0.71736	-0.18272	0.08938	1.21573	0.35720	-0.10417	3.53854	16.33826	5.54330	1.55882	-7.87484	12.90587	5.18167	3.45747	2.83423	6.77764	0.26637	2.08398	1.91673	-3.09262	0.42455	-0.93413	-0.95280	-0.18888	0.15026	-0.40893	-0.02297	-0.32346	-0.28142	-0.07948
33	-0.13727	0.71848	-0.02532	2.26915	0.94460	-0.27826	4.23986	3.36062	-0.31728	12.93848	5.65295	1.44361	0.60649	-0.22855	0.14106	0.58549	0.07896	-0.10665	26.30047	6.40186	2.59712	-8.88413	-1.53683	4.88493	9.61278	2.75668	0.06348	6.02844	-0.03282	0.14021	0.79530	-1.21530	-0.18474	0.71540	1.27238	-0.51156	0.07087	-0.08824	-0.15563	0.08927	0.24978	-0.15902
34	-0.38500	-0.45801	0.08832	1.50580	0.74772	-0.03550	4.78437	-1.82729	-0.27939	18.85384	4.84583	1.22398	0.42659	-0.30050	0.09255	-0.03545	-0.15170	0.02867	38.49730	-2.54361	-0.42434	-3.74982	-7.44556	-4.49942	10.35133	0.17880	-2.41603	5.08581	-0.75165	-1.51049	-0.38719	0.58173	-0.34428	2.47008	3.17823	-0.43770	-0.01148	0.04270	-0.06941	0.51976	0.65241	-0.09765
35	-0.85439	-0.83926	0.02653	-0.12870	1.09901	0.31429	3.79860	-4.08156	-0.30608	17.88597	2.45675	-0.10194	0.39724	-0.44204	-0.01866	0.15128	-0.21123	0.14088	32.97080	-9.40098	0.01179	12.04341	-14.49161	-7.40986	7.84997	-2.20655	-3.39443	5.38832	-0.40264	-0.35478	-1.03074	1.28647	-0.26418	1.96761	2.16949	0.01856	-0.04099	-0.03918	0.05599	0.33437	0.37311	0.02564
36	-0.64942	-0.32376	-0.11231	-1.13250	1.79212	0.43030	4.14742	-2.33534	-0.20389	16.23183	2.58346	-1.78722	0.52467	-0.53539	-0.07814	0.69970	-0.07310	0.20585	25.37545	-4.96303	1.64773	14.53125	-13.49073	-3.54523	5.07745	-2.25671	-3.14891	5.99333	0.54281	2.00689	-0.93498	1.39759	-0.46560	-0.14012	-0.45329	0.34271	-0.02740	0.00579	-0.00477	-0.28794	-0.26799	0.07084
37	-0.50004	0.56816	-0.18896	-2.29505	2.85869	0.55146	3.27260	1.98626	-0.36511	16.38013	7.69598	-0.90287	0.58446	-0.41383	-0.03813	0.64621	0.21609	0.31242	23.30967	12.26614	3.42017	-0.99134	-12.95003	4.00192	2.66002	0.59224	-1.44259	4.88194	0.44280	2.43711	-0.05592	1.10960	-0.82326	-1.01368	-1.59087	0.35816	-0.11366	0.36889	-0.22261	-0.54402	-0.54372	0.05113
38	-1.50679	1.11912	-0.17087	-4.43229	3.12828	0.84348	-2.19904	4.85861	-0.83343	11.56030	12.43737	2.72719	0.43511	-0.15752	0.01465	0.00706	0.42910	0.36161	15.37628	26.22327	5.69449	-13.20984	-20.19387	11.13564	1.04606	4.46084	1.74565	2.74547	-0.55969	0.69362	1.93261	-0.26628	-0.75046	0.33094	-0.32439	0.24165	-0.15255	0.70282	-0.37070	-0.09405	-0.19650	0.03988
39	-2.99969	1.01531	-0.09354	-5.02448	1.66099	0.83644	-10.74860	3.42000	-0.90867	3.72204	10.58119	4.80776	0.25407	-0.03408	0.00869	-0.27878	0.31736	0.17721	-0.88359	21.02038	5.60688	-7.25800	-24.80268	12.74448	1.91695	5.68369	4.36986	2.79697	-0.62706	-0.51665	4.25550	-2.58949	-0.01869	2.17165	1.50682	0.18624	0.16949	0.43840	-0.25601	0.57694	0.33465	0.06515
40	-3.24679	0.86773	-0.05410	-2.09560	-0.51852	0.20877	-15.03410	0.74733	-0.19252	2.14350	3.12886	2.17376	0.30695	-0.16758	-0.02457	0.24094	-0.06182	-0.17271	-10.00206	1.68287	1.42370	8.30848	-17.59088	6.02906	5.21730	2.47403	3.89043	5.35601	0.71394	0.07822	4.40689	-4.07361	0.92378	2.61616	2.21099	0.08553	0.57307	-0.39970	0.07995	0.80607	0.56506	0.06038
41	-1.97856	1.20371	-0.06515	1.61095	-1.22215	-0.51590	-9.92212	1.24642	1.01617	6.75994	-1.67558	-2.05936	0.56410	-0.37312	-0.03379	0.96779	-0.32717	-0.38842	-1.80510	-9.61980	-1.85208	15.71073	-10.30745	-2.44707	7.98059	-1.81195	0.77771	7.64588	1.86353	1.19832	2.22143	-3.25223	1.09770	1.34373	1.67391	-0.25409	0.63071	-0.97365	0.30713	0.45937	0.43256	-0.03932
42	-0.72082	1.72633	-0.03539	2.60509	0.37703	-0.67034	0.09893	3.89203	2.10787	11.47426	1.71900	-2.97648	0.74417	-0.38904	-0.00676	1.19379	-0.21965	-0.29224	16.64431	-1.02983	0.56897	6.14834	-14.67385	-1.86701	6.81178	-2.71572	-1.19253	7.97625	1.36466	1.63693	0.32572	-1.47389	0.56655	-0.70513	0.43034	-0.69700	0.37615	-0.84746	0.27114	-0.08873	0.11488	-0.16545
43	-0.36194	1.12720	0.10158	1.35400	2.61963	-0.27610	5.23495	2.73035	2.44217	14.38794	8.38604	-0.38158	0.74369	-0.30658	-0.00112	0.95402	0.07167	-0.04035	28.94771	11.35187	5.57649	-10.19627	-18.64804	5.29132	3.66060	-0.68594	-0.12007	6.37199	-0.27326	1.27000	0.03564	-1.05123	0.46496	-1.87858	-0.65737	-0.80668	0.11316	-0.52034	0.20547	-0.42132	-0.19145	-0.19050
44	-0.55755	-0.97162	0.25000	-0.43237	2.78615	0.27088	1.19317	-3.35807	1.37086	13.57510	8.38930	1.98189	0.65233	-0.35538	-0.04631	0.56498	0.19457	0.10127	22.59784	6.84949	6.51115	-14.93354	-10.91197	6.34543	3.28602	0.96970	1.42073	4.08958	-1.18301	0.70598	0.82615	-1.62114	0.71671	-0.92336	-0.65683	-0.26519	0.11099	-0.32262	0.16006	-0.32026	-0.28814	-0.05213
