	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d
	R_KNEE_MOMENT	R_KNEE_MOMENT	R_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	NECK_MOMENT	NECK_MOMENT	NECK_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																										
2																																										
3	0.49923	-2.17479	1.22466	4.11006	-1.80241	-0.41783	17.21227	-12.25067	4.63896	11.43629	-4.39964	-1.52651	0.45421	-0.10155	0.10467	0.86681	-0.05967	-0.03803	39.38348	-19.48364	6.53716	24.08049	13.02292	13.56087	3.48737	2.22177	3.50373	12.04483	-3.65336	1.30637	3.26091	-4.66106	1.85054	4.02664	2.66902	-0.39681	0.19446	-0.39650	0.08199	0.57497	0.45663	-0.07231
4	-0.31833	-3.48776	1.58246	5.12278	-2.39144	-0.41584	14.31276	-17.57325	3.09402	14.34242	-7.40773	-0.29915	0.35605	-0.12390	0.10700	0.81156	-0.09975	-0.13833	39.27782	-26.87329	5.46790	13.53522	8.84931	6.48683	4.29812	-0.69789	0.55247	9.95043	-1.61692	1.19483	1.87815	-1.84503	0.41271	2.07883	2.22110	-0.83808	-0.11209	-0.00575	-0.00134	0.42668	0.43612	-0.16049
5	-4.50042	-2.15179	0.46868	2.94505	-0.25744	-0.11032	-7.49147	-11.69773	-1.04850	7.73824	-0.43845	0.53783	0.17377	-0.13236	0.01742	0.67145	-0.02676	-0.07218	2.67269	-13.68666	-0.40593	-9.95878	1.80341	-5.54232	2.24392	-2.56993	-1.94142	2.43821	-0.28216	0.14363	0.22811	1.18363	-0.95339	0.16165	0.50237	-0.45187	-0.25523	0.27519	-0.04439	0.17423	0.08518	-0.06218
6	-7.14971	-0.16044	-0.60358	0.79750	1.70887	0.11068	-19.77326	-2.70452	-2.25180	2.03314	6.30906	0.17143	0.12036	-0.14418	-0.05503	0.65262	0.06897	0.05325	-19.10663	1.50675	-2.44175	-22.69624	-4.24211	-8.53535	0.69494	-0.97516	-1.38330	-2.69883	-0.63115	-1.08997	-0.01649	1.21722	-0.75492	-0.35437	-0.31587	-0.20043	-0.09152	0.14627	-0.00169	-0.00449	-0.12395	-0.01586
7	-6.80074	0.82149	-0.81705	0.50344	1.95823	0.11127	-15.13491	0.11661	0.00842	3.55572	6.62758	-0.74772	0.17872	-0.11522	-0.05652	0.69985	0.13429	0.12276	-9.12618	4.20181	-0.38795	-9.35204	-2.25113	-1.95115	2.44895	2.07170	1.06836	-1.81641	-1.85748	-1.38625	1.69814	-1.44739	0.50212	0.46567	0.18659	-0.27090	0.23862	-0.18750	0.04552	-0.04490	-0.04032	-0.08591
8	-6.05666	0.60057	-0.52640	0.81005	1.49343	0.07242	-8.34727	-4.41533	1.94399	5.18106	5.14846	-0.87187	0.19854	-0.04035	-0.01780	0.67285	0.16459	0.12496	2.42415	-0.60888	2.02638	14.29694	1.24787	4.99364	4.66469	3.17317	2.46718	2.16563	-2.85152	-0.55169	3.69857	-3.61528	1.17577	1.92242	0.85269	-0.05067	0.39789	-0.37631	0.05029	0.06545	0.10048	-0.08534
9	-5.07637	-0.48862	-0.05101	0.90202	1.57430	0.05218	-3.12465	-10.81391	2.12853	2.36591	7.47515	-0.24377	0.24068	-0.03847	0.01294	0.63057	0.16159	0.08015	3.90383	-1.48056	4.55345	23.48739	-3.73812	7.15123	3.63226	1.63483	1.42669	5.29604	-3.20944	0.44159	3.77540	-2.84999	0.46065	3.31466	1.11410	0.53925	0.24669	-0.25113	0.00805	0.29139	0.10095	0.08107
10	-2.79708	-1.79014	0.47141	1.53915	1.81299	-0.06218	3.36630	-12.57684	1.43427	1.77583	10.80292	-0.01982	0.40062	-0.19789	0.02267	0.71510	0.12927	-0.00588	8.89261	3.06781	5.35509	18.53486	-13.11376	7.00722	0.32131	-0.01478	-0.13160	6.35712	-3.06482	0.73129	2.35981	-0.75977	-0.52305	3.71994	1.25385	0.78562	0.05028	-0.01198	-0.04878	0.44694	0.01028	0.25165
11	-1.73477	-2.01851	0.50122	2.02264	1.16537	-0.13327	2.85597	-7.37074	-0.22206	5.82589	8.60350	0.07954	0.53302	-0.32960	0.04134	0.75994	0.06665	-0.08847	12.96548	4.89731	1.54414	13.84254	-14.84734	6.38005	-1.75304	0.48028	0.03689	5.45345	-2.56635	0.30554	1.77649	-0.37431	-0.50142	2.67222	1.33719	0.32341	0.09506	0.00955	-0.06285	0.36091	-0.02735	0.23463
12	-3.81047	-0.91079	-0.07049	1.10813	0.08803	0.07301	-8.45545	-0.87689	-2.27530	7.53607	1.34134	1.19600	0.47166	-0.22207	0.07659	0.54506	-0.01245	-0.09465	2.80044	-2.63657	-3.44680	7.23572	-3.09394	2.43694	0.05900	1.56263	0.66312	3.54526	-2.04309	-0.27785	1.99437	-1.11467	0.00893	1.02584	1.18849	-0.41986	0.22959	-0.11746	-0.03316	0.11346	0.04541	0.02156
13	-6.71191	0.00943	-0.47714	-0.67038	-0.32606	0.36015	-19.92248	-0.74699	-2.66509	1.66548	-4.13806	2.47078	0.26285	-0.02932	0.07396	0.28383	-0.06708	-0.04362	-17.68491	-14.94763	-3.65535	-6.33361	14.31329	-4.66390	5.98686	0.24134	-0.41245	2.11132	-1.93957	-0.61557	1.42541	-0.84155	0.04196	0.27840	0.87157	-0.81336	0.21212	-0.16233	0.00583	-0.05747	0.13969	-0.21081
14	-8.31514	-0.17436	-0.36682	-1.32970	-0.01606	0.28052	-23.72662	-6.42689	-1.08705	-5.27653	-2.78791	1.61493	0.07122	0.00428	0.00141	0.31757	-0.05588	-0.00962	-31.68098	-18.95247	-0.50731	-12.41093	21.93827	-7.07805	11.60724	-2.03319	-1.33803	1.57024	-2.12356	-0.60311	0.93974	-0.80381	0.24710	0.87730	0.53229	-0.52329	0.20815	-0.29766	0.10943	-0.02917	0.12013	-0.23962
15	-7.87830	-0.66828	-0.14455	1.50864	0.25745	-0.31075	-19.46115	-10.55115	0.56186	0.67055	3.52611	-1.76499	0.04347	-0.07091	-0.08213	0.67734	-0.01880	-0.02596	-20.13232	-9.22961	-0.44688	-2.01808	15.78734	-0.42492	10.19442	-1.14886	0.63810	2.08852	-2.34353	-0.19789	1.56175	-2.53427	1.39482	2.11617	0.37179	0.21458	0.26603	-0.56796	0.29337	0.16547	0.00773	-0.03995
16	-4.75652	-1.19403	0.16293	5.96013	-0.32980	-0.92379	-7.54691	-10.36291	1.27405	15.98639	6.09983	-4.55006	0.21465	-0.16001	-0.10572	1.04528	-0.05217	-0.09581	12.27557	-0.95087	-3.22648	8.54433	7.16433	6.19573	1.59998	1.41531	2.99861	4.04633	-2.66106	0.48679	1.41822	-3.18049	2.02200	3.16283	0.56192	0.78102	0.05435	-0.46515	0.34923	0.40923	-0.04791	0.17861
17	-1.26380	-2.24623	0.72207	5.97509	-0.15862	-0.63871	4.46643	-9.73445	1.31070	20.11982	3.25580	-2.98208	0.45357	-0.29950	-0.07043	0.99609	-0.02133	-0.06593	31.39330	-6.00164	-2.66907	2.86260	4.45316	1.72688	-5.03222	-0.14904	1.18847	6.33420	-2.52523	1.16739	-0.34834	-0.16614	0.43879	2.95507	0.87324	0.68055	-0.31390	0.13051	0.10291	0.48232	-0.00072	0.22726
18	-1.69517	-2.90261	0.95569	0.77183	2.11438	0.47878	3.14609	-9.90220	0.69611	8.30354	2.43225	1.59452	0.53622	-0.37951	-0.02233	0.56769	0.21057	0.15319	16.42898	-12.05972	1.05914	-9.47275	4.01122	-10.58344	-2.34874	-4.54133	-3.13035	6.19731	-1.29068	1.31556	-1.25304	3.19783	-1.88365	1.07931	0.87479	0.00272	-0.25197	0.52983	-0.24249	0.25753	0.07029	0.10152
19	-5.67995	-1.91989	0.37888	-3.59902	3.36535	1.04267	-10.63424	-8.27673	-0.22711	-5.38780	5.00188	3.71496	0.35563	-0.23449	-0.00215	0.27937	0.35055	0.26636	-15.39709	-6.41784	2.82410	-2.24121	0.74731	-16.32504	5.02042	-4.36034	-4.23047	2.63018	-0.00504	0.29276	0.53217	2.57916	-2.27574	-0.54672	0.75102	-0.65282	0.26830	0.29504	-0.35051	-0.03417	0.15673	-0.10497
20	-8.08835	-0.04376	-0.50705	-2.43629	1.74333	0.41523	-18.05781	-4.52391	-0.69623	-7.98990	7.26794	1.71129	0.09866	0.01442	0.00001	0.42579	0.17563	0.06871	-27.42043	5.75210	2.19160	28.20924	-6.24577	-6.31428	8.06600	0.84448	-1.20983	-0.78532	-0.51486	-1.42501	3.38384	-0.96844	-0.73523	0.18263	1.09809	-0.83735	0.63437	-0.18656	-0.19220	-0.07850	0.27536	-0.26638
21	-6.55614	1.20831	-1.04006	1.71805	-0.42158	-0.40992	-9.70719	-1.02176	-0.95326	0.19299	6.16076	-0.55580	0.05878	0.12634	0.04605	0.69227	-0.06588	-0.20141	-7.55768	10.69446	1.48186	48.01200	-14.17089	11.72516	6.57862	4.23029	1.66287	0.52792	-2.52270	-1.82365	4.91367	-3.48263	0.63718	2.33556	1.58504	-0.50147	0.60829	-0.41811	-0.02210	0.14393	0.29407	-0.23167
22	-4.15418	1.05415	-0.97456	3.82375	-0.93222	-0.46837	-0.45571	-1.04859	-1.55184	9.91378	2.58423	-0.19598	0.23885	0.02966	0.13433	0.75410	-0.08656	-0.25611	15.84947	3.65656	0.23006	27.52771	-14.47353	19.40342	5.61075	2.60119	1.61963	5.12324	-3.62815	-0.07553	4.45408	-3.23838	0.71603	3.13849	1.26706	0.11583	0.42558	-0.33737	0.02156	0.35378	0.10826	-0.00014
23	-3.88373	-0.43438	-0.31320	3.69783	0.42305	-0.03161	-4.88772	-6.49873	-1.74266	15.02186	1.56307	1.02163	0.38932	-0.18654	0.16061	0.75152	0.07992	-0.08767	16.04432	-8.31520	-2.46745	-14.63498	-0.60130	9.43882	4.73978	-0.37757	-0.00187	7.24481	-2.83819	1.75581	2.58138	-1.31810	0.06516	1.78251	0.35222	0.48232	0.16116	-0.11368	0.01993	0.32830	-0.12041	0.21165
24	-5.14898	-2.35536	0.61374	2.66477	2.09338	0.20540	-17.27881	-14.08448	-0.62939	12.36518	3.40684	0.42861	0.38791	-0.38465	0.05219	0.74248	0.19101	0.10983	-3.95219	-18.37691	-4.94776	-32.27985	20.58780	-5.41374	1.07422	-0.94288	-0.90168	5.32175	-1.69525	1.63076	0.77108	0.36340	-0.53518	0.26588	0.00791	0.23781	-0.14913	0.07698	0.03060	0.17542	-0.14960	0.20078
25	-6.26776	-3.13936	1.05115	0.78867	2.59273	0.13997	-23.45536	-16.06262	0.97305	3.26956	4.71582	-1.30676	0.28582	-0.41151	-0.11255	0.63579	0.16213	0.19515	-22.78034	-19.30745	-4.67931	-11.59147	29.38947	-11.14972	-2.04969	0.34405	-0.73186	2.00907	-1.60487	-0.07739	0.52150	0.57659	-0.79788	0.40270	0.52722	-0.21375	-0.21593	0.08448	-0.00474	0.08681	0.00114	0.02614
26	-6.02434	-2.01831	0.62425	-1.00067	1.55057	0.03421	-16.63969	-9.48854	1.78512	-4.80205	4.24836	-1.57086	0.18601	-0.22513	-0.16945	0.53581	0.07458	0.12242	-22.44708	-8.18184	-0.60331	15.88652	12.48040	-8.26420	0.48171	0.93738	-0.55339	-0.27165	-2.16126	-1.60264	1.35725	-0.27215	-0.69303	1.74817	1.13767	-0.28181	0.06451	-0.07382	-0.09362	0.09614	0.13664	-0.10003
27	-4.27883	-0.22357	-0.08307	-1.32522	-0.25667	0.01167	-3.30965	-1.96578	1.66725	-5.23302	2.97027	0.21093	0.19410	-0.00071	-0.06344	0.53068	-0.02130	-0.05363	-5.31099	3.56732	4.54087	21.21525	-15.09089	-3.04742	6.46863	-0.23738	-0.69229	0.28526	-2.21017	-1.47774	1.88055	-1.07426	-0.26457	2.70840	1.21399	-0.00054	0.38111	-0.22579	-0.12508	0.14919	0.16434	-0.10299
28	-2.94974	0.68291	-0.45243	0.07116	-1.27965	-0.00301	3.60167	-1.13073	1.04282	1.60628	2.41603	1.76046	0.27776	0.09569	0.07635	0.55163	-0.09838	-0.17346	10.74062	4.31339	6.09594	10.50551	-24.91335	2.55559	9.07957	-1.55505	-0.15188	3.31204	-1.73055	-0.06353	2.18520	-1.79501	0.44880	2.65219	0.91928	0.20511	0.46110	-0.29850	-0.02601	0.18500	0.11595	-0.05392
29	-3.52651	0.41253	-0.43708	2.03650	-0.47036	-0.07989	1.01963	-4.55113	0.43735	8.02510	4.41557	1.28739	0.29676	0.07370	0.09592	0.58470	-0.10087	-0.14182	14.04893	0.25760	4.57874	3.59125	-12.23566	6.64525	5.58648	-0.54447	1.42068	4.62197	-1.47719	0.72810	2.95325	-2.68808	1.08727	2.20311	0.62117	0.29641	0.37777	-0.31242	0.09106	0.17127	0.02743	0.01402
30	-4.93935	-0.61459	-0.16690	2.64842	1.50259	-0.10230	-3.81655	-6.44313	0.14689	7.30717	8.11341	-0.18130	0.23655	-0.03722	-0.00840	0.64687	0.00975	-0.01301	7.56964	1.42992	3.57598	6.39956	5.73964	5.11484	-0.07216	1.88025	2.28356	2.01004	-1.30008	0.20435	3.65191	-2.75686	0.86415	1.90500	0.38468	0.51556	0.31804	-0.24034	0.06418	0.12214	-0.05896	0.10904
31	-5.62416	-1.83720	0.22575	1.57821	2.64915	0.03821	-7.81701	-7.14083	-0.16445	3.32820	7.82606	-0.82384	0.21376	-0.22115	-0.10841	0.68444	0.17268	0.10746	-0.65453	0.68733	1.65191	11.39648	17.36478	-1.11686	-1.95008	2.00674	1.04330	-0.04877	-1.01024	-0.29541	3.07056	-1.32118	-0.12172	1.73668	0.37158	0.63190	0.25431	-0.09076	-0.03831	0.11548	-0.05678	0.16100
32	-5.53763	-2.62191	0.56123	1.03203	1.90217	0.20573	-12.89409	-10.15445	-0.61482	4.05346	0.93158	-0.35682	0.27528	-0.36069	-0.09403	0.71012	0.26613	0.15977	-6.20530	-12.09687	-3.00411	11.08281	18.25748	-4.83653	1.25592	-0.32562	-0.60278	2.59576	-1.51121	0.07789	1.01770	0.15137	-0.41307	1.63111	0.77487	0.22192	0.02910	-0.00930	0.02336	0.21797	0.05412	0.09067
33	-5.65457	-2.26865	0.48703	2.20453	0.20677	0.16973	-16.92929	-12.83567	-0.91071	8.82957	-5.72219	0.26519	0.33690	-0.33378	0.01601	0.77264	0.21684	0.11903	-7.57158	-24.83183	-6.36750	7.23171	4.66869	-2.37933	4.94011	-1.31495	-0.53721	6.21444	-2.78457	0.36223	-0.47661	0.01161	0.39579	1.62815	1.26964	-0.45555	-0.21504	-0.09032	0.22233	0.31194	0.17480	-0.06784
34	-5.98859	-0.61746	-0.19129	3.24933	-0.43362	-0.07545	-14.53266	-8.45441	-0.84500	10.69919	-2.83511	0.04124	0.33300	-0.18990	0.10385	0.81122	0.07454	0.00848	-3.35385	-15.34293	-4.58637	7.13935	-11.77018	1.13796	5.66245	0.13796	0.18276	5.45247	-3.21139	-0.27604	0.64090	-1.02990	0.68429	1.74741	1.38665	-0.73944	-0.12979	-0.20185	0.22678	0.25414	0.20745	-0.18984
35	-5.06415	0.97915	-0.81663	2.85372	0.35644	-0.37490	-5.16933	-0.03852	0.05661	8.83634	6.54359	-1.41706	0.31410	-0.07786	0.08264	0.78210	-0.04656	-0.10195	7.41670	8.39167	-0.26183	6.72597	-6.38914	-0.89325	5.78741	0.70170	-0.95721	2.65840	-2.19116	-0.79417	2.33130	-0.59417	-0.58848	1.65439	1.14771	-0.55044	0.12962	-0.05855	-0.06892	0.15432	0.16112	-0.17360
36	-2.91441	0.95260	-0.64566	1.99528	0.53928	-0.59847	2.75944	1.11535	1.44966	8.27785	8.90115	-3.09541	0.34715	-0.04611	-0.01161	0.69900	-0.10249	-0.17849	18.47931	12.96928	1.25706	-4.37557	18.78898	-6.90918	7.24457	-0.91377	-3.11137	3.25891	-0.86650	0.11431	1.26498	1.40047	-1.85289	1.11591	0.85203	-0.27067	0.09490	0.30594	-0.33288	0.20230	0.11208	-0.03697
37	-2.14447	-0.19258	-0.08627	1.50874	-0.02883	-0.52957	-0.98423	-5.26125	1.37661	8.35602	3.61398	-2.93278	0.39202	-0.03825	-0.07429	0.59809	-0.06345	-0.17159	14.02539	-2.91149	-1.13155	-16.09144	28.65351	-8.30892	6.24297	-1.18393	-2.38007	6.04854	-0.51053	1.51862	-0.99550	1.75757	-1.01712	0.79351	0.64620	0.00350	-0.12378	0.39311	-0.22954	0.32111	0.07619	0.10738
38	-3.98338	-1.15245	0.21415	0.73871	0.60432	-0.08279	-14.56631	-8.91580	-0.43287	1.94621	2.69462	-0.52026	0.34957	-0.05589	-0.06716	0.58780	0.07113	-0.03556	-13.11059	-8.94636	-2.95863	-7.11664	6.39942	-1.12372	0.78978	1.70390	1.75999	5.68143	-1.44151	1.41796	-0.54593	-1.01818	1.27346	1.41452	0.52043	0.36782	-0.05310	-0.03489	0.12154	0.28311	0.01050	0.15877
39	-6.67270	-1.77059	0.34261	-0.93199	1.92962	0.43984	-23.26260	-8.23853	-1.43182	-9.01091	6.98663	2.15033	0.21099	-0.12420	-0.02936	0.60476	0.16524	0.12880	-39.29152	-1.81398	-0.14982	20.80840	-21.68504	8.63831	-3.22501	3.60502	4.48548	1.78340	-2.90101	-0.34468	2.83670	-4.03982	2.21290	2.67915	0.62662	0.60801	0.37669	-0.57889	0.28200	0.12225	-0.03533	0.09416
40	-8.06325	-2.28816	0.46384	-2.25102	2.46967	0.75292	-17.51131	-10.20287	-0.41646	-10.10774	8.63216	3.44481	0.10755	-0.20112	0.00863	0.43300	0.15342	0.20320	-31.05562	-2.74690	4.86324	42.97094	-23.87669	13.01898	-0.21817	1.13738	2.59364	-1.04882	-3.59476	-2.00831	6.26363	-4.47424	0.73854	3.63207	1.13662	0.43223	0.83375	-0.80070	0.09734	0.07778	0.06320	-0.03836
41	-7.15220	-2.21970	0.35385	-1.35768	2.27645	0.72136	-3.47120	-13.59113	0.91782	2.36291	6.91898	3.10383	0.15629	-0.25211	0.03786	0.26291	0.10795	0.16075	6.13354	-10.54252	6.70100	38.40844	0.10879	9.88178	6.71126	-2.37758	-1.04082	0.28763	-2.71590	-1.83717	6.97558	-2.84632	-1.10832	3.25132	1.64078	-0.05338	0.92212	-0.61577	-0.15034	0.13240	0.25141	-0.14746
42	-4.31141	-0.91362	-0.17678	1.56689	1.41881	0.24009	6.52701	-9.97698	0.86328	13.12491	5.85688	1.39446	0.31657	-0.24243	0.05671	0.48799	0.04523	0.00639	31.92256	-6.01969	4.36578	11.24320	23.71728	2.11025	9.77268	-2.67106	-2.59422	3.99178	-0.78032	0.06341	4.16506	-0.62238	-1.46851	1.31297	1.43161	-0.42338	0.48020	-0.11137	-0.22052	0.06486	0.28599	-0.13808
43	-1.71840	0.50199	-0.60272	4.29487	-0.11108	-0.45331	4.87113	-1.51110	-0.26609	11.58838	5.53653	-0.68069	0.45074	-0.16532	0.06336	0.92945	-0.03610	-0.18304	23.33509	7.38185	0.55474	-10.96733	20.66883	-5.46451	5.29875	-0.20626	-1.45732	5.43809	0.28906	1.54154	-0.21675	1.12166	-0.53831	-0.48839	0.55960	-0.32523	-0.20103	0.39181	-0.10927	-0.05883	0.08444	0.00191
