	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d
	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	0.34840	0.25439	0.00332	0.00304	0.63123	0.00479	0.31877	0.21299	0.01119	0.00815	0.58022	0.00982	0.35280	0.20042	0.01856	-0.01862	0.58469	0.01710	0.23751	0.03919	0.04059	0.00194	0.38336	0.01858
2	0.34852	0.25415	0.00313	0.00345	0.63141	0.00524	0.31886	0.21272	0.01069	0.00853	0.58033	0.00959	0.35289	0.20006	0.01792	-0.01828	0.58484	0.01668	0.23750	0.03880	0.03909	0.00217	0.38350	0.01878
3	0.34862	0.25392	0.00305	0.00387	0.63177	0.00552	0.31893	0.21246	0.01038	0.00896	0.58066	0.00948	0.35295	0.19972	0.01750	-0.01790	0.58517	0.01641	0.23740	0.03841	0.03743	0.00260	0.38384	0.01886
4	0.34861	0.25367	0.00296	0.00407	0.63212	0.00542	0.31890	0.21220	0.01016	0.00923	0.58102	0.00936	0.35291	0.19937	0.01718	-0.01765	0.58549	0.01623	0.23724	0.03797	0.03568	0.00313	0.38420	0.01891
5	0.34855	0.25334	0.00287	0.00411	0.63232	0.00502	0.31883	0.21186	0.00991	0.00937	0.58123	0.00908	0.35282	0.19895	0.01684	-0.01749	0.58568	0.01601	0.23702	0.03750	0.03400	0.00364	0.38442	0.01912
6	0.34859	0.25293	0.00292	0.00417	0.63243	0.00467	0.31880	0.21143	0.00956	0.00951	0.58136	0.00881	0.35276	0.19845	0.01647	-0.01733	0.58580	0.01582	0.23676	0.03704	0.03257	0.00406	0.38459	0.01959
7	0.34875	0.25250	0.00318	0.00429	0.63265	0.00467	0.31884	0.21099	0.00916	0.00968	0.58159	0.00881	0.35278	0.19792	0.01609	-0.01714	0.58603	0.01594	0.23647	0.03665	0.03142	0.00438	0.38484	0.02016
8	0.34899	0.25211	0.00355	0.00444	0.63300	0.00502	0.31893	0.21061	0.00885	0.00984	0.58194	0.00924	0.35283	0.19743	0.01575	-0.01694	0.58639	0.01648	0.23612	0.03639	0.03038	0.00460	0.38519	0.02062
9	0.34920	0.25183	0.00380	0.00462	0.63329	0.00548	0.31901	0.21038	0.00866	0.01001	0.58225	0.00988	0.35287	0.19707	0.01549	-0.01675	0.58669	0.01720	0.23567	0.03631	0.02936	0.00474	0.38549	0.02102
