	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.23225	0.02961	0.04049	0.01035	0.37371	0.01024
2	0.23277	0.03014	0.04334	0.00973	0.37399	0.01058
3	0.23336	0.03082	0.04615	0.00915	0.37427	0.01074
4	0.23418	0.03153	0.04896	0.00877	0.37449	0.01062
5	0.23508	0.03219	0.05172	0.00866	0.37463	0.01036
6	0.23582	0.03281	0.05444	0.00881	0.37476	0.01010
7	0.23628	0.03342	0.05734	0.00917	0.37500	0.00983
8	0.23668	0.03404	0.06065	0.00954	0.37536	0.00955
9	0.23729	0.03466	0.06428	0.00977	0.37562	0.00937
10	0.23819	0.03529	0.06790	0.00987	0.37561	0.00929
11	0.23915	0.03598	0.07125	0.00993	0.37552	0.00912
12	0.23990	0.03683	0.07431	0.01000	0.37565	0.00871
13	0.24035	0.03791	0.07726	0.01005	0.37596	0.00824
14	0.24064	0.03918	0.08027	0.01003	0.37618	0.00800
15	0.24100	0.04059	0.08335	0.00989	0.37615	0.00805
16	0.24150	0.04214	0.08636	0.00965	0.37598	0.00822
17	0.24195	0.04385	0.08929	0.00956	0.37599	0.00823
18	0.24214	0.04564	0.09230	0.00988	0.37632	0.00794
19	0.24212	0.04728	0.09545	0.01049	0.37679	0.00752
20	0.24207	0.04864	0.09863	0.01102	0.37711	0.00723
21	0.24213	0.04976	0.10159	0.01113	0.37715	0.00725
22	0.24233	0.05078	0.10421	0.01089	0.37695	0.00755
23	0.24270	0.05176	0.10658	0.01052	0.37664	0.00793
24	0.24323	0.05271	0.10888	0.01025	0.37643	0.00815
25	0.24384	0.05364	0.11108	0.01021	0.37640	0.00814
26	0.24446	0.05458	0.11301	0.01033	0.37640	0.00798
27	0.24508	0.05555	0.11463	0.01041	0.37630	0.00781
28	0.24572	0.05656	0.11613	0.01043	0.37617	0.00771
29	0.24641	0.05750	0.11763	0.01054	0.37605	0.00766
30	0.24709	0.05822	0.11899	0.01075	0.37591	0.00761
31	0.24763	0.05874	0.11991	0.01097	0.37569	0.00754
