	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d
	R_KNEE_MOMENT	R_KNEE_MOMENT	R_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	NECK_MOMENT	NECK_MOMENT	NECK_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																										
2																																										
3	-3.19906	-1.12721	0.27008	-2.39187	-0.47015	0.08907	-0.47189	-5.16434	0.81011	-8.72813	-2.47976	-0.45706	0.50223	-0.60060	-0.09545	0.46608	-0.09613	-0.07481	-9.03648	-13.46075	3.16002	24.73851	0.69118	8.15699	5.31450	-1.25456	-2.36080	8.80216	0.35173	0.55315	0.13662	1.34724	-0.41228	-0.64923	1.87169	-0.81985	-0.16707	0.24459	0.03257	-0.02874	0.28892	-0.05370
4	-4.41435	-0.67604	-0.04615	-2.25499	-1.56866	-0.00901	-0.26627	-6.99147	-0.06817	-4.79227	-5.69472	-2.37617	0.52325	-0.62334	-0.11873	0.67429	-0.05598	-0.01357	-1.95668	-15.85006	-0.57446	20.37945	8.37353	-3.67907	5.77919	0.12051	-1.07235	5.91919	-0.94853	-0.16735	-0.76860	1.13248	-0.08915	0.69582	1.45602	-0.00287	-0.40482	0.45385	0.02789	0.11317	0.11997	0.08122
5	-4.94216	0.44519	-0.42961	0.54197	-0.96135	-0.01851	-4.61299	-4.56901	-0.93021	10.65579	-1.91201	-1.56106	0.27666	-0.28721	-0.09608	0.74397	0.00892	0.07685	10.40556	-4.83795	-4.62530	11.43569	14.46622	-11.05772	5.47155	0.94925	0.94002	1.67868	-1.44526	-0.00568	-0.49825	-0.37524	0.36140	2.29390	0.08287	1.05814	-0.30754	0.27851	0.03066	0.18643	-0.26365	0.18981
6	-4.56734	1.10882	-0.48686	3.34886	1.23239	0.13189	-5.73936	-2.86837	-0.85044	22.98593	6.74006	0.77029	0.01554	0.07551	-0.01423	0.84866	0.14445	0.22573	21.49307	6.59556	-4.19687	-0.85073	12.53069	-13.28929	6.61302	0.23034	2.17067	0.29671	-1.28731	0.18493	0.18888	-2.13743	0.92839	3.41404	-0.32849	1.50963	0.06844	-0.22876	0.09223	0.27499	-0.37007	0.19573
7	-4.00324	0.51069	-0.04880	3.35997	3.30510	0.35568	-3.04946	-4.91589	-0.02640	20.62451	13.51474	2.66539	-0.01667	0.14159	0.08752	0.86549	0.28496	0.33295	20.18367	8.80497	1.20696	2.69123	6.11732	-11.21241	7.73085	-0.85250	2.12907	2.58858	-1.69089	-1.13418	1.30826	-3.14716	0.95942	3.65785	1.51750	0.97922	0.40330	-0.63539	0.10035	0.39201	0.07612	0.10327
8	-3.91251	-0.65345	0.45802	-0.29436	3.52656	0.53051	-2.56668	-8.89394	0.31716	2.94759	12.85363	3.30643	0.16182	-0.07236	0.13618	0.50129	0.28269	0.27267	-1.29204	1.05710	7.00233	28.29553	4.96184	-4.83991	6.26459	-0.65231	1.54773	4.44931	-2.97996	-3.27937	3.27305	-3.17867	0.11552	2.65892	3.53218	-0.01773	0.48021	-0.60725	-0.00738	0.39062	0.61433	-0.02471
9	-4.26901	-1.32580	0.59310	-3.54586	1.19208	0.35573	-4.86394	-12.16080	0.06342	-13.27981	2.78573	1.66397	0.41217	-0.36432	0.08097	0.14127	0.08611	0.01168	-23.51723	-16.21765	7.47984	49.40908	10.11392	1.93505	3.39073	0.27171	0.86250	3.32393	-4.18711	-4.30664	4.03868	-2.20275	-0.67496	0.75077	3.30269	-0.76427	0.21644	-0.24185	-0.07643	0.15230	0.63163	-0.13029
10	-4.56100	-0.91329	0.21199	-1.67940	-1.88430	-0.24122	-5.95143	-10.82082	-0.22898	-8.46150	-9.13150	-1.78982	0.59814	-0.53227	-0.03052	0.36065	-0.14232	-0.29838	-17.65317	-29.39693	1.35744	44.45758	13.01361	3.50456	3.02702	-0.03028	-0.84179	2.75256	-3.38446	-2.73943	1.91563	-0.04395	-0.77700	-0.37844	1.51450	-0.76910	-0.16523	0.19662	-0.05448	-0.08622	0.17840	-0.11548
11	-4.41521	0.40408	-0.52528	3.03442	-2.75345	-0.71356	-5.39983	-3.44096	-0.80638	13.32187	-11.73923	-4.17019	0.60178	-0.45477	-0.09791	0.85013	-0.18905	-0.39469	11.67150	-21.59083	-7.07803	24.29204	10.73400	0.00118	5.83025	-1.75586	-3.00641	5.85020	-0.15538	0.74216	-1.18155	1.90256	-0.41343	0.15159	0.41648	-0.19155	-0.32741	0.38790	-0.01728	-0.02519	-0.17943	0.02660
12	-4.20247	1.35421	-1.01018	4.67042	-0.99793	-0.55893	-5.52490	3.12866	-1.77013	30.06232	-5.09777	-3.71920	0.42167	-0.23457	-0.09108	0.90675	-0.04433	-0.19618	33.73441	-2.70435	-12.49564	8.63505	7.64555	-4.23805	7.72427	-2.54364	-3.12358	8.88717	2.69183	2.99792	-2.30412	1.81086	0.03436	1.00558	0.73674	0.17392	-0.22308	0.22734	0.00852	0.19702	-0.07089	0.11627
13	-4.17905	0.91791	-0.71100	2.48932	1.55109	0.00227	-6.15729	1.84920	-2.04719	30.45341	3.41597	-1.27947	0.24428	-0.11087	-0.03669	0.56994	0.13640	0.08793	33.09652	7.36322	-11.35294	3.76453	3.26618	-5.17294	6.25132	-0.88955	-0.51246	8.34775	2.91540	2.51411	-0.90231	-0.11323	0.31113	1.09767	1.55562	0.04329	-0.02114	-0.07206	0.02058	0.29508	0.32916	0.05799
14	-3.63011	-0.24445	0.07016	0.20119	3.01145	0.38968	-3.86031	-4.90182	-0.76613	19.89744	8.26613	1.09678	0.22432	-0.13750	0.03497	0.36987	0.21320	0.20974	20.52107	5.29962	-3.56458	5.18930	-0.76398	-1.59650	4.09472	1.12943	2.02429	6.86559	1.89050	1.47008	1.29517	-1.93651	0.27734	0.91122	1.85683	-0.09936	0.14562	-0.26404	0.00495	0.20746	0.55016	-0.04611
15	-2.35595	-0.86765	0.57165	0.10812	2.18622	0.29070	3.74049	-10.07584	1.34929	8.79966	6.12199	1.33835	0.29206	-0.17399	0.06544	0.52812	0.13502	0.11982	14.92883	-3.64831	5.33770	9.19124	9.07682	1.01074	4.34322	0.48179	1.63943	6.55938	0.82492	0.85587	2.52479	-2.28424	0.00910	1.31430	1.77602	0.00072	0.23980	-0.30014	-0.02034	0.11275	0.42986	-0.08567
16	-2.19723	-0.36796	0.31943	1.70981	-0.54654	-0.18256	10.69585	-8.92983	2.41568	4.77500	-1.01496	-0.85430	0.29307	-0.13998	0.01447	0.89654	-0.05431	-0.07089	20.04439	-10.97001	7.38220	17.79780	33.97609	-2.81356	5.63964	-2.10335	-0.60157	5.36215	-1.67709	-1.20608	2.67785	-1.70248	-0.23775	2.19029	2.05338	0.05875	0.29867	-0.31211	-0.02366	0.16427	0.21225	-0.06090
17	-5.02459	0.53047	-0.30487	2.73181	-2.73775	-0.57919	4.76594	-4.32841	1.02360	6.23589	-5.61347	-3.01979	0.18031	-0.11083	-0.06913	1.09443	-0.20963	-0.20653	15.41964	-11.00146	0.60133	31.27938	49.23216	-8.83545	4.56760	-3.07026	-1.80950	2.33063	-5.64894	-4.57779	2.37749	-0.94158	-0.39446	2.54907	2.46881	-0.03984	0.29040	-0.28508	-0.01001	0.23721	0.07777	-0.01342
18	-9.48305	0.63027	-0.46005	1.43322	-1.86733	-0.46960	-14.70882	-4.28150	-2.15053	5.17023	-2.15987	-2.38964	0.05695	-0.13883	-0.08589	0.84099	-0.16585	-0.17063	-12.39054	-7.74781	-7.58626	44.23161	36.38026	-9.77964	2.06308	-1.57566	-1.45441	-0.27293	-7.49375	-5.89157	1.55915	-0.02721	-0.43692	2.15390	2.23339	0.04289	0.10964	-0.08235	0.01197	0.18420	-0.00727	0.05130
19	-11.41274	0.04123	-0.07902	-0.65489	1.40905	0.01101	-28.70041	-8.78957	-4.30458	2.14595	6.86327	0.43293	0.06313	-0.17313	-0.00779	0.40209	0.06115	0.00209	-35.70073	-2.85646	-8.70776	49.20480	6.85912	-4.62232	2.67551	-0.00287	-0.24295	-0.31008	-4.38301	-3.20650	0.59103	0.01818	-0.07870	1.56349	1.33420	0.37555	-0.10136	0.05998	0.05915	0.08172	-0.03280	0.10083
20	-8.95170	-0.15424	0.13274	-1.18859	3.90861	0.34887	-24.28896	-9.60358	-3.65403	5.50654	12.61389	1.87613	0.16575	-0.18078	0.07871	0.21224	0.28067	0.17761	-23.78007	4.87305	-5.03544	41.03935	-11.59337	2.40038	6.47091	0.18634	1.18117	2.69551	1.36009	1.47060	0.74506	-1.48437	0.46174	0.80390	0.35154	0.47281	-0.00466	-0.15346	0.08202	0.02732	0.02775	0.07591
21	-5.71701	-0.07303	0.10766	-0.34753	3.59553	0.29367	-14.13256	-6.37954	-1.84684	14.07345	7.98319	-0.06575	0.18828	-0.21828	0.08194	0.32032	0.33194	0.24387	3.74141	3.47398	-5.73420	25.70027	-2.13166	5.22201	8.53184	-0.62053	1.24603	7.29176	4.39573	4.27676	2.04385	-2.64464	0.31602	0.03886	-0.01729	0.07917	0.37890	-0.42359	-0.02974	0.05968	0.12088	-0.00144
22	-5.47829	-0.28638	0.18946	0.77971	1.21129	-0.00037	-11.34741	-4.77072	-1.11382	17.30236	-2.42800	-2.73809	0.15139	-0.32888	0.03159	0.55518	0.18728	0.13180	11.40173	-11.82947	-9.88650	16.29818	20.97812	2.09562	6.90790	-1.73987	-0.57803	10.44652	2.90761	3.53742	2.56358	-1.79692	-0.47161	-0.01608	0.54172	-0.42165	0.54932	-0.33087	-0.20462	0.16483	0.18347	-0.05467
23	-6.78086	-0.00379	-0.00960	1.84464	-1.24456	-0.23081	-11.20942	-2.42647	-1.06435	12.03244	-7.43822	-2.31871	0.21668	-0.42659	0.01340	0.82995	-0.05501	-0.11127	0.34757	-19.07166	-7.98309	16.54130	31.36565	-0.94114	4.54562	-2.45263	-2.32274	10.09556	0.14600	1.05166	1.29634	-0.06928	-0.82438	0.50074	1.52301	-0.66036	0.20075	-0.01172	-0.20060	0.19466	0.19958	-0.07338
24	-6.56867	0.91087	-0.53959	1.72736	-2.29587	-0.14950	-8.17082	3.36857	-0.35130	3.31978	-4.79818	1.04674	0.32183	-0.40318	0.02480	0.99215	-0.21521	-0.28441	-10.80536	-5.95893	1.38581	20.84527	27.16000	0.27069	3.57960	-2.06470	-2.40324	6.78497	-1.69112	-1.42583	-0.11579	0.89775	-0.49259	0.85892	2.37922	-0.67585	-0.32108	0.22015	-0.00514	0.04238	0.21790	-0.10027
25	-5.00797	0.90632	-0.50630	0.09798	-1.17423	0.22511	-4.13539	5.69443	0.69622	-2.56570	0.69716	4.18630	0.31529	-0.29227	0.01619	0.82219	-0.14767	-0.21085	-12.07329	9.70894	9.73277	27.87141	22.32258	0.67030	3.37945	-0.88484	-1.07840	2.95654	-3.49762	-3.67559	-0.19209	0.62704	0.01916	1.33398	3.03569	-0.46997	-0.51153	0.23449	0.17359	-0.07825	0.28150	-0.10596
26	-4.20609	-0.29023	0.19435	-0.63015	0.74866	0.43990	-2.09302	-0.32993	0.49374	-0.36240	4.18287	4.05035	0.22199	-0.20147	-0.00685	0.47549	0.04889	0.01262	-2.75575	8.99085	8.20711	42.19530	20.92856	-4.67717	4.04592	-0.23075	0.22376	1.54022	-4.17124	-4.17298	0.54469	-0.33147	0.36009	2.31577	3.15211	0.03737	-0.24025	0.07289	0.18464	0.09957	0.34889	-0.02615
27	-5.39288	-1.05489	0.60303	0.50077	0.88448	0.19326	-5.78026	-9.00465	-1.52563	7.36183	1.80220	0.27872	0.09318	-0.17300	-0.01949	0.33830	0.14862	0.16005	3.99199	-7.38387	-3.67183	58.23303	20.74186	-11.69049	6.00951	-0.65524	-0.05559	3.29663	-1.53534	-1.41549	1.22916	-0.67163	0.16532	2.80749	2.25900	0.51010	0.24614	-0.03861	0.01516	0.40718	0.34023	0.08058
28	-7.74689	-0.55388	0.33091	1.51614	-0.14566	-0.12351	-15.75287	-12.33452	-3.67623	13.48267	-3.19323	-3.43309	-0.05642	-0.15168	-0.02409	0.47032	0.14271	0.20224	-1.93331	-21.40020	-15.54387	56.12912	20.80090	-13.42187	7.37810	-1.31951	-1.47404	5.54347	1.53662	1.82367	1.64665	-0.11592	-0.47042	1.81010	0.88176	0.44612	0.52600	-0.00633	-0.17867	0.40355	0.21070	0.08522
29	-8.91478	0.29041	-0.02010	1.16379	0.28328	-0.09194	-24.10429	-9.48424	-3.79996	14.23501	-3.22218	-3.53588	-0.10937	-0.07958	-0.02899	0.69099	0.13514	0.20129	-12.27985	-17.65607	-16.76049	31.93503	21.48089	-9.26548	6.45285	-1.54646	-2.49352	5.29780	0.53212	1.67970	1.48583	0.66166	-0.88529	0.20767	0.14515	0.04186	0.32816	0.09299	-0.18514	0.02121	0.01773	0.00276
30	-7.87569	0.61999	-0.08526	-0.11471	1.65264	0.07216	-22.64100	-5.28744	-2.17403	8.05846	0.75475	-1.37276	0.00373	0.00674	-0.02958	0.83130	0.10027	0.11978	-18.52893	-3.56384	-8.53396	12.15297	26.00449	-4.01102	4.83283	-1.63631	-2.62028	2.92862	-3.00590	-0.90660	0.62370	1.13782	-0.71463	-0.05888	0.41043	0.03808	-0.13976	0.18535	-0.01196	-0.25817	-0.07631	-0.01988
31	-5.90060	0.62243	-0.14463	-0.64338	1.95989	0.02770	-11.39620	-3.52984	-0.62537	1.21720	3.18226	-0.28340	0.19935	-0.00028	0.00165	0.81500	0.04493	-0.00584	-13.95854	4.16994	-0.30823	16.68138	32.39848	-1.45089	5.08479	-2.07000	-1.32680	1.28508	-4.44572	-2.61139	0.31220	-0.17393	0.00482	1.46499	1.33919	0.47283	-0.29308	-0.06532	0.14284	-0.07415	0.04302	0.04289
32	-4.57000	0.80952	-0.42769	1.31017	1.13968	-0.19393	0.71423	-3.57540	-0.08237	5.51628	3.09236	-1.00228	0.35692	-0.10074	0.07473	0.79405	0.03169	-0.07415	6.53436	2.75877	0.96894	32.63622	29.14212	-1.85077	6.87183	-2.33236	1.30698	1.71730	-2.78975	-2.64535	1.70928	-3.51802	0.77573	3.14951	2.51700	0.63045	0.12800	-0.74898	0.13098	0.34143	0.30477	0.07388
33	-4.73337	0.83893	-0.56003	4.30533	0.10633	-0.34321	2.24263	-4.33966	-0.78210	18.44998	1.43828	-1.69514	0.33198	-0.19825	0.12444	0.85451	0.02588	-0.09961	26.50837	-2.62899	-4.34751	40.81754	12.36759	-2.46772	6.86031	-1.17673	2.88600	3.35073	-0.11396	-1.53042	3.32423	-5.11572	0.69455	3.21404	2.99668	0.29794	0.59632	-1.03559	-0.02864	0.52862	0.42928	0.05544
34	-6.57057	0.26433	-0.25094	4.58623	-0.61950	-0.22424	-8.98198	-5.52531	-2.46673	23.76686	-2.02782	-0.91839	0.06324	-0.24960	0.07306	0.80377	0.00353	-0.12566	20.99933	-9.49912	-10.23418	41.64062	-2.73074	-0.90105	3.50525	0.99228	1.68235	5.51207	1.49251	0.19461	2.71979	-2.38784	-0.21441	1.64580	2.27408	-0.16827	0.47962	-0.36972	-0.17785	0.35783	0.28005	0.04330
35	-9.03708	-0.02708	-0.08302	1.54455	-0.81222	0.08846	-22.05652	-5.43943	-3.74724	15.58923	-6.22057	0.45934	-0.23849	-0.25091	-0.05486	0.57594	0.02058	-0.10374	-5.39071	-15.35845	-11.21017	44.67219	0.65159	0.32220	0.93506	1.79778	-1.12252	7.19729	0.88899	0.74581	0.61127	1.80897	-1.00637	0.38045	1.63825	-0.51619	0.00850	0.54898	-0.19576	0.13285	0.15094	-0.00178
36	-10.17493	0.66794	-0.49244	-1.39586	-0.63392	0.29071	-25.13168	-4.04796	-3.47184	4.72125	-8.13759	0.72165	-0.29321	-0.21919	-0.14474	0.34720	0.05979	-0.01175	-23.65645	-17.99056	-7.65720	46.93581	18.99357	-1.54340	3.50253	0.10689	-2.97829	6.76051	-0.94071	-0.49570	-0.49475	3.26970	-0.89890	0.77490	1.96320	-0.54298	-0.22846	0.76134	-0.04679	0.10451	0.25892	-0.09232
37	-9.50502	1.40825	-0.90907	-1.43839	-0.15965	0.20210	-18.91696	-3.03339	-2.38509	1.95167	-4.41220	-0.09267	-0.15542	-0.16194	-0.12978	0.29268	0.05553	0.07115	-19.74517	-12.90527	-3.74954	39.26040	35.35794	-4.04666	8.24216	-2.18103	-2.64318	4.95901	-1.63733	-1.28488	-0.23912	1.74507	-0.00235	1.70277	2.20547	-0.20407	-0.24004	0.34105	0.19943	0.15236	0.37502	-0.12545
38	-7.94925	1.31874	-0.85114	0.79663	0.60236	-0.07131	-12.31528	-1.36942	-2.13074	6.98287	3.84047	-0.76094	-0.05899	-0.04698	-0.05443	0.44935	0.02726	0.06702	-5.44135	3.28319	-2.94405	27.64238	40.24860	-5.03134	8.77208	-2.59755	-0.91838	3.87348	-1.41305	-0.66572	0.27577	-0.18493	0.75735	1.81577	1.58843	0.28420	-0.29268	0.01407	0.33767	0.13634	0.24368	-0.01968
39	-5.75184	0.97294	-0.71360	2.88612	1.17593	-0.28888	-9.70886	2.19855	-3.14971	12.74990	9.92609	-0.82684	0.02568	0.08323	0.01192	0.69650	0.03299	-0.00201	3.16704	21.27384	-5.77570	25.59047	37.49875	-6.40885	4.78643	-1.29194	0.74748	3.21492	-2.50365	-0.75334	0.86070	-1.34718	0.73876	1.50357	0.94324	0.57526	-0.30022	-0.06174	0.24019	0.11253	-0.01341	0.13639
40	-3.62450	1.18958	-0.91526	3.37918	0.70829	-0.34064	-9.72787	5.25460	-4.05432	14.10493	7.95871	-0.89991	0.25638	0.08956	0.05347	0.93615	0.04503	-0.06965	1.67702	24.55262	-9.50125	33.69887	33.69683	-8.25197	0.94859	-0.35614	1.34098	1.81274	-4.24930	-2.45939	1.68597	-2.06771	0.19403	1.67015	1.21291	0.41538	-0.07280	-0.21926	0.02003	0.17678	-0.05926	0.14492
41	-3.22077	1.46697	-1.03194	2.44883	-0.81483	-0.27477	-9.51815	4.07583	-3.13114	11.27064	-0.82249	-1.38956	0.51221	-0.08278	0.07772	1.09070	0.00583	-0.10035	-2.61965	8.51447	-9.97633	44.30299	28.06684	-6.64322	-0.09176	-0.68823	0.91920	0.44828	-3.77160	-3.54932	2.03368	-2.39268	-0.19559	2.21893	1.94467	-0.01646	0.25887	-0.50852	-0.11903	0.29670	0.18160	-0.03027
42	-4.90829	0.94479	-0.55050	0.67789	-1.44898	-0.07431	-8.65755	-1.39406	-0.72434	6.00958	-7.03137	-1.24203	0.47809	-0.27127	0.06821	1.00074	-0.04099	-0.05583	-5.14432	-11.39531	-5.34718	48.76501	14.55485	-0.28420	1.66632	-1.05397	0.14441	1.42741	-0.58776	-1.70650	1.05368	-1.77101	-0.20620	2.32868	1.93177	-0.13698	0.33846	-0.54838	-0.13196	0.35134	0.38762	-0.14774
43	-7.27951	0.27441	-0.01473	-1.16048	0.22172	0.25388	-10.96911	-5.38637	0.76631	-0.12256	-3.63388	0.36110	0.10407	-0.27415	0.00093	0.67266	-0.02281	0.07541	-12.05424	-14.93674	0.57317	40.72607	-4.00900	6.52770	5.84156	-0.49563	-0.60880	5.59037	2.71749	2.01584	-0.03680	-0.31348	-0.23626	1.46913	1.22714	0.09698	0.17487	-0.11756	-0.14489	0.23239	0.32274	-0.05508
