	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d
	FullBody_CoG_vel	FullBody_CoG_vel	FullBody_CoG_vel	L_Hand_CoG_vel	L_Hand_CoG_vel	L_Hand_CoG_vel	R_Hand_CoG_vel	R_Hand_CoG_vel	R_Hand_CoG_vel	L_Forearm_CoG_vel	L_Forearm_CoG_vel	L_Forearm_CoG_vel	R_Forearm_CoG_vel	R_Forearm_CoG_vel	R_Forearm_CoG_vel	L_UpperArm_CoG_vel	L_UpperArm_CoG_vel	L_UpperArm_CoG_vel	R_UpperArm_CoG_vel	R_UpperArm_CoG_vel	R_UpperArm_CoG_vel	Head_CoG_vel	Head_CoG_vel	Head_CoG_vel	Head_Shadow_CoG_vel	Head_Shadow_CoG_vel	Head_Shadow_CoG_vel	Trunk_CoG_vel	Trunk_CoG_vel	Trunk_CoG_vel	Pelvis_CoG_vel	Pelvis_CoG_vel	Pelvis_CoG_vel	L_Thigh_CoG_vel	L_Thigh_CoG_vel	L_Thigh_CoG_vel	R_Thigh_CoG_vel	R_Thigh_CoG_vel	R_Thigh_CoG_vel	L_Shank_CoG_vel	L_Shank_CoG_vel	L_Shank_CoG_vel	R_Shank_CoG_vel	R_Shank_CoG_vel	R_Shank_CoG_vel	L_Foot_CoG_vel	L_Foot_CoG_vel	L_Foot_CoG_vel	R_Foot_CoG_vel	R_Foot_CoG_vel	R_Foot_CoG_vel	L_Foot_Shadow_CoG_vel	L_Foot_Shadow_CoG_vel	L_Foot_Shadow_CoG_vel	R_Foot_Shadow_CoG_vel	R_Foot_Shadow_CoG_vel	R_Foot_Shadow_CoG_vel
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																																									
2	-0.01915	0.08814	0.01797																																																						
3	-0.02078	0.08906	0.01667	-0.06769	0.08642	0.02277	-0.05960	-0.01630	0.34342	-0.04396	0.09187	0.00421	0.04072	0.17467	0.27235	-0.04161	0.07621	-0.00383	0.04059	0.21751	0.13605	-0.09087	0.06330	0.00516	-0.08057	0.05561	0.00975	-0.02965	0.09932	0.01147	-0.01927	0.10320	0.00771	-0.02041	0.07785	0.00284	-0.00000	0.10405	0.00332	-0.00460	0.02042	-0.00782	0.01136	0.05197	0.00729	0.00828	0.00635	0.00301	-0.00888	-0.00566	0.01753	0.00899	0.00605	0.00706	-0.00866	-0.00425	0.01810
4	-0.02244	0.09149	0.01537	-0.06506	0.09202	0.03756	-0.07930	-0.03838	0.35143	-0.03505	0.10258	0.01324	0.02818	0.17318	0.27497	-0.03426	0.07929	0.00113	0.03245	0.22118	0.13849	-0.08347	0.06862	0.00595	-0.07507	0.06277	0.00909	-0.03197	0.09889	0.00810	-0.02566	0.10574	0.00604	-0.02087	0.08516	0.00125	-0.00425	0.10431	0.00215	-0.00070	0.02878	-0.00807	0.01144	0.05446	0.00566	0.01072	0.00336	0.00159	-0.00428	-0.00204	0.01659	0.01124	0.00312	0.00529	-0.00413	-0.00149	0.01806
5	-0.02364	0.09607	0.01376	-0.05697	0.09691	0.05432	-0.10963	-0.04415	0.34856	-0.02193	0.11820	0.02353	0.00590	0.17843	0.27493	-0.02456	0.09284	0.00776	0.02130	0.22530	0.14228	-0.07185	0.07202	0.00247	-0.06898	0.06683	0.00795	-0.03502	0.10078	0.00418	-0.02811	0.11012	0.00389	-0.02016	0.09271	0.00113	-0.00620	0.10863	-0.00034	0.00114	0.03725	-0.00730	0.01139	0.06078	0.00275	0.01262	0.00157	-0.00084	-0.00153	0.00492	0.01176	0.01326	0.00131	0.00188	-0.00155	0.00433	0.01297
6	-0.02422	0.10264	0.01184	-0.04474	0.10040	0.06688	-0.14235	-0.03553	0.33710	-0.00820	0.13576	0.03151	-0.01993	0.18807	0.27268	-0.01403	0.11683	0.01329	0.00800	0.22846	0.14549	-0.05963	0.07547	-0.00328	-0.06334	0.06996	0.00654	-0.03901	0.10531	-0.00031	-0.02687	0.11681	0.00187	-0.01698	0.10043	0.00232	-0.00614	0.11609	-0.00337	0.00260	0.04462	-0.00597	0.01160	0.06844	-0.00047	0.01448	0.00195	-0.00402	-0.00056	0.01115	0.00498	0.01550	0.00160	-0.00268	-0.00082	0.00931	0.00498
