	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	2.99878	-22.74147	196.32936	-8.63622	43.30183	611.42773
2	3.23824	-23.18736	200.18269	-8.45660	42.67194	607.49042
3	3.56824	-23.81745	204.80148	-8.42562	42.00132	602.89307
4	3.92823	-24.59073	209.86681	-8.57108	41.34617	598.07947
5	4.26481	-25.46739	215.08986	-8.86977	40.74060	593.39331
6	4.55884	-26.39855	220.27661	-9.29314	40.19868	588.94446
7	4.80108	-27.33496	225.32918	-9.80723	39.72594	584.61920
8	5.00527	-28.24525	230.22026	-10.35427	39.32043	580.23499
9	5.18518	-29.12515	234.95287	-10.87624	38.96848	575.67212
10	5.32829	-29.98293	239.52583	-11.35415	38.65242	570.94458
11	5.40910	-30.82422	243.91779	-11.79320	38.36092	566.18372
12	5.41712	-31.63521	248.07777	-12.19933	38.09398	561.54657
13	5.36672	-32.37241	251.97031	-12.53774	37.85949	557.14777
14	5.29118	-33.00070	255.60159	-12.77630	37.65802	553.04816
15	5.23029	-33.51976	259.02411	-12.92660	37.47767	549.24744
16	5.19930	-33.95531	262.32315	-13.01369	37.30566	545.68402
17	5.16960	-34.36024	265.60818	-13.07577	37.12973	542.24933
18	5.11112	-34.78260	268.99634	-13.15226	36.94421	538.79169
19	5.01756	-35.27063	272.54419	-13.26149	36.75418	535.17157
20	4.90840	-35.84689	276.23227	-13.39883	36.55271	531.33704
21	4.82812	-36.48737	280.00980	-13.54325	36.32780	527.33264
22	4.81045	-37.15646	283.85336	-13.66060	36.07860	523.23254
23	4.86962	-37.85049	287.78564	-13.73438	35.80767	519.06580
24	4.99766	-38.58297	291.83661	-13.77322	35.52256	514.82654
25	5.17197	-39.35262	296.00449	-13.79829	35.23804	510.53513
26	5.36631	-40.14705	300.25415	-13.83409	34.95873	506.23199
27	5.55130	-40.93856	304.54007	-13.90178	34.68634	501.95111
28	5.72081	-41.67927	308.85049	-14.01164	34.41618	497.72604
29	5.88708	-42.33619	313.22751	-14.15144	34.14109	493.55838
30	6.06699	-42.89180	317.72403	-14.28967	33.85484	489.38547
31	6.27965	-43.34369	322.35995	-14.39425	33.55568	485.07336
32	6.53329	-43.69342	327.13135	-14.42269	33.24671	480.47745
33	6.82152	-43.94930	332.04239	-14.34578	32.92191	475.51633
34	7.14331	-44.13912	337.12802	-14.18136	32.57389	470.17310
35	7.49671	-44.32132	342.48566	-13.95985	32.19431	464.45920
36	7.88292	-44.57501	348.21381	-13.71880	31.76461	458.38977
37	8.32166	-44.95133	354.38113	-13.49120	31.26723	451.96689
38	8.82652	-45.46912	361.00488	-13.30345	30.68746	445.18307
39	9.39210	-46.11105	368.05060	-13.16664	30.02284	438.03931
40	10.02443	-46.83662	375.43134	-13.08570	29.29541	430.57425
41	10.71172	-47.60231	383.00031	-13.06196	28.53586	422.88046
42	11.41108	-48.37995	390.60266	-13.09144	27.77297	415.10672
43	12.07414	-49.15736	398.12537	-13.15494	27.02564	407.43341
44	12.64649	-49.91860	405.51700	-13.20440	26.32428	400.03751
45	13.09596	-50.63584	412.77087	-13.19730	25.71039	393.04916
46	13.41807	-51.28953	419.89194	-13.11166	25.20656	386.51810
47	13.65036	-51.87355	426.87241	-12.96599	24.79811	380.37149
48	13.81464	-52.38152	433.71878	-12.82577	24.43755	374.44278
49	13.93141	-52.82062	440.46133	-12.75482	24.06167	368.55637
50	14.05233	-53.23101	447.13052	-12.79436	23.61529	362.60394
51	14.24282	-53.67300	453.73239	-12.92838	23.09215	356.60706
52	14.54655	-54.18834	460.22476	-13.09381	22.52812	350.69620
53	14.97334	-54.77599	466.50101	-13.22055	21.97380	345.07361
54	15.48022	-55.41206	472.40698	-13.26003	21.47824	339.94962
55	15.98507	-56.06908	477.77817	-13.18427	21.07237	335.45444
56	16.41737	-56.71450	482.48352	-12.97295	20.78484	331.63098
57	16.74032	-57.30610	486.50674	-12.63169	20.63865	328.44479
58	16.93774	-57.79791	489.94852	-12.20284	20.63391	325.79636
59	17.01206	-58.14564	492.96591	-11.76870	20.74482	323.55441
60	16.99068	-58.32197	495.68527	-11.39509	20.92125	321.60077
61	16.90318	-58.32479	498.14395	-11.10483	21.09162	319.84647
62	16.77106	-58.18546	500.31415	-10.91341	21.20177	318.23016
63	16.60716	-57.96351	502.15048	-10.82759	21.23676	316.71664
64	16.42113	-57.71142	503.62823	-10.80622	21.20303	315.30872
65	16.21499	-57.45728	504.72873	-10.78143	21.11978	314.04703
66	15.98356	-57.20587	505.40231	-10.67880	21.02770	312.98746
67	15.73740	-56.94755	505.54211	-10.47258	20.97664	312.19098
68	15.49866	-56.68150	505.02896	-10.18424	20.98367	311.72000
69	15.28012	-56.40432	503.79462	-9.83969	21.03588	311.64224
70	15.10092	-56.11368	501.83469	-9.46315	21.11925	312.04059
71	14.96184	-55.80772	499.22739	-9.08037	21.24106	312.99747
72	14.83439	-55.47375	496.13077	-8.71540	21.41316	314.58508
73	14.68151	-55.10387	492.71555	-8.39865	21.64311	316.86148
74	14.47148	-54.69342	489.11292	-8.16841	21.93694	319.83508
75	14.21600	-54.23373	485.39520	-8.05245	22.26972	323.40427
76	13.95755	-53.71299	481.56766	-8.07802	22.59100	327.36310
77	13.72830	-53.13577	477.58740	-8.26584	22.84956	331.41867
78	13.55203	-52.51175	473.44244	-8.58972	23.01704	335.28796
79	13.45810	-51.83208	469.17593	-8.99243	23.10513	338.84125
80	13.47902	-51.07738	464.88959	-9.40332	23.16069	342.16934
81	13.63239	-50.22859	460.73361	-9.75459	23.25492	345.53668
82	13.90830	-49.28469	456.88690	-10.02766	23.45157	349.22760
83	14.30499	-48.26057	453.55426	-10.24856	23.77698	353.41165
84	14.82685	-47.17947	450.91489	-10.45350	24.20200	358.08014
85	15.46857	-46.08728	449.04694	-10.67717	24.67007	363.07266
86	16.18825	-45.04923	447.90979	-10.92094	25.13164	368.14914
87	16.89981	-44.15612	447.36905	-11.16369	25.55641	373.04944
88	17.49712	-43.51465	447.26807	-11.39515	25.91920	377.54074
89	17.87799	-43.22510	447.42966	-11.60630	26.20060	381.43741
90	17.98690	-43.32088	447.63251	-11.80652	26.39814	384.65656
91	17.80960	-43.76104	447.62079	-12.01033	26.51055	387.21854
92	17.37414	-44.43675	447.18808	-12.22500	26.55182	389.21304
93	16.72104	-45.21034	446.24399	-12.43292	26.52924	390.75937
94	15.89152	-45.95278	444.76355	-12.60321	26.45195	391.98221
95	14.94564	-46.57434	442.74310	-12.69774	26.34095	393.01526
96	13.95057	-47.03997	440.21155	-12.68685	26.23008	394.00366
97	12.97960	-47.35440	437.22058	-12.58019	26.15357	395.09048
98	12.08957	-47.53193	433.82693	-12.41471	26.14128	396.41556
99	11.31694	-47.57991	430.10172	-12.21081	26.19658	398.08136
100	10.66890	-47.51794	426.12891	-11.97995	26.30868	400.12607
101	10.12427	-47.36532	421.98788	-11.73117	26.48648	402.55154
102	9.65898	-47.14014	417.74884	-11.48476	26.74607	405.35373
103	9.25867	-46.86814	413.47565	-11.26009	27.08093	408.56284
104	8.90066	-46.57316	409.21432	-11.05013	27.46853	412.21194
105	8.56318	-46.26729	404.96722	-10.82134	27.88448	416.26648
106	8.23256	-45.95488	400.69617	-10.54535	28.31267	420.60718
107	7.91038	-45.62626	396.36096	-10.22349	28.73770	425.06909
108	7.60918	-45.25830	391.94751	-9.86617	29.14696	429.50406
109	7.33841	-44.83046	387.45938	-9.48958	29.53655	433.84125
110	7.09043	-44.32864	382.90216	-9.10719	29.91057	438.10028
111	6.86706	-43.75161	378.26205	-8.72035	30.27754	442.35181
112	6.66805	-43.09653	373.51321	-8.32944	30.64829	446.67230
113	6.49945	-42.35833	368.60690	-7.96340	31.01332	451.09665
114	6.38011	-41.53380	363.50137	-7.67326	31.35786	455.64136
115	6.31841	-40.62620	358.16214	-7.47602	31.67158	460.31924
116	6.31099	-39.65547	352.56528	-7.35242	31.96468	465.15256
117	6.33920	-38.65599	346.70807	-7.26975	32.26839	470.16949
118	6.37621	-37.64761	340.59961	-7.19600	32.61139	475.39890
119	6.41535	-36.63211	334.28641	-7.12340	33.01020	480.85724
120	6.45646	-35.63100	327.91135	-7.05493	33.46580	486.50546
121	6.49540	-34.68592	321.68845	-6.99379	33.97157	492.20746
122	6.52274	-33.82628	315.82968	-6.94382	34.50829	497.77103
123	6.52238	-33.05975	310.45361	-6.92077	35.03580	503.02194
124	6.49286	-32.37291	305.55759	-6.93770	35.51986	507.89804
125	6.43298	-31.72661	301.04010	-6.97873	35.94463	512.46942
126	6.34236	-31.08040	296.74948	-7.02645	36.30674	516.90247
127	6.22827	-30.41878	292.53549	-7.07875	36.60677	521.37085
128	6.08936	-29.74842	288.29715	-7.13382	36.85808	525.98962
129	5.94137	-29.09557	284.00552	-7.16628	37.08909	530.81787
130	5.79709	-28.47853	279.67529	-7.15224	37.34129	535.85095
131	5.65286	-27.89964	275.32657	-7.08163	37.65150	541.02869
132	5.49966	-27.35504	270.96198	-6.96026	38.03289	546.27460
133	5.32778	-26.84533	266.55579	-6.81413	38.48198	551.53180
134	5.12835	-26.36887	262.05341	-6.69505	38.97319	556.75995
135	4.90766	-25.90519	257.41019	-6.63001	39.47007	561.89941
136	4.69627	-25.43363	252.62637	-6.61201	39.94930	566.86487
137	4.51853	-24.94746	247.73573	-6.60145	40.40014	571.55042
138	4.36960	-24.44772	242.80182	-6.55122	40.81379	575.87250
139	4.23213	-23.93918	237.91791	-6.42661	41.19223	579.83472
140	4.06991	-23.42819	233.16559	-6.20905	41.53958	583.53760
141	3.85245	-22.94068	228.61270	-5.90538	41.85883	587.13428
142	3.56160	-22.49524	224.29584	-5.54246	42.15126	590.74011
143	3.19698	-22.09419	220.20006	-5.16491	42.40542	594.39807
144	2.77216	-21.73616	216.27051	-4.82444	42.61958	598.08960
145	2.32624	-21.40485	212.45551	-4.54590	42.80370	601.77002
146	1.89418	-21.08395	208.71870	-4.33696	42.96566	605.39777
147	1.49198	-20.76156	205.01256	-4.21289	43.09992	608.93378
148	1.10587	-20.42066	201.29227	-4.19606	43.17445	612.33429
149	0.71032	-20.06115	197.56160	-4.31004	43.16605	615.54980
150	0.29621	-19.69381	193.89819	-4.52613	43.08816	618.55798
151	-0.13356	-19.34848	190.43939	-4.78262	42.98627	621.34564
152	-0.56006	-19.04599	187.35886	-5.02992	42.90150	623.89038
153	-0.97750	-18.78952	184.79587	-5.22876	42.84841	626.16077
154	-1.37336	-18.58338	182.77171	-5.35032	42.81121	628.14679
155	-1.73740	-18.43483	181.20621	-5.39664	42.77163	629.86517
156	-2.05961	-18.34348	179.97850	-5.39130	42.71526	631.35864
157	-2.34475	-18.31027	178.96004	-5.35017	42.63409	632.67297
158	-2.61195	-18.33266	178.02216	-5.27171	42.53536	633.84711
159	-2.85874	-18.38494	177.05371	-5.17999	42.43954	634.92224
160	-3.06953	-18.43401	175.98969	-5.13551	42.36258	635.96173
161	-3.22715	-18.45344	174.83444	-5.17973	42.30852	637.00873
162	-3.32459	-18.42400	173.66235	-5.31544	42.26875	638.04761
163	-3.37287	-18.35438	172.58156	-5.50671	42.22933	639.02655
164	-3.37754	-18.28158	171.69911	-5.68922	42.16345	639.87915
165	-3.34873	-18.23487	171.06548	-5.82409	42.04863	640.54974
166	-3.29214	-18.21877	170.68687	-5.89391	41.87943	641.03058
167	-3.21296	-18.22447	170.53244	-5.91128	41.66436	641.37201
168	-3.11341	-18.25201	170.53082	-5.90864	41.41705	641.64911
169	-2.98620	-18.31044	170.62018	-5.92062	41.15672	641.91058
170	-2.82688	-18.39894	170.77057	-5.96939	40.90026	642.14471
171	-2.64640	-18.51787	170.98314	-6.04573	40.65439	642.28284
172	-2.45655	-18.65393	171.27524	-6.13796	40.41270	642.24866
173	-2.26137	-18.79485	171.65041	-6.25344	40.15714	642.01172
174	-2.06329	-18.93675	172.08344	-6.39040	39.85674	641.60626
175	-1.87299	-19.07472	172.53845	-6.51938	39.49667	641.10242
176	-1.69844	-19.20950	172.99123	-6.61127	39.09440	640.54681
177	-1.53654	-19.35287	173.44551	-6.64871	38.68624	639.92877
178	-1.40302	-19.52114	173.94804	-6.62041	38.30510	639.19232
179	-1.31258	-19.71383	174.56578	-6.52705	37.96117	638.26752
180	-1.25261	-19.93312	175.36101	-6.38444	37.65128	637.10907
181	-1.20275	-20.17179	176.38040	-6.22806	37.37510	635.71600
182	-1.15465	-20.41478	177.64220	-6.08446	37.13907	634.13495
183	-1.10964	-20.67201	179.13983	-5.94489	36.93731	632.45941
184	-1.06726	-20.95064	180.84100	-5.79863	36.75379	630.80127
185	-1.02344	-21.25481	182.67531	-5.65767	36.58301	629.24268
186	-0.96275	-21.58186	184.55000	-5.53251	36.43100	627.81421
187	-0.86666	-21.90547	186.38300	-5.44139	36.29049	626.50079
188	-0.72358	-22.20259	188.11697	-5.40343	36.14342	625.26141
189	-0.53696	-22.46827	189.71890	-5.41859	35.96923	624.07111
190	-0.32606	-22.70524	191.17871	-5.48012	35.77376	622.94153
191	-0.11387	-22.91475	192.50813	-5.56196	35.57896	621.88501
192	0.07183	-23.10129	193.73264	-5.63595	35.39121	620.89001
193	0.22146	-23.26990	194.88506	-5.68448	35.21013	619.95660
194	0.33977	-23.43651	196.01277	-5.71050	35.03781	619.09552
195	0.45254	-23.61670	197.19635	-5.72445	34.88763	618.29822
196	0.57543	-23.82486	198.53041	-5.73033	34.77291	617.51654
197	0.71005	-24.07361	200.09935	-5.73021	34.68837	616.67615
198	0.86324	-24.37694	201.92946	-5.71543	34.60740	615.70898
199	1.04145	-24.72963	203.96063	-5.66720	34.50727	614.58112
200	1.24495	-25.10821	206.05276	-5.57071	34.39081	613.30133
201	1.45672	-25.47771	208.06000	-5.42158	34.28473	611.90118
202	1.65429	-25.81321	209.90656	-5.21904	34.21088	610.43689
203	1.82151	-26.11729	211.58644	-4.98046	34.16921	608.98944
204	1.95274	-26.39079	213.12981	-4.73605	34.14852	607.61682
205	2.04487	-26.61954	214.57950	-4.51260	34.13676	606.31097
206	2.11361	-26.78468	215.96217	-4.33364	34.13764	605.01337
207	2.17157	-26.87916	217.28978	-4.18924	34.15996	603.67029
208	2.23348	-26.91338	218.55040	-4.04879	34.20535	602.26929
209	2.32916	-26.91567	219.70741	-3.85810	34.27324	600.84613
210	2.46776	-26.91839	220.74501	-3.56530	34.36920	599.44818
211	2.62846	-26.95555	221.70479	-3.15941	34.49483	598.08362
212	2.77724	-27.06599	222.69301	-2.66789	34.64148	596.70355
213	2.88909	-27.28556	223.88402	-2.14333	34.80750	595.23969
214	2.95553	-27.63048	225.47623	-1.61308	35.00026	593.62439
215	2.98996	-28.09821	227.63138	-1.07599	35.21511	591.77924
