	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.00812	0.20431	0.01542	-0.04193	0.49437	0.01364
2	0.00801	0.20424	0.01555	-0.04198	0.49452	0.01348
3	0.00793	0.20412	0.01566	-0.04198	0.49465	0.01328
4	0.00790	0.20403	0.01574	-0.04193	0.49473	0.01305
5	0.00789	0.20404	0.01580	-0.04186	0.49478	0.01284
6	0.00787	0.20416	0.01584	-0.04178	0.49483	0.01266
7	0.00783	0.20438	0.01589	-0.04172	0.49490	0.01255
8	0.00777	0.20464	0.01596	-0.04168	0.49499	0.01249
9	0.00770	0.20483	0.01609	-0.04167	0.49509	0.01250
10	0.00764	0.20490	0.01628	-0.04171	0.49518	0.01255
11	0.00758	0.20486	0.01649	-0.04181	0.49524	0.01258
12	0.00755	0.20476	0.01666	-0.04191	0.49528	0.01254
13	0.00757	0.20467	0.01674	-0.04197	0.49533	0.01240
14	0.00766	0.20464	0.01671	-0.04193	0.49540	0.01218
15	0.00782	0.20470	0.01659	-0.04182	0.49548	0.01193
16	0.00805	0.20482	0.01642	-0.04168	0.49558	0.01170
17	0.00831	0.20496	0.01627	-0.04158	0.49569	0.01157
18	0.00857	0.20507	0.01617	-0.04159	0.49579	0.01155
19	0.00883	0.20513	0.01614	-0.04172	0.49588	0.01161
20	0.00904	0.20515	0.01617	-0.04194	0.49595	0.01170
21	0.00919	0.20517	0.01625	-0.04219	0.49598	0.01175
22	0.00928	0.20521	0.01636	-0.04238	0.49596	0.01177
23	0.00931	0.20528	0.01646	-0.04246	0.49588	0.01173
24	0.00932	0.20532	0.01656	-0.04239	0.49578	0.01165
25	0.00935	0.20528	0.01665	-0.04223	0.49569	0.01158
26	0.00942	0.20515	0.01672	-0.04203	0.49563	0.01154
27	0.00952	0.20497	0.01678	-0.04182	0.49563	0.01151
28	0.00962	0.20483	0.01679	-0.04163	0.49568	0.01146
29	0.00968	0.20479	0.01678	-0.04143	0.49576	0.01136
30	0.00970	0.20486	0.01676	-0.04126	0.49586	0.01122
31	0.00968	0.20500	0.01674	-0.04112	0.49594	0.01107
32	0.00964	0.20516	0.01677	-0.04106	0.49602	0.01093
33	0.00961	0.20527	0.01684	-0.04108	0.49609	0.01082
