	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d
	L_MTP_ANGLE	L_MTP_ANGLE	L_MTP_ANGLE	R_MTP_ANGLE	R_MTP_ANGLE	R_MTP_ANGLE	L_ANKLE_ANGLE	L_ANKLE_ANGLE	L_ANKLE_ANGLE	R_ANKLE_ANGLE	R_ANKLE_ANGLE	R_ANKLE_ANGLE	L_KNEE_ANGLE	L_KNEE_ANGLE	L_KNEE_ANGLE	R_KNEE_ANGLE	R_KNEE_ANGLE	R_KNEE_ANGLE	L_HIP_ANGLE	L_HIP_ANGLE	L_HIP_ANGLE	R_HIP_ANGLE	R_HIP_ANGLE	R_HIP_ANGLE	L_SHOULDER_ANGLE	L_SHOULDER_ANGLE	L_SHOULDER_ANGLE	R_SHOULDER_ANGLE	R_SHOULDER_ANGLE	R_SHOULDER_ANGLE	L_ELBOW_ANGLE	L_ELBOW_ANGLE	L_ELBOW_ANGLE	R_ELBOW_ANGLE	R_ELBOW_ANGLE	R_ELBOW_ANGLE	L_WRIST_ANGLE	L_WRIST_ANGLE	L_WRIST_ANGLE	R_WRIST_ANGLE	R_WRIST_ANGLE	R_WRIST_ANGLE	NECK_ANGLE	NECK_ANGLE	NECK_ANGLE	NECK_ANGLE_SHADOW	NECK_ANGLE_SHADOW	NECK_ANGLE_SHADOW	Trunk_Joint_Angle	Trunk_Joint_Angle	Trunk_Joint_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	-6.88284	0.00000	0.00000	-5.96311	-0.00000	-0.00000	-2.84558	-6.74411	10.04777	8.33932	3.77052	-14.53274	-6.93533	0.12092	-0.00002	-4.97954	-0.48888	0.00022	15.69928	9.13940	7.21515	3.47687	2.60271	-14.22348	20.03898	27.05211	5.66334	44.79942	-7.09391	39.77616	131.34866	0.00156	-103.52598	121.44057	0.00318	111.86179	-4.41168	-13.49342	0.00012	-13.02673	4.39921	-0.00119	2.57208	-7.17630	12.61636	-20.18499	-11.49562	8.87400	8.09057	1.41473	6.83739
2	-7.10916	-0.00000	-0.00000	-5.98747	0.00000	0.00000	-2.74781	-6.55850	10.08505	8.44633	3.93125	-14.57247	-6.86407	0.09371	0.00004	-5.11921	-0.57509	0.00018	15.64361	9.06492	7.13413	3.51847	2.56127	-14.18621	19.99668	26.99851	5.67409	45.19758	-7.03507	39.65914	131.33263	0.00143	-104.12776	121.51554	0.00493	110.44509	-4.19373	-13.44493	0.00016	-12.92010	4.30578	-0.00262	2.61426	-7.25297	12.42948	-20.16014	-11.49457	8.66927	8.18155	1.39894	6.82342
3	-7.42262	0.00000	-0.00000	-6.11702	0.00000	0.00000	-2.60447	-6.37487	10.18805	8.58151	4.05480	-14.63434	-6.83383	0.06599	0.00011	-5.27060	-0.64321	0.00006	15.62458	8.99831	7.00987	3.58303	2.51730	-14.11518	19.96250	26.97980	5.70541	45.58543	-6.96055	39.47821	131.29201	0.00113	-104.78528	121.62360	0.00485	109.14127	-4.03090	-13.36921	-0.00013	-12.71125	4.09701	-0.00347	2.60131	-7.33487	12.24046	-20.19070	-11.49748	8.46050	8.28726	1.39015	6.81033
4	-7.81098	-0.00000	0.00000	-6.32660	0.00000	0.00000	-2.42313	-6.22315	10.32565	8.72900	4.12860	-14.71941	-6.85258	0.03681	0.00015	-5.42224	-0.69085	-0.00006	15.64572	8.93896	6.86330	3.66540	2.47085	-14.03044	19.96877	26.98725	5.73038	45.96725	-6.87815	39.26376	131.21436	0.00101	-105.29034	121.75984	0.00211	108.32967	-3.96985	-13.23755	-0.00087	-12.44432	3.89063	-0.00286	2.56107	-7.41369	12.05728	-20.24771	-11.49974	8.25843	8.39909	1.38541	6.80695
5	-8.19485	0.00000	0.00000	-6.52958	0.00000	-0.00000	-2.23178	-6.12536	10.44739	8.86269	4.17477	-14.81557	-6.90766	0.01142	0.00014	-5.56343	-0.72511	-0.00012	15.68518	8.87941	6.72733	3.74528	2.41986	-13.96185	20.03469	27.00157	5.71876	46.35942	-6.79835	39.06337	131.10640	0.00108	-105.54903	121.90788	-0.00200	108.32104	-4.03644	-13.03985	-0.00191	-12.18642	3.81023	-0.00124	2.54015	-7.47480	11.90412	-20.28208	-11.49718	8.09140	8.49459	1.38097	6.82126
6	-8.47091	0.00000	-0.00000	-6.64326	-0.00000	-0.00000	-2.06291	-6.09059	10.51303	8.96256	4.22941	-14.89939	-6.97559	-0.00061	0.00008	-5.68915	-0.75895	-0.00010	15.71182	8.80879	6.63119	3.80134	2.36062	-13.94022	20.15140	27.00578	5.65870	46.78358	-6.73210	38.92159	130.99948	0.00101	-105.58848	122.04492	-0.00482	109.13938	-4.21810	-12.80679	-0.00267	-11.99871	3.91333	-0.00010	2.57459	-7.50641	11.80429	-20.25567	-11.48792	7.98579	8.55234	1.37467	6.85590
