	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d
	L_TO_ANGLE	L_TO_ANGLE	L_TO_ANGLE	R_TO_ANGLE	R_TO_ANGLE	R_TO_ANGLE	L_FT_ANGLE	L_FT_ANGLE	L_FT_ANGLE	R_FT_ANGLE	R_FT_ANGLE	R_FT_ANGLE	L_FT_SHADOW_ANGLE	L_FT_SHADOW_ANGLE	L_FT_SHADOW_ANGLE	R_FT_SHADOW_ANGLE	R_FT_SHADOW_ANGLE	R_FT_SHADOW_ANGLE	L_SK_ANGLE	L_SK_ANGLE	L_SK_ANGLE	R_SK_ANGLE	R_SK_ANGLE	R_SK_ANGLE	L_TH_ANGLE	L_TH_ANGLE	L_TH_ANGLE	R_TH_ANGLE	R_TH_ANGLE	R_TH_ANGLE	PELVIS_ANGLE	PELVIS_ANGLE	PELVIS_ANGLE	TRUNK_ANGLE	TRUNK_ANGLE	TRUNK_ANGLE	HEAD_ANGLE	HEAD_ANGLE	HEAD_ANGLE	HEAD_SHADOW_ANGLE	HEAD_SHADOW_ANGLE	HEAD_SHADOW_ANGLE	L_AR_ANGLE	L_AR_ANGLE	L_AR_ANGLE	R_AR_ANGLE	R_AR_ANGLE	R_AR_ANGLE	L_FA_ANGLE	L_FA_ANGLE	L_FA_ANGLE	R_FA_ANGLE	R_FA_ANGLE	R_FA_ANGLE	L_HA_ANGLE	L_HA_ANGLE	L_HA_ANGLE	R_HA_ANGLE	R_HA_ANGLE	R_HA_ANGLE
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	-5.36463	3.31462	-27.95985	2.37784	7.92907	-75.52775	0.71159	0.07500	-28.13980	3.86661	2.15315	-75.65874	0.71160	0.07500	-28.13980	3.86661	2.15316	-75.65874	7.12803	3.60029	-38.56134	-3.49572	7.62052	-60.77223	12.47129	-0.82621	-38.68353	-0.63581	3.50524	-61.07118	-4.92275	4.25423	-46.63649	1.65562	-0.66914	-39.90524	-1.00480	-7.81410	-27.64738	-21.16104	3.05490	-28.49681	33.75217	8.24037	-31.55717	34.88805	-33.46949	7.37840	166.79909	-28.91345	-87.98166	148.77217	22.27862	138.48329	151.81097	-24.23674	-94.20095	155.62531	10.21093	136.04970
2	-5.41314	3.47718	-27.98576	2.42494	7.98880	-75.48120	0.86116	0.12702	-28.18336	3.92452	2.19046	-75.61442	0.86116	0.12702	-28.18336	3.92452	2.19047	-75.61442	7.09040	3.55918	-38.62651	-3.63919	7.66220	-60.68113	12.39001	-0.80754	-38.74836	-0.62950	3.47087	-60.99923	-4.91522	4.27601	-46.60204	1.71695	-0.72060	-39.88474	-0.95899	-7.95201	-27.82374	-21.07989	2.98557	-28.70859	33.74373	8.18774	-31.51149	35.41796	-33.66235	7.50953	166.78377	-28.84889	-88.58325	149.24673	22.49178	137.18228	151.89929	-24.25369	-94.77734	155.81607	10.42321	134.81853
3	-5.52602	3.66474	-27.99700	2.43142	8.11359	-75.43417	1.02391	0.16403	-28.21615	3.96819	2.19097	-75.57236	1.02391	0.16403	-28.21615	3.96818	2.19097	-75.57236	7.03444	3.52791	-38.74314	-3.77980	7.70675	-60.57219	12.31893	-0.80901	-38.86486	-0.62883	3.42174	-60.90767	-4.92709	4.30255	-46.58158	1.77292	-0.77480	-39.87720	-0.96577	-8.06071	-28.01493	-21.04888	2.94856	-28.92403	33.75862	8.14927	-31.45508	35.93830	-33.84409	7.56976	166.75659	-28.79298	-89.27364	149.77740	22.65966	135.99649	152.01547	-24.20950	-95.41338	156.10266	10.76198	133.70616
4	-5.71751	3.85053	-27.99471	2.39396	8.28205	-75.39881	1.17481	0.16513	-28.23660	3.98692	2.15736	-75.54395	1.17481	0.16513	-28.23660	3.98692	2.15737	-75.54395	6.95780	3.50832	-38.87958	-3.90874	7.75049	-60.45606	12.26478	-0.83034	-39.00171	-0.63333	3.36254	-60.80618	-4.95455	4.33395	-46.56465	1.82018	-0.82624	-39.86377	-0.99935	-8.14711	-28.19350	-21.04725	2.92806	-29.12000	33.80922	8.11532	-31.38952	36.45298	-34.00856	7.60361	166.72050	-28.74319	-89.84187	150.34801	22.81111	135.28421	152.17952	-24.10750	-95.88638	156.49425	11.17646	133.04977
5	-5.94353	3.99389	-27.99419	2.34184	8.43715	-75.38855	1.28703	0.12580	-28.25458	3.98679	2.11614	-75.54007	1.28703	0.12580	-28.25458	3.98679	2.11614	-75.54007	6.86730	3.49961	-38.99813	-4.02455	7.78955	-60.35453	12.22398	-0.86514	-39.12091	-0.64223	3.30082	-60.71682	-4.98150	4.36383	-46.54393	1.85735	-0.86661	-39.82926	-1.01390	-8.22239	-28.31911	-21.03666	2.89993	-29.26277	33.89472	8.07538	-31.32794	36.97554	-34.15753	7.67139	166.68930	-28.69996	-90.17151	150.92992	22.98635	135.34218	152.40938	-23.94979	-96.07639	156.97234	11.59921	133.12747
6	-6.12978	4.05759	-28.01480	2.31063	8.52740	-75.41409	1.34252	0.05561	-28.28350	3.98122	2.09553	-75.56899	1.34252	0.05561	-28.28350	3.98122	2.09554	-75.56899	6.77465	3.50004	-39.07502	-4.13240	7.82150	-60.29789	12.18567	-0.90554	-39.19782	-0.65444	3.24294	-60.67117	-4.98948	4.38565	-46.52076	1.88651	-0.88848	-39.77235	-0.97177	-8.29326	-28.36629	-20.98433	2.84932	-29.33099	34.00098	8.02786	-31.28670	37.52114	-34.30428	7.81946	166.68776	-28.66609	-90.25916	151.49031	23.21761	136.19965	152.69435	-23.74659	-95.99832	157.50240	11.97674	133.96022
