	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d
	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	0.28193	0.14555	0.00719	0.16041	0.70557	0.00832	0.23351	0.14241	0.01229	0.14642	0.65890	0.01093	0.23905	0.13770	0.01898	0.15621	0.66187	0.02089	0.05321	0.12543	0.02366	0.10213	0.47772	0.01564
2	0.28184	0.14567	0.00716	0.15930	0.70601	0.00791	0.23345	0.14250	0.01255	0.14560	0.65929	0.01112	0.23899	0.13783	0.01928	0.15538	0.66230	0.02107	0.05316	0.12533	0.02357	0.10256	0.47780	0.01543
3	0.28175	0.14569	0.00730	0.15799	0.70632	0.00749	0.23336	0.14252	0.01273	0.14464	0.65951	0.01090	0.23889	0.13791	0.01951	0.15441	0.66260	0.02084	0.05306	0.12528	0.02365	0.10300	0.47770	0.01537
4	0.28160	0.14568	0.00754	0.15694	0.70629	0.00722	0.23317	0.14249	0.01263	0.14387	0.65938	0.01035	0.23872	0.13791	0.01941	0.15364	0.66256	0.02026	0.05291	0.12518	0.02397	0.10322	0.47736	0.01549
5	0.28148	0.14565	0.00769	0.15639	0.70607	0.00718	0.23302	0.14241	0.01232	0.14345	0.65910	0.00993	0.23859	0.13784	0.01909	0.15327	0.66231	0.01978	0.05280	0.12504	0.02431	0.10315	0.47702	0.01564
6	0.28152	0.14556	0.00778	0.15635	0.70590	0.00733	0.23303	0.14231	0.01214	0.14339	0.65893	0.00985	0.23862	0.13770	0.01888	0.15326	0.66213	0.01965	0.05283	0.12494	0.02437	0.10292	0.47689	0.01571
7	0.28167	0.14549	0.00792	0.15660	0.70585	0.00751	0.23318	0.14224	0.01225	0.14354	0.65890	0.00998	0.23875	0.13758	0.01895	0.15344	0.66206	0.01977	0.05295	0.12493	0.02415	0.10273	0.47693	0.01563
8	0.28178	0.14554	0.00807	0.15685	0.70582	0.00763	0.23329	0.14228	0.01249	0.14371	0.65890	0.01010	0.23885	0.13756	0.01918	0.15358	0.66203	0.01993	0.05304	0.12492	0.02386	0.10258	0.47699	0.01543
