	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d
	FullBody_CoG_vel	FullBody_CoG_vel	FullBody_CoG_vel	L_Hand_CoG_vel	L_Hand_CoG_vel	L_Hand_CoG_vel	R_Hand_CoG_vel	R_Hand_CoG_vel	R_Hand_CoG_vel	L_Forearm_CoG_vel	L_Forearm_CoG_vel	L_Forearm_CoG_vel	R_Forearm_CoG_vel	R_Forearm_CoG_vel	R_Forearm_CoG_vel	L_UpperArm_CoG_vel	L_UpperArm_CoG_vel	L_UpperArm_CoG_vel	R_UpperArm_CoG_vel	R_UpperArm_CoG_vel	R_UpperArm_CoG_vel	Head_CoG_vel	Head_CoG_vel	Head_CoG_vel	Head_Shadow_CoG_vel	Head_Shadow_CoG_vel	Head_Shadow_CoG_vel	Trunk_CoG_vel	Trunk_CoG_vel	Trunk_CoG_vel	Pelvis_CoG_vel	Pelvis_CoG_vel	Pelvis_CoG_vel	L_Thigh_CoG_vel	L_Thigh_CoG_vel	L_Thigh_CoG_vel	R_Thigh_CoG_vel	R_Thigh_CoG_vel	R_Thigh_CoG_vel	L_Shank_CoG_vel	L_Shank_CoG_vel	L_Shank_CoG_vel	R_Shank_CoG_vel	R_Shank_CoG_vel	R_Shank_CoG_vel	L_Foot_CoG_vel	L_Foot_CoG_vel	L_Foot_CoG_vel	R_Foot_CoG_vel	R_Foot_CoG_vel	R_Foot_CoG_vel	L_Foot_Shadow_CoG_vel	L_Foot_Shadow_CoG_vel	L_Foot_Shadow_CoG_vel	R_Foot_Shadow_CoG_vel	R_Foot_Shadow_CoG_vel	R_Foot_Shadow_CoG_vel
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																																									
2	-0.03069	-0.01361	-0.00280																																																						
3	-0.02654	-0.01088	-0.00190	-0.01791	-0.19223	-0.15992	-0.01099	-0.27917	-0.18348	-0.01693	-0.07197	-0.07344	0.08259	-0.16151	-0.05166	-0.00708	0.00165	-0.01398	0.01833	-0.06987	0.01064	-0.03624	0.03262	-0.01508	-0.01787	0.00680	0.00243	-0.04472	-0.02565	0.00706	-0.05465	0.01012	-0.00169	-0.01644	0.00224	-0.01033	-0.02606	0.02074	0.01175	0.02306	-0.00701	-0.00970	-0.00391	0.03271	0.01110	-0.03967	-0.00268	-0.02542	-0.01597	-0.00162	0.01036	-0.04553	-0.00162	-0.02738	-0.01543	-0.00070	0.01412
4	-0.01641	-0.01543	-0.00265	-0.01557	-0.17913	-0.15613	-0.01923	-0.26046	-0.16647	-0.01762	-0.05161	-0.06464	0.07908	-0.16154	-0.05500	-0.00472	-0.00263	-0.01695	0.00615	-0.08481	-0.00791	-0.03140	0.00046	-0.01360	-0.00804	-0.01865	-0.00502	-0.03220	-0.02435	-0.00022	-0.03455	0.00173	0.00359	-0.00229	0.00161	0.00093	-0.01622	0.01423	0.01245	0.01604	-0.01778	-0.00294	0.00484	0.02430	0.01250	-0.03379	-0.02732	-0.02814	-0.01742	-0.00863	0.00180	-0.03695	-0.02674	-0.03102	-0.01706	-0.00797	0.00004
5	-0.00647	-0.02451	-0.00491	-0.01395	-0.16190	-0.13334	-0.01906	-0.22780	-0.12471	0.00263	-0.05043	-0.05909	0.06744	-0.16376	-0.04979	0.01098	-0.00751	-0.01905	-0.00062	-0.09998	-0.01719	-0.02314	-0.01813	-0.00815	0.00105	-0.03376	-0.00352	-0.01905	-0.02366	-0.00742	-0.01214	-0.01450	0.00450	0.00291	-0.00992	0.00595	-0.00714	-0.00741	0.00476	0.00661	-0.02328	0.00195	0.00984	-0.00312	0.00500	-0.02060	-0.02699	-0.01469	-0.00566	-0.01334	-0.00507	-0.02084	-0.02693	-0.01624	-0.00568	-0.01331	-0.01029
6	-0.00129	-0.03151	-0.00853	-0.02701	-0.16755	-0.11702	0.01579	-0.22325	-0.08708	0.01868	-0.07874	-0.06740	0.05762	-0.17893	-0.04104	0.03001	-0.00866	-0.02327	0.00193	-0.11127	-0.01390	-0.01652	-0.01420	-0.00663	0.00097	-0.03145	0.00232	-0.00559	-0.02307	-0.01055	-0.00783	-0.02347	-0.00192	-0.00257	-0.01989	-0.00006	-0.00556	-0.02812	-0.00535	0.00017	-0.01919	-0.00050	0.00868	-0.03500	-0.00487	-0.00580	-0.01084	-0.00089	0.00955	-0.01147	-0.00384	-0.00438	-0.01108	-0.00057	0.00913	-0.01212	-0.00871
