	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	6.33123	-64.04665	321.28116	-6.95489	48.06250	416.76581
2	6.34106	-64.06260	321.17184	-6.95759	48.06789	416.81073
3	6.35094	-64.07845	321.06189	-6.96027	48.07330	416.85583
4	6.36094	-64.09408	320.95050	-6.96290	48.07875	416.90134
5	6.37110	-64.10938	320.83701	-6.96548	48.08426	416.94751
6	6.38148	-64.12426	320.72070	-6.96797	48.08984	416.99448
7	6.39214	-64.13860	320.60086	-6.97035	48.09550	417.04248
8	6.40313	-64.15228	320.47681	-6.97261	48.10128	417.09174
9	6.41451	-64.16521	320.34784	-6.97472	48.10718	417.14243
10	6.42633	-64.17728	320.21323	-6.97666	48.11322	417.19479
11	6.43863	-64.18840	320.07245	-6.97842	48.11943	417.24896
12	6.45143	-64.19850	319.92535	-6.98000	48.12579	417.30499
13	6.46471	-64.20759	319.77209	-6.98143	48.13230	417.36276
14	6.47845	-64.21560	319.61273	-6.98270	48.13896	417.42230
15	6.49266	-64.22253	319.44739	-6.98384	48.14576	417.48358
16	6.50732	-64.22833	319.27603	-6.98485	48.15269	417.54651
17	6.52243	-64.23299	319.09875	-6.98576	48.15975	417.61105
18	6.53797	-64.23647	318.91568	-6.98657	48.16693	417.67722
19	6.55394	-64.23873	318.72690	-6.98730	48.17423	417.74493
20	6.57032	-64.23975	318.53238	-6.98796	48.18164	417.81418
21	6.58713	-64.23948	318.33209	-6.98856	48.18917	417.88501
22	6.60435	-64.23786	318.12585	-6.98911	48.19682	417.95731
23	6.62200	-64.23486	317.91360	-6.98961	48.20459	418.03128
24	6.64007	-64.23041	317.69522	-6.99008	48.21250	418.10681
25	6.65857	-64.22446	317.47052	-6.99053	48.22054	418.18399
26	6.67750	-64.21698	317.23944	-6.99096	48.22871	418.26279
27	6.69685	-64.20789	317.00183	-6.99138	48.23703	418.34329
28	6.71664	-64.19717	316.75757	-6.99180	48.24550	418.42545
29	6.73686	-64.18475	316.50656	-6.99223	48.25413	418.50934
30	6.75749	-64.17060	316.24872	-6.99268	48.26291	418.59488
31	6.77852	-64.15469	315.98410	-6.99315	48.27185	418.68213
32	6.79993	-64.13699	315.71262	-6.99365	48.28097	418.77106
33	6.82172	-64.11746	315.43420	-6.99420	48.29026	418.86160
34	6.84385	-64.09608	315.14890	-6.99478	48.29972	418.95386
35	6.86632	-64.07281	314.85660	-6.99543	48.30937	419.04767
36	6.88911	-64.04762	314.55737	-6.99613	48.31921	419.14313
37	6.91220	-64.02048	314.25110	-6.99690	48.32924	419.24020
38	6.93558	-63.99136	313.93777	-6.99775	48.33946	419.33884
39	6.95921	-63.96023	313.61740	-6.99867	48.34990	419.43909
40	6.98309	-63.92708	313.28992	-6.99968	48.36054	419.54089
41	7.00717	-63.89188	312.95523	-7.00077	48.37140	419.64417
42	7.03145	-63.85461	312.61343	-7.00194	48.38248	419.74902
43	7.05588	-63.81525	312.26437	-7.00320	48.39380	419.85535
44	7.08046	-63.77379	311.90808	-7.00455	48.40535	419.96323
45	7.10515	-63.73020	311.54449	-7.00600	48.41714	420.07251
46	7.12993	-63.68446	311.17358	-7.00753	48.42919	420.18323
47	7.15477	-63.63655	310.79535	-7.00917	48.44150	420.29541
48	7.17964	-63.58646	310.40973	-7.01089	48.45406	420.40900
49	7.20452	-63.53418	310.01669	-7.01270	48.46690	420.52393
50	7.22938	-63.47970	309.61621	-7.01460	48.48002	420.64029
51	7.25417	-63.42300	309.20831	-7.01657	48.49342	420.75797
52	7.27888	-63.36409	308.79288	-7.01862	48.50711	420.87698
53	7.30347	-63.30293	308.36993	-7.02074	48.52111	420.99725
54	7.32791	-63.23953	307.93942	-7.02293	48.53541	421.11880
55	7.35217	-63.17388	307.50137	-7.02517	48.55002	421.24164
56	7.37622	-63.10596	307.05573	-7.02747	48.56495	421.36566
57	7.40003	-63.03577	306.60245	-7.02982	48.58020	421.49097
58	7.42357	-62.96333	306.14157	-7.03221	48.59579	421.61737
59	7.44681	-62.88863	305.67300	-7.03463	48.61169	421.74500
60	7.46971	-62.81167	305.19684	-7.03708	48.62795	421.87375
61	7.49224	-62.73248	304.71301	-7.03954	48.64453	422.00360
62	7.51437	-62.65102	304.22156	-7.04200	48.66146	422.13464
63	7.53608	-62.56733	303.72241	-7.04446	48.67873	422.26666
64	7.55732	-62.48140	303.21558	-7.04692	48.69635	422.39981
65	7.57807	-62.39323	302.70105	-7.04935	48.71432	422.53400
66	7.59829	-62.30283	302.17883	-7.05175	48.73265	422.66916
67	7.61794	-62.21021	301.64890	-7.05412	48.75133	422.80536
68	7.63700	-62.11537	301.11124	-7.05644	48.77036	422.94257
69	7.65543	-62.01833	300.56583	-7.05870	48.78975	423.08072
70	7.67319	-61.91908	300.01273	-7.06091	48.80949	423.21988
71	7.69025	-61.81762	299.45178	-7.06304	48.82958	423.35992
72	7.70657	-61.71398	298.88312	-7.06509	48.85003	423.50092
73	7.72212	-61.60815	298.30667	-7.06706	48.87083	423.64285
74	7.73687	-61.50014	297.72244	-7.06893	48.89198	423.78568
75	7.75077	-61.38996	297.13040	-7.07069	48.91348	423.92935
76	7.76380	-61.27760	296.53058	-7.07233	48.93533	424.07394
77	7.77592	-61.16308	295.92294	-7.07385	48.95753	424.21936
78	7.78709	-61.04640	295.30756	-7.07524	48.98006	424.36566
79	7.79729	-60.92756	294.68442	-7.07648	49.00294	424.51282
80	7.80648	-60.80659	294.05347	-7.07757	49.02615	424.66068
81	7.81462	-60.68345	293.41476	-7.07849	49.04970	424.80948
82	7.82168	-60.55818	292.76831	-7.07925	49.07357	424.95901
83	7.82763	-60.43078	292.11407	-7.07982	49.09777	425.10931
84	7.83245	-60.30125	291.45215	-7.08020	49.12230	425.26044
85	7.83611	-60.16959	290.78262	-7.08039	49.14714	425.41232
86	7.83859	-60.03584	290.10553	-7.08037	49.17228	425.56494
87	7.83988	-59.89997	289.42087	-7.08014	49.19773	425.71829
88	7.83995	-59.76201	288.72882	-7.07968	49.22346	425.87234
89	7.83878	-59.62196	288.02936	-7.07900	49.24948	426.02719
90	7.83636	-59.47984	287.32263	-7.07808	49.27578	426.18268
91	7.83265	-59.33564	286.60864	-7.07692	49.30235	426.33884
92	7.82765	-59.18938	285.88748	-7.07551	49.32917	426.49570
93	7.82133	-59.04107	285.15927	-7.07384	49.35626	426.65320
94	7.81371	-58.89071	284.42413	-7.07192	49.38359	426.81137
95	7.80477	-58.73831	283.68210	-7.06974	49.41116	426.97018
96	7.79450	-58.58388	282.93341	-7.06729	49.43895	427.12970
97	7.78289	-58.42742	282.17816	-7.06459	49.46696	427.28976
98	7.76995	-58.26895	281.41638	-7.06162	49.49519	427.45050
99	7.75567	-58.10847	280.64828	-7.05839	49.52362	427.61182
100	7.74003	-57.94599	279.87396	-7.05489	49.55224	427.77377
101	7.72303	-57.78152	279.09354	-7.05112	49.58105	427.93631
102	7.70469	-57.61507	278.30719	-7.04709	49.61004	428.09946
103	7.68502	-57.44666	277.51505	-7.04279	49.63921	428.26318
104	7.66402	-57.27630	276.71738	-7.03823	49.66854	428.42752
105	7.64170	-57.10400	275.91434	-7.03343	49.69804	428.59241
106	7.61809	-56.92979	275.10608	-7.02837	49.72769	428.75790
107	7.59318	-56.75367	274.29282	-7.02306	49.75751	428.92395
108	7.56699	-56.57566	273.47470	-7.01752	49.78747	429.09058
109	7.53954	-56.39577	272.65192	-7.01173	49.81757	429.25778
110	7.51083	-56.21402	271.82471	-7.00571	49.84781	429.42554
111	7.48090	-56.03045	270.99326	-6.99947	49.87819	429.59387
112	7.44976	-55.84508	270.15787	-6.99302	49.90870	429.76276
113	7.41745	-55.65794	269.31876	-6.98636	49.93934	429.93216
114	7.38399	-55.46907	268.47614	-6.97952	49.97011	430.10211
115	7.34942	-55.27850	267.63034	-6.97250	50.00100	430.27258
116	7.31375	-55.08626	266.78162	-6.96532	50.03201	430.44357
117	7.27702	-54.89239	265.93011	-6.95799	50.06314	430.61511
118	7.23926	-54.69691	265.07620	-6.95051	50.09439	430.78714
119	7.20049	-54.49987	264.22009	-6.94290	50.12574	430.95969
120	7.16074	-54.30130	263.36203	-6.93518	50.15722	431.13269
121	7.12006	-54.10126	262.50235	-6.92736	50.18880	431.30618
122	7.07846	-53.89978	261.64127	-6.91946	50.22049	431.48019
123	7.03599	-53.69694	260.77914	-6.91149	50.25229	431.65466
124	6.99268	-53.49276	259.91623	-6.90348	50.28419	431.82959
125	6.94856	-53.28729	259.05283	-6.89542	50.31621	432.00497
126	6.90366	-53.08059	258.18918	-6.88735	50.34833	432.18076
127	6.85802	-52.87270	257.32559	-6.87927	50.38055	432.35703
128	6.81167	-52.66367	256.46234	-6.87121	50.41288	432.53372
129	6.76465	-52.45357	255.59978	-6.86317	50.44532	432.71085
130	6.71701	-52.24245	254.73816	-6.85518	50.47785	432.88837
131	6.66878	-52.03038	253.87781	-6.84725	50.51048	433.06628
132	6.62000	-51.81744	253.01907	-6.83939	50.54323	433.24466
133	6.57071	-51.60366	252.16225	-6.83162	50.57607	433.42337
134	6.52096	-51.38913	251.30766	-6.82397	50.60901	433.60248
135	6.47079	-51.17390	250.45561	-6.81643	50.64205	433.78195
136	6.42023	-50.95805	249.60640	-6.80903	50.67520	433.96182
137	6.36932	-50.74162	248.76036	-6.80178	50.70845	434.14203
138	6.31812	-50.52471	247.91780	-6.79470	50.74179	434.32260
139	6.26666	-50.30738	247.07903	-6.78780	50.77524	434.50351
140	6.21497	-50.08969	246.24431	-6.78108	50.80878	434.68475
141	6.16310	-49.87175	245.41399	-6.77456	50.84242	434.86624
142	6.11109	-49.65361	244.58835	-6.76824	50.87616	435.04810
143	6.05897	-49.43535	243.76772	-6.76214	50.90999	435.23026
144	6.00680	-49.21705	242.95239	-6.75627	50.94392	435.41269
145	5.95461	-48.99878	242.14267	-6.75064	50.97794	435.59537
146	5.90244	-48.78062	241.33887	-6.74526	51.01206	435.77835
147	5.85032	-48.56263	240.54121	-6.74014	51.04628	435.96149
148	5.79828	-48.34490	239.75003	-6.73527	51.08059	436.14493
149	5.74637	-48.12751	238.96558	-6.73065	51.11501	436.32855
150	5.69461	-47.91051	238.18813	-6.72630	51.14953	436.51242
151	5.64304	-47.69400	237.41794	-6.72222	51.18416	436.69641
152	5.59170	-47.47805	236.65530	-6.71840	51.21890	436.88065
153	5.54060	-47.26273	235.90048	-6.71486	51.25375	437.06494
154	5.48980	-47.04810	235.15376	-6.71158	51.28872	437.24945
155	5.43932	-46.83426	234.41539	-6.70859	51.32380	437.43405
156	5.38919	-46.62127	233.68562	-6.70586	51.35901	437.61880
157	5.33944	-46.40919	232.96468	-6.70340	51.39434	437.80362
158	5.29011	-46.19811	232.25284	-6.70120	51.42981	437.98853
159	5.24123	-45.98809	231.55029	-6.69925	51.46542	438.17346
160	5.19281	-45.77919	230.85730	-6.69755	51.50118	438.35849
161	5.14491	-45.57148	230.17409	-6.69609	51.53709	438.54352
162	5.09753	-45.36505	229.50092	-6.69487	51.57315	438.72855
163	5.05073	-45.15995	228.83801	-6.69388	51.60939	438.91360
164	5.00452	-44.95625	228.18559	-6.69310	51.64578	439.09860
165	4.95893	-44.75401	227.54382	-6.69254	51.68237	439.28363
166	4.91398	-44.55326	226.91283	-6.69218	51.71912	439.46860
167	4.86970	-44.35408	226.29280	-6.69199	51.75609	439.65347
168	4.82611	-44.15649	225.68381	-6.69198	51.79325	439.83829
169	4.78323	-43.96056	225.08603	-6.69213	51.83062	440.02301
170	4.74108	-43.76633	224.49963	-6.69242	51.86823	440.20767
171	4.69970	-43.57385	223.92471	-6.69284	51.90606	440.39224
172	4.65909	-43.38317	223.36145	-6.69338	51.94412	440.57663
173	4.61929	-43.19434	222.80997	-6.69402	51.98244	440.76093
174	4.58030	-43.00739	222.27031	-6.69475	52.02101	440.94507
175	4.54215	-42.82234	221.74255	-6.69555	52.05985	441.12906
176	4.50486	-42.63923	221.22681	-6.69640	52.09895	441.31290
177	4.46842	-42.45808	220.72314	-6.69728	52.13834	441.49658
178	4.43287	-42.27892	220.23158	-6.69817	52.17802	441.68008
179	4.39821	-42.10178	219.75220	-6.69907	52.21798	441.86343
180	4.36446	-41.92670	219.28508	-6.69994	52.25826	442.04657
181	4.33164	-41.75369	218.83031	-6.70077	52.29884	442.22952
182	4.29976	-41.58278	218.38791	-6.70155	52.33974	442.41229
183	4.26883	-41.41399	217.95793	-6.70225	52.38097	442.59482
184	4.23887	-41.24733	217.54033	-6.70286	52.42252	442.77713
185	4.20988	-41.08279	217.13518	-6.70336	52.46441	442.95923
186	4.18189	-40.92041	216.74243	-6.70374	52.50664	443.14111
187	4.15489	-40.76019	216.36212	-6.70397	52.54921	443.32272
188	4.12891	-40.60212	215.99426	-6.70404	52.59213	443.50412
189	4.10396	-40.44623	215.63885	-6.70394	52.63541	443.68521
190	4.08004	-40.29252	215.29590	-6.70364	52.67904	443.86609
191	4.05717	-40.14100	214.96539	-6.70313	52.72303	444.04669
192	4.03536	-39.99168	214.64725	-6.70239	52.76740	444.22699
193	4.01461	-39.84452	214.34142	-6.70142	52.81212	444.40701
194	3.99491	-39.69954	214.04779	-6.70021	52.85720	444.58673
195	3.97628	-39.55672	213.76630	-6.69874	52.90265	444.76614
196	3.95872	-39.41606	213.49683	-6.69700	52.94846	444.94522
197	3.94222	-39.27754	213.23932	-6.69498	52.99462	445.12396
198	3.92680	-39.14116	212.99365	-6.69267	53.04113	445.30240
199	3.91246	-39.00691	212.75980	-6.69006	53.08801	445.48050
200	3.89920	-38.87478	212.53763	-6.68714	53.13524	445.65823
201	3.88702	-38.74476	212.32703	-6.68391	53.18282	445.83560
202	3.87591	-38.61684	212.12788	-6.68036	53.23074	446.01263
203	3.86588	-38.49100	211.94009	-6.67648	53.27900	446.18921
204	3.85693	-38.36724	211.76350	-6.67228	53.32758	446.36548
205	3.84904	-38.24553	211.59802	-6.66774	53.37647	446.54129
206	3.84223	-38.12587	211.44350	-6.66287	53.42569	446.71671
207	3.83649	-38.00826	211.29984	-6.65767	53.47520	446.89166
208	3.83181	-37.89266	211.16692	-6.65212	53.52502	447.06619
209	3.82820	-37.77907	211.04460	-6.64623	53.57513	447.24030
210	3.82565	-37.66748	210.93277	-6.63999	53.62550	447.41391
211	3.82416	-37.55788	210.83125	-6.63341	53.67615	447.58713
212	3.82372	-37.45025	210.73991	-6.62650	53.72705	447.75980
213	3.82433	-37.34459	210.65863	-6.61924	53.77818	447.93201
214	3.82599	-37.24088	210.58727	-6.61165	53.82954	448.10379
