	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d
	R_KNEE_MOMENT	R_KNEE_MOMENT	R_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	NECK_MOMENT	NECK_MOMENT	NECK_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																										
2																																										
3	0.13795	-1.71824	1.50087	-4.62872	8.35450	0.89770	-4.46392	-13.09389	1.32823	-6.87803	14.79182	3.88599	-6.25447	34.46520	-2.96361	-9.62930	4.10435	-0.01052	-5.59726	8.40655	-2.07140	11.53375	4.40790	-8.82301	3.77051	3.72962	-0.03112	1.95127	-0.75859	-0.36402	1.86379	0.12578	0.48126	1.93358	-0.10683	-0.28360	0.13019	-0.05587	0.11356	0.21303	0.07749	-0.07306
4	-0.92298	-2.51584	2.02021	-3.45045	8.33009	0.63248	-13.89803	-13.89330	3.14842	-6.66432	18.97913	3.01356	-6.12575	34.40590	-2.99064	-9.61993	3.96950	-0.09250	-19.77047	13.28767	-1.18472	11.75827	9.21597	-11.92493	3.94753	1.95078	-0.35392	3.28949	-0.57991	-0.01905	2.45910	-0.38413	0.13861	2.96797	-0.12181	-0.03666	0.30570	-0.03677	0.11505	0.41166	0.02373	-0.07179
5	-1.04286	-3.12874	2.32730	-1.25844	7.77638	0.50368	-19.02088	-13.37792	4.74301	-1.70148	18.59341	1.77703	-6.10933	34.17277	-2.98558	-9.72018	3.83386	-0.01302	-21.42109	16.04964	-1.44541	5.57359	2.89098	-7.93193	2.08612	0.89289	-0.17311	3.26667	-1.50530	-0.07565	1.80803	-0.23253	-0.09533	3.03176	-0.56906	-0.00438	0.34045	0.07050	0.06413	0.44038	-0.11974	-0.06922
6	-0.15354	-2.22172	2.08988	-1.27772	8.19615	0.62451	-16.29817	-9.29781	4.62893	0.11316	20.15906	1.62009	-6.21075	34.12762	-2.93727	-10.22846	3.80306	0.12664	-15.15238	23.97703	-1.28330	1.27509	-4.83868	-0.27664	-1.09670	2.70847	0.92647	0.29948	-4.02677	-1.14346	0.47849	0.55322	0.10175	1.61996	-1.58348	-0.69731	0.20195	0.16252	0.01937	0.17381	-0.34944	-0.16191
7	0.87775	-0.94392	1.63126	-3.30415	9.46709	0.94964	-8.62508	-5.71628	3.31731	-3.58767	23.51583	2.41565	-6.39370	34.36484	-2.89820	-10.89883	3.94107	0.29562	-8.64786	31.00080	-0.28641	4.17220	-9.87327	3.72064	-1.66162	4.75165	1.26033	-3.54522	-5.53279	-2.20065	0.24792	0.70484	0.09899	-0.26858	-2.27496	-1.40917	0.05404	0.09769	-0.04333	-0.18880	-0.48403	-0.24510
8	1.52279	-0.68114	1.35913	-4.65079	9.50432	1.14019	-0.93639	-6.43213	2.42436	-5.99958	21.69450	2.75686	-6.58205	34.65878	-2.91845	-11.40177	4.10848	0.41982	-1.11209	26.51956	0.22125	8.86489	-12.46180	2.29632	2.13787	4.61599	-0.01614	-4.18620	-4.45823	-2.13529	1.60281	-0.02291	-0.27582	-0.86723	-2.00879	-1.39843	0.05946	-0.06472	-0.10500	-0.26544	-0.42555	-0.23545
9	1.85856	-1.19759	1.32186	-4.49379	7.97956	1.04667	2.45128	-9.91196	2.74104	-3.32566	15.62247	2.57443	-6.70808	34.77625	-2.98448	-11.71212	4.10321	0.42139	6.27266	16.13768	0.44716	8.23302	-12.77112	1.03625	5.97997	3.74957	-1.11565	-0.30092	-2.11259	-0.88463	2.89082	-0.43697	-0.38360	0.47470	-0.97008	-0.62090	0.21987	-0.14071	-0.10365	0.03690	-0.19701	-0.12357
10	1.75047	-2.01975	1.45074	-4.20189	6.92868	0.98024	0.06855	-12.92565	3.44842	0.56383	12.32829	3.01621	-6.76981	34.72497	-3.05077	-11.98659	3.95275	0.36618	8.37450	11.72380	0.92221	4.03336	-12.93712	2.56965	4.98018	3.80028	-0.35820	4.46208	-0.45127	0.60117	2.62055	0.14258	0.05485	2.42584	0.07879	0.37584	0.37980	-0.04170	-0.02814	0.41270	0.08095	0.06265
11	0.94784	-2.91956	1.68068	-4.19295	7.27443	1.17084	-6.49277	-13.08442	3.26042	1.96727	12.44040	4.11754	-6.79486	34.68977	-3.08346	-12.24973	3.84815	0.35873	3.10218	12.99962	-0.20787	1.60234	-14.32914	1.58143	0.73059	3.81654	1.15465	5.20023	-1.04721	0.77348	1.23573	0.95409	0.52607	3.03054	-0.00523	0.55369	0.34006	0.14776	0.07813	0.48573	0.14081	0.15317
12	0.01531	-3.35226	1.83040	-4.18332	7.91742	1.38049	-12.69326	-11.00593	2.20734	0.33242	12.09216	4.63065	-6.80020	34.77735	-3.08028	-12.41638	3.85159	0.36685	-6.16486	11.89232	-2.95199	2.44332	-10.43470	-5.80251	-1.24257	2.28650	1.14047	1.35233	-3.50771	-0.64473	0.17012	0.84580	0.42377	1.68595	-1.27248	-0.39192	0.06924	0.21589	0.12178	0.13458	-0.11473	-0.00086
13	0.04305	-2.69299	1.68751	-5.20207	8.14662	1.30842	-12.51680	-8.95008	1.52660	-4.96115	12.96004	3.96893	-6.77635	34.86326	-3.06259	-12.46606	3.81955	0.32398	-12.98316	11.62581	-2.97515	4.25364	2.45707	-12.86975	0.63508	0.81281	-0.21995	-2.31076	-5.25633	-1.86683	0.19795	0.02630	-0.04924	-0.01077	-2.19837	-1.31289	-0.17353	0.09435	0.06602	-0.32316	-0.39027	-0.25223
14	0.86985	-1.12010	1.32279	-7.38956	8.47725	1.12289	-6.31268	-7.51490	1.79855	-11.19023	18.11656	3.09335	-6.71238	34.80219	-3.06920	-12.45675	3.67212	0.32089	-12.95724	21.26793	0.93671	2.01630	10.03644	-9.36079	2.91184	2.42946	-0.62787	-0.47795	-4.00287	-0.90761	0.99865	-0.16081	-0.12187	0.53106	-1.46979	-0.77372	-0.11644	-0.02381	0.01094	-0.29532	-0.32308	-0.26111
15	1.28527	0.30452	1.01360	-8.93187	8.98351	1.19713	-1.98893	-6.17879	2.01598	-12.70487	22.22932	3.01690	-6.62035	34.71724	-3.11393	-12.49051	3.56351	0.47276	-8.21721	34.30489	2.99847	-5.57422	-2.75352	3.07036	3.23853	5.86255	0.37498	5.73554	0.36760	1.97242	1.81407	0.57931	0.27772	3.30541	0.65344	1.23378	0.16228	0.01896	0.02457	0.29129	0.11333	0.08105
16	0.60613	0.43619	1.01913	-8.75404	8.75897	1.46899	-4.68707	-5.76517	1.55622	-9.07348	18.86028	3.37952	-6.52357	34.77621	-3.16464	-12.55203	3.57741	0.68900	-4.85383	36.12696	-0.33832	-9.53025	-24.45567	11.47550	3.06442	6.56252	0.75535	9.50314	4.46816	3.97944	2.25077	1.04569	0.38935	5.28533	2.28711	2.82879	0.37769	0.12762	0.03294	0.81995	0.50236	0.43947
17	-0.64322	-1.00730	1.43224	-7.46826	7.31678	1.52023	-10.75945	-7.91893	1.45349	-4.64562	11.76513	3.43348	-6.42934	34.91417	-3.17865	-12.46118	3.50665	0.76369	-4.41017	26.26973	-4.00643	-1.56816	-29.13260	9.17390	3.93271	3.66752	-0.40935	6.84823	4.01885	2.96386	2.46849	0.51227	-0.09011	4.37791	1.79305	2.33796	0.42544	0.13558	-0.02407	0.79757	0.45405	0.45190
18	-1.02859	-2.96182	1.90623	-6.29528	5.78823	1.25580	-12.60148	-11.85581	2.21299	-2.04072	9.24806	3.43185	-6.36515	35.05728	-3.14938	-12.15831	3.22872	0.62129	-2.21291	16.61845	-2.43578	10.38650	-11.89566	2.29798	4.86149	1.04005	-1.47295	0.97769	-0.83065	0.02578	2.60274	-0.20623	-0.46865	1.53796	-0.23650	0.29712	0.40441	0.05859	-0.06231	0.29042	0.08681	0.15525
19	0.14166	-3.95079	1.95663	-5.68416	5.67836	0.95925	-8.22700	-14.96337	2.94716	-0.25832	12.64979	3.52792	-6.38446	35.25342	-3.11749	-11.68155	2.92138	0.36199	3.74940	13.46144	1.94704	13.02483	5.57871	-2.20888	3.99014	1.40573	-0.85596	-2.13124	-5.61909	-2.07893	2.18600	-0.07684	-0.09508	-0.60256	-1.99007	-1.45450	0.33854	0.03560	0.01993	-0.24196	-0.24143	-0.16539
20	1.47965	-3.44725	1.65414	-5.43550	6.93258	0.83222	-3.83106	-15.28797	3.31373	1.17545	17.32806	2.98907	-6.46662	35.43232	-3.14301	-11.01327	2.74528	0.18002	7.35606	16.16221	3.76484	9.12385	5.37486	-3.39367	1.54755	3.83583	0.82600	-0.85329	-6.81936	-2.04939	1.09477	0.77377	0.67689	-0.36954	-2.43373	-1.73017	0.18070	0.10926	0.16013	-0.33346	-0.35370	-0.27758
21	1.49797	-1.93590	1.38313	-5.67584	7.75463	0.85528	-3.81031	-12.01383	3.52123	-0.06858	18.28468	1.86930	-6.48168	35.48704	-3.23122	-10.32362	2.65754	0.20788	4.51465	22.74489	2.61536	6.75937	-7.33893	-1.62305	0.37920	5.42113	1.51496	1.44133	-4.81027	-0.67939	0.53336	1.20328	0.83281	1.56683	-1.65344	-0.67267	0.05177	0.16805	0.17550	0.06033	-0.24318	-0.12861
22	0.70047	-0.49457	1.25486	-6.94612	6.68247	0.93744	-5.45014	-7.12797	3.13203	-5.80355	12.81608	1.52035	-6.33695	35.56054	-3.30359	-9.99325	2.61484	0.35535	-1.82231	25.71454	0.83737	2.15181	-17.02036	2.37300	1.96032	3.94092	0.31770	2.49664	-1.78247	0.76962	1.28375	0.52022	0.03131	3.22953	-0.35480	0.71751	0.10114	0.11101	0.00949	0.49773	-0.00905	0.12257
23	0.02607	-0.37837	1.28611	-8.09910	4.83765	1.05115	-6.66209	-5.47839	2.20625	-10.49141	5.04544	2.66017	-6.10588	35.77874	-3.32122	-9.93286	2.63933	0.43037	-5.97872	18.97909	-1.03892	-4.47641	-15.53382	4.98844	3.28622	1.25964	-0.97272	2.96918	0.60627	1.46787	1.96485	-0.30269	-0.69602	3.24219	0.48312	1.33467	0.19351	0.02485	-0.13558	0.54511	0.11789	0.21480
24	-0.50820	-1.44059	1.47910	-7.72021	4.19827	1.03271	-8.88970	-7.66882	1.78747	-8.69915	2.63365	3.58481	-5.91317	35.92553	-3.33126	-9.57978	2.63856	0.34210	-6.46334	10.95276	-3.48305	-2.95445	-6.54785	2.97322	1.62166	1.57345	-0.43669	2.41742	1.14963	0.91862	1.28253	0.01745	-0.34382	1.74748	0.21934	0.74160	0.12424	0.05205	-0.06679	0.23244	-0.01738	0.05926
25	-1.07103	-2.16378	1.67103	-6.92023	5.06653	0.77005	-12.28804	-9.26753	2.25081	-5.45072	7.99117	2.60501	-5.78944	35.81979	-3.36904	-8.79576	2.53472	0.18856	-8.20537	14.82249	-4.89888	4.91967	-0.78688	-3.13755	0.01379	4.28036	0.68167	0.12385	-0.35268	-0.42991	0.50422	0.81637	0.43171	0.26508	-0.73950	-0.34003	0.02526	0.11289	0.08299	-0.04184	-0.24637	-0.13833
26	-1.45044	-2.21991	1.75660	-6.04215	6.01299	0.49431	-14.41606	-9.72961	2.92609	-2.66573	14.90722	1.12771	-5.68850	35.68956	-3.41884	-8.00276	2.41089	0.11442	-7.82948	24.65614	-3.41946	5.11222	-5.32302	-9.65069	2.37574	4.19601	-0.02706	-1.26922	-2.78308	-1.15938	1.20264	0.43613	0.33442	0.32285	-1.49541	-0.81992	0.12723	0.01718	0.06369	0.00457	-0.31237	-0.15374
27	-1.04070	-2.03817	1.65058	-4.98830	5.37471	0.35657	-12.00180	-9.89503	2.90274	0.48600	14.36281	1.05018	-5.56228	35.83562	-3.44472	-7.61275	2.34327	0.07475	-0.62392	24.01833	-0.84453	-4.50749	-14.59486	-10.53562	6.19170	0.87355	-1.79441	1.16719	-4.95665	-0.55852	2.45529	-0.71482	-0.37198	1.75423	-1.77478	-0.53776	0.32143	-0.12970	-0.05687	0.23600	-0.24126	-0.03707
28	-0.23430	-1.78782	1.43693	-4.37803	4.23008	0.47958	-7.20068	-8.70232	2.37520	0.20866	8.73235	2.36628	-5.45595	36.14861	-3.46966	-7.48118	2.35400	0.06055	4.10047	16.00552	0.50564	-9.56225	-17.18536	-3.12281	6.49956	-0.30212	-1.99960	5.37570	-5.69322	0.55447	2.54118	-0.81613	-0.48506	2.94181	-1.68918	-0.08415	0.34452	-0.07453	-0.04811	0.33370	-0.18179	0.02859
29	-0.35700	-1.77153	1.44632	-4.89756	4.46518	0.76584	-7.14544	-7.56105	2.66804	-6.17942	7.01092	3.04582	-5.43940	36.25977	-3.53663	-7.19605	2.38967	0.15219	-5.71139	14.05758	0.38151	-1.66089	-11.22403	6.15047	3.38681	2.60147	-0.49952	6.65180	-4.07035	1.08848	1.59089	0.15198	-0.01207	2.81101	-1.13236	0.21033	0.18754	0.08303	0.03595	0.20901	-0.10773	0.01627
30	-1.38235	-2.25893	1.69634	-5.96102	5.42482	0.86140	-12.00174	-10.01423	3.83261	-12.27983	9.66126	1.83408	-5.49458	36.06676	-3.61994	-6.72332	2.37939	0.29926	-19.85461	16.18592	-0.34668	11.15490	-5.32772	9.14097	0.01901	5.83631	0.99294	4.17646	-1.06195	0.95240	0.84844	0.74472	0.17298	1.95198	-0.17114	0.47291	0.07219	0.07663	-0.00465	0.06215	0.06125	0.03605
31	-1.74928	-2.54383	1.64820	-5.91571	5.71054	0.78057	-12.88911	-14.82070	3.67222	-9.19970	10.83258	0.81758	-5.58140	35.86082	-3.66694	-6.38262	2.36822	0.35818	-14.14981	13.44801	-0.73773	17.78062	-4.73990	6.03822	-1.85561	6.49563	1.66421	1.47975	0.76081	0.71327	0.82069	0.62399	-0.04101	1.57029	0.53625	0.73985	0.12934	-0.02229	-0.12265	0.07825	0.22475	0.11452
32	-1.03649	-1.86071	1.11996	-5.80968	5.79202	0.83949	-7.27835	-16.14047	1.38228	-3.16865	9.88265	2.00987	-5.68766	35.85722	-3.67163	-6.39435	2.44211	0.28071	5.39297	10.56229	-0.23453	13.67585	-6.51513	2.29125	-1.02071	4.94696	1.24931	1.27545	-0.09046	0.62728	1.36184	0.40673	-0.20908	1.97524	0.34794	0.76496	0.27717	0.01012	-0.13725	0.20532	0.21070	0.15376
33	-0.54229	-1.13818	0.77751	-6.78962	6.89780	1.09600	-3.75039	-12.08157	-0.25660	-4.49038	12.52130	4.23060	-5.76453	35.88573	-3.66255	-6.46872	2.52735	0.17035	10.05955	19.42593	1.38266	2.20564	-8.96846	0.78328	2.71630	2.86736	-0.21849	2.58331	-2.15540	0.57722	2.23099	0.24541	-0.23324	2.42594	-0.41085	0.50320	0.38633	0.11418	-0.05476	0.28389	0.04616	0.10909
34	-0.62118	-1.28911	0.99064	-7.45349	7.75929	1.07875	-5.79028	-6.96798	0.75627	-9.90184	16.53701	4.37242	-5.73768	35.76669	-3.63986	-6.28329	2.43436	0.04973	-2.98294	32.10287	1.76777	-5.66861	-12.20715	0.44467	5.99895	1.52542	-1.48387	3.08936	-2.82823	0.48093	2.71568	-0.06622	-0.22493	2.34783	-0.89852	0.27033	0.37647	0.07896	-0.00357	0.29510	-0.10969	0.05440
35	-0.56768	-2.01989	1.36451	-6.24239	6.97552	0.68451	-8.07247	-6.70391	2.89056	-9.05539	14.67408	2.03694	-5.63068	35.60126	-3.60593	-5.98770	2.23199	-0.05557	-9.16032	30.12760	-1.10030	-5.17337	-11.60430	-0.42928	5.64794	1.28925	-1.30809	2.24002	-1.98750	0.27311	2.26843	-0.27249	-0.15248	2.04327	-1.03534	0.16957	0.25417	-0.04610	-0.00738	0.29761	-0.20931	0.02320
36	-0.12807	-2.18730	1.44099	-4.61940	5.96116	0.43019	-8.15269	-9.53847	3.86448	-4.22150	10.31889	0.13026	-5.50146	35.58936	-3.57510	-5.93263	2.18419	-0.04874	-3.60276	20.64522	-4.24592	-4.55445	-4.86764	-1.00456	2.40420	2.47408	0.07888	1.45483	-1.65198	0.00325	1.17458	0.18154	0.07593	1.96695	-1.20274	0.02209	0.09461	-0.02871	-0.00003	0.25367	-0.25724	-0.02545
37	-0.42694	-1.24417	1.33811	-4.79371	6.78386	0.65736	-10.83455	-8.86523	3.60067	-5.73168	13.57470	0.97772	-5.39356	35.74786	-3.60430	-6.17932	2.33726	0.05841	-7.66047	25.55911	-2.75660	-6.85252	-0.19156	-0.06694	-0.74903	4.87289	1.39758	2.08650	-2.28819	-0.00908	0.09386	1.14831	0.39711	2.10983	-1.25118	-0.09412	-0.03363	0.13683	0.03140	0.15788	-0.21119	-0.07425
38	-1.80915	0.01605	1.29578	-6.25240	8.52137	1.07105	-16.12669	-4.67975	3.02937	-12.21688	21.44824	3.43131	-5.33725	35.92249	-3.71945	-6.47778	2.49608	0.13019	-21.90664	40.07149	2.21808	-4.25265	-5.59004	1.06673	-0.75646	6.65807	1.37342	3.56711	-2.52416	0.39151	-0.08080	1.77024	0.56558	2.29567	-0.91108	0.08519	-0.02131	0.25759	0.04411	0.14357	-0.09377	-0.04565
39	-2.64384	-0.13841	1.30712	-7.40818	8.50678	1.15709	-16.98323	-6.22495	2.54695	-13.76072	20.16995	4.38451	-5.34443	35.99236	-3.82760	-6.66233	2.53878	0.07527	-22.91383	35.07941	4.54691	2.96638	-16.63983	1.28222	2.94132	5.29109	-0.30542	4.49840	-2.15590	0.93411	1.15974	1.21103	0.22862	2.48347	-0.50587	0.49254	0.19770	0.20426	-0.00178	0.26961	-0.01013	0.06825
40	-1.96961	-1.88847	1.29603	-7.89244	7.11296	0.93918	-12.38344	-16.16658	2.23364	-8.23806	10.49246	3.36550	-5.42230	35.99417	-3.83066	-6.84104	2.53623	-0.04119	-7.32270	8.93431	2.38325	6.63093	-23.01373	1.00331	6.96107	1.04485	-2.41542	4.12978	-2.12190	1.11284	2.98288	-0.45772	-0.60647	2.44139	-0.50381	0.67155	0.46825	-0.00389	-0.09955	0.36570	-0.03182	0.14762
41	-0.83080	-2.69462	1.17918	-7.62579	7.02809	0.87449	-8.47892	-21.24508	2.01239	-2.01645	7.91101	2.77817	-5.51626	36.00822	-3.75461	-7.08770	2.55914	-0.07577	4.68870	-1.86937	-0.36155	6.74096	-20.70077	0.17308	7.17536	-2.11086	-3.00719	2.27717	-2.22102	0.63057	3.73386	-1.94098	-1.24135	1.91574	-0.82136	0.38659	0.53524	-0.20039	-0.16027	0.28122	-0.13169	0.09522
42	-0.54970	-1.52742	1.07276	-6.32607	8.39259	1.06304	-8.52348	-13.25077	2.02916	0.34089	15.54987	3.41215	-5.49018	36.00388	-3.69877	-7.23959	2.57014	0.00829	3.50220	17.29005	-1.00207	5.22621	-13.83652	-0.00914	3.29972	-1.01526	-1.39849	0.08081	-2.15574	-0.12533	2.65504	-1.89158	-1.00656	1.33310	-1.15250	-0.05631	0.32097	-0.19411	-0.09245	0.12315	-0.22667	-0.01929
43	-0.98118	-0.84455	1.18094	-4.70930	8.59463	1.09354	-9.70560	-3.17056	2.36223	-0.73505	18.99285	3.27703	-5.30603	35.95364	-3.71777	-7.20097	2.55863	0.08591	-1.67887	34.70664	-1.56837	-0.48085	-9.15982	2.37078	-1.15532	2.96081	1.06711	-0.43755	-2.19964	-0.36489	0.73208	-0.37800	-0.11796	1.23278	-1.17505	-0.17607	0.01349	0.00432	0.05196	0.05257	-0.19979	-0.04988
