	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d
	Neck_Joint_Position	Neck_Joint_Position	Neck_Joint_Position	L_ANKLE_POSITION	L_ANKLE_POSITION	L_ANKLE_POSITION	R_ANKLE_POSITION	R_ANKLE_POSITION	R_ANKLE_POSITION	L_KNEE_POSITION	L_KNEE_POSITION	L_KNEE_POSITION	R_KNEE_POSITION	R_KNEE_POSITION	R_KNEE_POSITION	L_HIP_POSITION	L_HIP_POSITION	L_HIP_POSITION	R_HIP_POSITION	R_HIP_POSITION	R_HIP_POSITION	L_SHOULDER_POSITION	L_SHOULDER_POSITION	L_SHOULDER_POSITION	R_SHOULDER_POSITION	R_SHOULDER_POSITION	R_SHOULDER_POSITION	L_ELBOW_POSITION	L_ELBOW_POSITION	L_ELBOW_POSITION	R_ELBOW_POSITION	R_ELBOW_POSITION	R_ELBOW_POSITION	L_WRIST_POSITION	L_WRIST_POSITION	L_WRIST_POSITION	R_WRIST_POSITION	R_WRIST_POSITION	R_WRIST_POSITION
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	0.14071	0.30696	1.51830	0.01358	0.42687	0.07995	0.25797	0.09254	0.09979	0.04949	0.41209	0.49560	0.27061	0.25594	0.48366	0.08059	0.30213	0.91520	0.24784	0.27364	0.91742	-0.02059	0.29430	1.43097	0.31479	0.26470	1.44510	-0.03400	0.44116	1.18121	0.37679	0.40818	1.20297	0.04227	0.52915	1.41683	0.27602	0.49264	1.42288
2	0.13845	0.30917	1.51871	0.01312	0.42717	0.08026	0.25898	0.09371	0.10173	0.04821	0.41294	0.49600	0.27036	0.26065	0.48412	0.07861	0.30289	0.91563	0.24608	0.27568	0.91790	-0.02277	0.29574	1.43087	0.31277	0.26731	1.44558	-0.03620	0.44258	1.18110	0.37411	0.41034	1.20301	0.03978	0.53106	1.41663	0.27273	0.49502	1.42256
3	0.13631	0.31118	1.51912	0.01247	0.42753	0.08036	0.26014	0.09507	0.10354	0.04700	0.41368	0.49616	0.26999	0.26522	0.48455	0.07659	0.30351	0.91582	0.24426	0.27763	0.91833	-0.02491	0.29663	1.43052	0.31069	0.27064	1.44570	-0.03826	0.44381	1.18094	0.37120	0.41328	1.20270	0.03785	0.53277	1.41626	0.26970	0.49756	1.42234
4	0.13398	0.31291	1.51945	0.01181	0.42776	0.08026	0.26122	0.09651	0.10538	0.04587	0.41396	0.49609	0.26964	0.26990	0.48497	0.07463	0.30426	0.91593	0.24247	0.27952	0.91873	-0.02714	0.29717	1.42995	0.30851	0.27438	1.44559	-0.04016	0.44520	1.18086	0.36821	0.41684	1.20228	0.03651	0.53447	1.41587	0.26673	0.50058	1.42214
5	0.13146	0.31454	1.51971	0.01137	0.42779	0.08009	0.26208	0.09790	0.10732	0.04485	0.41381	0.49597	0.26944	0.27479	0.48531	0.07275	0.30526	0.91616	0.24072	0.28138	0.91903	-0.02950	0.29748	1.42933	0.30635	0.27802	1.44558	-0.04207	0.44671	1.18094	0.36527	0.42037	1.20201	0.03528	0.53626	1.41562	0.26383	0.50387	1.42198
6	0.12890	0.31633	1.51993	0.01116	0.42778	0.07995	0.26273	0.09919	0.10928	0.04388	0.41362	0.49588	0.26943	0.27978	0.48552	0.07087	0.30643	0.91649	0.23891	0.28312	0.91916	-0.03198	0.29785	1.42892	0.30434	0.28121	1.44584	-0.04410	0.44814	1.18115	0.36232	0.42324	1.20186	0.03364	0.53827	1.41548	0.26107	0.50690	1.42186
