	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d
	FullBody_CoG_vel	FullBody_CoG_vel	FullBody_CoG_vel	L_Hand_CoG_vel	L_Hand_CoG_vel	L_Hand_CoG_vel	R_Hand_CoG_vel	R_Hand_CoG_vel	R_Hand_CoG_vel	L_Forearm_CoG_vel	L_Forearm_CoG_vel	L_Forearm_CoG_vel	R_Forearm_CoG_vel	R_Forearm_CoG_vel	R_Forearm_CoG_vel	L_UpperArm_CoG_vel	L_UpperArm_CoG_vel	L_UpperArm_CoG_vel	R_UpperArm_CoG_vel	R_UpperArm_CoG_vel	R_UpperArm_CoG_vel	Head_CoG_vel	Head_CoG_vel	Head_CoG_vel	Head_Shadow_CoG_vel	Head_Shadow_CoG_vel	Head_Shadow_CoG_vel	Trunk_CoG_vel	Trunk_CoG_vel	Trunk_CoG_vel	Pelvis_CoG_vel	Pelvis_CoG_vel	Pelvis_CoG_vel	L_Thigh_CoG_vel	L_Thigh_CoG_vel	L_Thigh_CoG_vel	R_Thigh_CoG_vel	R_Thigh_CoG_vel	R_Thigh_CoG_vel	L_Shank_CoG_vel	L_Shank_CoG_vel	L_Shank_CoG_vel	R_Shank_CoG_vel	R_Shank_CoG_vel	R_Shank_CoG_vel	L_Foot_CoG_vel	L_Foot_CoG_vel	L_Foot_CoG_vel	R_Foot_CoG_vel	R_Foot_CoG_vel	R_Foot_CoG_vel	L_Foot_Shadow_CoG_vel	L_Foot_Shadow_CoG_vel	L_Foot_Shadow_CoG_vel	R_Foot_Shadow_CoG_vel	R_Foot_Shadow_CoG_vel	R_Foot_Shadow_CoG_vel
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																																									
2	0.01147	0.05312	-0.00652																																																						
3	0.00858	0.04474	-0.00306	-0.07734	0.14125	0.00345	-0.19522	0.11824	0.04182	-0.07284	0.10007	0.00255	-0.05367	0.15575	0.02644	-0.01611	0.07716	-0.02462	0.00810	0.16559	-0.00359	0.06577	0.06096	-0.00631	-0.03412	0.10893	0.00073	0.02829	0.04765	-0.00408	0.01606	0.02131	-0.00716	-0.00643	0.01103	0.00875	0.02267	0.03687	-0.01498	-0.00629	0.01216	0.00961	0.03148	0.00073	-0.00681	0.01274	-0.00516	0.00156	0.02822	-0.01151	-0.01753	0.01315	-0.00505	-0.00107	0.02826	-0.01148	-0.02199
4	0.00669	0.03546	-0.00151	-0.06029	0.08919	-0.01622	-0.12855	0.11536	0.05030	-0.05229	0.08292	-0.02440	-0.04562	0.15100	0.03361	-0.01289	0.06054	-0.02403	0.02815	0.11471	0.01649	0.06392	0.04587	-0.02784	-0.03735	0.08968	-0.01854	0.02666	0.04874	-0.00842	-0.00439	0.00797	0.00044	-0.01369	0.00551	0.01905	0.01934	0.01756	-0.01104	0.00359	0.01151	0.02364	0.04483	-0.01914	-0.00133	0.02235	-0.00994	0.01539	0.02105	0.00152	-0.00126	0.02135	-0.01070	0.01183	0.02138	0.00213	-0.00962
5	0.00766	0.03262	-0.00529	-0.08502	0.06475	-0.01681	-0.05011	0.09222	0.03273	-0.05041	0.06551	-0.02862	-0.03149	0.12350	0.01486	0.00040	0.04544	-0.02877	0.02891	0.06144	0.01236	0.05155	0.03211	-0.03784	-0.04131	0.07220	-0.03137	0.02689	0.05006	-0.01815	-0.00956	0.01125	0.00360	-0.00800	0.01482	0.01774	0.01811	0.01046	-0.00780	0.00991	0.01623	0.02243	0.04533	-0.02179	0.00266	0.02180	-0.00997	0.01654	0.01051	0.00552	0.01413	0.01994	-0.01125	0.01287	0.01159	0.00760	0.00672
6	0.00981	0.03617	-0.01422	-0.14151	0.06289	-0.00844	-0.02737	0.07012	0.01551	-0.06399	0.04915	-0.01565	-0.02515	0.10067	-0.00386	0.00614	0.02746	-0.03199	0.00103	0.05894	-0.01188	0.03684	0.03244	-0.03533	-0.04122	0.06651	-0.03188	0.03415	0.04528	-0.02627	-0.00015	0.02484	-0.00582	0.00226	0.03591	0.00494	0.01548	0.01797	-0.01732	-0.00070	0.02923	0.00733	0.02817	-0.00619	-0.00756	0.01183	-0.00394	0.00986	0.00570	0.00089	0.01558	0.00994	-0.00529	0.00577	0.00737	0.00406	0.01457
