	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	6.70658	-39.65379	481.10004	-8.39581	25.56929	137.21066
2	6.70842	-39.66994	481.14978	-8.43997	25.58235	137.31517
3	6.71026	-39.68607	481.19968	-8.48416	25.59552	137.42017
4	6.71210	-39.70219	481.24976	-8.52844	25.60892	137.52614
5	6.71395	-39.71829	481.30020	-8.57284	25.62267	137.63361
6	6.71580	-39.73436	481.35107	-8.61740	25.63688	137.74304
7	6.71766	-39.75039	481.40256	-8.66218	25.65168	137.85495
8	6.71952	-39.76638	481.45474	-8.70720	25.66716	137.96983
9	6.72139	-39.78231	481.50775	-8.75252	25.68345	138.08817
10	6.72327	-39.79818	481.56161	-8.79817	25.70067	138.21043
11	6.72517	-39.81399	481.61652	-8.84417	25.71891	138.33705
12	6.72707	-39.82971	481.67242	-8.89050	25.73814	138.46800
13	6.72897	-39.84534	481.72922	-8.93710	25.75833	138.60313
14	6.73087	-39.86087	481.78693	-8.98391	25.77942	138.74237
15	6.73277	-39.87629	481.84546	-9.03089	25.80140	138.88559
16	6.73467	-39.89157	481.90482	-9.07798	25.82420	139.03265
17	6.73655	-39.90672	481.96484	-9.12512	25.84778	139.18346
18	6.73842	-39.92172	482.02557	-9.17228	25.87211	139.33789
19	6.74028	-39.93655	482.08698	-9.21939	25.89714	139.49582
20	6.74211	-39.95122	482.14896	-9.26640	25.92284	139.65715
21	6.74392	-39.96571	482.21152	-9.31328	25.94917	139.82190
22	6.74570	-39.98002	482.27460	-9.35999	25.97614	139.99007
23	6.74745	-39.99416	482.33832	-9.40650	26.00373	140.16167
24	6.74916	-40.00813	482.40256	-9.45277	26.03193	140.33675
25	6.75082	-40.02192	482.46738	-9.49877	26.06072	140.51530
26	6.75244	-40.03555	482.53275	-9.54446	26.09010	140.69737
27	6.75401	-40.04900	482.59866	-9.58981	26.12004	140.88295
28	6.75552	-40.06228	482.66510	-9.63478	26.15053	141.07208
29	6.75697	-40.07539	482.73206	-9.67934	26.18157	141.26476
30	6.75835	-40.08834	482.79956	-9.72345	26.21312	141.46098
31	6.75966	-40.10113	482.86755	-9.76707	26.24516	141.66068
32	6.76089	-40.11376	482.93600	-9.81017	26.27766	141.86385
33	6.76204	-40.12626	483.00488	-9.85271	26.31059	142.07040
34	6.76310	-40.13862	483.07416	-9.89466	26.34393	142.28033
35	6.76406	-40.15085	483.14389	-9.93597	26.37765	142.49362
36	6.76493	-40.16295	483.21393	-9.97660	26.41172	142.71021
37	6.76569	-40.17494	483.28436	-10.01653	26.44612	142.93005
38	6.76634	-40.18682	483.35510	-10.05572	26.48082	143.15314
39	6.76688	-40.19860	483.42615	-10.09413	26.51579	143.37941
40	6.76729	-40.21029	483.49750	-10.13174	26.55102	143.60890
41	6.76758	-40.22190	483.56906	-10.16854	26.58649	143.84155
42	6.76773	-40.23343	483.64090	-10.20448	26.62217	144.07736
43	6.76774	-40.24490	483.71292	-10.23955	26.65804	144.31631
44	6.76761	-40.25631	483.78513	-10.27373	26.69407	144.55838
45	6.76732	-40.26767	483.85751	-10.30698	26.73026	144.80353
46	6.76688	-40.27899	483.92999	-10.33928	26.76657	145.05180
47	6.76627	-40.29028	484.00262	-10.37061	26.80299	145.30312
48	6.76549	-40.30154	484.07532	-10.40095	26.83950	145.55753
49	6.76453	-40.31280	484.14798	-10.43030	26.87608	145.81500
50	6.76339	-40.32404	484.22076	-10.45864	26.91273	146.07553
51	6.76204	-40.33529	484.29349	-10.48597	26.94942	146.33916
52	6.76050	-40.34653	484.36618	-10.51226	26.98614	146.60588
53	6.75874	-40.35780	484.43875	-10.53753	27.02289	146.87569
54	6.75675	-40.36908	484.51126	-10.56174	27.05963	147.14857
55	6.75454	-40.38039	484.58359	-10.58489	27.09637	147.42456
56	6.75210	-40.39174	484.65573	-10.60698	27.13308	147.70364
57	6.74940	-40.40313	484.72766	-10.62800	27.16976	147.98586
58	6.74646	-40.41456	484.79938	-10.64796	27.20641	148.27119
59	6.74326	-40.42603	484.87082	-10.66687	27.24303	148.55968
60	6.73980	-40.43755	484.94196	-10.68472	27.27961	148.85133
61	6.73607	-40.44910	485.01279	-10.70153	27.31616	149.14618
62	6.73207	-40.46071	485.08331	-10.71730	27.35266	149.44423
63	6.72778	-40.47237	485.15341	-10.73204	27.38911	149.74550
64	6.72321	-40.48407	485.22308	-10.74574	27.42552	150.05002
65	6.71834	-40.49583	485.29233	-10.75842	27.46188	150.35780
66	6.71317	-40.50764	485.36118	-10.77008	27.49821	150.66887
67	6.70771	-40.51949	485.42947	-10.78074	27.53451	150.98326
68	6.70194	-40.53138	485.49731	-10.79040	27.57080	151.30101
69	6.69587	-40.54331	485.56461	-10.79908	27.60709	151.62216
70	6.68949	-40.55527	485.63141	-10.80679	27.64339	151.94673
71	6.68279	-40.56726	485.69760	-10.81355	27.67973	152.27475
72	6.67578	-40.57929	485.76324	-10.81935	27.71611	152.60628
73	6.66845	-40.59132	485.82825	-10.82421	27.75254	152.94133
74	6.66080	-40.60339	485.89264	-10.82815	27.78904	153.27994
75	6.65283	-40.61545	485.95636	-10.83118	27.82563	153.62216
76	6.64454	-40.62752	486.01947	-10.83331	27.86234	153.96802
77	6.63593	-40.63958	486.08188	-10.83456	27.89920	154.31757
78	6.62700	-40.65163	486.14362	-10.83494	27.93623	154.67084
79	6.61775	-40.66364	486.20462	-10.83446	27.97345	155.02789
80	6.60820	-40.67563	486.26498	-10.83315	28.01090	155.38873
81	6.59832	-40.68758	486.32455	-10.83101	28.04859	155.75345
82	6.58814	-40.69947	486.38339	-10.82807	28.08656	156.12207
83	6.57764	-40.71131	486.44150	-10.82433	28.12482	156.49461
84	6.56684	-40.72308	486.49884	-10.81982	28.16342	156.87114
85	6.55574	-40.73477	486.55533	-10.81455	28.20239	157.25162
86	6.54436	-40.74639	486.61118	-10.80855	28.24176	157.63612
87	6.53269	-40.75790	486.66617	-10.80183	28.28156	158.02463
88	6.52075	-40.76932	486.72040	-10.79442	28.32183	158.41719
89	6.50855	-40.78064	486.77393	-10.78634	28.36261	158.81380
90	6.49609	-40.79183	486.82660	-10.77760	28.40393	159.21449
91	6.48339	-40.80290	486.87851	-10.76823	28.44582	159.61929
92	6.47044	-40.81384	486.92960	-10.75824	28.48831	160.02820
93	6.45726	-40.82465	486.97995	-10.74766	28.53146	160.44125
94	6.44387	-40.83532	487.02951	-10.73651	28.57528	160.85838
95	6.43027	-40.84585	487.07831	-10.72480	28.61983	161.27966
96	6.41649	-40.85624	487.12634	-10.71255	28.66513	161.70502
97	6.40253	-40.86647	487.17361	-10.69978	28.71124	162.13451
98	6.38840	-40.87658	487.22015	-10.68652	28.75818	162.56808
99	6.37412	-40.88652	487.26596	-10.67278	28.80599	163.00580
100	6.35969	-40.89631	487.31097	-10.65858	28.85472	163.44757
101	6.34515	-40.90595	487.35532	-10.64394	28.90439	163.89345
102	6.33048	-40.91545	487.39890	-10.62888	28.95506	164.34340
103	6.31571	-40.92479	487.44183	-10.61341	29.00674	164.79739
104	6.30084	-40.93401	487.48401	-10.59755	29.05950	165.25537
105	6.28589	-40.94308	487.52560	-10.58132	29.11335	165.71733
106	6.27087	-40.95203	487.56650	-10.56474	29.16834	166.18323
107	6.25578	-40.96086	487.60678	-10.54782	29.22450	166.65303
108	6.24064	-40.96957	487.64642	-10.53058	29.28188	167.12672
109	6.22547	-40.97818	487.68552	-10.51304	29.34050	167.60425
110	6.21026	-40.98668	487.72403	-10.49521	29.40041	168.08559
111	6.19503	-40.99508	487.76193	-10.47712	29.46164	168.57065
112	6.17980	-41.00340	487.79932	-10.45877	29.52421	169.05940
113	6.16457	-41.01164	487.83627	-10.44020	29.58815	169.55171
114	6.14935	-41.01982	487.87268	-10.42141	29.65349	170.04756
115	6.13416	-41.02796	487.90863	-10.40242	29.72026	170.54686
116	6.11901	-41.03605	487.94418	-10.38325	29.78849	171.04953
117	6.10390	-41.04411	487.97937	-10.36391	29.85821	171.55547
118	6.08886	-41.05215	488.01413	-10.34444	29.92944	172.06465
119	6.07388	-41.06018	488.04858	-10.32483	30.00221	172.57697
120	6.05899	-41.06822	488.08270	-10.30511	30.07654	173.09233
121	6.04418	-41.07627	488.11655	-10.28531	30.15245	173.61066
122	6.02946	-41.08435	488.15021	-10.26542	30.22996	174.13182
123	6.01484	-41.09247	488.18362	-10.24548	30.30907	174.65576
124	6.00033	-41.10064	488.21683	-10.22550	30.38982	175.18234
125	5.98594	-41.10887	488.24994	-10.20549	30.47221	175.71150
126	5.97167	-41.11718	488.28296	-10.18548	30.55627	176.24312
127	5.95752	-41.12557	488.31586	-10.16549	30.64201	176.77710
128	5.94352	-41.13407	488.34875	-10.14552	30.72945	177.31334
129	5.92965	-41.14268	488.38165	-10.12560	30.81859	177.85176
130	5.91593	-41.15141	488.41458	-10.10573	30.90944	178.39220
131	5.90236	-41.16029	488.44760	-10.08594	31.00199	178.93456
132	5.88894	-41.16932	488.48080	-10.06623	31.09626	179.47868
133	5.87568	-41.17851	488.51413	-10.04663	31.19225	180.02454
134	5.86258	-41.18789	488.54773	-10.02713	31.28996	180.57193
135	5.84964	-41.19746	488.58157	-10.00777	31.38939	181.12079
136	5.83687	-41.20723	488.61575	-9.98855	31.49055	181.67094
137	5.82428	-41.21722	488.65027	-9.96948	31.59344	182.22234
138	5.81186	-41.22745	488.68521	-9.95058	31.69805	182.77480
139	5.79962	-41.23792	488.72061	-9.93187	31.80436	183.32825
140	5.78756	-41.24864	488.75650	-9.91335	31.91235	183.88254
141	5.77569	-41.25963	488.79291	-9.89504	32.02202	184.43756
142	5.76401	-41.27089	488.82999	-9.87694	32.13334	184.99321
143	5.75251	-41.28242	488.86765	-9.85909	32.24630	185.54933
144	5.74122	-41.29426	488.90601	-9.84148	32.36089	186.10580
145	5.73012	-41.30640	488.94510	-9.82413	32.47709	186.66255
146	5.71923	-41.31885	488.98499	-9.80705	32.59488	187.21942
147	5.70854	-41.33163	489.02567	-9.79025	32.71424	187.77631
148	5.69805	-41.34473	489.06729	-9.77375	32.83514	188.33313
149	5.68778	-41.35816	489.10980	-9.75754	32.95757	188.88977
150	5.67772	-41.37192	489.15329	-9.74164	33.08150	189.44612
151	5.66789	-41.38602	489.19785	-9.72606	33.20690	190.00208
152	5.65827	-41.40046	489.24344	-9.71080	33.33374	190.55756
153	5.64887	-41.41526	489.29016	-9.69588	33.46201	191.11244
154	5.63970	-41.43039	489.33807	-9.68129	33.59168	191.66663
155	5.63077	-41.44589	489.38721	-9.66706	33.72272	192.22003
156	5.62206	-41.46174	489.43756	-9.65318	33.85510	192.77252
157	5.61360	-41.47794	489.48929	-9.63964	33.98879	193.32408
158	5.60538	-41.49450	489.54236	-9.62646	34.12375	193.87457
159	5.59742	-41.51140	489.59686	-9.61364	34.25994	194.42395
160	5.58971	-41.52866	489.65280	-9.60117	34.39734	194.97209
161	5.58226	-41.54626	489.71030	-9.58905	34.53591	195.51897
162	5.57507	-41.56421	489.76932	-9.57729	34.67561	196.06444
163	5.56816	-41.58251	489.82996	-9.56588	34.81641	196.60846
164	5.56153	-41.60115	489.89224	-9.55483	34.95827	197.15092
165	5.55517	-41.62013	489.95624	-9.54414	35.10116	197.69182
166	5.54911	-41.63946	490.02191	-9.53378	35.24503	198.23108
167	5.54334	-41.65912	490.08939	-9.52378	35.38982	198.76865
168	5.53787	-41.67912	490.15860	-9.51411	35.53550	199.30447
169	5.53271	-41.69945	490.22968	-9.50478	35.68204	199.83855
170	5.52786	-41.72012	490.30255	-9.49577	35.82938	200.37079
171	5.52333	-41.74112	490.37735	-9.48709	35.97747	200.90117
172	5.51913	-41.76244	490.45404	-9.47874	36.12627	201.42963
173	5.51526	-41.78409	490.53268	-9.47069	36.27575	201.95615
174	5.51172	-41.80607	490.61325	-9.46296	36.42584	202.48068
175	5.50852	-41.82837	490.69586	-9.45554	36.57652	203.00320
176	5.50565	-41.85101	490.78043	-9.44841	36.72772	203.52371
177	5.50312	-41.87397	490.86703	-9.44157	36.87940	204.04221
178	5.50093	-41.89727	490.95566	-9.43502	37.03152	204.55865
179	5.49908	-41.92089	491.04636	-9.42874	37.18402	205.07303
180	5.49757	-41.94485	491.13910	-9.42274	37.33685	205.58530
181	5.49641	-41.96914	491.23398	-9.41700	37.48997	206.09547
182	5.49558	-41.99377	491.33093	-9.41152	37.64334	206.60352
183	5.49511	-42.01873	491.43002	-9.40629	37.79690	207.10945
184	5.49497	-42.04404	491.53125	-9.40130	37.95059	207.61325
185	5.49518	-42.06971	491.63458	-9.39654	38.10437	208.11493
186	5.49573	-42.09573	491.74005	-9.39201	38.25817	208.61446
187	5.49662	-42.12210	491.84772	-9.38768	38.41196	209.11188
188	5.49786	-42.14886	491.95752	-9.38356	38.56567	209.60716
189	5.49944	-42.17598	492.06949	-9.37964	38.71925	210.10033
190	5.50135	-42.20348	492.18362	-9.37590	38.87266	210.59134
191	5.50361	-42.23137	492.29993	-9.37234	39.02583	211.08023
192	5.50622	-42.25965	492.41846	-9.36894	39.17871	211.56699
193	5.50916	-42.28833	492.53915	-9.36571	39.33126	212.05165
194	5.51244	-42.31743	492.66202	-9.36262	39.48341	212.53418
195	5.51606	-42.34695	492.78705	-9.35968	39.63513	213.01462
196	5.52002	-42.37689	492.91428	-9.35688	39.78636	213.49298
197	5.52432	-42.40727	493.04367	-9.35421	39.93703	213.96924
198	5.52896	-42.43810	493.17526	-9.35165	40.08712	214.44341
199	5.53393	-42.46938	493.30902	-9.34920	40.23655	214.91553
200	5.53925	-42.50113	493.44501	-9.34686	40.38527	215.38559
201	5.54490	-42.53335	493.58310	-9.34462	40.53326	215.85356
202	5.55089	-42.56605	493.72345	-9.34247	40.68044	216.31949
203	5.55721	-42.59925	493.86594	-9.34042	40.82678	216.78333
204	5.56387	-42.63295	494.01065	-9.33844	40.97222	217.24509
205	5.57087	-42.66717	494.15759	-9.33655	41.11672	217.70476
206	5.57821	-42.70191	494.30673	-9.33473	41.26024	218.16237
207	5.58588	-42.73719	494.45813	-9.33298	41.40272	218.61789
208	5.59388	-42.77302	494.61172	-9.33129	41.54411	219.07130
209	5.60222	-42.80940	494.76758	-9.32967	41.68436	219.52263
210	5.61090	-42.84635	494.92566	-9.32809	41.82345	219.97182
211	5.61991	-42.88388	495.08600	-9.32657	41.96131	220.41888
212	5.62926	-42.92199	495.24863	-9.32510	42.09791	220.86377
213	5.63893	-42.96070	495.41351	-9.32366	42.23320	221.30647
214	5.64894	-43.00001	495.58069	-9.32226	42.36715	221.74696
