	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d
	Head_AngMom_wrt_LAB	Head_AngMom_wrt_LAB	Head_AngMom_wrt_LAB	Head_Shadow_AngMom_wrt_LAB	Head_Shadow_AngMom_wrt_LAB	Head_Shadow_AngMom_wrt_LAB	Trunk_AngMom_wrt_LAB	Trunk_AngMom_wrt_LAB	Trunk_AngMom_wrt_LAB	R_UA_AngMom_wrt_LAB	R_UA_AngMom_wrt_LAB	R_UA_AngMom_wrt_LAB	R_FA_AngMom_wrt_LAB	R_FA_AngMom_wrt_LAB	R_FA_AngMom_wrt_LAB	R_Hand_AngMom_wrt_LAB	R_Hand_AngMom_wrt_LAB	R_Hand_AngMom_wrt_LAB	L_UA_AngMom_wrt_LAB	L_UA_AngMom_wrt_LAB	L_UA_AngMom_wrt_LAB	L_FA_AngMom_wrt_LAB	L_FA_AngMom_wrt_LAB	L_FA_AngMom_wrt_LAB	L_Hand_AngMom_wrt_LAB	L_Hand_AngMom_wrt_LAB	L_Hand_AngMom_wrt_LAB	Pelvis_AngMom_wrt_LAB	Pelvis_AngMom_wrt_LAB	Pelvis_AngMom_wrt_LAB	R_Thigh_AngMom_wrt_LAB	R_Thigh_AngMom_wrt_LAB	R_Thigh_AngMom_wrt_LAB	R_Shank_AngMom_wrt_LAB	R_Shank_AngMom_wrt_LAB	R_Shank_AngMom_wrt_LAB	R_Foot_AngMom_wrt_LAB	R_Foot_AngMom_wrt_LAB	R_Foot_AngMom_wrt_LAB	R_Foot_Shadow_AngMom_wrt_LAB	R_Foot_Shadow_AngMom_wrt_LAB	R_Foot_Shadow_AngMom_wrt_LAB	R_Toes_AngMom_wrt_LAB	R_Toes_AngMom_wrt_LAB	R_Toes_AngMom_wrt_LAB	L_Thigh_AngMom_wrt_LAB	L_Thigh_AngMom_wrt_LAB	L_Thigh_AngMom_wrt_LAB	L_Shank_AngMom_wrt_LAB	L_Shank_AngMom_wrt_LAB	L_Shank_AngMom_wrt_LAB	L_Foot_AngMom_wrt_LAB	L_Foot_AngMom_wrt_LAB	L_Foot_AngMom_wrt_LAB	L_Foot_Shadow_AngMom_wrt_LAB	L_Foot_Shadow_AngMom_wrt_LAB	L_Foot_Shadow_AngMom_wrt_LAB	L_Toes_AngMom_wrt_LAB	L_Toes_AngMom_wrt_LAB	L_Toes_AngMom_wrt_LAB	FullBody_AngMom	FullBody_AngMom	FullBody_AngMom
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																																															
2	0.00011	0.00005	0.00005	0.00545	0.00236	0.00222	0.01020	0.00041	-0.02284	0.00066	0.00146	-0.00097	-0.00007	0.00017	0.00025	-0.00010	0.00005	0.00011	-0.00067	0.00050	0.00132	0.00099	0.00060	0.00036	0.00114	0.00014	0.00047	-0.00238	0.00163	0.00075	-0.00264	0.00352	-0.00091	0.00316	-0.00125	0.00005	-0.00034	0.00022	0.00035	-0.00034	0.00022	0.00035	-0.00000	-0.00001	0.00000	0.00800	-0.01551	0.00381	0.00184	0.00163	0.00107	-0.00071	0.00070	-0.00112	-0.00071	0.00070	-0.00112	0.00001	-0.00000	-0.00000			
3	0.00010	0.00005	0.00006	0.00499	0.00269	0.00301	0.00365	-0.01943	0.00105	-0.00035	0.00142	-0.00132	-0.00038	0.00023	-0.00035	0.00048	-0.00005	0.00005	-0.00148	-0.00058	0.00108	0.00055	-0.00059	0.00002	0.00134	0.00080	0.00025	-0.00138	0.00154	0.00033	-0.00646	-0.00011	-0.00642	0.00414	-0.00142	-0.00080	-0.00055	-0.00009	0.00052	-0.00055	-0.00009	0.00052	-0.00001	-0.00001	0.00000	0.00897	-0.01569	-0.00240	0.00261	0.00092	0.00011	-0.00061	0.00046	-0.00115	-0.00061	0.00046	-0.00115	0.00000	-0.00000	-0.00000	0.22547	-0.05808	-0.05849
4	0.00003	0.00000	0.00001	0.00135	0.00000	0.00017	0.02126	-0.03488	0.00404	-0.00015	0.00046	-0.00171	-0.00070	0.00014	-0.00055	0.00068	-0.00010	0.00009	-0.00044	-0.00047	0.00000	0.00044	-0.00048	-0.00072	0.00111	0.00087	-0.00024	0.00110	0.00007	-0.00069	-0.01388	-0.00064	-0.01006	0.00339	-0.00122	-0.00132	-0.00038	0.00036	0.00037	-0.00038	0.00036	0.00037	-0.00000	-0.00001	0.00000	-0.00103	-0.01396	-0.00334	0.00226	0.00069	-0.00007	-0.00018	0.00021	-0.00089	-0.00018	0.00021	-0.00089	-0.00000	0.00000	-0.00000	0.18337	-0.12359	-0.10411
5	-0.00004	-0.00006	-0.00008	-0.00158	-0.00328	-0.00393	0.04009	-0.03160	-0.02041	0.00136	-0.00028	-0.00269	-0.00077	-0.00019	-0.00033	0.00042	-0.00011	0.00015	0.00140	0.00070	-0.00075	0.00089	0.00077	-0.00116	0.00052	0.00024	-0.00067	0.00227	0.00017	-0.00194	-0.01589	-0.00051	-0.00999	0.00114	-0.00060	-0.00133	-0.00003	0.00074	0.00025	-0.00003	0.00074	0.00025	0.00000	-0.00001	0.00000	-0.01215	-0.01454	0.00097	0.00112	0.00186	0.00078	0.00014	0.00007	-0.00039	0.00014	0.00007	-0.00039	-0.00000	0.00000	-0.00000	0.10328	-0.15297	-0.13835
6	-0.00004	-0.00007	-0.00011	-0.00102	-0.00356	-0.00578	0.03505	-0.01964	-0.05327	0.00314	-0.00078	-0.00296	-0.00064	-0.00026	0.00010	-0.00010	-0.00007	0.00017	0.00239	0.00194	-0.00048	0.00117	0.00173	-0.00060	-0.00053	-0.00098	-0.00061	0.00211	0.00072	-0.00272	-0.01001	-0.00129	-0.00639	-0.00098	0.00054	-0.00097	0.00021	0.00029	0.00016	0.00021	0.00029	0.00016	0.00000	-0.00000	0.00000	-0.01173	-0.01335	0.00335	-0.00077	0.00349	0.00145	0.00012	0.00001	0.00031	0.00012	0.00001	0.00031	-0.00000	0.00000	0.00000	0.07023	-0.11756	-0.14147
