	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d
	FullBody_CoG_pos	FullBody_CoG_pos	FullBody_CoG_pos	L_Hand_CoG_pos	L_Hand_CoG_pos	L_Hand_CoG_pos	R_Hand_CoG_pos	R_Hand_CoG_pos	R_Hand_CoG_pos	L_Forearm_CoG_pos	L_Forearm_CoG_pos	L_Forearm_CoG_pos	R_Forearm_CoG_pos	R_Forearm_CoG_pos	R_Forearm_CoG_pos	L_UpperArm_CoG_pos	L_UpperArm_CoG_pos	L_UpperArm_CoG_pos	R_UpperArm_CoG_pos	R_UpperArm_CoG_pos	R_UpperArm_CoG_pos	Head_Shadow_CoG_pos	Head_Shadow_CoG_pos	Head_Shadow_CoG_pos	Head_CoG_pos	Head_CoG_pos	Head_CoG_pos	Trunk_CoG_pos	Trunk_CoG_pos	Trunk_CoG_pos	Pelvis_CoG_pos	Pelvis_CoG_pos	Pelvis_CoG_pos	L_Thigh_CoG_pos	L_Thigh_CoG_pos	L_Thigh_CoG_pos	R_Thigh_CoG_pos	R_Thigh_CoG_pos	R_Thigh_CoG_pos	L_Shank_CoG_pos	L_Shank_CoG_pos	L_Shank_CoG_pos	R_Shank_CoG_pos	R_Shank_CoG_pos	R_Shank_CoG_pos	L_Foot_CoG_pos	L_Foot_CoG_pos	L_Foot_CoG_pos	R_Foot_CoG_pos	R_Foot_CoG_pos	R_Foot_CoG_pos	L_Foot_Shadow_CoG_pos	L_Foot_Shadow_CoG_pos	L_Foot_Shadow_CoG_pos	R_Foot_Shadow_CoG_pos	R_Foot_Shadow_CoG_pos	R_Foot_Shadow_CoG_pos
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	0.14233	0.32653	0.86647	0.23171	0.48218	0.80896	0.31728	0.16646	0.73941	0.11906	0.50738	0.95375	0.25562	0.15604	0.91510	0.06225	0.49533	1.14387	0.21228	0.15787	1.12475	0.18118	0.34674	1.50842	0.14386	0.32926	1.47902	0.14452	0.33456	1.11655	0.11704	0.30836	0.83536	0.10714	0.42891	0.64569	0.16225	0.20917	0.64990	0.10137	0.50790	0.26518	0.14964	0.13657	0.26484	0.11655	0.57925	0.01164	0.18555	0.10153	0.01278	0.11776	0.59270	0.01254	0.20167	0.08775	0.01300
2	0.14232	0.32642	0.86654	0.23118	0.48348	0.80867	0.31707	0.16635	0.73918	0.11844	0.50763	0.95383	0.25549	0.15609	0.91488	0.06198	0.49532	1.14414	0.21231	0.15774	1.12458	0.18107	0.34649	1.50833	0.14374	0.32904	1.47893	0.14460	0.33438	1.11664	0.11704	0.30827	0.83546	0.10721	0.42882	0.64574	0.16222	0.20904	0.65006	0.10147	0.50793	0.26527	0.14960	0.13654	0.26498	0.11642	0.57924	0.01163	0.18552	0.10165	0.01281	0.11767	0.59269	0.01251	0.20164	0.08787	0.01302
3	0.14226	0.32622	0.86651	0.23099	0.48446	0.80828	0.31670	0.16620	0.73897	0.11826	0.50742	0.95381	0.25518	0.15583	0.91471	0.06175	0.49508	1.14411	0.21223	0.15755	1.12443	0.18107	0.34610	1.50824	0.14374	0.32865	1.47883	0.14456	0.33415	1.11662	0.11693	0.30805	0.83547	0.10717	0.42865	0.64568	0.16208	0.20878	0.65009	0.10157	0.50805	0.26528	0.14952	0.13647	0.26497	0.11648	0.57935	0.01155	0.18558	0.10166	0.01273	0.11776	0.59279	0.01240	0.20172	0.08790	0.01303
4	0.14219	0.32600	0.86644	0.23099	0.48487	0.80798	0.31624	0.16594	0.73884	0.11842	0.50707	0.95379	0.25479	0.15535	0.91465	0.06168	0.49485	1.14398	0.21201	0.15732	1.12441	0.18115	0.34564	1.50822	0.14381	0.32819	1.47882	0.14446	0.33392	1.11652	0.11680	0.30785	0.83540	0.10717	0.42851	0.64563	0.16193	0.20848	0.65002	0.10174	0.50814	0.26528	0.14943	0.13629	0.26487	0.11672	0.57948	0.01151	0.18560	0.10157	0.01255	0.11803	0.59292	0.01234	0.20175	0.08783	0.01293
5	0.14217	0.32585	0.86639	0.23070	0.48506	0.80775	0.31593	0.16564	0.73879	0.11854	0.50702	0.95389	0.25447	0.15490	0.91463	0.06180	0.49484	1.14408	0.21168	0.15706	1.12441	0.18115	0.34525	1.50828	0.14382	0.32782	1.47886	0.14440	0.33377	1.11643	0.11676	0.30781	0.83534	0.10731	0.42843	0.64564	0.16183	0.20829	0.64993	0.10201	0.50806	0.26529	0.14936	0.13601	0.26479	0.11694	0.57952	0.01154	0.18549	0.10144	0.01234	0.11828	0.59296	0.01238	0.20165	0.08771	0.01270
6	0.14221	0.32580	0.86638	0.23018	0.48529	0.80762	0.31590	0.16539	0.73869	0.11836	0.50742	0.95399	0.25428	0.15472	0.91450	0.06200	0.49500	1.14436	0.21137	0.15684	1.12429	0.18100	0.34499	1.50833	0.14367	0.32764	1.47887	0.14444	0.33372	1.11640	0.11683	0.30791	0.83534	0.10760	0.42845	0.64569	0.16180	0.20823	0.64987	0.10231	0.50789	0.26531	0.14931	0.13577	0.26476	0.11697	0.57942	0.01161	0.18532	0.10132	0.01223	0.11831	0.59285	0.01246	0.20149	0.08760	0.01253
