	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.00000	0.00000	-1.18820	0.00000	0.00000	1.07079
2	0.00000	0.00000	-1.18684	0.00000	0.00000	1.06954
3	0.00000	0.00000	-1.18547	0.00000	0.00000	1.06829
4	0.00000	0.00000	-1.18410	0.00000	0.00000	1.06705
5	0.00000	0.00000	-1.18272	0.00000	0.00000	1.06583
6	0.00000	0.00000	-1.18135	0.00000	0.00000	1.06462
7	0.00000	0.00000	-1.17997	0.00000	0.00000	1.06344
8	0.00000	0.00000	-1.17858	0.00000	0.00000	1.06229
9	0.00000	0.00000	-1.17718	0.00000	0.00000	1.06117
10	0.00000	0.00000	-1.17578	0.00000	0.00000	1.06008
11	0.00000	0.00000	-1.17437	0.00000	0.00000	1.05904
12	0.00000	0.00000	-1.17296	0.00000	0.00000	1.05805
13	0.00000	0.00000	-1.17153	0.00000	0.00000	1.05709
14	0.00000	0.00000	-1.17009	0.00000	0.00000	1.05617
15	0.00000	0.00000	-1.16865	0.00000	0.00000	1.05529
16	0.00000	0.00000	-1.16719	0.00000	0.00000	1.05445
17	0.00000	0.00000	-1.16573	0.00000	0.00000	1.05364
18	0.00000	0.00000	-1.16425	0.00000	0.00000	1.05287
19	0.00000	0.00000	-1.16277	0.00000	0.00000	1.05213
20	0.00000	0.00000	-1.16127	0.00000	0.00000	1.05143
21	0.00000	0.00000	-1.15976	0.00000	0.00000	1.05075
22	0.00000	0.00000	-1.15824	0.00000	0.00000	1.05011
23	0.00000	0.00000	-1.15671	0.00000	0.00000	1.04951
24	0.00000	0.00000	-1.15518	0.00000	0.00000	1.04894
25	0.00000	0.00000	-1.15363	0.00000	0.00000	1.04841
26	0.00000	0.00000	-1.15208	0.00000	0.00000	1.04791
27	0.00000	0.00000	-1.15052	0.00000	0.00000	1.04745
28	0.00000	0.00000	-1.14895	0.00000	0.00000	1.04703
29	0.00000	0.00000	-1.14737	0.00000	0.00000	1.04664
30	0.00000	0.00000	-1.14579	0.00000	0.00000	1.04629
