	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	7.97239	-49.47929	280.16193	-6.14805	49.25296	321.51312
2	7.98665	-49.47445	280.14996	-6.15477	49.29239	321.68784
3	8.00090	-49.46959	280.13794	-6.16154	49.33192	321.86307
4	8.01512	-49.46471	280.12598	-6.16838	49.37163	322.03943
5	8.02927	-49.45979	280.11386	-6.17535	49.41162	322.21738
6	8.04335	-49.45483	280.10172	-6.18247	49.45199	322.39755
7	8.05734	-49.44981	280.08945	-6.18980	49.49283	322.58047
8	8.07122	-49.44473	280.07709	-6.19738	49.53422	322.76666
9	8.08497	-49.43957	280.06464	-6.20524	49.57627	322.95670
10	8.09856	-49.43431	280.05200	-6.21342	49.61907	323.15112
11	8.11199	-49.42896	280.03922	-6.22195	49.66269	323.35037
12	8.12525	-49.42350	280.02628	-6.23085	49.70710	323.55432
13	8.13833	-49.41796	280.01321	-6.24009	49.75227	323.76285
14	8.15123	-49.41234	280.00003	-6.24968	49.79815	323.97568
15	8.16395	-49.40664	279.98676	-6.25961	49.84471	324.19275
16	8.17648	-49.40087	279.97342	-6.26987	49.89189	324.41373
17	8.18882	-49.39505	279.96002	-6.28045	49.93966	324.63852
18	8.20096	-49.38916	279.94659	-6.29135	49.98797	324.86688
19	8.21290	-49.38322	279.93314	-6.30255	50.03679	325.09863
20	8.22463	-49.37724	279.91968	-6.31406	50.08606	325.33362
21	8.23616	-49.37122	279.90622	-6.32588	50.13579	325.57175
22	8.24749	-49.36515	279.89279	-6.33800	50.18595	325.81308
23	8.25861	-49.35905	279.87943	-6.35044	50.23653	326.05750
24	8.26952	-49.35291	279.86603	-6.36318	50.28753	326.30499
25	8.28023	-49.34672	279.85272	-6.37625	50.33893	326.55554
26	8.29073	-49.34048	279.83948	-6.38962	50.39072	326.80917
27	8.30102	-49.33421	279.82626	-6.40332	50.44289	327.06577
28	8.31110	-49.32790	279.81314	-6.41733	50.49543	327.32535
29	8.32098	-49.32155	279.80011	-6.43167	50.54832	327.58786
30	8.33065	-49.31516	279.78717	-6.44633	50.60155	327.85324
31	8.34011	-49.30874	279.77432	-6.46130	50.65509	328.12134
32	8.34936	-49.30228	279.76163	-6.47658	50.70890	328.39206
33	8.35841	-49.29580	279.74902	-6.49217	50.76299	328.66528
34	8.36726	-49.28928	279.73657	-6.50806	50.81730	328.94092
35	8.37591	-49.28275	279.72427	-6.52424	50.87183	329.21881
36	8.38435	-49.27619	279.71216	-6.54071	50.92654	329.49890
37	8.39260	-49.26961	279.70016	-6.55747	50.98141	329.78107
38	8.40064	-49.26301	279.68839	-6.57451	51.03643	330.06516
39	8.40850	-49.25640	279.67676	-6.59182	51.09156	330.35110
40	8.41615	-49.24978	279.66534	-6.60940	51.14680	330.63879
41	8.42362	-49.24314	279.65414	-6.62723	51.20211	330.92813
42	8.43091	-49.23650	279.64313	-6.64532	51.25747	331.21893
43	8.43801	-49.22985	279.63235	-6.66364	51.31287	331.51117
44	8.44493	-49.22320	279.62173	-6.68219	51.36829	331.80466
45	8.45167	-49.21654	279.61136	-6.70097	51.42369	332.09937
46	8.45824	-49.20988	279.60123	-6.71996	51.47908	332.39511
47	8.46465	-49.20323	279.59131	-6.73916	51.53441	332.69183
48	8.47088	-49.19658	279.58160	-6.75856	51.58968	332.98938
49	8.47694	-49.18994	279.57214	-6.77814	51.64488	333.28760
50	8.48284	-49.18331	279.56293	-6.79789	51.69997	333.58643
51	8.48857	-49.17670	279.55389	-6.81780	51.75495	333.88574
52	8.49413	-49.17011	279.54507	-6.83787	51.80981	334.18533
53	8.49953	-49.16354	279.53650	-6.85807	51.86451	334.48517
54	8.50476	-49.15700	279.52811	-6.87841	51.91905	334.78513
55	8.50983	-49.15049	279.51996	-6.89886	51.97342	335.08502
56	8.51473	-49.14402	279.51199	-6.91941	52.02759	335.38477
57	8.51946	-49.13757	279.50427	-6.94006	52.08156	335.68427
58	8.52403	-49.13118	279.49670	-6.96080	52.13531	335.98337
59	8.52844	-49.12482	279.48932	-6.98162	52.18885	336.28201
60	8.53267	-49.11852	279.48212	-7.00251	52.24215	336.58005
61	8.53674	-49.11226	279.47504	-7.02345	52.29522	336.87741
62	8.54063	-49.10606	279.46811	-7.04445	52.34804	337.17398
63	8.54435	-49.09991	279.46136	-7.06548	52.40061	337.46964
64	8.54790	-49.09383	279.45468	-7.08654	52.45292	337.76428
65	8.55128	-49.08780	279.44812	-7.10763	52.50496	338.05780
66	8.55448	-49.08184	279.44165	-7.12872	52.55673	338.35016
67	8.55751	-49.07594	279.43530	-7.14982	52.60824	338.64127
68	8.56036	-49.07010	279.42899	-7.17090	52.65947	338.93100
69	8.56305	-49.06432	279.42273	-7.19195	52.71046	339.21936
70	8.56556	-49.05859	279.41650	-7.21298	52.76117	339.50626
71	8.56789	-49.05293	279.41028	-7.23395	52.81163	339.79160
72	8.57006	-49.04731	279.40411	-7.25487	52.86183	340.07529
73	8.57205	-49.04175	279.39789	-7.27573	52.91179	340.35736
74	8.57387	-49.03624	279.39163	-7.29650	52.96148	340.63766
75	8.57552	-49.03079	279.38535	-7.31718	53.01095	340.91617
76	8.57700	-49.02538	279.37903	-7.33776	53.06018	341.19290
77	8.57831	-49.02002	279.37265	-7.35821	53.10920	341.46780
78	8.57945	-49.01469	279.36612	-7.37854	53.15802	341.74075
79	8.58043	-49.00941	279.35953	-7.39872	53.20665	342.01193
80	8.58124	-49.00417	279.35278	-7.41874	53.25510	342.28113
81	8.58189	-48.99897	279.34595	-7.43859	53.30338	342.54843
82	8.58238	-48.99379	279.33893	-7.45825	53.35151	342.81372
83	8.58271	-48.98866	279.33176	-7.47771	53.39950	343.07703
84	8.58288	-48.98354	279.32437	-7.49697	53.44737	343.33838
85	8.58290	-48.97847	279.31683	-7.51601	53.49512	343.59775
86	8.58276	-48.97342	279.30905	-7.53482	53.54277	343.85510
87	8.58248	-48.96840	279.30109	-7.55339	53.59032	344.11057
88	8.58205	-48.96341	279.29285	-7.57171	53.63779	344.36401
89	8.58149	-48.95845	279.28442	-7.58978	53.68521	344.61554
90	8.58079	-48.95352	279.27570	-7.60758	53.73257	344.86511
91	8.57996	-48.94861	279.26672	-7.62510	53.77990	345.11279
92	8.57899	-48.94373	279.25748	-7.64234	53.82719	345.35852
93	8.57790	-48.93887	279.24796	-7.65928	53.87447	345.60236
94	8.57669	-48.93403	279.23807	-7.67593	53.92172	345.84430
95	8.57536	-48.92923	279.22794	-7.69229	53.96898	346.08438
96	8.57391	-48.92444	279.21750	-7.70834	54.01623	346.32260
97	8.57235	-48.91967	279.20673	-7.72408	54.06350	346.55902
98	8.57068	-48.91493	279.19568	-7.73952	54.11076	346.79361
99	8.56890	-48.91021	279.18420	-7.75464	54.15805	347.02643
100	8.56702	-48.90550	279.17245	-7.76945	54.20536	347.25745
101	8.56503	-48.90081	279.16034	-7.78393	54.25271	347.48672
102	8.56295	-48.89614	279.14789	-7.79810	54.30008	347.71426
103	8.56078	-48.89148	279.13504	-7.81194	54.34750	347.94009
104	8.55853	-48.88683	279.12189	-7.82547	54.39494	348.16425
105	8.55619	-48.88218	279.10834	-7.83867	54.44243	348.38675
106	8.55377	-48.87753	279.09439	-7.85155	54.48996	348.60760
107	8.55129	-48.87289	279.08014	-7.86412	54.53753	348.82681
108	8.54874	-48.86823	279.06543	-7.87635	54.58514	349.04443
109	8.54613	-48.86357	279.05042	-7.88827	54.63280	349.26047
110	8.54346	-48.85889	279.03500	-7.89987	54.68051	349.47495
111	8.54075	-48.85420	279.01920	-7.91114	54.72828	349.68790
112	8.53799	-48.84948	279.00299	-7.92210	54.77608	349.89935
113	8.53519	-48.84474	278.98645	-7.93273	54.82394	350.10931
114	8.53235	-48.83997	278.96951	-7.94304	54.87185	350.31784
115	8.52948	-48.83515	278.95218	-7.95304	54.91981	350.52490
116	8.52659	-48.83030	278.93448	-7.96271	54.96782	350.73056
117	8.52368	-48.82539	278.91641	-7.97207	55.01587	350.93484
118	8.52075	-48.82043	278.89795	-7.98111	55.06398	351.13776
119	8.51781	-48.81541	278.87912	-7.98983	55.11214	351.33932
120	8.51486	-48.81034	278.85992	-7.99824	55.16034	351.53958
121	8.51191	-48.80519	278.84036	-8.00633	55.20859	351.73856
122	8.50896	-48.79996	278.82040	-8.01412	55.25689	351.93622
123	8.50602	-48.79466	278.80011	-8.02159	55.30523	352.13263
124	8.50309	-48.78927	278.77945	-8.02876	55.35361	352.32779
125	8.50018	-48.78379	278.75842	-8.03563	55.40202	352.52173
126	8.49729	-48.77821	278.73703	-8.04220	55.45048	352.71448
127	8.49442	-48.77253	278.71530	-8.04847	55.49897	352.90601
128	8.49158	-48.76675	278.69321	-8.05444	55.54749	353.09634
129	8.48877	-48.76085	278.67078	-8.06012	55.59604	353.28558
130	8.48600	-48.75484	278.64801	-8.06551	55.64462	353.47360
131	8.48326	-48.74870	278.62491	-8.07061	55.69319	353.66043
132	8.48057	-48.74246	278.60147	-8.07543	55.74178	353.84616
133	8.47793	-48.73608	278.57773	-8.07996	55.79037	354.03073
134	8.47533	-48.72958	278.55362	-8.08422	55.83895	354.21411
135	8.47278	-48.72294	278.52927	-8.08820	55.88751	354.39636
136	8.47029	-48.71618	278.50458	-8.09191	55.93606	354.57745
137	8.46786	-48.70927	278.47958	-8.09534	55.98457	354.75742
138	8.46548	-48.70222	278.45435	-8.09851	56.03305	354.93622
139	8.46316	-48.69503	278.42880	-8.10142	56.08149	355.11386
140	8.46090	-48.68771	278.40295	-8.10406	56.12987	355.29034
141	8.45868	-48.68024	278.37689	-8.10644	56.17819	355.46561
142	8.45652	-48.67262	278.35056	-8.10856	56.22644	355.63968
143	8.45440	-48.66487	278.32397	-8.11043	56.27460	355.81256
144	8.45234	-48.65697	278.29718	-8.11205	56.32269	355.98422
145	8.45032	-48.64892	278.27011	-8.11341	56.37067	356.15466
146	8.44834	-48.64072	278.24286	-8.11452	56.41854	356.32385
147	8.44641	-48.63239	278.21536	-8.11539	56.46632	356.49176
148	8.44451	-48.62390	278.18765	-8.11602	56.51395	356.65842
149	8.44265	-48.61526	278.15979	-8.11641	56.56146	356.82373
150	8.44083	-48.60648	278.13168	-8.11656	56.60881	356.98773
151	8.43904	-48.59755	278.10342	-8.11648	56.65601	357.15036
152	8.43728	-48.58847	278.07495	-8.11616	56.70304	357.31158
153	8.43554	-48.57925	278.04636	-8.11562	56.74989	357.47144
154	8.43384	-48.56988	278.01755	-8.11486	56.79656	357.62985
155	8.43215	-48.56036	277.98859	-8.11388	56.84303	357.78680
156	8.43048	-48.55069	277.95950	-8.11267	56.88928	357.94229
157	8.42882	-48.54089	277.93024	-8.11126	56.93532	358.09625
158	8.42717	-48.53093	277.90085	-8.10964	56.98113	358.24872
159	8.42552	-48.52084	277.87134	-8.10781	57.02671	358.39957
160	8.42387	-48.51060	277.84174	-8.10578	57.07204	358.54883
161	8.42220	-48.50023	277.81198	-8.10356	57.11713	358.69650
162	8.42052	-48.48972	277.78217	-8.10115	57.16195	358.84253
163	8.41881	-48.47908	277.75223	-8.09855	57.20650	358.98685
164	8.41708	-48.46830	277.72223	-8.09576	57.25076	359.12949
165	8.41531	-48.45739	277.69214	-8.09280	57.29475	359.27039
166	8.41352	-48.44636	277.66196	-8.08967	57.33844	359.40958
167	8.41170	-48.43521	277.63177	-8.08638	57.38184	359.54694
168	8.40985	-48.42395	277.60150	-8.08293	57.42492	359.68259
169	8.40797	-48.41258	277.57123	-8.07933	57.46771	359.81638
170	8.40606	-48.40110	277.54089	-8.07558	57.51018	359.94836
171	8.40412	-48.38952	277.51056	-8.07170	57.55234	360.07849
172	8.40214	-48.37785	277.48016	-8.06768	57.59417	360.20676
173	8.40013	-48.36609	277.44980	-8.06354	57.63567	360.33313
174	8.39809	-48.35426	277.41943	-8.05928	57.67683	360.45761
175	8.39601	-48.34234	277.38907	-8.05491	57.71767	360.58020
176	8.39391	-48.33036	277.35873	-8.05044	57.75817	360.70087
177	8.39177	-48.31831	277.32843	-8.04587	57.79834	360.81964
178	8.38960	-48.30623	277.29816	-8.04121	57.83817	360.93649
179	8.38739	-48.29409	277.26794	-8.03647	57.87765	361.05136
180	8.38516	-48.28193	277.23779	-8.03167	57.91679	361.16434
181	8.38289	-48.26973	277.20770	-8.02679	57.95559	361.27539
182	8.38059	-48.25751	277.17770	-8.02186	57.99404	361.38446
183	8.37826	-48.24528	277.14777	-8.01688	58.03214	361.49164
184	8.37590	-48.23306	277.11795	-8.01185	58.06991	361.59683
185	8.37352	-48.22085	277.08826	-8.00678	58.10733	361.70016
186	8.37110	-48.20865	277.05869	-8.00167	58.14441	361.80151
187	8.36865	-48.19649	277.02924	-7.99653	58.18116	361.90097
188	8.36618	-48.18437	276.99994	-7.99137	58.21757	361.99854
189	8.36368	-48.17230	276.97079	-7.98618	58.25365	362.09421
190	8.36115	-48.16030	276.94183	-7.98098	58.28939	362.18802
191	8.35860	-48.14837	276.91309	-7.97577	58.32481	362.27997
192	8.35603	-48.13651	276.88449	-7.97055	58.35990	362.37003
193	8.35344	-48.12476	276.85611	-7.96532	58.39468	362.45831
194	8.35083	-48.11311	276.82797	-7.96010	58.42913	362.54474
195	8.34821	-48.10157	276.80005	-7.95487	58.46328	362.62949
196	8.34559	-48.09016	276.77240	-7.94965	58.49712	362.71249
197	8.34295	-48.07889	276.74506	-7.94444	58.53066	362.79382
198	8.34032	-48.06777	276.71799	-7.93923	58.56390	362.87341
199	8.33769	-48.05681	276.69119	-7.93404	58.59686	362.95142
200	8.33506	-48.04602	276.66473	-7.92886	58.62952	363.02777
201	8.33245	-48.03541	276.63858	-7.92371	58.66190	363.10260
202	8.32983	-48.02499	276.61279	-7.91858	58.69401	363.17584
203	8.32723	-48.01477	276.58737	-7.91348	58.72585	363.24759
204	8.32464	-48.00475	276.56229	-7.90842	58.75743	363.31784
205	8.32205	-47.99495	276.53763	-7.90339	58.78876	363.38666
206	8.31948	-47.98537	276.51337	-7.89842	58.81984	363.45401
207	8.31692	-47.97602	276.48953	-7.89349	58.85067	363.52002
208	8.31437	-47.96691	276.46609	-7.88862	58.88127	363.58463
209	8.31184	-47.95806	276.44312	-7.88381	58.91163	363.64792
210	8.30931	-47.94946	276.42062	-7.87907	58.94178	363.70990
211	8.30680	-47.94112	276.39856	-7.87440	58.97171	363.77057
212	8.30429	-47.93305	276.37701	-7.86980	59.00141	363.82999
213	8.30178	-47.92526	276.35596	-7.86529	59.03091	363.88812
214	8.29927	-47.91776	276.33545	-7.86086	59.06021	363.94501
