	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.09309	0.07588	-0.00242	0.05128	0.50606	-0.00243
2	0.09305	0.07596	-0.00225	0.05094	0.50619	-0.00219
3	0.09315	0.07578	-0.00226	0.05077	0.50645	-0.00202
4	0.09320	0.07554	-0.00235	0.05081	0.50674	-0.00193
5	0.09308	0.07534	-0.00236	0.05091	0.50689	-0.00189
6	0.09290	0.07519	-0.00233	0.05092	0.50681	-0.00185
7	0.09277	0.07510	-0.00239	0.05081	0.50652	-0.00181
8	0.09269	0.07509	-0.00253	0.05066	0.50620	-0.00176
9	0.09264	0.07511	-0.00266	0.05054	0.50607	-0.00176
10	0.09261	0.07514	-0.00266	0.05052	0.50616	-0.00184
11	0.09258	0.07519	-0.00250	0.05055	0.50627	-0.00192
12	0.09256	0.07531	-0.00227	0.05060	0.50627	-0.00193
13	0.09259	0.07552	-0.00218	0.05072	0.50622	-0.00193
14	0.09261	0.07570	-0.00225	0.05094	0.50623	-0.00194
15	0.09251	0.07569	-0.00234	0.05112	0.50630	-0.00190
16	0.09228	0.07542	-0.00234	0.05115	0.50636	-0.00179
17	0.09211	0.07504	-0.00227	0.05103	0.50635	-0.00174
18	0.09212	0.07478	-0.00228	0.05078	0.50628	-0.00182
19	0.09233	0.07472	-0.00241	0.05055	0.50619	-0.00199
20	0.09259	0.07475	-0.00260	0.05048	0.50611	-0.00210
21	0.09275	0.07479	-0.00275	0.05056	0.50611	-0.00204
22	0.09274	0.07479	-0.00280	0.05059	0.50622	-0.00186
23	0.09265	0.07477	-0.00272	0.05048	0.50641	-0.00171
24	0.09257	0.07477	-0.00259	0.05030	0.50658	-0.00170
25	0.09253	0.07480	-0.00250	0.05021	0.50660	-0.00181
26	0.09254	0.07487	-0.00256	0.05034	0.50645	-0.00197
27	0.09256	0.07498	-0.00278	0.05062	0.50628	-0.00211
28	0.09252	0.07516	-0.00299	0.05086	0.50623	-0.00216
29	0.09243	0.07536	-0.00301	0.05087	0.50634	-0.00205
