	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d
	R_KNEE_MOMENT	R_KNEE_MOMENT	R_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	NECK_MOMENT	NECK_MOMENT	NECK_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																										
2																																										
3	-3.45256	6.56479	-2.16967	2.25125	-0.16388	1.00310	-8.37469	2.30738	-1.92807	0.83115	2.52650	1.19545	-7.16303	14.06814	-3.45210	-1.05122	4.85489	2.07161	-3.01530	10.70934	-4.12947	1.64435	-10.18608	-2.55141	-1.71165	-3.69986	-0.98819	-2.41400	-0.20937	-0.46216	-1.02783	-2.13525	-0.81045	-0.26506	-0.56879	-0.20136	-0.26552	-0.13476	-0.11104	-0.00642	-0.06958	-0.01681
4	-3.58321	6.96514	-2.16772	0.72454	0.71623	1.36974	-5.85655	1.67478	-1.42194	-2.47877	1.62564	1.72859	-7.07712	14.18900	-3.44346	-1.04643	4.93317	2.12695	-2.02002	6.52840	-2.85572	-7.00441	-6.32639	-2.66315	2.83141	-0.16292	-0.39818	-0.51139	-1.79747	-0.10233	-0.06568	-1.14037	-0.05690	0.16647	-1.10017	-0.02638	-0.19907	-0.06386	-0.12055	-0.02739	-0.14569	0.00334
5	-2.95584	6.58992	-2.07662	0.64112	2.26778	1.70088	-1.77298	0.81297	-0.86343	-1.01784	5.36857	2.83272	-7.08994	14.08915	-3.43223	-1.11346	5.02040	2.20495	3.76182	9.49331	-0.19367	-12.33360	-3.54918	-1.47518	3.88248	1.40668	0.25753	1.47558	-2.80361	0.30216	0.36408	-0.85235	0.44614	0.59036	-1.24752	0.15316	-0.16881	-0.15737	-0.04116	-0.03514	-0.16678	0.01476
6	-2.21319	6.11266	-2.02821	1.88061	3.16822	1.70350	0.86653	-0.02847	-0.52880	5.00495	11.12829	3.61113	-7.22174	14.04284	-3.46425	-1.19342	5.06919	2.23894	12.90334	16.43525	2.44570	-9.96242	-0.96237	0.66277	0.44886	-0.63454	0.19676	2.37045	-2.89985	0.66066	-0.37468	-1.72101	0.11622	0.76530	-0.90123	0.23524	-0.29265	-0.39998	0.04746	-0.02481	-0.09096	0.01197
7	-1.98538	6.00800	-2.04538	3.25710	2.58308	1.37800	-0.06953	0.49222	-0.67638	8.69759	13.78586	3.60028	-7.38788	14.24348	-3.52064	-1.22887	5.06693	2.18014	14.48665	21.66670	2.98045	-3.53632	-0.03688	3.07775	-1.35631	-1.76028	0.02515	1.16591	-1.85194	0.61900	-0.72543	-2.00908	-0.11962	0.55217	-0.41362	0.14103	-0.23203	-0.34966	0.10111	-0.00786	0.00159	-0.00625
8	-2.33808	6.00129	-2.02656	3.71886	1.02316	0.99563	-3.73565	2.40214	-1.12765	5.82682	11.22986	2.91521	-7.47547	14.50271	-3.54342	-1.17648	4.99417	2.05776	4.09099	22.24991	0.90535	1.03596	-3.91171	3.84638	0.74830	-0.14046	0.28455	-1.59090	-0.11420	0.03934	0.07513	-1.11358	0.28231	0.09793	-0.17391	-0.07186	0.09847	0.03805	0.11704	0.02178	0.02079	-0.02298
9	-2.75981	6.03064	-1.98725	2.82927	-0.33211	0.83367	-6.42397	3.66972	-1.46775	-0.44425	4.90388	1.93289	-7.47328	14.64715	-3.52201	-1.13229	4.92903	1.95282	-7.69427	16.70066	-2.04149	0.57577	-9.93252	1.98536	1.71554	0.70189	0.41825	-3.49344	0.75675	-0.57234	0.55772	-0.68465	0.41732	-0.15580	-0.38222	-0.20722	0.24424	0.22162	0.07229	0.07415	-0.04621	-0.01319
10	-2.87869	6.15306	-1.99751	1.60167	-0.49203	0.96702	-6.31827	2.26496	-1.35911	-3.28181	-0.45868	1.34607	-7.46181	14.70377	-3.50953	-1.17422	4.97159	1.94738	-8.67282	7.34411	-3.33020	-3.53485	-13.23476	-0.46099	-0.31396	-0.39305	0.16292	-3.09736	0.20636	-0.69317	0.08634	-1.30769	-0.09245	-0.05096	-0.82336	-0.16776	0.07007	0.01506	-0.01739	0.09478	-0.13531	0.01158
11	-2.85678	6.05273	-2.00880	1.63967	0.41400	1.20118	-5.74731	-0.87976	-0.82262	-0.12483	0.82817	1.98297	-7.50146	14.68638	-3.54504	-1.20290	5.05246	2.03195	-0.64460	3.94322	-1.49780	-4.98729	-14.26563	-0.74010	-1.25950	-0.37988	0.05027	-1.16970	-0.90668	-0.31516	-0.15919	-1.42632	-0.38747	0.14470	-1.01858	-0.01844	-0.02586	-0.11246	-0.07453	0.02014	-0.15611	0.02093
12	-2.83591	5.91970	-2.01809	2.79611	1.09601	1.24774	-6.15204	-2.09656	-0.45016	4.12535	7.35133	3.39206	-7.59366	14.65958	-3.60125	-1.17353	5.06534	2.08988	5.21095	11.47195	1.56249	-0.90068	-13.66623	0.84968	0.62484	0.92438	0.20976	0.84537	-2.32701	0.24877	0.27604	-0.76092	-0.03542	0.16737	-0.97941	0.10901	0.09937	0.02694	-0.03467	-0.13132	-0.12055	0.00860
13	-2.79158	6.50004	-2.13618	3.44485	0.91572	1.10300	-5.12505	0.01067	-0.77063	4.49225	10.70958	3.87565	-7.70263	14.82593	-3.63825	-1.18952	5.07385	2.06072	6.49427	19.57710	2.34252	2.93314	-7.44311	1.07451	2.30385	-0.35296	0.00187	1.71766	-3.94192	0.57222	0.35240	-1.14127	0.27229	0.02111	-1.13364	0.07995	0.10732	0.01614	0.05016	-0.24583	-0.13418	-0.01834
14	-2.99418	7.32497	-2.29688	2.72465	0.41440	0.98120	-2.56152	2.37648	-1.48131	1.24844	7.24565	2.76055	-7.77608	15.14939	-3.66628	-1.25599	5.11421	1.98948	6.40389	17.57206	0.05185	1.59676	3.06986	-1.43106	1.67063	-4.21286	-0.77600	0.99461	-4.10185	0.37159	-0.42867	-2.65480	-0.06623	-0.03902	-1.31713	-0.07446	-0.17688	-0.25575	0.03348	-0.18664	-0.18221	-0.03918
15	-3.67227	7.03579	-2.28138	1.59003	0.48838	1.01713	-2.95378	2.09986	-1.87140	-2.21730	3.72062	1.55282	-7.78078	15.29210	-3.71245	-1.23747	5.08878	1.95032	2.44599	11.70658	-2.56408	-1.84786	6.64083	-3.59114	0.00450	-5.46348	-1.25694	-0.53875	-1.41317	-0.17004	-1.15921	-3.12158	-0.63179	0.08508	-0.80668	-0.15715	-0.45626	-0.41655	-0.09392	0.00953	-0.10761	-0.03311
16	-4.17367	5.79567	-2.08937	1.22539	1.43715	1.20281	-7.12333	0.24276	-1.66316	-4.13140	6.49355	1.82216	-7.73538	15.14557	-3.75018	-1.12351	5.00558	1.98562	-6.87534	13.11248	-2.57092	-1.74904	-0.64109	-1.99212	-0.38839	-1.59570	-0.65212	-1.84713	1.63328	-0.55791	-0.89030	-1.71360	-0.62195	0.16130	0.05979	-0.11792	-0.42728	-0.29331	-0.17176	0.14073	0.04864	-0.01339
17	-3.80540	4.91882	-1.89466	1.62966	2.11074	1.33288	-10.51262	-0.98091	-0.93813	-4.78740	11.23686	2.79732	-7.72618	14.97672	-3.74634	-1.06293	4.99314	2.06145	-15.26910	18.31444	-0.38256	1.79910	-7.45028	2.23454	1.18733	3.25332	0.53615	-2.05624	1.25173	-0.41029	0.14768	-0.04347	0.06391	0.20657	0.12781	-0.03068	-0.15173	-0.06356	-0.10944	0.12942	0.07499	0.00598
18	-2.90275	5.10351	-1.82496	2.46243	1.08422	1.15384	-10.11313	-0.66988	-0.10320	-2.40981	9.85318	2.63886	-7.81756	14.99435	-3.71076	-1.09059	5.05720	2.10834	-12.88182	17.08368	0.67112	1.33636	-6.74110	4.97691	2.67658	3.59405	1.04895	-1.00813	-1.79520	0.12116	0.77920	0.00769	0.66180	0.33901	-0.65749	0.05421	0.06812	0.01691	0.02595	0.04676	-0.05636	0.01829
19	-2.27085	6.22272	-1.95780	3.68996	-0.82232	0.81409	-7.01776	0.86540	0.08980	5.14338	3.02374	1.56315	-7.95575	15.15088	-3.67552	-1.09196	5.11015	2.12612	3.81172	9.99020	-0.75779	-7.55043	-5.06965	4.54527	1.74358	-0.07608	0.52399	0.23895	-3.54425	0.50798	0.32278	-1.41892	0.50265	0.42833	-1.30643	0.10874	0.05517	-0.10868	0.11893	-0.01982	-0.19104	0.02440
20	-2.47712	7.26297	-2.21066	4.60971	-1.41213	0.75003	-4.37479	1.56067	-0.57218	12.51187	-1.07413	1.51699	-8.05463	15.29981	-3.69540	-1.04287	5.13225	2.14149	21.34317	5.54200	-1.87355	-17.13278	-7.37940	2.80185	-0.47131	-2.42664	-0.12280	0.71515	-2.85468	0.50794	-0.46247	-2.39339	-0.06608	0.36401	-1.34379	0.11398	-0.04839	-0.21676	0.11857	-0.04047	-0.22350	0.02798
21	-3.22510	7.24373	-2.36853	4.17434	-0.44017	0.99428	-3.86379	0.54757	-1.48205	10.56936	1.74542	2.88120	-8.05789	15.32196	-3.77064	-1.01277	5.10379	2.11075	20.47574	8.17049	-0.52549	-16.58905	-10.53744	1.63178	-0.53381	-0.90192	-0.02645	0.59256	-1.81765	0.31776	-0.37155	-1.80598	-0.14308	0.26040	-1.12610	0.08861	-0.01720	-0.11691	0.06942	-0.04243	-0.17722	0.02495
22	-3.70032	6.54548	-2.36663	2.62869	0.50489	1.18594	-4.26771	-0.36142	-2.05136	0.00615	7.60570	3.96086	-7.95337	15.22543	-3.82565	-1.03319	5.01371	2.02719	2.77401	14.65658	1.64075	-6.61492	-11.24132	1.17514	1.52237	1.61557	0.46335	0.23908	-1.49203	0.15325	0.37466	-0.76435	0.26586	0.34790	-0.93442	0.10351	0.09140	0.05175	0.02358	0.00688	-0.11455	0.03157
23	-3.74379	6.05066	-2.30079	1.46418	0.63756	1.19064	-4.21905	-0.27526	-2.15171	-8.34832	10.79660	3.74700	-7.81570	15.13761	-3.83047	-1.09528	4.94852	1.99991	-10.95963	18.91909	2.19549	1.52100	-9.19825	0.96324	2.67658	1.62864	0.50344	-0.47682	-0.96690	-0.01268	0.64042	-0.79546	0.41849	0.54214	-0.67271	0.14346	0.07666	0.02678	-0.00929	0.11497	-0.06115	0.05122
24	-3.67375	6.04812	-2.23436	1.78072	0.11277	1.09354	-4.73207	0.92596	-1.89729	-7.19607	9.00197	2.82194	-7.72230	15.11136	-3.80617	-1.14673	4.92989	2.06957	-9.63874	18.93400	0.21055	1.48598	-5.05987	0.56652	2.06037	-0.67484	0.11434	-1.17966	0.13710	-0.20046	0.25156	-1.74293	0.20452	0.52601	-0.31764	0.10806	-0.04751	-0.19052	-0.00630	0.16238	-0.01882	0.04401
25	-3.62807	6.37006	-2.17097	3.23017	-0.57448	0.95709	-7.06259	3.37815	-1.33575	0.01575	5.05020	2.13434	-7.69085	15.10648	-3.78550	-1.12508	4.88415	2.13496	-1.60471	17.99283	-2.83399	-1.72061	0.32739	-0.12702	0.67648	-2.49853	-0.09280	-1.13154	0.65445	-0.22835	-0.18962	-2.27924	0.02758	0.30539	-0.12313	-0.00019	-0.12840	-0.33265	0.03846	0.08929	0.00347	-0.00159
26	-3.59949	6.72747	-2.13661	4.40269	-0.81909	0.83477	-9.34931	4.94588	-0.57921	5.15444	3.55811	2.04615	-7.70051	15.14850	-3.80477	-1.05899	4.83333	2.11060	2.96092	17.86719	-3.77009	-2.30603	4.14488	-0.59123	-0.44365	-2.02220	0.06324	-0.58865	-0.36146	-0.02455	-0.32365	-1.81599	0.02047	0.09362	-0.28708	-0.09022	-0.10982	-0.22585	0.06802	-0.03511	-0.00151	-0.04633
27	-3.85908	6.60562	-2.10906	4.36106	-0.48588	0.79183	-9.84832	2.10903	0.12909	5.00889	5.77210	2.40494	-7.69974	15.23231	-3.85892	-1.00759	4.85851	2.03083	2.37897	15.88239	-0.95330	-0.84327	1.67204	-0.17228	-0.29182	-0.05834	0.24797	0.13047	-2.28177	0.28991	-0.13488	-1.02759	0.06819	0.11629	-0.71498	-0.06109	-0.03977	-0.00230	0.03470	-0.11266	-0.03798	-0.05064
28	-4.64755	5.68323	-2.01992	3.41787	-0.16401	0.81911	-9.49771	-4.15582	0.47375	2.40710	8.08623	2.56134	-7.66592	15.21224	-3.90312	-0.95742	4.91679	1.97735	-0.33550	10.20583	2.57175	-0.68208	-7.32818	1.06948	0.87773	1.20617	0.24270	1.32755	-3.68297	0.56099	0.18859	-0.83911	0.07853	0.49799	-1.18764	0.11302	0.02671	0.06821	-0.02309	-0.08112	-0.11361	-0.00833
29	-5.26486	4.76312	-1.94329	2.64276	-0.36682	0.84834	-8.45872	-6.95394	-0.03750	0.61685	6.92896	2.01478	-7.63909	15.03767	-3.88813	-0.90766	4.90715	1.99330	-0.92113	5.55464	1.84945	-4.34689	-15.01775	2.42614	1.51861	0.75267	0.18673	2.20814	-3.47909	0.54511	0.34880	-1.34990	0.04646	0.87798	-1.46032	0.26449	0.05051	-0.08550	-0.03485	0.01652	-0.20421	0.04157
30	-5.05329	4.90766	-2.00727	2.79617	-0.86729	0.86162	-7.80962	-2.87984	-1.29980	-0.38481	4.31300	1.59500	-7.68212	14.86533	-3.81357	-0.94099	4.83321	2.05247	-1.47608	8.20866	-2.51250	-10.33737	-14.16371	3.01357	1.68720	-0.34875	0.24652	1.27194	-1.58440	0.12475	0.34160	-1.83601	0.12382	0.75847	-1.26684	0.21508	0.01311	-0.24348	-0.00582	0.07393	-0.22523	0.05207
31	-4.34444	5.87772	-2.15167	3.70800	-1.32023	0.85028	-9.33420	2.54080	-2.10987	-1.19005	3.92849	2.22619	-7.81896	14.79139	-3.72709	-1.05179	4.75067	2.08624	-5.60377	15.20785	-4.77132	-12.78372	-7.78914	1.96429	2.82454	-0.88875	0.34156	-0.96637	0.56761	-0.32028	0.48038	-1.76769	0.43685	0.36853	-0.69223	0.05592	-0.02593	-0.20622	0.01762	0.08543	-0.12767	0.02881
32	-3.53778	6.48158	-2.19818	4.65193	-1.53694	0.80531	-9.75934	3.13952	-1.61683	-0.07387	5.33989	3.16576	-8.00147	14.71128	-3.67145	-1.08657	4.67389	2.07469	-5.22032	18.12319	-2.48607	-9.42828	-3.69455	-0.43425	3.72723	-0.88508	0.24747	-1.97530	0.92291	-0.25156	0.57505	-1.43135	0.61304	0.37832	-0.32593	0.00748	-0.02883	-0.06775	0.02111	0.12444	-0.00569	0.01382
33	-2.87605	6.24955	-2.14378	5.10545	-1.04049	0.80578	-5.97952	0.15821	-0.59149	3.29758	7.05535	3.37121	-8.13486	14.50964	-3.67280	-0.98956	4.59099	2.06045	4.66412	16.57202	0.97196	-4.64569	-3.53273	-1.97072	1.91228	-0.71432	0.02423	-0.78910	-0.89716	0.22718	0.17313	-1.41462	0.25105	0.71330	-0.54781	0.06266	-0.04781	-0.04509	0.01855	0.14706	0.00373	0.00928
34	-2.95360	6.01731	-2.17894	5.00708	0.01999	0.88183	-2.73926	-1.01565	-0.39052	5.19491	9.09755	3.06206	-8.14826	14.25826	-3.72464	-0.87826	4.50122	2.05641	11.16264	16.72475	1.99151	0.21624	-5.18339	-0.73032	-1.45366	-0.53919	-0.04592	0.65688	-2.85776	0.46297	-0.43032	-1.84232	-0.32600	0.74138	-0.97853	0.06419	-0.09658	-0.19435	0.02324	0.07944	-0.09497	-0.00316
35	-3.98150	6.53336	-2.35486	4.67100	0.37439	0.91910	-4.78692	1.72540	-1.28182	3.27545	10.41061	3.00688	-8.06746	14.18821	-3.77205	-0.84983	4.47969	2.04514	5.51614	20.15172	0.80377	6.58642	-8.55655	2.26686	-2.31964	-0.81610	0.01762	0.54322	-3.14064	0.17865	-0.48147	-2.34371	-0.45250	0.36379	-1.15098	-0.00582	-0.10769	-0.38537	0.03356	-0.00702	-0.19558	-0.00683
36	-5.17121	7.12327	-2.44977	4.30599	-0.67739	0.86247	-8.37415	4.52619	-2.20003	-0.50691	8.78107	3.31571	-8.00273	14.42838	-3.77616	-0.90506	4.61702	2.03045	-2.58137	20.83240	-0.27903	8.32823	-11.28567	4.02063	0.35634	-2.12727	-0.09116	-0.44301	-2.30961	-0.19908	0.07683	-2.62802	-0.06303	-0.04017	-1.13285	-0.07297	-0.04837	-0.48174	0.04553	-0.05649	-0.23506	0.00162
37	-5.54189	6.70837	-2.30645	3.91789	-2.16256	0.78146	-7.53701	3.14459	-2.19277	-3.24197	4.41833	3.34305	-8.02447	14.78605	-3.76130	-0.99571	4.81968	2.01052	-3.25904	14.49813	-0.74348	0.68653	-8.71150	2.81111	2.86973	-3.60732	-0.36892	-0.94206	-1.56423	-0.21998	0.51441	-2.62155	0.22481	-0.24788	-1.02477	-0.10277	0.01718	-0.43953	0.04096	-0.10275	-0.19098	-0.00074
38	-4.86912	5.35809	-2.03549	4.05147	-2.81855	0.67111	-3.17332	-0.69790	-1.54710	-2.10197	1.30310	2.81112	-8.07201	14.87421	-3.74943	-1.03837	4.85485	1.97368	2.38844	7.77005	-1.68305	-6.97648	-2.83976	-0.03207	2.57347	-3.33476	-0.42433	-0.89341	-1.04836	0.02645	0.43586	-2.28327	0.11131	-0.16217	-0.75724	-0.06246	0.01708	-0.27184	0.00344	-0.10652	-0.08627	-0.00547
39	-3.84816	3.96711	-1.77531	5.18617	-2.38738	0.51674	-1.43890	-3.31011	-0.78782	3.62496	3.26116	2.43174	-8.04465	14.55524	-3.71187	-0.98545	4.68749	1.95337	8.80938	8.67840	-2.07291	-5.73170	-0.14610	-1.54553	1.30562	-1.04087	-0.05847	-0.51970	-0.94507	0.26148	0.20619	-1.62984	0.02582	0.32277	-0.56551	0.06530	-0.02850	-0.04141	-0.02635	-0.00163	-0.01416	0.01009
40	-3.59741	3.47221	-1.61817	6.35849	-1.68283	0.41090	-6.25916	-4.21395	0.03198	7.87343	7.78515	2.35327	-7.95111	14.12116	-3.64601	-0.86241	4.49831	1.98169	6.80160	12.56848	-0.67958	-0.92238	-1.69425	-0.81463	1.35127	0.96600	0.38882	0.42299	-1.84654	0.44723	0.20147	-1.02169	0.27967	1.08627	-0.90387	0.22137	-0.03868	0.10344	0.01453	0.16331	-0.06298	0.04098
41	-4.24668	4.42781	-1.72012	6.37570	-1.26457	0.47765	-13.45608	-3.42431	0.41951	4.76533	10.00003	2.14150	-7.88501	13.93035	-3.60706	-0.70815	4.41782	2.04328	-5.70826	13.35442	0.88366	-1.73828	-5.97253	0.53625	2.25909	0.90831	0.49074	1.96644	-3.30706	0.65632	0.32970	-0.99321	0.56966	1.76575	-1.68575	0.34984	-0.00652	0.03908	0.09450	0.28169	-0.20959	0.07315
42	-4.66009	6.12217	-2.05757	5.63661	-1.03761	0.68686	-14.28457	-1.20480	-0.13027	-1.17618	8.59253	1.94395	-7.91492	14.05279	-3.62758	-0.59844	4.45892	2.09914	-13.05101	12.22229	0.77935	-7.46296	-12.03671	1.02119	2.78485	-0.17504	0.33377	2.94585	-3.63373	0.71143	0.43731	-1.48831	0.60067	1.86556	-2.04069	0.38514	0.00991	-0.14358	0.11611	0.28376	-0.30557	0.08588
43	-4.28925	7.16603	-2.33829	5.27136	-1.21834	0.80135	-7.54831	1.29711	-1.18148	-1.50555	4.88130	2.02081	-8.02984	14.27688	-3.66683	-0.61088	4.53742	2.08992	-3.55482	11.66470	-1.00124	-8.74836	-14.65229	0.48825	2.84262	-0.81782	0.25744	1.99287	-2.17971	0.38669	0.60568	-1.95251	0.51097	1.14358	-1.39871	0.23868	0.01662	-0.27003	0.06389	0.16849	-0.23687	0.05578
