	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	12.00358	-8.04691	183.18854	-3.16678	48.21817	311.44882
2	11.98430	-8.05805	182.97319	-3.18013	48.20702	311.44629
3	11.96476	-8.06941	182.75813	-3.19348	48.19582	311.44348
4	11.94469	-8.08122	182.54364	-3.20685	48.18451	311.44019
5	11.92382	-8.09370	182.33000	-3.22024	48.17303	311.43607
6	11.90190	-8.10709	182.11749	-3.23366	48.16133	311.43094
7	11.87865	-8.12160	181.90640	-3.24712	48.14935	311.42453
8	11.85382	-8.13746	181.69701	-3.26062	48.13704	311.41656
9	11.82713	-8.15489	181.48962	-3.27417	48.12433	311.40680
10	11.79833	-8.17412	181.28450	-3.28779	48.11118	311.39496
11	11.76719	-8.19534	181.08194	-3.30146	48.09755	311.38083
12	11.73369	-8.21860	180.88231	-3.31519	48.08342	311.36441
13	11.69784	-8.24391	180.68594	-3.32893	48.06882	311.34567
14	11.65966	-8.27128	180.49323	-3.34268	48.05375	311.32468
15	11.61915	-8.30072	180.30450	-3.35641	48.03823	311.30136
16	11.57634	-8.33224	180.12015	-3.37010	48.02228	311.27582
17	11.53125	-8.36586	179.94052	-3.38373	48.00589	311.24805
18	11.48388	-8.40159	179.76596	-3.39728	47.98910	311.21799
19	11.43425	-8.43943	179.59686	-3.41072	47.97190	311.18570
20	11.38237	-8.47942	179.43358	-3.42403	47.95431	311.15121
21	11.32822	-8.52161	179.27652	-3.43721	47.93632	311.11447
22	11.27174	-8.56607	179.12607	-3.45023	47.91794	311.07544
23	11.21291	-8.61287	178.98267	-3.46310	47.89917	311.03412
24	11.15168	-8.66208	178.84674	-3.47578	47.87999	310.99051
25	11.08802	-8.71377	178.71869	-3.48827	47.86042	310.94455
26	11.02189	-8.76800	178.59891	-3.50057	47.84044	310.89624
27	10.95324	-8.82485	178.48782	-3.51264	47.82005	310.84546
28	10.88205	-8.88438	178.38585	-3.52449	47.79926	310.79233
29	10.80828	-8.94666	178.29340	-3.53610	47.77806	310.73672
30	10.73193	-9.01174	178.21086	-3.54747	47.75646	310.67874
31	10.65302	-9.07965	178.13860	-3.55858	47.73447	310.61838
32	10.57156	-9.15045	178.07706	-3.56944	47.71209	310.55563
33	10.48756	-9.22416	178.02660	-3.58003	47.68933	310.49057
34	10.40104	-9.30084	177.98763	-3.59035	47.66621	310.42328
35	10.31201	-9.38053	177.96053	-3.60040	47.64272	310.35370
36	10.22048	-9.46326	177.94569	-3.61017	47.61888	310.28192
37	10.12646	-9.54908	177.94351	-3.61965	47.59470	310.20795
38	10.02998	-9.63803	177.95436	-3.62885	47.57019	310.13184
39	9.93104	-9.73015	177.97865	-3.63775	47.54535	310.05359
40	9.82968	-9.82547	178.01663	-3.64636	47.52020	309.97333
41	9.72591	-9.92403	178.06871	-3.65469	47.49474	309.89105
42	9.61978	-10.02586	178.13521	-3.66274	47.46899	309.80685
43	9.51129	-10.13101	178.21649	-3.67050	47.44296	309.72073
44	9.40047	-10.23950	178.31290	-3.67799	47.41665	309.63278
45	9.28734	-10.35137	178.42474	-3.68520	47.39008	309.54303
46	9.17194	-10.46667	178.55238	-3.69213	47.36326	309.45154
47	9.05429	-10.58541	178.69617	-3.69880	47.33619	309.35837
48	8.93443	-10.70762	178.85631	-3.70520	47.30891	309.26355
49	8.81241	-10.83331	179.03307	-3.71134	47.28140	309.16724
50	8.68829	-10.96249	179.22664	-3.71724	47.25370	309.06937
51	8.56211	-11.09518	179.43727	-3.72290	47.22579	308.97021
52	8.43392	-11.23139	179.66518	-3.72833	47.19772	308.86960
53	8.30377	-11.37112	179.91061	-3.73353	47.16948	308.76779
54	8.17171	-11.51441	180.17377	-3.73853	47.14109	308.66476
55	8.03779	-11.66125	180.45490	-3.74331	47.11256	308.56061
56	7.90207	-11.81165	180.75415	-3.74791	47.08390	308.45541
57	7.76462	-11.96558	181.07150	-3.75232	47.05513	308.34924
58	7.62553	-12.12300	181.40683	-3.75657	47.02626	308.24216
59	7.48488	-12.28388	181.76001	-3.76067	46.99731	308.13431
60	7.34277	-12.44817	182.13094	-3.76464	46.96828	308.02570
61	7.19927	-12.61584	182.51955	-3.76849	46.93919	307.91647
62	7.05447	-12.78685	182.92567	-3.77224	46.91006	307.80667
63	6.90845	-12.96115	183.34923	-3.77590	46.88088	307.69635
64	6.76131	-13.13871	183.79013	-3.77950	46.85169	307.58569
65	6.61312	-13.31948	184.24818	-3.78305	46.82248	307.47467
66	6.46401	-13.50337	184.72304	-3.78656	46.79328	307.36346
67	6.31409	-13.69028	185.21426	-3.79004	46.76408	307.25204
68	6.16347	-13.88009	185.72147	-3.79352	46.73491	307.14056
69	6.01227	-14.07272	186.24419	-3.79700	46.70576	307.02905
70	5.86061	-14.26805	186.78204	-3.80050	46.67665	306.91766
71	5.70860	-14.46598	187.33459	-3.80403	46.64758	306.80637
72	5.55636	-14.66642	187.90143	-3.80761	46.61857	306.69537
73	5.40400	-14.86925	188.48212	-3.81126	46.58963	306.58466
74	5.25166	-15.07437	189.07622	-3.81498	46.56076	306.47437
75	5.09946	-15.28162	189.68323	-3.81879	46.53198	306.36447
76	4.94758	-15.49085	190.30254	-3.82270	46.50329	306.25516
77	4.79616	-15.70190	190.93359	-3.82671	46.47470	306.14645
78	4.64535	-15.91461	191.57582	-3.83083	46.44623	306.03845
79	4.49530	-16.12882	192.22871	-3.83508	46.41787	305.93118
80	4.34618	-16.34436	192.89163	-3.83946	46.38966	305.82474
81	4.19813	-16.56109	193.56407	-3.84399	46.36158	305.71918
82	4.05130	-16.77884	194.24541	-3.84867	46.33366	305.61465
83	3.90585	-16.99746	194.93513	-3.85350	46.30590	305.51114
84	3.76190	-17.21681	195.63266	-3.85851	46.27832	305.40875
85	3.61957	-17.43674	196.33746	-3.86367	46.25091	305.30753
86	3.47898	-17.65711	197.04901	-3.86901	46.22370	305.20752
87	3.34026	-17.87780	197.76674	-3.87451	46.19669	305.10886
88	3.20352	-18.09866	198.49011	-3.88019	46.16990	305.01151
89	3.06890	-18.31954	199.21854	-3.88604	46.14334	304.91562
90	2.93650	-18.54032	199.95155	-3.89206	46.11700	304.82117
91	2.80646	-18.76086	200.68857	-3.89827	46.09092	304.72830
92	2.67888	-18.98102	201.42906	-3.90465	46.06509	304.63702
93	2.55383	-19.20074	202.17256	-3.91120	46.03954	304.54742
94	2.43137	-19.41994	202.91869	-3.91793	46.01426	304.45950
95	2.31157	-19.63858	203.66698	-3.92483	45.98928	304.37338
96	2.19447	-19.85658	204.41702	-3.93189	45.96460	304.28906
97	2.08015	-20.07388	205.16837	-3.93912	45.94025	304.20667
98	1.96866	-20.29043	205.92062	-3.94650	45.91623	304.12616
99	1.86006	-20.50615	206.67331	-3.95404	45.89256	304.04767
100	1.75440	-20.72099	207.42604	-3.96173	45.86924	303.97119
101	1.65175	-20.93489	208.17839	-3.96956	45.84629	303.89682
102	1.55212	-21.14785	208.93001	-3.97754	45.82373	303.82462
103	1.45551	-21.35986	209.68053	-3.98565	45.80156	303.75461
104	1.36195	-21.57095	210.42966	-3.99389	45.77982	303.68689
105	1.27144	-21.78110	211.17703	-4.00225	45.75850	303.62146
106	1.18400	-21.99032	211.92232	-4.01073	45.73763	303.55835
107	1.09963	-22.19862	212.66518	-4.01932	45.71721	303.49774
108	1.01835	-22.40599	213.40529	-4.02801	45.69727	303.43958
109	0.94016	-22.61245	214.14229	-4.03680	45.67782	303.38394
110	0.86508	-22.81800	214.87587	-4.04569	45.65887	303.33090
111	0.79307	-23.02268	215.60582	-4.05465	45.64044	303.28046
112	0.72413	-23.22650	216.33199	-4.06369	45.62254	303.23270
113	0.65820	-23.42951	217.05412	-4.07280	45.60519	303.18762
114	0.59528	-23.63173	217.77206	-4.08197	45.58839	303.14529
115	0.53534	-23.83321	218.48566	-4.09119	45.57216	303.10571
116	0.47834	-24.03397	219.19466	-4.10045	45.55651	303.06894
117	0.42426	-24.23405	219.89893	-4.10975	45.54146	303.03500
118	0.37307	-24.43347	220.59824	-4.11908	45.52702	303.00397
119	0.32475	-24.63227	221.29243	-4.12842	45.51321	302.97583
120	0.27926	-24.83049	221.98148	-4.13779	45.50002	302.95062
121	0.23656	-25.02814	222.66525	-4.14718	45.48748	302.92838
122	0.19661	-25.22527	223.34377	-4.15658	45.47560	302.90909
123	0.15938	-25.42189	224.01689	-4.16601	45.46437	302.89276
124	0.12484	-25.61803	224.68463	-4.17545	45.45382	302.87949
125	0.09294	-25.81373	225.34692	-4.18491	45.44394	302.86920
126	0.06364	-26.00901	226.00371	-4.19439	45.43476	302.86200
127	0.03692	-26.20391	226.65491	-4.20389	45.42627	302.85782
128	0.01273	-26.39844	227.30051	-4.21340	45.41850	302.85672
129	-0.00896	-26.59263	227.94051	-4.22294	45.41144	302.85870
130	-0.02818	-26.78649	228.57494	-4.23251	45.40510	302.86374
131	-0.04497	-26.98005	229.20378	-4.24211	45.39949	302.87183
132	-0.05937	-27.17332	229.82709	-4.25176	45.39461	302.88293
133	-0.07141	-27.36632	230.44490	-4.26146	45.39047	302.89706
134	-0.08111	-27.55906	231.05716	-4.27121	45.38708	302.91422
135	-0.08853	-27.75157	231.66397	-4.28103	45.38443	302.93442
136	-0.09369	-27.94385	232.26532	-4.29092	45.38255	302.95752
137	-0.09662	-28.13593	232.86122	-4.30088	45.38142	302.98364
138	-0.09736	-28.32780	233.45177	-4.31093	45.38105	303.01270
139	-0.09596	-28.51948	234.03703	-4.32107	45.38145	303.04459
140	-0.09244	-28.71095	234.61710	-4.33133	45.38260	303.07935
141	-0.08685	-28.90221	235.19202	-4.34170	45.38451	303.11685
142	-0.07921	-29.09327	235.76189	-4.35220	45.38717	303.15710
143	-0.06957	-29.28413	236.32680	-4.36284	45.39058	303.20001
144	-0.05796	-29.47478	236.88680	-4.37363	45.39474	303.24554
145	-0.04443	-29.66522	237.44199	-4.38457	45.39966	303.29364
146	-0.02900	-29.85546	237.99245	-4.39569	45.40532	303.34427
147	-0.01172	-30.04548	238.53827	-4.40699	45.41171	303.39731
148	0.00738	-30.23525	239.07956	-4.41848	45.41885	303.45270
149	0.02825	-30.42477	239.61639	-4.43017	45.42670	303.51041
150	0.05085	-30.61402	240.14888	-4.44208	45.43528	303.57031
151	0.07514	-30.80298	240.67711	-4.45421	45.44456	303.63239
152	0.10109	-30.99164	241.20117	-4.46658	45.45456	303.69647
153	0.12866	-31.17996	241.72122	-4.47919	45.46524	303.76254
154	0.15779	-31.36795	242.23727	-4.49206	45.47662	303.83054
155	0.18846	-31.55558	242.74948	-4.50521	45.48868	303.90036
156	0.22063	-31.74282	243.25789	-4.51863	45.50140	303.97189
157	0.25424	-31.92963	243.76270	-4.53235	45.51479	304.04507
158	0.28926	-32.11599	244.26390	-4.54637	45.52880	304.11978
159	0.32565	-32.30186	244.76167	-4.56071	45.54343	304.19595
160	0.36336	-32.48721	245.25607	-4.57538	45.55867	304.27344
161	0.40236	-32.67201	245.74725	-4.59039	45.57450	304.35220
162	0.44259	-32.85621	246.23523	-4.60576	45.59090	304.43210
163	0.48402	-33.03979	246.72018	-4.62150	45.60786	304.51306
164	0.52661	-33.22272	247.20218	-4.63761	45.62536	304.59497
165	0.57031	-33.40496	247.68134	-4.65411	45.64337	304.67773
166	0.61508	-33.58647	248.15775	-4.67101	45.66188	304.76129
167	0.66087	-33.76720	248.63147	-4.68831	45.68084	304.84546
168	0.70763	-33.94712	249.10266	-4.70604	45.70025	304.93015
169	0.75531	-34.12619	249.57140	-4.72418	45.72007	305.01532
170	0.80388	-34.30438	250.03777	-4.74277	45.74028	305.10080
171	0.85329	-34.48162	250.50188	-4.76179	45.76086	305.18646
172	0.90349	-34.65791	250.96382	-4.78127	45.78176	305.27228
173	0.95444	-34.83317	251.42369	-4.80121	45.80299	305.35812
174	1.00609	-35.00740	251.88158	-4.82163	45.82449	305.44385
175	1.05840	-35.18054	252.33755	-4.84252	45.84624	305.52939
176	1.11133	-35.35256	252.79170	-4.86391	45.86821	305.61469
177	1.16485	-35.52341	253.24408	-4.88581	45.89038	305.69962
178	1.21889	-35.69306	253.69476	-4.90821	45.91270	305.78403
179	1.27344	-35.86148	254.14384	-4.93114	45.93516	305.86786
180	1.32843	-36.02862	254.59142	-4.95461	45.95771	305.95105
181	1.38384	-36.19444	255.03751	-4.97862	45.98034	306.03348
182	1.43961	-36.35891	255.48222	-5.00318	46.00300	306.11502
183	1.49573	-36.52200	255.92561	-5.02829	46.02567	306.19562
184	1.55214	-36.68367	256.36777	-5.05396	46.04831	306.27521
185	1.60882	-36.84388	256.80869	-5.08020	46.07089	306.35364
186	1.66574	-37.00261	257.24841	-5.10699	46.09338	306.43082
187	1.72286	-37.15981	257.68704	-5.13434	46.11575	306.50677
188	1.78014	-37.31545	258.12463	-5.16226	46.13795	306.58127
189	1.83756	-37.46951	258.56122	-5.19075	46.15996	306.65436
190	1.89508	-37.62193	258.99686	-5.21980	46.18175	306.72583
191	1.95266	-37.77271	259.43161	-5.24942	46.20328	306.79568
192	2.01029	-37.92179	259.86548	-5.27960	46.22452	306.86377
193	2.06794	-38.06919	260.29858	-5.31033	46.24545	306.93011
194	2.12559	-38.21487	260.73090	-5.34159	46.26602	306.99460
195	2.18322	-38.35881	261.16248	-5.37339	46.28621	307.05725
196	2.24079	-38.50099	261.59332	-5.40571	46.30600	307.11786
197	2.29830	-38.64140	262.02353	-5.43853	46.32534	307.17645
198	2.35572	-38.78000	262.45306	-5.47186	46.34421	307.23291
199	2.41302	-38.91680	262.88208	-5.50567	46.36258	307.28729
200	2.47019	-39.05175	263.31052	-5.53997	46.38042	307.33942
201	2.52720	-39.18488	263.73843	-5.57473	46.39770	307.38928
202	2.58405	-39.31615	264.16583	-5.60995	46.41440	307.43689
203	2.64071	-39.44558	264.59271	-5.64561	46.43049	307.48206
204	2.69717	-39.57316	265.01913	-5.68169	46.44594	307.52493
205	2.75341	-39.69888	265.44504	-5.71819	46.46074	307.56531
206	2.80943	-39.82275	265.87048	-5.75509	46.47485	307.60327
207	2.86520	-39.94475	266.29553	-5.79238	46.48825	307.63870
208	2.92071	-40.06488	266.72012	-5.83005	46.50091	307.67157
209	2.97595	-40.18315	267.14432	-5.86807	46.51281	307.70184
210	3.03090	-40.29956	267.56802	-5.90644	46.52393	307.72952
211	3.08555	-40.41412	267.99133	-5.94514	46.53424	307.75455
212	3.13989	-40.52683	268.41415	-5.98414	46.54373	307.77692
213	3.19392	-40.63772	268.83649	-6.02343	46.55237	307.79660
