	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.02684	0.09825	0.00554	0.05357	0.49568	0.00078
2	0.02741	0.09799	0.00499	0.05363	0.49528	0.00054
3	0.02764	0.09772	0.00460	0.05356	0.49487	0.00030
4	0.02743	0.09761	0.00447	0.05344	0.49465	0.00007
5	0.02696	0.09762	0.00460	0.05325	0.49476	-0.00008
6	0.02658	0.09758	0.00482	0.05293	0.49516	-0.00013
7	0.02652	0.09734	0.00497	0.05260	0.49565	-0.00006
8	0.02664	0.09697	0.00502	0.05250	0.49595	0.00006
9	0.02666	0.09672	0.00509	0.05274	0.49587	0.00012
10	0.02647	0.09678	0.00520	0.05320	0.49556	0.00013
11	0.02615	0.09712	0.00531	0.05360	0.49534	0.00022
12	0.02588	0.09752	0.00536	0.05371	0.49541	0.00046
13	0.02574	0.09770	0.00536	0.05346	0.49573	0.00069
14	0.02568	0.09761	0.00540	0.05300	0.49613	0.00083
15	0.02563	0.09750	0.00552	0.05265	0.49640	0.00097
16	0.02556	0.09756	0.00567	0.05265	0.49642	0.00110
17	0.02550	0.09767	0.00579	0.05286	0.49626	0.00112
18	0.02550	0.09756	0.00584	0.05295	0.49614	0.00101
19	0.02560	0.09728	0.00588	0.05273	0.49615	0.00086
20	0.02570	0.09704	0.00595	0.05240	0.49625	0.00076
21	0.02572	0.09703	0.00606	0.05230	0.49636	0.00067
22	0.02560	0.09720	0.00617	0.05250	0.49645	0.00062
23	0.02541	0.09730	0.00620	0.05273	0.49655	0.00073
24	0.02527	0.09724	0.00618	0.05273	0.49670	0.00104
25	0.02524	0.09709	0.00626	0.05243	0.49689	0.00141
26	0.02525	0.09707	0.00654	0.05192	0.49717	0.00167
27	0.02525	0.09723	0.00686	0.05148	0.49748	0.00170
28	0.02525	0.09744	0.00702	0.05127	0.49770	0.00151
29	0.02528	0.09749	0.00702	0.05119	0.49778	0.00134
30	0.02530	0.09733	0.00699	0.05099	0.49777	0.00129
31	0.02525	0.09708	0.00705	0.05059	0.49776	0.00130
