	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d
	R_KNEE_MOMENT	R_KNEE_MOMENT	R_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	NECK_MOMENT	NECK_MOMENT	NECK_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																										
2																																										
3	1.32504	13.16879	-3.06625	-0.29624	0.99279	0.44181	2.32534	12.15635	-2.86605	-2.52788	5.98044	0.03504	-2.94733	20.30705	-4.18237	6.01334	-2.82055	0.01580	11.64118	28.38474	-5.46971	8.45245	2.37107	-6.77083	0.27829	-0.71941	0.06229	-5.24057	-0.01946	-0.58873	1.37546	-1.38240	-0.30988	-0.51048	-0.68858	-0.23882	0.38797	-0.07417	-0.05365	-0.07235	-0.17269	-0.04138
4	2.50456	11.17394	-2.71707	0.28461	0.55775	0.52858	3.66678	4.81032	-2.27901	-1.22577	4.75569	1.56904	-3.09671	20.21707	-4.03337	5.80125	-2.49564	0.00712	13.25877	17.91936	-1.88422	9.19589	-12.44733	3.40216	-1.47679	3.24370	0.59504	-2.28166	-1.34045	-0.18440	0.96659	-0.46798	-0.16378	0.04694	-1.07666	0.04715	0.39455	-0.02351	-0.03359	-0.05265	-0.16477	0.01598
5	3.03150	8.21713	-2.14436	-0.23424	0.52013	0.58577	2.84823	-4.48726	-0.79251	-2.99870	3.89828	2.51731	-3.32463	19.83301	-3.90647	5.44711	-2.13389	-0.02018	7.75123	5.95562	1.53567	6.41507	-19.43106	8.46725	-1.43120	5.96025	0.93160	1.60217	-1.14790	0.07605	0.73042	0.35492	0.04311	1.29611	-1.13936	0.40711	0.36261	-0.01938	-0.03503	0.12689	-0.12514	0.09085
6	2.31274	6.99171	-1.82881	-1.16323	0.27568	0.41671	-0.08743	-6.56189	0.23094	-6.11509	2.89353	1.54057	-3.46172	19.44364	-3.87119	5.05462	-1.87389	-0.02292	-1.49596	3.27709	0.65918	1.79918	-10.48643	1.44113	0.25220	2.36763	0.04346	1.53686	0.48406	-0.27716	0.46516	-0.10565	-0.11280	1.60670	-0.76647	0.45100	0.24032	-0.14462	-0.09947	0.23043	-0.09271	0.11027
7	0.94710	8.49859	-2.06250	-1.34993	0.52823	0.36249	-4.18804	-1.42443	0.15233	-7.55002	2.56432	-0.05229	-3.46561	19.32864	-3.95165	4.73663	-1.64559	0.11121	-10.38608	7.81343	-2.93923	-0.38787	0.16223	-10.04346	3.04373	-5.37908	-1.77650	-1.75086	0.95095	-0.53866	0.37478	-1.48103	-0.42364	0.80208	-0.65706	0.31138	0.12856	-0.26779	-0.13876	0.15563	-0.13979	0.10514
8	0.09180	10.71783	-2.57255	-0.63381	1.65376	0.67228	-7.24398	3.10817	-0.48638	-6.06385	3.71288	-0.17834	-3.46716	19.44870	-4.10562	4.48779	-1.26685	0.36079	-14.40479	10.97893	-4.68040	1.70724	-0.10665	-14.50364	6.83263	-10.21929	-2.93700	-3.28925	-1.09614	0.05081	1.16723	-2.29691	-0.27859	0.10366	-1.14583	0.32929	0.19263	-0.20497	-0.05206	0.01225	-0.24474	0.13593
9	0.50792	11.23740	-2.87951	0.64875	2.57445	1.07415	-5.80491	2.67102	-1.30761	-1.25892	5.13494	1.39457	-3.54154	19.61202	-4.21850	4.24646	-0.67113	0.57358	-6.24179	10.64153	-3.55842	7.78054	-5.78016	-9.13205	8.01716	-9.08232	-2.36057	-1.06593	-4.05053	1.12065	2.11282	-2.12703	0.15327	0.23032	-1.70761	0.49455	0.35757	-0.01009	0.09804	-0.05627	-0.31928	0.18267
10	1.65565	10.07963	-2.80753	1.58797	2.66871	1.16416	-0.35913	0.64086	-2.18755	4.29914	6.08326	2.78854	-3.60038	19.68078	-4.19642	3.95894	0.03593	0.62626	10.57970	12.14745	-2.49249	12.01360	-9.57494	1.59113	3.35141	-3.64356	-0.31144	2.29834	-6.10054	1.85918	1.60541	-1.54812	0.20446	0.74543	-1.96634	0.59738	0.36023	0.08338	0.12972	-0.01327	-0.33262	0.19860
11	1.73971	8.93254	-2.47963	1.18896	2.70824	0.91271	2.38661	1.07822	-2.30825	5.98214	7.94157	2.42503	-3.55818	19.60443	-4.07719	3.65674	0.67237	0.54481	18.60224	18.55749	-2.69167	5.58936	-11.89303	10.61672	-1.18221	3.38332	1.83213	3.48475	-6.05861	1.81516	0.88800	-0.80978	-0.15318	1.01899	-1.90981	0.56750	0.28334	-0.02793	-0.05075	0.09882	-0.29171	0.17678
12	0.31423	8.79228	-2.13984	-0.30012	2.89969	0.60664	-0.19417	2.58148	-1.21934	2.18193	9.70883	0.92252	-3.45129	19.49841	-3.98092	3.43889	1.13566	0.47704	10.73710	23.49611	-2.17769	-6.81872	-12.10016	12.91630	-1.68299	7.49255	2.49967	2.21928	-3.71095	1.06422	1.14840	-0.34408	-0.64416	1.10444	-1.53924	0.44879	0.30074	-0.24458	-0.32869	0.23376	-0.21180	0.12931
13	-0.53128	9.10582	-1.96829	-1.26890	2.46167	0.51244	-2.10949	1.44502	0.27566	-2.93406	7.77089	0.06455	-3.35074	19.55840	-3.96218	3.32600	1.47799	0.55608	1.14624	18.65005	0.03423	-10.82828	-8.70408	9.84496	-1.52401	5.82665	1.60857	0.47099	-1.53518	0.28117	1.00316	-0.74290	-0.93849	1.22170	-1.19616	0.30432	0.22795	-0.43269	-0.45855	0.32448	-0.15546	0.07419
14	0.27089	9.17809	-1.95133	-0.62481	1.60539	0.69468	-1.26912	-1.22456	1.25251	-3.64193	3.18073	0.58687	-3.30655	19.80474	-3.98711	3.24815	1.81357	0.77985	0.85985	8.26713	1.69923	-4.19085	-1.80952	4.38064	-1.37316	0.18698	0.13846	0.04375	-1.46757	0.01140	0.06815	-1.49357	-0.82534	1.31424	-1.07499	0.17152	-0.00620	-0.42129	-0.32352	0.31196	-0.13996	0.02244
15	1.35234	9.21017	-2.00244	0.52532	1.58287	0.99103	-1.61980	-1.46394	1.26922	-0.65083	1.27001	1.53004	-3.34009	20.07742	-3.98872	3.15165	2.22709	1.01376	3.75093	3.77335	0.46923	2.60586	6.20082	-2.59796	0.23105	-5.47730	-1.27012	0.85489	-2.25893	0.19722	-0.49930	-1.65527	-0.46767	1.13881	-1.01538	0.12450	-0.14021	-0.13148	-0.07179	0.18961	-0.14159	0.01025
16	1.53464	9.29379	-2.06531	0.95501	2.83444	1.22679	-3.76917	0.26222	0.40012	1.43639	3.85926	1.88774	-3.43655	20.23193	-3.95183	3.05947	2.73140	1.14939	2.43583	7.23038	-2.37917	5.67466	7.83153	-7.69634	3.44958	-6.21636	-1.87691	1.22944	-2.50287	0.61955	0.34700	-0.89622	-0.09292	0.61930	-1.05511	0.24726	0.06315	0.22282	0.07951	0.01927	-0.17328	0.07257
17	1.38496	9.11835	-2.13137	0.67316	4.19563	1.31263	-4.46521	0.60126	-0.69426	-0.30672	7.43189	1.81500	-3.54450	20.26800	-3.93345	2.97263	3.22636	1.15840	-3.28357	11.70219	-3.31759	9.62000	-2.00634	-5.38305	4.83647	-0.32651	-0.93435	0.62351	-2.72395	1.09217	1.66948	0.23943	0.16066	0.24812	-1.32362	0.43396	0.40375	0.30181	0.05710	-0.06859	-0.23407	0.14759
18	1.50276	9.03019	-2.26479	-0.09342	4.10371	1.17384	-2.96786	-0.48478	-1.36953	-5.65252	7.80021	1.64587	-3.60158	20.29701	-3.99203	2.85661	3.56536	1.07212	-10.97493	11.82859	-1.64712	11.67689	-14.28978	2.72864	1.94225	5.34308	0.58766	0.14085	-3.57302	1.36105	1.55154	0.51983	0.18667	0.40786	-1.64664	0.47560	0.43560	0.04088	-0.04013	-0.02044	-0.27555	0.14546
19	1.45715	9.73817	-2.48877	-0.42143	2.59147	0.90423	-0.86870	-0.02787	-1.58943	-8.45269	5.12728	1.35949	-3.57172	20.40748	-4.11071	2.74811	3.72114	1.02557	-12.34659	9.59230	-0.06544	6.39157	-15.10848	6.83258	-0.61569	2.13114	0.36251	-0.08989	-4.14956	1.17355	0.47438	-0.63783	-0.04071	0.56694	-1.69960	0.34064	0.16864	-0.24345	-0.08997	0.03954	-0.25859	0.07800
20	1.18091	10.97358	-2.70372	0.95266	1.57189	0.84428	1.38686	2.63575	-1.71349	-2.43778	3.91198	1.45855	-3.48446	20.62589	-4.21142	2.68903	3.84827	1.15897	0.20135	10.87363	0.09705	-0.68924	-6.35059	2.30207	2.23011	-7.14246	-1.76491	-0.53853	-3.35798	0.52547	0.34458	-2.12274	-0.42477	0.30357	-1.47855	0.21363	-0.02527	-0.26030	-0.09226	0.01827	-0.20405	0.02943
21	1.07446	11.56631	-2.76485	3.07910	2.52793	1.15868	2.63961	4.36709	-1.88039	7.23149	6.56616	2.32156	-3.42295	20.94435	-4.25035	2.61285	4.07094	1.38822	16.87457	16.14068	-0.34821	-0.23203	-2.01570	-3.26434	5.91720	-10.65144	-2.73457	-0.73448	-1.70496	-0.15856	1.03628	-2.33203	-0.65861	0.11569	-1.17188	0.24521	-0.00348	-0.08085	-0.09220	0.00562	-0.14353	0.04479
22	0.90097	10.81313	-2.57126	3.81366	4.65922	1.53634	0.62349	2.19375	-1.55242	10.64872	10.49493	3.00530	-3.42381	21.28444	-4.26012	2.47818	4.26663	1.48389	20.99485	19.37388	-0.66078	4.75284	-6.79844	-2.09661	3.93514	-4.39028	-0.91144	-0.50654	-0.91945	-0.21915	1.00113	-1.29465	-0.48547	0.33961	-0.91068	0.38703	0.06262	0.00616	-0.07819	0.07149	-0.07925	0.09056
23	0.36520	9.47935	-2.22998	2.90798	6.20061	1.63642	-4.08883	-1.90633	-0.37588	6.46023	13.15330	2.74395	-3.45010	21.53188	-4.29643	2.35502	4.31460	1.39784	9.44863	18.62251	-0.10474	6.14940	-11.02912	2.50032	-0.68238	2.74655	1.04160	0.04335	-1.65225	0.44499	0.25730	-0.63752	-0.13553	0.60887	-0.75494	0.42957	0.06578	-0.11460	-0.05270	0.10289	-0.01807	0.09120
24	0.07783	9.13420	-2.08400	1.83718	6.60452	1.58143	-7.40118	-2.14968	0.59301	0.60203	14.42290	2.40829	-3.46360	21.69524	-4.36465	2.29077	4.36508	1.31224	-6.30217	19.03512	0.98882	5.05656	-7.82572	4.17024	-1.30735	3.53435	0.68589	0.62657	-2.83482	1.26014	0.34446	-0.90686	-0.11925	0.42657	-0.77691	0.27016	0.13702	-0.22498	-0.08585	-0.02226	-0.01361	0.03240
25	0.80964	10.31791	-2.32664	1.53150	5.90984	1.55487	-5.71418	2.81110	0.13578	-2.71603	12.78768	2.57039	-3.43835	21.88351	-4.40860	2.27000	4.51770	1.34855	-12.68847	20.48263	0.46339	3.94658	-4.21123	2.98158	2.24416	0.52490	-0.76339	0.68318	-3.18480	1.63416	1.29196	-0.99677	-0.45279	-0.02537	-0.90359	0.06252	0.25156	-0.11163	-0.16218	-0.16608	-0.07925	-0.02100
26	1.73150	11.55188	-2.63417	1.83013	4.70429	1.57813	-1.64298	5.79283	-0.87184	-3.05503	8.60670	2.76271	-3.37426	22.09835	-4.40955	2.28330	4.68097	1.48339	-7.93056	16.40308	-1.06515	2.79762	-6.34386	1.53439	3.97515	-2.78895	-1.25442	0.69270	-2.09783	1.24066	1.34706	-0.75272	-0.65580	-0.03772	-0.73311	-0.03874	0.21467	0.06420	-0.17915	-0.12811	-0.09965	-0.03581
27	1.25351	11.28824	-2.58816	2.34598	4.50006	1.71485	-1.61807	1.39000	-0.76276	-0.39659	7.20096	2.94540	-3.31242	22.28929	-4.42510	2.30061	4.85213	1.66023	-0.54547	9.02425	-0.30511	3.79764	-8.92472	0.46024	2.82390	-4.37118	-0.96471	0.41132	-1.28971	0.78583	0.67943	-0.60538	-0.48302	0.17232	-0.59926	0.10625	0.14100	0.07414	-0.12857	-0.02073	-0.07968	0.01505
28	-0.24188	10.41893	-2.38505	2.76244	5.75604	1.92919	-5.75474	-3.96041	-0.05181	3.86718	11.41117	3.29810	-3.31106	22.50037	-4.50701	2.28394	5.08376	1.80362	3.17964	10.32167	1.94987	4.98219	-5.97537	-1.60233	2.02775	-4.04092	-1.05772	-0.56561	-1.98379	0.89695	0.46393	-0.74518	-0.13006	0.05139	-0.83808	0.40484	0.16987	-0.05724	-0.05916	-0.02113	-0.07547	0.10052
29	-0.80682	10.56546	-2.46386	2.63900	7.24052	2.05640	-7.39926	-2.33886	-0.28461	5.21181	17.45951	3.52114	-3.39844	22.73176	-4.63548	2.23418	5.31352	1.84826	2.30234	22.49234	2.43758	0.64589	-1.47897	-3.98906	2.50141	-2.57534	-1.36691	-0.59262	-2.47438	0.91561	0.75365	-0.85499	0.08510	0.04620	-0.87442	0.49877	0.21987	-0.10387	0.00193	-0.04924	-0.04047	0.11741
30	0.38716	11.44572	-2.76444	2.10039	7.68232	2.01422	-3.31637	3.28076	-1.27132	2.42379	19.53932	3.38049	-3.49343	22.87314	-4.71284	2.16277	5.43398	1.78993	0.04903	31.89754	1.19404	-6.06548	-3.21570	-3.01103	2.36742	-0.26437	-0.85292	0.54648	-1.80611	0.53178	0.82946	-0.48181	0.05725	0.38308	-0.59183	0.31405	0.15485	0.03606	0.04448	-0.01989	-0.01417	0.06118
31	2.14538	11.81523	-2.92329	2.21532	6.76911	1.84726	2.36380	5.12657	-1.74099	1.52818	14.94824	2.99071	-3.47728	22.89510	-4.67956	2.08890	5.45749	1.69973	3.20525	26.48426	-0.09208	-5.55938	-9.49316	1.32753	0.70281	1.62332	0.38385	0.90717	-0.60848	0.11298	0.44114	-0.05589	-0.14086	0.61131	-0.45103	0.11702	-0.01537	0.15762	0.03610	0.02184	-0.06696	0.01924
32	2.64482	11.34618	-2.80058	2.89208	5.25786	1.65405	4.06257	1.65197	-1.15733	4.68045	7.52383	2.42151	-3.36514	22.90639	-4.62150	2.02856	5.52177	1.67774	10.31108	11.60163	-0.59990	2.57099	-10.41936	3.29238	-0.17157	0.99754	0.88280	-0.21433	0.48388	-0.21107	0.34394	-0.17667	-0.38350	0.51017	-0.57878	0.10352	-0.06912	0.14131	-0.03067	0.03429	-0.13685	0.03062
33	1.46465	10.72792	-2.56108	2.46397	4.45473	1.56453	0.62036	-2.02747	0.02075	4.56378	4.81162	1.76688	-3.26370	22.98788	-4.65481	1.98080	5.70793	1.77214	8.63148	3.93648	-0.01984	9.04741	-4.56451	0.68552	0.73309	-2.32925	0.03787	-1.20988	0.02417	-0.07232	0.61823	-0.83637	-0.51888	0.31586	-0.89427	0.24899	0.03943	0.04338	-0.09829	0.03173	-0.13492	0.05749
34	0.01028	10.70952	-2.49138	1.06152	5.15756	1.74654	-4.40568	-1.47213	0.55399	-1.38220	8.75888	1.56505	-3.22396	23.13188	-4.77031	1.96232	5.99090	1.97672	-3.93710	10.33222	0.47807	7.02764	0.34261	-1.95829	1.96721	-5.12107	-1.09372	-0.29530	-2.84188	0.92649	0.65698	-1.40249	-0.46076	0.38164	-1.25048	0.42269	0.12751	-0.06706	-0.11378	0.04863	-0.07154	0.06522
35	-0.06743	11.04800	-2.67518	0.65848	7.00696	2.18408	-6.25772	1.88433	-0.40243	-5.27655	14.74940	2.33245	-3.22036	23.27232	-4.85732	1.93882	6.28939	2.19978	-12.45790	21.88626	-0.40448	-1.85423	1.79720	-1.97997	3.20146	-4.64600	-1.57415	1.36541	-5.41136	1.98060	0.67825	-1.36547	-0.32328	0.53413	-1.28028	0.49492	0.16794	-0.13381	-0.10642	0.04706	-0.01589	0.06606
36	1.27241	11.02778	-2.90601	1.41048	8.64304	2.54360	-3.53854	3.71534	-1.98178	-2.71368	18.48212	3.73576	-3.22240	23.35140	-4.85910	1.78431	6.50789	2.26870	-8.75963	27.99693	-1.02236	-7.73928	1.10020	-1.46947	5.15794	-1.91915	-1.70439	1.07439	-4.22166	1.75746	1.42757	-1.11399	-0.39198	0.26805	-0.83471	0.38968	0.29656	-0.21293	-0.18988	-0.03732	-0.01681	0.07078
37	2.45614	10.62807	-2.99172	1.45612	8.84306	2.54299	0.79159	1.84322	-2.60323	1.16052	17.72441	4.82831	-3.23399	23.40493	-4.85078	1.44415	6.63015	2.10859	-0.42147	24.15464	0.92678	-1.05145	-3.84231	-1.17982	6.35177	0.12058	-1.85081	-1.18511	-0.77015	0.54893	2.54055	-1.32470	-0.72711	-0.36598	-0.41565	0.16810	0.48557	-0.35684	-0.36876	-0.16240	-0.07223	0.05851
38	2.38144	10.38194	-2.96469	0.59598	7.55995	2.24788	3.38545	-2.04378	-2.01493	2.81210	12.22028	4.94351	-3.25709	23.47207	-4.90315	1.08174	6.66214	1.86486	6.73091	12.44694	3.68814	12.85955	-11.97445	-0.21631	4.77357	0.15516	-1.60189	-2.54898	0.52156	-0.12984	2.63552	-1.69525	-0.91016	-0.60963	-0.56367	0.01451	0.47874	-0.39733	-0.41517	-0.19358	-0.14672	0.02300
39	1.50976	10.57808	-2.96279	0.79981	6.01585	1.98121	2.81555	-3.98515	-1.46618	5.13880	6.37926	4.46992	-3.27725	23.52491	-4.96824	0.90374	6.63365	1.77897	12.98838	2.65767	3.53515	17.98725	-15.60067	0.20848	1.38474	-0.89562	-0.70502	-1.50573	-1.22291	0.22490	1.15984	-1.28364	-0.52801	-0.10998	-1.14916	0.06733	0.14390	-0.15964	-0.15861	-0.08308	-0.20191	0.00616
40	0.62561	10.97145	-3.02383	2.38176	5.61890	1.98631	-1.10986	-1.60628	-1.88392	8.24131	6.13677	4.27456	-3.29344	23.55645	-4.99239	0.88017	6.68602	1.92885	13.31210	4.87101	0.37658	9.92503	-10.41861	-0.35599	-0.36532	-1.01002	0.14223	0.70547	-2.92945	0.76245	-0.35344	0.04696	0.18421	0.67786	-1.46816	0.25736	-0.18297	0.22938	0.20050	0.08880	-0.19022	0.03336
41	0.11097	11.22028	-3.05294	3.02099	6.80306	2.16448	-6.04674	3.65281	-2.44923	6.75390	12.85562	4.25050	-3.29527	23.56788	-5.00646	0.79127	6.89475	2.12986	2.53557	20.17725	-1.95604	0.21797	-0.02290	0.70038	0.71213	0.35501	0.23754	2.24411	-2.54770	0.81272	-0.37183	1.01720	0.57576	1.15266	-1.11526	0.37981	-0.14881	0.40886	0.32918	0.20181	-0.10113	0.06662
42	0.25226	10.99942	-2.91189	1.25813	8.54725	2.19822	-7.86790	6.55482	-1.45074	-1.06022	21.07154	3.37120	-3.27927	23.53967	-5.04985	0.49738	7.14033	2.15438	-12.68957	35.83021	-0.67851	-0.91342	9.73126	4.36661	1.71000	1.73605	-0.02308	2.19781	-1.25304	0.59325	0.34595	0.74636	0.41729	1.12346	-0.51011	0.32830	0.04542	0.26581	0.20173	0.19270	-0.00636	0.05955
43	1.16296	10.46475	-2.66068	-1.41656	9.23885	1.97005	-5.29342	4.24672	1.03105	-9.03355	23.05224	1.56700	-3.28008	23.53096	-5.09652	0.08505	7.29968	2.00820	-19.81872	36.52536	2.16758	2.80396	12.42846	7.02484	0.65758	1.40588	0.01238	0.64283	-0.68768	0.42272	0.60218	-0.24502	-0.01940	0.72400	-0.31284	0.19299	0.11716	0.04491	0.01832	0.08660	0.00336	0.02663
44	2.12125	10.41222	-2.60792	-1.92039	8.41269	1.76160	-1.85688	1.57937	2.27309	-8.31259	17.59313	0.63966	-3.33296	23.63811	-5.11072	-0.17523	7.35106	1.91338	-12.46810	25.36540	2.36364	-0.46131	3.13618	5.58616	-0.40930	-0.65019	0.05154	-1.55186	-0.62435	0.21265	0.65063	-1.22587	-0.46182	0.13325	-0.58000	0.10116	0.14117	-0.09098	-0.12495	-0.04815	-0.06654	0.00964
