	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d
	FullBody_CoG_vel	FullBody_CoG_vel	FullBody_CoG_vel	L_Hand_CoG_vel	L_Hand_CoG_vel	L_Hand_CoG_vel	R_Hand_CoG_vel	R_Hand_CoG_vel	R_Hand_CoG_vel	L_Forearm_CoG_vel	L_Forearm_CoG_vel	L_Forearm_CoG_vel	R_Forearm_CoG_vel	R_Forearm_CoG_vel	R_Forearm_CoG_vel	L_UpperArm_CoG_vel	L_UpperArm_CoG_vel	L_UpperArm_CoG_vel	R_UpperArm_CoG_vel	R_UpperArm_CoG_vel	R_UpperArm_CoG_vel	Head_CoG_vel	Head_CoG_vel	Head_CoG_vel	Head_Shadow_CoG_vel	Head_Shadow_CoG_vel	Head_Shadow_CoG_vel	Trunk_CoG_vel	Trunk_CoG_vel	Trunk_CoG_vel	Pelvis_CoG_vel	Pelvis_CoG_vel	Pelvis_CoG_vel	L_Thigh_CoG_vel	L_Thigh_CoG_vel	L_Thigh_CoG_vel	R_Thigh_CoG_vel	R_Thigh_CoG_vel	R_Thigh_CoG_vel	L_Shank_CoG_vel	L_Shank_CoG_vel	L_Shank_CoG_vel	R_Shank_CoG_vel	R_Shank_CoG_vel	R_Shank_CoG_vel	L_Foot_CoG_vel	L_Foot_CoG_vel	L_Foot_CoG_vel	R_Foot_CoG_vel	R_Foot_CoG_vel	R_Foot_CoG_vel	L_Foot_Shadow_CoG_vel	L_Foot_Shadow_CoG_vel	L_Foot_Shadow_CoG_vel	R_Foot_Shadow_CoG_vel	R_Foot_Shadow_CoG_vel	R_Foot_Shadow_CoG_vel
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																																									
2	-0.02113	-0.05834	-0.03401																																																						
3	-0.01570	-0.05284	-0.03037	-1.37567	-0.36068	-0.58380	-1.30100	-1.48330	-0.21237	-0.48477	-0.03132	-0.17025	-0.56676	-0.64659	-0.09783	-0.02221	0.02898	-0.01845	-0.11117	-0.12393	-0.02282	-0.04337	-0.06338	-0.01451	-0.04047	-0.06958	-0.00692	0.05605	-0.04383	-0.03024	0.03327	-0.02359	-0.02109	0.00963	-0.01446	-0.01393	0.02174	-0.01561	-0.02697	-0.02827	-0.00884	-0.01403	-0.00768	-0.03083	-0.02129	-0.04314	-0.00268	-0.00283	-0.00152	-0.02987	-0.00649	-0.04802	-0.00026	-0.00148	-0.00191	-0.03038	-0.00886
4	-0.01767	-0.04610	-0.02537	-1.39092	-0.36591	-0.44564	-1.29779	-1.47414	-0.10805	-0.51076	-0.07463	-0.10887	-0.58244	-0.67384	-0.05107	-0.04727	-0.01243	0.02134	-0.12548	-0.15733	-0.00389	-0.02487	-0.06210	-0.00621	-0.02914	-0.06561	0.00169	0.06068	-0.03766	-0.03754	0.02959	-0.00228	-0.01730	0.00689	-0.00089	-0.00736	0.01419	0.00446	-0.02450	-0.01784	-0.00890	-0.00955	-0.02238	-0.02790	-0.01491	-0.03445	0.00878	0.00118	-0.03823	-0.01558	-0.02796	-0.03718	0.01015	0.00497	-0.03810	-0.01601	-0.04215
5	-0.02336	-0.04095	-0.01704	-1.41847	-0.37186	-0.32161	-1.27778	-1.42349	-0.03127	-0.57419	-0.12733	-0.06192	-0.58110	-0.66613	-0.02416	-0.10163	-0.05879	0.05092	-0.15058	-0.17552	-0.00255	-0.01174	-0.06044	0.00945	-0.01911	-0.06066	0.01429	0.04988	-0.03122	-0.03193	0.02792	0.01072	-0.01179	0.00356	0.00703	-0.00218	0.01500	0.01439	-0.01856	-0.00507	-0.00737	-0.00521	-0.01721	-0.01752	-0.00965	-0.02319	0.01964	-0.00000	-0.04402	0.00580	-0.04296	-0.02263	0.01938	0.00561	-0.04197	0.00741	-0.05999
6	-0.02743	-0.03934	-0.00534	-1.42521	-0.37582	-0.25113	-1.25394	-1.32679	0.02179	-0.64012	-0.16329	-0.05057	-0.58493	-0.64549	-0.00997	-0.14172	-0.08224	0.05078	-0.19063	-0.19364	-0.01029	-0.00187	-0.05964	0.02347	-0.00978	-0.05729	0.02477	0.04200	-0.02482	-0.00983	0.02233	0.01178	-0.00422	0.00099	0.00580	0.00241	0.01582	0.01117	-0.01110	0.00848	-0.00928	-0.00035	0.00053	-0.00626	-0.00672	-0.00836	0.01756	-0.00265	-0.01934	0.02439	-0.04052	-0.00443	0.01561	0.00319	-0.01394	0.02985	-0.05062
