	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedRoundN2.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.00000	0.00000	-0.58011	0.00000	0.00000	1.08873
2	0.00000	0.00000	-0.57801	0.00000	0.00000	1.08598
3	0.00000	0.00000	-0.57591	0.00000	0.00000	1.08322
4	0.00000	0.00000	-0.57381	0.00000	0.00000	1.08045
5	0.00000	0.00000	-0.57171	0.00000	0.00000	1.07768
6	0.00000	0.00000	-0.56963	0.00000	0.00000	1.07489
7	0.00000	0.00000	-0.56755	0.00000	0.00000	1.07210
8	0.00000	0.00000	-0.56548	0.00000	0.00000	1.06928
9	0.00000	0.00000	-0.56343	0.00000	0.00000	1.06645
10	0.00000	0.00000	-0.56139	0.00000	0.00000	1.06360
11	0.00000	0.00000	-0.55937	0.00000	0.00000	1.06073
12	0.00000	0.00000	-0.55736	0.00000	0.00000	1.05783
13	0.00000	0.00000	-0.55538	0.00000	0.00000	1.05493
14	0.00000	0.00000	-0.55342	0.00000	0.00000	1.05200
15	0.00000	0.00000	-0.55147	0.00000	0.00000	1.04907
16	0.00000	0.00000	-0.54956	0.00000	0.00000	1.04614
17	0.00000	0.00000	-0.54766	0.00000	0.00000	1.04320
18	0.00000	0.00000	-0.54579	0.00000	0.00000	1.04026
19	0.00000	0.00000	-0.54394	0.00000	0.00000	1.03733
20	0.00000	0.00000	-0.54212	0.00000	0.00000	1.03441
21	0.00000	0.00000	-0.54033	0.00000	0.00000	1.03150
22	0.00000	0.00000	-0.53856	0.00000	0.00000	1.02860
23	0.00000	0.00000	-0.53682	0.00000	0.00000	1.02572
24	0.00000	0.00000	-0.53511	0.00000	0.00000	1.02284
25	0.00000	0.00000	-0.53343	0.00000	0.00000	1.01999
26	0.00000	0.00000	-0.53177	0.00000	0.00000	1.01714
27	0.00000	0.00000	-0.53015	0.00000	0.00000	1.01432
28	0.00000	0.00000	-0.52855	0.00000	0.00000	1.01151
29	0.00000	0.00000	-0.52698	0.00000	0.00000	1.00872
30	0.00000	0.00000	-0.52544	0.00000	0.00000	1.00595
