	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d
	Head_AngMom_wrt_LAB	Head_AngMom_wrt_LAB	Head_AngMom_wrt_LAB	Head_Shadow_AngMom_wrt_LAB	Head_Shadow_AngMom_wrt_LAB	Head_Shadow_AngMom_wrt_LAB	Trunk_AngMom_wrt_LAB	Trunk_AngMom_wrt_LAB	Trunk_AngMom_wrt_LAB	R_UA_AngMom_wrt_LAB	R_UA_AngMom_wrt_LAB	R_UA_AngMom_wrt_LAB	R_FA_AngMom_wrt_LAB	R_FA_AngMom_wrt_LAB	R_FA_AngMom_wrt_LAB	R_Hand_AngMom_wrt_LAB	R_Hand_AngMom_wrt_LAB	R_Hand_AngMom_wrt_LAB	L_UA_AngMom_wrt_LAB	L_UA_AngMom_wrt_LAB	L_UA_AngMom_wrt_LAB	L_FA_AngMom_wrt_LAB	L_FA_AngMom_wrt_LAB	L_FA_AngMom_wrt_LAB	L_Hand_AngMom_wrt_LAB	L_Hand_AngMom_wrt_LAB	L_Hand_AngMom_wrt_LAB	Pelvis_AngMom_wrt_LAB	Pelvis_AngMom_wrt_LAB	Pelvis_AngMom_wrt_LAB	R_Thigh_AngMom_wrt_LAB	R_Thigh_AngMom_wrt_LAB	R_Thigh_AngMom_wrt_LAB	R_Shank_AngMom_wrt_LAB	R_Shank_AngMom_wrt_LAB	R_Shank_AngMom_wrt_LAB	R_Foot_AngMom_wrt_LAB	R_Foot_AngMom_wrt_LAB	R_Foot_AngMom_wrt_LAB	R_Foot_Shadow_AngMom_wrt_LAB	R_Foot_Shadow_AngMom_wrt_LAB	R_Foot_Shadow_AngMom_wrt_LAB	R_Toes_AngMom_wrt_LAB	R_Toes_AngMom_wrt_LAB	R_Toes_AngMom_wrt_LAB	L_Thigh_AngMom_wrt_LAB	L_Thigh_AngMom_wrt_LAB	L_Thigh_AngMom_wrt_LAB	L_Shank_AngMom_wrt_LAB	L_Shank_AngMom_wrt_LAB	L_Shank_AngMom_wrt_LAB	L_Foot_AngMom_wrt_LAB	L_Foot_AngMom_wrt_LAB	L_Foot_AngMom_wrt_LAB	L_Foot_Shadow_AngMom_wrt_LAB	L_Foot_Shadow_AngMom_wrt_LAB	L_Foot_Shadow_AngMom_wrt_LAB	L_Toes_AngMom_wrt_LAB	L_Toes_AngMom_wrt_LAB	L_Toes_AngMom_wrt_LAB	FullBody_AngMom	FullBody_AngMom	FullBody_AngMom
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																																															
2	-0.00001	-0.00007	-0.00001	0.00000	-0.00380	-0.00035	-0.04221	-0.02623	0.01275	-0.00204	0.00001	0.00332	-0.00033	0.00243	-0.00007	-0.00084	0.00068	-0.00038	-0.00096	0.00129	0.00152	-0.00078	0.00331	0.00279	-0.00082	0.00102	0.00136	-0.00183	0.00075	0.00184	-0.00828	0.00207	-0.00188	-0.00003	0.00110	-0.00045	-0.00024	0.00040	0.00034	-0.00024	0.00040	0.00034	-0.00000	0.00000	0.00000	-0.00600	0.01672	0.01047	-0.00004	-0.00188	0.00057	0.00027	-0.00024	-0.00074	0.00027	-0.00024	-0.00074	0.00000	-0.00000	-0.00000			
3	-0.00007	-0.00010	0.00001	-0.00377	-0.00555	0.00111	-0.05190	-0.02893	-0.01555	0.00035	-0.00114	0.00108	-0.00102	0.00259	-0.00037	-0.00078	0.00053	-0.00035	0.00098	0.00242	-0.00046	-0.00063	0.00330	0.00161	-0.00067	0.00085	0.00072	0.00146	-0.00047	0.00098	-0.01496	0.00558	-0.00752	0.00162	0.00147	-0.00132	-0.00034	-0.00046	0.00014	-0.00034	-0.00046	0.00014	-0.00001	0.00000	0.00000	-0.00923	0.01721	0.01040	-0.00058	-0.00160	0.00062	0.00030	-0.00031	-0.00023	0.00030	-0.00031	-0.00023	-0.00000	0.00000	-0.00000	-0.26618	0.04528	0.06579
4	-0.00010	-0.00007	0.00003	-0.00547	-0.00387	0.00232	-0.03801	-0.01978	-0.02156	0.00170	-0.00107	-0.00196	-0.00182	0.00212	-0.00045	-0.00074	0.00060	-0.00022	0.00213	0.00340	-0.00106	0.00003	0.00335	0.00029	-0.00026	0.00113	0.00009	0.00359	-0.00100	-0.00055	-0.01531	0.01067	-0.00854	0.00182	0.00180	-0.00142	-0.00041	-0.00100	0.00035	-0.00041	-0.00100	0.00035	-0.00001	0.00000	0.00000	-0.01379	0.01954	0.00897	-0.00003	-0.00048	0.00058	0.00010	-0.00036	0.00030	0.00010	-0.00036	0.00030	-0.00000	-0.00000	0.00000	-0.28042	0.09294	0.01510
5	-0.00009	0.00000	0.00001	-0.00499	0.00035	0.00093	-0.00720	-0.01233	0.00449	0.00101	0.00011	-0.00349	-0.00216	0.00136	-0.00021	-0.00094	0.00093	-0.00015	0.00143	0.00357	0.00063	0.00079	0.00340	-0.00015	-0.00002	0.00138	-0.00015	0.00225	0.00040	-0.00165	-0.00727	0.01309	-0.00441	0.00078	0.00121	-0.00061	-0.00036	-0.00095	0.00064	-0.00036	-0.00095	0.00064	-0.00000	0.00000	0.00000	-0.01349	0.01888	0.00637	0.00073	0.00072	0.00047	-0.00012	-0.00036	0.00053	-0.00012	-0.00036	0.00053	-0.00000	-0.00000	0.00000	-0.32803	0.08843	0.02924
6	-0.00007	0.00005	-0.00005	-0.00356	0.00338	-0.00274	0.01025	-0.01804	0.04763	-0.00091	0.00144	-0.00267	-0.00177	0.00077	-0.00001	-0.00122	0.00127	-0.00028	-0.00036	0.00280	0.00332	0.00117	0.00345	0.00054	-0.00019	0.00120	0.00002	-0.00082	0.00224	-0.00183	0.00124	0.01345	0.00006	-0.00024	-0.00059	0.00043	-0.00014	-0.00050	0.00041	-0.00014	-0.00050	0.00041	-0.00000	-0.00000	0.00000	-0.00862	0.01611	0.00210	0.00079	0.00099	0.00002	-0.00017	-0.00023	0.00053	-0.00017	-0.00023	0.00053	-0.00000	-0.00001	0.00000	-0.37028	0.07142	0.08311
