	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d
	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	0.26542	0.09871	0.00527	0.22021	0.65689	0.00302	0.22025	0.10132	0.01181	0.18748	0.62552	0.00892	0.22494	0.08481	0.01829	0.18031	0.64058	0.01643	0.05510	0.09533	0.01150	0.05255	0.51973	0.00930
2	0.26552	0.09879	0.00515	0.22050	0.65677	0.00301	0.22035	0.10136	0.01167	0.18770	0.62548	0.00886	0.22508	0.08487	0.01818	0.18056	0.64055	0.01637	0.05521	0.09516	0.01175	0.05254	0.51998	0.00911
3	0.26559	0.09878	0.00515	0.22071	0.65667	0.00305	0.22042	0.10136	0.01169	0.18787	0.62541	0.00890	0.22515	0.08489	0.01824	0.18075	0.64049	0.01643	0.05528	0.09513	0.01179	0.05257	0.52009	0.00896
4	0.26552	0.09876	0.00523	0.22074	0.65663	0.00314	0.22037	0.10135	0.01188	0.18792	0.62537	0.00908	0.22509	0.08490	0.01850	0.18078	0.64044	0.01661	0.05523	0.09508	0.01165	0.05264	0.52002	0.00895
5	0.26541	0.09880	0.00540	0.22065	0.65658	0.00325	0.22027	0.10136	0.01214	0.18786	0.62530	0.00927	0.22499	0.08494	0.01883	0.18069	0.64037	0.01675	0.05513	0.09488	0.01148	0.05270	0.51980	0.00898
6	0.26544	0.09891	0.00562	0.22055	0.65651	0.00333	0.22029	0.10140	0.01232	0.18777	0.62520	0.00932	0.22502	0.08501	0.01906	0.18057	0.64029	0.01674	0.05517	0.09466	0.01136	0.05274	0.51955	0.00893
7	0.26567	0.09895	0.00579	0.22041	0.65653	0.00336	0.22050	0.10143	0.01235	0.18765	0.62519	0.00917	0.22524	0.08504	0.01908	0.18041	0.64027	0.01656	0.05538	0.09464	0.01129	0.05274	0.51938	0.00875
8	0.26594	0.09882	0.00578	0.22026	0.65666	0.00337	0.22075	0.10136	0.01220	0.18749	0.62525	0.00881	0.22546	0.08494	0.01890	0.18025	0.64033	0.01621	0.05562	0.09481	0.01124	0.05268	0.51930	0.00855
9	0.26604	0.09857	0.00562	0.22018	0.65666	0.00336	0.22084	0.10120	0.01192	0.18737	0.62522	0.00834	0.22553	0.08477	0.01860	0.18015	0.64030	0.01577	0.05570	0.09499	0.01124	0.05257	0.51927	0.00843
