	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d
	FullBody_CoG_pos	FullBody_CoG_pos	FullBody_CoG_pos	L_Hand_CoG_pos	L_Hand_CoG_pos	L_Hand_CoG_pos	R_Hand_CoG_pos	R_Hand_CoG_pos	R_Hand_CoG_pos	L_Forearm_CoG_pos	L_Forearm_CoG_pos	L_Forearm_CoG_pos	R_Forearm_CoG_pos	R_Forearm_CoG_pos	R_Forearm_CoG_pos	L_UpperArm_CoG_pos	L_UpperArm_CoG_pos	L_UpperArm_CoG_pos	R_UpperArm_CoG_pos	R_UpperArm_CoG_pos	R_UpperArm_CoG_pos	Head_Shadow_CoG_pos	Head_Shadow_CoG_pos	Head_Shadow_CoG_pos	Head_CoG_pos	Head_CoG_pos	Head_CoG_pos	Trunk_CoG_pos	Trunk_CoG_pos	Trunk_CoG_pos	Pelvis_CoG_pos	Pelvis_CoG_pos	Pelvis_CoG_pos	L_Thigh_CoG_pos	L_Thigh_CoG_pos	L_Thigh_CoG_pos	R_Thigh_CoG_pos	R_Thigh_CoG_pos	R_Thigh_CoG_pos	L_Shank_CoG_pos	L_Shank_CoG_pos	L_Shank_CoG_pos	R_Shank_CoG_pos	R_Shank_CoG_pos	R_Shank_CoG_pos	L_Foot_CoG_pos	L_Foot_CoG_pos	L_Foot_CoG_pos	R_Foot_CoG_pos	R_Foot_CoG_pos	R_Foot_CoG_pos	L_Foot_Shadow_CoG_pos	L_Foot_Shadow_CoG_pos	L_Foot_Shadow_CoG_pos	R_Foot_Shadow_CoG_pos	R_Foot_Shadow_CoG_pos	R_Foot_Shadow_CoG_pos
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	0.12661	0.32801	0.86515	0.19549	0.54822	0.73812	0.26907	0.11625	0.74490	0.12405	0.52110	0.91328	0.20090	0.12305	0.92147	0.08119	0.50051	1.12650	0.16636	0.14639	1.13446	0.17047	0.35708	1.50626	0.13447	0.33949	1.47572	0.13308	0.33343	1.11602	0.09889	0.31512	0.83498	0.09793	0.42978	0.64313	0.13377	0.21149	0.65249	0.09843	0.50756	0.26584	0.11699	0.14314	0.26759	0.12809	0.58221	0.01302	0.15093	0.10113	0.01556	0.13237	0.59523	0.01375	0.16476	0.08853	0.01588
2	0.12673	0.32819	0.86506	0.19284	0.54843	0.73676	0.26822	0.11553	0.74466	0.12303	0.52131	0.91258	0.20093	0.12288	0.92149	0.08097	0.50075	1.12611	0.16685	0.14652	1.13459	0.17051	0.35748	1.50626	0.13452	0.33993	1.47568	0.13322	0.33361	1.11586	0.09921	0.31537	0.83497	0.09797	0.42992	0.64299	0.13413	0.21171	0.65257	0.09830	0.50766	0.26569	0.11729	0.14324	0.26769	0.12822	0.58230	0.01290	0.15103	0.10109	0.01558	0.13252	0.59531	0.01364	0.16489	0.08852	0.01590
3	0.12684	0.32832	0.86498	0.19041	0.54834	0.73538	0.26716	0.11474	0.74432	0.12192	0.52155	0.91179	0.20078	0.12282	0.92141	0.08073	0.50096	1.12561	0.16711	0.14665	1.13471	0.17053	0.35790	1.50629	0.13460	0.34032	1.47565	0.13340	0.33370	1.11575	0.09949	0.31559	0.83495	0.09801	0.43008	0.64294	0.13444	0.21185	0.65258	0.09821	0.50770	0.26561	0.11746	0.14329	0.26772	0.12833	0.58231	0.01286	0.15110	0.10109	0.01560	0.13265	0.59531	0.01363	0.16496	0.08852	0.01596
4	0.12695	0.32843	0.86494	0.18802	0.54836	0.73405	0.26600	0.11387	0.74401	0.12078	0.52185	0.91101	0.20042	0.12284	0.92133	0.08055	0.50109	1.12509	0.16711	0.14685	1.13486	0.17053	0.35827	1.50637	0.13469	0.34060	1.47569	0.13364	0.33378	1.11570	0.09979	0.31578	0.83495	0.09813	0.43022	0.64304	0.13467	0.21193	0.65252	0.09813	0.50765	0.26566	0.11745	0.14327	0.26768	0.12838	0.58225	0.01296	0.15104	0.10108	0.01564	0.13269	0.59525	0.01373	0.16490	0.08851	0.01607
5	0.12707	0.32852	0.86494	0.18549	0.54867	0.73289	0.26477	0.11285	0.74384	0.11966	0.52213	0.91037	0.19992	0.12285	0.92135	0.08046	0.50109	1.12469	0.16695	0.14716	1.13505	0.17052	0.35858	1.50645	0.13471	0.34080	1.47578	0.13389	0.33390	1.11570	0.10016	0.31590	0.83496	0.09838	0.43027	0.64316	0.13489	0.21196	0.65244	0.09806	0.50753	0.26574	0.11736	0.14322	0.26763	0.12837	0.58212	0.01307	0.15093	0.10101	0.01571	0.13266	0.59513	0.01383	0.16480	0.08846	0.01622
6	0.12718	0.32860	0.86492	0.18288	0.54907	0.73193	0.26347	0.11157	0.74374	0.11852	0.52228	0.90990	0.19936	0.12275	0.92141	0.08035	0.50095	1.12446	0.16673	0.14750	1.13517	0.17050	0.35890	1.50650	0.13466	0.34109	1.47589	0.13413	0.33412	1.11571	0.10055	0.31595	0.83496	0.09864	0.43023	0.64315	0.13506	0.21196	0.65239	0.09801	0.50739	0.26571	0.11732	0.14320	0.26759	0.12832	0.58196	0.01307	0.15095	0.10096	0.01577	0.13260	0.59498	0.01381	0.16484	0.08843	0.01633
