	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.00000	0.00000	-0.99983	0.00000	0.00000	1.09054
2	0.00000	0.00000	-1.00155	0.00000	0.00000	1.09319
3	0.00000	0.00000	-1.00327	0.00000	0.00000	1.09584
4	0.00000	0.00000	-1.00499	0.00000	0.00000	1.09848
5	0.00000	0.00000	-1.00670	0.00000	0.00000	1.10111
6	0.00000	0.00000	-1.00839	0.00000	0.00000	1.10373
7	0.00000	0.00000	-1.01006	0.00000	0.00000	1.10633
8	0.00000	0.00000	-1.01171	0.00000	0.00000	1.10890
9	0.00000	0.00000	-1.01333	0.00000	0.00000	1.11145
10	0.00000	0.00000	-1.01492	0.00000	0.00000	1.11397
11	0.00000	0.00000	-1.01647	0.00000	0.00000	1.11646
12	0.00000	0.00000	-1.01799	0.00000	0.00000	1.11892
13	0.00000	0.00000	-1.01946	0.00000	0.00000	1.12134
14	0.00000	0.00000	-1.02090	0.00000	0.00000	1.12372
15	0.00000	0.00000	-1.02229	0.00000	0.00000	1.12607
16	0.00000	0.00000	-1.02364	0.00000	0.00000	1.12838
17	0.00000	0.00000	-1.02495	0.00000	0.00000	1.13065
18	0.00000	0.00000	-1.02620	0.00000	0.00000	1.13287
19	0.00000	0.00000	-1.02741	0.00000	0.00000	1.13506
20	0.00000	0.00000	-1.02857	0.00000	0.00000	1.13720
21	0.00000	0.00000	-1.02968	0.00000	0.00000	1.13930
22	0.00000	0.00000	-1.03073	0.00000	0.00000	1.14136
23	0.00000	0.00000	-1.03173	0.00000	0.00000	1.14337
24	0.00000	0.00000	-1.03268	0.00000	0.00000	1.14534
25	0.00000	0.00000	-1.03356	0.00000	0.00000	1.14726
26	0.00000	0.00000	-1.03439	0.00000	0.00000	1.14913
27	0.00000	0.00000	-1.03517	0.00000	0.00000	1.15096
28	0.00000	0.00000	-1.03588	0.00000	0.00000	1.15275
29	0.00000	0.00000	-1.03653	0.00000	0.00000	1.15448
30	0.00000	0.00000	-1.03712	0.00000	0.00000	1.15617
