	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.05545	0.09549	0.00310	0.05258	0.52016	0.00155
2	0.05553	0.09531	0.00336	0.05257	0.52041	0.00136
3	0.05560	0.09525	0.00340	0.05261	0.52053	0.00122
4	0.05557	0.09517	0.00326	0.05268	0.52047	0.00121
5	0.05550	0.09494	0.00308	0.05277	0.52023	0.00124
6	0.05555	0.09471	0.00297	0.05282	0.51996	0.00118
7	0.05577	0.09469	0.00290	0.05283	0.51978	0.00101
8	0.05600	0.09487	0.00285	0.05276	0.51970	0.00080
9	0.05607	0.09506	0.00285	0.05263	0.51967	0.00068
10	0.05592	0.09512	0.00296	0.05242	0.51968	0.00070
11	0.05570	0.09504	0.00320	0.05225	0.51969	0.00078
12	0.05555	0.09488	0.00340	0.05221	0.51967	0.00080
13	0.05551	0.09480	0.00338	0.05229	0.51960	0.00070
14	0.05556	0.09493	0.00311	0.05238	0.51954	0.00050
15	0.05563	0.09520	0.00282	0.05241	0.51959	0.00022
16	0.05567	0.09543	0.00272	0.05247	0.51974	-0.00010
17	0.05568	0.09554	0.00283	0.05261	0.51986	-0.00035
18	0.05567	0.09552	0.00300	0.05275	0.51987	-0.00037
19	0.05567	0.09537	0.00315	0.05278	0.51985	-0.00022
20	0.05571	0.09517	0.00325	0.05277	0.51990	-0.00016
21	0.05574	0.09498	0.00330	0.05288	0.51995	-0.00028
22	0.05576	0.09486	0.00333	0.05318	0.51991	-0.00041
23	0.05578	0.09491	0.00336	0.05347	0.51986	-0.00047
24	0.05581	0.09515	0.00332	0.05359	0.51982	-0.00056
25	0.05588	0.09537	0.00317	0.05352	0.51978	-0.00074
26	0.05593	0.09541	0.00298	0.05335	0.51974	-0.00089
27	0.05585	0.09527	0.00292	0.05315	0.51978	-0.00083
28	0.05564	0.09511	0.00301	0.05301	0.51990	-0.00057
29	0.05544	0.09503	0.00316	0.05294	0.51997	-0.00032
30	0.05534	0.09497	0.00332	0.05288	0.51994	-0.00020
31	0.05532	0.09490	0.00344	0.05279	0.51980	-0.00019
