	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\FinishedUpperN2.c3d
	R_KNEE_MOMENT	R_KNEE_MOMENT	R_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	NECK_MOMENT	NECK_MOMENT	NECK_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																										
2																																										
3	-0.99404	9.92516	-2.77382	-4.95695	7.74892	2.29428	-6.75223	8.41771	-2.66422	-6.93181	8.00365	2.19846	-4.31193	17.88593	-4.11956	-1.05115	8.57509	2.38997	-5.99462	22.30980	-4.38231	6.00525	-3.38572	-4.72358	1.44561	-0.95596	-0.29915	-0.66274	1.75306	-0.75343	0.58982	-0.86211	-0.12439	-0.07137	-0.35795	-0.00212	0.13213	-0.08222	-0.06608	-0.05102	-0.05588	-0.00374
4	-1.23110	8.87035	-2.47424	-5.54743	8.22569	2.32393	-6.01679	4.62512	-1.33690	-10.15515	8.26425	2.00396	-4.25952	17.96887	-4.13314	-1.16751	8.69561	2.36028	-12.58990	17.18329	-2.37276	4.68704	-4.54858	-0.45950	1.43071	-0.88659	0.07302	-1.72955	0.99487	-0.63337	0.82276	-0.77090	0.02594	-0.37695	-0.61393	-0.07949	0.20358	-0.01247	-0.01138	-0.10440	-0.05033	-0.01062
5	-0.59459	7.07313	-2.12015	-5.63521	8.44315	2.29700	-3.11518	-0.21772	-0.24973	-10.17623	9.98330	2.18732	-4.16540	18.03665	-4.14647	-1.23071	8.86444	2.33766	-11.97696	14.53106	0.60061	0.83086	-5.52712	4.03165	0.03823	-0.55950	0.30404	-2.84395	0.26332	-0.32403	0.33670	-0.86047	0.00901	-0.62128	-0.65293	-0.18420	0.10649	-0.05999	0.01134	-0.15839	-0.02636	-0.03904
6	-0.10053	6.70013	-2.13176	-5.24701	8.87883	2.34913	-1.70996	-0.58857	-0.53575	-6.89225	12.82868	2.68752	-4.10286	18.09521	-4.18352	-1.23938	9.07205	2.36456	-5.52592	18.90243	1.56572	-1.93650	-4.57133	5.08252	-0.33919	-0.37429	0.28743	-2.36040	-1.04505	0.19654	-0.12887	-0.94321	-0.00891	-0.24109	-0.81881	-0.11307	-0.02066	-0.13812	0.01472	-0.07067	-0.05906	-0.02958
7	-0.55005	7.93013	-2.43928	-5.35521	9.41281	2.42117	-3.59955	1.56905	-1.39851	-4.58914	14.24340	3.10627	-4.12863	18.13775	-4.22777	-1.31660	9.26969	2.35117	-1.86923	23.38319	0.71238	0.91912	-0.28317	0.50891	0.80833	-0.62032	0.05430	-0.84381	-2.38970	0.66544	-0.10387	-0.79971	0.05792	0.45612	-1.10674	0.11613	-0.01476	-0.12041	0.03589	0.11208	-0.14473	0.03470
8	-0.90412	9.18546	-2.67859	-6.08649	9.61704	2.40970	-4.46414	2.10392	-1.76212	-5.11452	12.40158	3.08740	-4.17197	18.13574	-4.20783	-1.47123	9.43344	2.26456	-1.00595	20.94621	-0.07482	6.24891	3.75965	-6.51159	1.78032	-0.71669	-0.20789	-0.20790	-1.78017	0.55896	0.12993	-0.43812	0.11307	0.60563	-1.01622	0.26232	0.08014	-0.01825	0.06129	0.16189	-0.19122	0.09104
9	-0.41195	9.44904	-2.67950	-6.70023	9.57678	2.38048	-2.38297	1.48610	-1.68921	-7.35119	9.54342	2.85046	-4.14565	18.05720	-4.11225	-1.61507	9.62346	2.21917	-1.56827	15.65049	0.15472	6.12281	0.83580	-8.08052	1.92278	0.17503	-0.20411	-0.82423	0.26311	-0.00027	0.37982	-0.04855	0.14921	0.15386	-0.55709	0.21665	0.14707	0.06272	0.06240	0.03323	-0.13532	0.08411
10	0.03137	8.94189	-2.53657	-6.69254	9.95391	2.47852	-1.15132	1.58483	-1.50534	-8.89145	10.27821	2.93197	-4.06301	17.88347	-4.03075	-1.72196	9.90584	2.31064	-4.22319	16.02719	1.51435	0.73231	-5.64839	-1.56866	1.80721	1.38004	0.09077	-1.64094	0.82462	-0.27386	0.73501	0.12595	0.19520	-0.23079	-0.32295	0.07469	0.17841	0.08166	0.03917	-0.09419	-0.02007	0.02541
11	-0.11345	8.43739	-2.43092	-6.39805	11.17051	2.71537	-2.28494	2.39434	-1.24070	-8.65728	15.47238	3.35019	-3.96556	17.70527	-4.03994	-1.86807	10.33801	2.48529	-6.57396	23.11953	3.10753	-1.61746	-6.70528	4.91703	1.61249	0.55300	0.25961	-2.08323	-0.38468	-0.08626	0.95401	-0.38649	0.10309	-0.24807	-0.43396	-0.06689	0.16057	-0.00283	-0.02262	-0.10127	0.05342	-0.03600
12	-0.43565	8.26889	-2.44083	-6.76371	12.44487	2.88954	-3.45679	3.30264	-1.10948	-9.15771	19.93017	3.58589	-3.85796	17.66549	-4.12881	-2.12529	10.94513	2.59915	-8.17024	29.54284	2.92757	2.73725	-4.93246	4.20170	1.60751	-2.31378	0.08024	-2.16488	-0.92843	0.02832	0.81148	-1.47510	-0.12769	-0.09201	-0.55320	-0.15117	0.08316	-0.17891	-0.10355	-0.02400	0.01597	-0.05611
13	-0.91428	8.14616	-2.49729	-8.07643	12.46298	2.79442	-4.01071	3.69017	-1.37893	-12.06403	18.51049	3.44041	-3.76792	17.78361	-4.23932	-2.49311	11.67188	2.57780	-12.32240	28.37132	0.43461	7.92959	-8.48528	0.22823	1.96728	-3.54858	-0.10567	-1.95396	-0.26205	-0.18202	0.50331	-1.89701	-0.19732	-0.04986	-0.75996	-0.13863	0.02455	-0.24290	-0.10338	0.00951	-0.12187	-0.03035
14	-1.50160	8.07512	-2.54385	-9.41757	11.33506	2.51086	-4.54503	3.53033	-1.74386	-14.90220	12.91986	3.24997	-3.76105	17.91458	-4.31256	-2.94937	12.40896	2.49712	-18.72186	21.41194	-1.92688	7.21401	-13.57675	-0.02834	2.28360	-1.69809	0.00867	-1.50156	-0.15958	-0.32745	0.37725	-1.19305	0.03963	-0.16282	-1.15710	-0.04255	0.05972	-0.10450	0.01002	-0.05597	-0.22520	0.00492
15	-1.55285	8.28307	-2.56403	-9.57167	10.85674	2.38510	-4.75971	2.67463	-1.42706	-13.86352	9.70066	3.28884	-3.85491	17.90738	-4.31341	-3.47820	13.09318	2.51450	-20.80618	15.66824	-1.20623	2.42302	-10.96739	2.75227	2.13513	0.36184	0.23866	-1.03883	-1.19822	-0.08684	0.52375	-0.37509	0.33655	-0.26729	-1.35281	0.05480	0.14412	0.07278	0.12765	-0.14515	-0.18009	0.01394
16	-0.91945	8.36131	-2.49914	-8.48928	12.18031	2.60770	-4.90516	-0.04974	-0.39382	-8.35868	12.06719	3.47433	-3.96577	17.82220	-4.24685	-4.05041	13.79404	2.69752	-13.81616	14.05902	2.32600	-0.53706	-2.93010	2.71754	1.24733	0.26660	0.19743	-1.09319	-1.58647	0.21186	0.53820	-0.25991	0.33049	-0.29023	-1.08111	0.06628	0.14641	0.12816	0.13210	-0.17295	-0.08327	0.00086
17	-0.40612	8.04285	-2.39703	-7.85615	14.11404	2.89988	-5.33129	-3.09471	0.05473	-4.30004	16.85345	3.47783	-3.99243	17.79796	-4.16278	-4.59058	14.56370	2.91326	-5.50564	16.39160	4.79680	-0.48623	-0.10073	-1.67695	0.20342	-1.14579	-0.17306	-1.66343	-0.12786	0.17004	0.18986	-0.74666	-0.01468	-0.13562	-0.54588	0.01502	0.04548	0.01704	0.01892	-0.07327	-0.05414	-0.00161
18	-0.62656	7.83963	-2.42081	-8.63626	15.10560	2.95722	-5.20288	-2.54939	-0.83687	-7.05668	20.41461	3.23483	-3.94063	17.72490	-4.13208	-4.97226	15.27389	3.01537	-7.68593	23.02997	3.83147	2.31400	-5.71703	-5.30180	0.22038	-1.71000	-0.47083	-2.23110	1.18846	-0.03278	-0.04266	-1.22617	-0.32700	0.04369	-0.23407	-0.04437	-0.01366	-0.17061	-0.10207	0.06585	-0.05142	0.00428
19	-1.06377	8.32709	-2.62742	-9.70240	15.09982	2.85426	-3.98690	2.04285	-2.09809	-13.03289	20.96213	3.01036	-3.91674	17.48230	-4.17683	-5.26029	15.86457	3.03549	-17.82680	29.94694	0.75263	7.73865	-10.78625	-3.73464	1.50472	-0.98407	-0.37533	-2.13670	-0.17723	0.04163	0.30340	-1.30568	-0.30954	0.05734	-0.60090	-0.04943	0.05630	-0.30701	-0.14482	0.07814	-0.05677	0.00144
20	-0.98717	8.85886	-2.80040	-9.77525	14.85281	2.81429	-2.69070	5.09422	-2.30638	-14.60916	18.17936	3.16429	-3.99218	17.27237	-4.25310	-5.71857	16.56906	3.09127	-22.49137	29.01270	-1.26660	9.69765	-6.76704	0.53785	3.02867	-0.30907	-0.04534	-1.09352	-2.33286	0.28817	0.97181	-1.10633	-0.07331	0.17593	-1.17275	0.05851	0.17095	-0.33948	-0.12340	0.02606	-0.09754	0.00744
21	-0.27609	8.47951	-2.72959	-9.22043	15.05104	2.92154	-1.33500	3.12812	-1.46502	-11.60527	15.42085	3.77684	-4.07859	17.28742	-4.28754	-6.31945	17.54911	3.22962	-17.20570	22.05092	-0.29417	2.65635	1.08173	1.59019	3.21005	-0.47877	0.16990	-0.37317	-1.01315	0.04446	1.18952	-0.86369	0.07862	0.21879	-0.87943	0.12992	0.20283	-0.24886	-0.07382	-0.02466	-0.11166	0.01701
22	0.26075	7.72994	-2.54508	-9.52288	16.01073	3.08939	-0.40407	0.36125	-0.82977	-10.54252	16.47154	4.19300	-4.06613	17.38597	-4.26120	-6.73962	18.60545	3.39146	-11.65591	20.13956	1.78584	-6.05618	1.05241	-1.61618	1.14752	-1.06957	0.14286	-1.03772	3.00540	-0.64786	0.50533	-0.73262	0.00485	-0.22015	0.16582	0.01928	0.10265	-0.09093	-0.01899	-0.12778	-0.03369	0.00066
23	-0.20824	7.60609	-2.48012	-11.16619	17.28457	3.16713	-2.03414	0.71810	-1.00941	-13.66576	19.67712	3.66933	-4.01217	17.34714	-4.21977	-6.91930	19.48588	3.49683	-13.99391	24.83133	1.84651	-3.93013	-8.01265	-3.59847	-1.74549	-1.12661	0.04774	-1.99898	3.84823	-0.72357	-0.57897	-0.65352	-0.14078	-0.57041	0.49168	-0.10219	-0.06807	0.02455	0.02272	-0.17049	0.04941	-0.02240
24	-1.20924	7.93834	-2.54544	-12.37501	18.00862	3.08979	-5.68531	1.81295	-1.41450	-15.52955	20.95558	2.61287	-4.03912	17.14840	-4.19981	-7.09353	20.17407	3.53901	-19.75825	26.90046	0.39009	8.25147	-14.24136	-0.55508	-2.61735	-0.61505	0.00529	-2.18512	-0.75440	0.22292	-1.04671	-0.55983	-0.14811	-0.28633	-0.63185	-0.05298	-0.16377	0.04895	0.04425	-0.05186	-0.00573	-0.01180
25	-1.45960	8.25623	-2.66229	-11.79393	17.83757	2.91342	-6.59823	1.05896	-1.55131	-12.35619	18.96331	2.02952	-4.12548	16.97844	-4.20110	-7.45311	20.83532	3.55501	-19.39312	22.10709	-0.26991	15.96203	-7.29469	4.33552	-0.57753	-0.58929	-0.08660	-1.82444	-5.97822	1.19375	-0.46113	-0.61109	-0.03136	0.13751	-2.06855	0.08583	-0.08149	0.00204	0.04035	0.06045	-0.16709	0.02428
26	-0.72283	8.53358	-2.76705	-10.71331	17.19639	2.74671	-3.01932	0.78962	-1.64912	-8.01044	15.01434	2.06271	-4.14228	16.96770	-4.20213	-7.96604	21.55042	3.57503	-12.76888	16.33586	-0.88041	11.24102	6.23136	6.11924	1.94957	-0.69624	-0.17002	-1.22616	-6.41652	1.13020	0.52920	-0.66379	0.07487	0.13152	-2.32114	0.14113	0.10465	-0.03571	0.02319	0.00209	-0.26012	0.03733
27	-0.28592	8.42192	-2.72385	-10.85554	17.10166	2.76370	-0.77168	3.20849	-1.82499	-7.91299	12.70719	2.44620	-4.04982	16.97131	-4.18999	-8.41553	22.23058	3.64243	-11.10836	17.29249	-2.75654	2.81211	9.51148	3.69082	2.13872	0.32802	-0.07015	-0.69597	-1.98645	0.13212	0.89479	-0.40653	0.10037	-0.14163	-1.19555	0.05516	0.21124	0.00055	0.01985	-0.12556	-0.18202	0.00664
28	-0.88878	7.67808	-2.49606	-12.16666	18.08757	3.04549	-3.93417	5.52059	-1.73007	-12.09013	14.73742	3.23304	-3.94121	16.88719	-4.16966	-8.68662	22.86237	3.79290	-19.45082	24.06825	-3.65450	0.13437	-2.33383	-0.61546	0.68090	1.40693	0.06308	-0.51064	2.68039	-0.73250	0.51869	-0.12497	0.05223	-0.15768	0.08734	-0.03238	0.17757	0.06451	0.02998	-0.11766	-0.03749	-0.02073
29	-1.44781	6.95681	-2.30485	-13.51967	19.37184	3.37715	-7.29772	4.66823	-1.40009	-16.54251	19.01716	4.06314	-3.90763	16.80991	-4.14394	-8.86958	23.48937	3.98302	-27.60973	29.16242	-1.70294	1.62484	-16.91525	-3.89541	0.42856	0.17467	-0.09930	-0.57158	3.44618	-0.66715	0.13724	-0.46725	-0.06552	0.16081	0.27234	0.03322	0.08744	0.02794	0.00995	0.03397	-0.01522	0.01194
30	-0.97433	6.83953	-2.32715	-14.02155	20.05545	3.48621	-5.44638	2.04327	-1.27703	-18.02743	21.79751	4.04711	-3.93019	16.69981	-4.10708	-9.04868	23.99361	4.12173	-26.56990	28.92626	0.90562	2.96374	-20.00270	-4.50093	1.60666	-2.71988	-0.43191	-0.60229	0.85077	0.03657	0.10115	-1.38539	-0.22585	0.46993	-0.52954	0.20121	0.00696	-0.15945	-0.06077	0.16834	-0.13152	0.08275
31	-0.22049	7.06901	-2.46349	-13.54826	20.21521	3.38594	-1.27382	-0.09895	-1.33267	-16.13190	21.81015	3.00424	-3.93720	16.42517	-4.07002	-9.23567	24.28742	4.18584	-19.94606	24.27112	1.70378	3.94118	-9.67946	-2.85460	2.15711	-3.58387	-0.36810	-1.10725	-1.47403	0.48015	0.22325	-1.74772	-0.24728	0.31838	-1.19896	0.22269	-0.02854	-0.29947	-0.10290	0.12322	-0.21214	0.09426
32	-0.27325	7.21543	-2.56285	-12.68945	20.15003	3.26647	0.07720	-1.44487	-1.34824	-12.15606	19.58107	1.99752	-3.93965	16.12057	-4.06776	-9.48651	24.55850	4.22133	-13.92042	17.71467	0.76024	4.33627	3.46664	-0.86984	1.27081	-1.31950	0.10494	-2.67672	-1.63027	0.26775	0.26543	-0.93700	-0.06483	-0.41122	-1.14279	-0.00837	-0.01097	-0.19211	-0.05071	-0.10336	-0.14711	0.01119
33	-0.93306	7.20041	-2.59135	-12.16821	19.83072	3.22792	-1.87645	-1.60117	-1.42006	-8.10764	16.98293	2.26218	-4.00541	16.04323	-4.10847	-9.84132	24.99878	4.25353	-10.88337	14.83569	-0.46677	2.95366	7.92561	0.27719	-0.19717	0.83361	0.33195	-4.01099	-0.58239	-0.20148	0.11970	0.00006	0.06454	-1.04461	-0.62862	-0.25453	0.01924	0.01878	0.01992	-0.29636	0.01473	-0.08593
34	-1.36443	7.31366	-2.58549	-12.42077	19.28728	3.23506	-4.71220	0.87013	-1.62907	-7.75506	16.00175	3.55828	-4.10562	16.15618	-4.14239	-10.15680	25.46323	4.27603	-14.86241	19.68579	-1.07931	1.37097	2.45079	1.03417	-1.13220	0.80058	0.12523	-3.26116	0.25211	-0.42451	-0.04540	0.05926	0.00421	-0.88683	-0.14896	-0.26421	0.03669	0.09104	0.02928	-0.28632	0.15075	-0.11631
35	-1.24938	7.87103	-2.61619	-13.15012	18.99971	3.27978	-5.94852	5.56404	-1.92849	-12.70441	16.44001	4.32869	-4.12663	16.20133	-4.11976	-10.22400	25.68135	4.32457	-25.90748	27.59865	-1.56121	1.80571	-5.04260	1.77370	-0.84176	-0.01469	-0.08166	-1.03786	0.18843	-0.26939	0.07413	-0.42102	-0.04640	-0.18561	-0.15548	-0.06806	0.07485	0.01562	0.01386	-0.13828	0.12465	-0.07120
36	-0.77718	8.44343	-2.68962	-14.06467	19.58134	3.40612	-4.33102	7.61983	-2.12220	-19.15778	17.37431	3.74127	-4.03770	16.06133	-4.05363	-10.12187	25.65112	4.41256	-34.38218	29.17347	-1.82415	4.25513	-7.86284	1.47728	0.67105	-0.31249	-0.12373	0.24635	-0.43423	0.06707	0.48087	-0.74714	0.05299	0.32695	-0.60946	0.13096	0.15361	-0.06619	0.02766	0.00443	-0.04817	0.00803
37	-0.47495	8.04627	-2.68028	-14.98495	20.71670	3.55112	-2.12940	3.04678	-1.83395	-21.17321	18.11463	2.47375	-3.95318	15.79269	-4.01079	-10.14080	25.57027	4.48318	-31.81078	21.24067	-1.20776	7.29487	-6.50402	-0.53130	2.18186	-0.36363	-0.17913	-0.62657	-0.45347	0.25489	0.75309	-0.71895	0.15620	0.25917	-0.79956	0.15584	0.20601	-0.06393	0.05085	0.05028	-0.14329	0.05083
38	-0.67450	6.94272	-2.56167	-14.79665	21.21523	3.59339	-2.40065	-3.11445	-1.20446	-16.13198	17.86815	1.69029	-3.98402	15.50944	-4.02544	-10.35976	25.54665	4.52906	-19.94920	13.02969	-0.70874	7.10324	-4.25993	-1.86882	2.02969	-0.27304	-0.19335	-2.19056	-0.10590	0.29123	0.48079	-0.51355	0.07410	-0.11037	-0.55908	0.05000	0.13056	-0.03733	0.02598	-0.01013	-0.07942	0.02884
39	-1.17775	6.77209	-2.50149	-13.08082	20.59379	3.50786	-5.08532	-2.47477	-0.83164	-8.53144	17.17338	1.89632	-4.08479	15.37111	-4.05155	-10.63518	25.56660	4.57027	-10.18650	15.49700	-1.31930	0.93372	-3.45558	0.53419	0.21620	0.16731	0.01110	-2.10912	-1.21814	0.53213	-0.18179	-0.41633	-0.16309	-0.11418	-0.73296	0.04526	-0.04999	-0.08831	-0.05301	-0.06186	-0.08045	0.00784
40	-1.54908	7.73961	-2.53329	-11.56177	19.64275	3.37099	-7.95496	3.30018	-0.71489	-5.40954	17.26351	2.58874	-4.11868	15.42171	-4.03509	-10.83797	25.57677	4.56920	-12.33887	24.39758	-1.77387	-4.76858	-4.67012	4.63109	-1.28424	0.70892	0.26572	-0.37669	-3.32994	0.88876	-0.57002	-0.37855	-0.32963	0.42661	-1.45992	0.18157	-0.15904	-0.11727	-0.10830	0.02791	-0.22934	0.03684
41	-1.36142	8.18285	-2.52804	-11.94242	19.54129	3.37536	-8.40112	5.86140	-0.63068	-8.65542	18.89246	3.27832	-4.04819	15.47477	-3.99486	-10.91514	25.52559	4.52683	-22.52407	28.82207	-0.66269	-2.12682	-5.99829	4.95497	-0.79997	0.77559	0.19947	0.86374	-3.44160	0.75178	-0.27318	-0.26695	-0.28923	0.88441	-1.70032	0.25419	-0.07794	-0.00399	-0.08168	0.19937	-0.29205	0.07503
42	-0.68769	7.55867	-2.52159	-13.44727	20.49901	3.63534	-5.03282	3.01086	-0.89064	-13.60449	21.67740	4.02914	-3.95411	15.41190	-3.98796	-10.89173	25.41822	4.52745	-27.13760	27.48043	1.45251	3.67781	-6.14531	1.30627	0.95063	0.11844	-0.14798	0.36191	-0.97260	0.02861	0.36600	-0.35430	-0.13629	0.62205	-1.13334	0.17758	0.10581	0.08829	-0.01928	0.22602	-0.18332	0.07876
43	-0.21719	6.89392	-2.59577	-13.66632	21.37379	3.91869	-0.08545	-1.09692	-1.48649	-14.02917	23.85681	4.55862	-3.87541	15.29314	-4.01570	-10.78206	25.22872	4.59915	-19.51764	24.85459	3.06073	2.36188	-6.34676	-1.15160	1.97771	-0.85289	-0.36636	-1.44436	1.72815	-0.71545	0.68926	-0.71534	0.00232	-0.32769	-0.36768	0.00192	0.20693	0.01566	0.02254	-0.00625	-0.04494	0.03716
