	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d
	FullBody_CoG_pos	FullBody_CoG_pos	FullBody_CoG_pos	L_Hand_CoG_pos	L_Hand_CoG_pos	L_Hand_CoG_pos	R_Hand_CoG_pos	R_Hand_CoG_pos	R_Hand_CoG_pos	L_Forearm_CoG_pos	L_Forearm_CoG_pos	L_Forearm_CoG_pos	R_Forearm_CoG_pos	R_Forearm_CoG_pos	R_Forearm_CoG_pos	L_UpperArm_CoG_pos	L_UpperArm_CoG_pos	L_UpperArm_CoG_pos	R_UpperArm_CoG_pos	R_UpperArm_CoG_pos	R_UpperArm_CoG_pos	Head_Shadow_CoG_pos	Head_Shadow_CoG_pos	Head_Shadow_CoG_pos	Head_CoG_pos	Head_CoG_pos	Head_CoG_pos	Trunk_CoG_pos	Trunk_CoG_pos	Trunk_CoG_pos	Pelvis_CoG_pos	Pelvis_CoG_pos	Pelvis_CoG_pos	L_Thigh_CoG_pos	L_Thigh_CoG_pos	L_Thigh_CoG_pos	R_Thigh_CoG_pos	R_Thigh_CoG_pos	R_Thigh_CoG_pos	L_Shank_CoG_pos	L_Shank_CoG_pos	L_Shank_CoG_pos	R_Shank_CoG_pos	R_Shank_CoG_pos	R_Shank_CoG_pos	L_Foot_CoG_pos	L_Foot_CoG_pos	L_Foot_CoG_pos	R_Foot_CoG_pos	R_Foot_CoG_pos	R_Foot_CoG_pos	L_Foot_Shadow_CoG_pos	L_Foot_Shadow_CoG_pos	L_Foot_Shadow_CoG_pos	R_Foot_Shadow_CoG_pos	R_Foot_Shadow_CoG_pos	R_Foot_Shadow_CoG_pos
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	0.17958	0.29696	0.94897	0.18152	0.55940	1.26176	0.39558	0.45837	1.26620	0.01700	0.47288	1.16320	0.42774	0.26545	1.18705	-0.03702	0.40157	1.23380	0.39696	0.17391	1.25834	0.21913	0.36428	1.59682	0.18036	0.33642	1.57595	0.18117	0.28408	1.20546	0.16042	0.25113	0.90716	0.10808	0.37656	0.70694	0.23691	0.19627	0.70755	0.12675	0.49457	0.29966	0.19281	0.13423	0.29433	0.15651	0.59605	0.01890	0.19269	0.11895	0.01991	0.15006	0.60462	0.01824	0.20613	0.11565	0.01933
2	0.17951	0.29694	0.94903	0.18120	0.55982	1.26153	0.39580	0.45815	1.26574	0.01668	0.47306	1.16320	0.42783	0.26496	1.18710	-0.03725	0.40180	1.23376	0.39697	0.17386	1.25835	0.21907	0.36440	1.59696	0.18034	0.33638	1.57621	0.18112	0.28424	1.20552	0.16038	0.25103	0.90724	0.10794	0.37634	0.70703	0.23683	0.19610	0.70762	0.12670	0.49435	0.29973	0.19269	0.13400	0.29439	0.15655	0.59612	0.01906	0.19268	0.11892	0.01996	0.15010	0.60469	0.01843	0.20611	0.11561	0.01939
3	0.17942	0.29686	0.94908	0.18091	0.56000	1.26148	0.39604	0.45811	1.26549	0.01632	0.47332	1.16319	0.42792	0.26473	1.18720	-0.03741	0.40203	1.23367	0.39692	0.17375	1.25850	0.21901	0.36452	1.59703	0.18029	0.33649	1.57629	0.18102	0.28432	1.20560	0.16038	0.25089	0.90731	0.10777	0.37599	0.70701	0.23677	0.19586	0.70765	0.12667	0.49409	0.29973	0.19265	0.13371	0.29441	0.15659	0.59621	0.01919	0.19273	0.11892	0.02001	0.15014	0.60479	0.01861	0.20617	0.11561	0.01943
4	0.17931	0.29681	0.94911	0.18044	0.56019	1.26162	0.39604	0.45824	1.26551	0.01588	0.47357	1.16321	0.42795	0.26476	1.18738	-0.03754	0.40223	1.23367	0.39675	0.17367	1.25875	0.21886	0.36464	1.59706	0.18011	0.33673	1.57620	0.18087	0.28438	1.20567	0.16037	0.25087	0.90738	0.10758	0.37574	0.70698	0.23671	0.19570	0.70766	0.12660	0.49392	0.29970	0.19265	0.13348	0.29440	0.15659	0.59618	0.01913	0.19269	0.11889	0.01992	0.15015	0.60476	0.01856	0.20613	0.11560	0.01931
5	0.17913	0.29685	0.94916	0.17983	0.56070	1.26174	0.39585	0.45844	1.26561	0.01542	0.47383	1.16328	0.42791	0.26492	1.18758	-0.03773	0.40242	1.23379	0.39649	0.17373	1.25891	0.21862	0.36471	1.59708	0.17985	0.33695	1.57606	0.18069	0.28441	1.20572	0.16026	0.25100	0.90746	0.10738	0.37570	0.70701	0.23656	0.19575	0.70770	0.12644	0.49388	0.29972	0.19260	0.13339	0.29444	0.15653	0.59596	0.01891	0.19256	0.11885	0.01973	0.15009	0.60454	0.01830	0.20601	0.11559	0.01907
6	0.17893	0.29694	0.94921	0.17933	0.56156	1.26158	0.39567	0.45870	1.26562	0.01508	0.47417	1.16334	0.42778	0.26515	1.18769	-0.03797	0.40262	1.23390	0.39625	0.17392	1.25892	0.21835	0.36474	1.59711	0.17957	0.33707	1.57599	0.18054	0.28445	1.20572	0.16007	0.25115	0.90754	0.10716	0.37576	0.70709	0.23630	0.19588	0.70781	0.12624	0.49393	0.29980	0.19244	0.13343	0.29452	0.15644	0.59568	0.01871	0.19247	0.11889	0.01955	0.15001	0.60427	0.01804	0.20592	0.11564	0.01885
