	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	-2.63597	-44.09898	234.54720	-1.10758	45.83519	472.67853
2	-2.64777	-44.09659	234.55261	-1.08110	45.83022	472.66290
3	-2.65954	-44.09418	234.55806	-1.05465	45.82524	472.64728
4	-2.67127	-44.09175	234.56355	-1.02825	45.82029	472.63144
5	-2.68292	-44.08929	234.56909	-1.00193	45.81535	472.61542
6	-2.69448	-44.08677	234.57477	-0.97572	45.81045	472.59906
7	-2.70592	-44.08418	234.58054	-0.94965	45.80558	472.58237
8	-2.71722	-44.08152	234.58646	-0.92373	45.80075	472.56519
9	-2.72835	-44.07877	234.59254	-0.89801	45.79598	472.54752
10	-2.73928	-44.07592	234.59882	-0.87251	45.79127	472.52924
11	-2.75001	-44.07295	234.60530	-0.84724	45.78662	472.51031
12	-2.76052	-44.06987	234.61197	-0.82223	45.78204	472.49072
13	-2.77081	-44.06668	234.61884	-0.79748	45.77754	472.47052
14	-2.78088	-44.06339	234.62589	-0.77301	45.77313	472.44971
15	-2.79072	-44.05998	234.63306	-0.74881	45.76881	472.42822
16	-2.80035	-44.05648	234.64037	-0.72490	45.76459	472.40622
17	-2.80975	-44.05288	234.64780	-0.70130	45.76047	472.38364
18	-2.81892	-44.04919	234.65530	-0.67800	45.75647	472.36044
19	-2.82787	-44.04540	234.66292	-0.65501	45.75258	472.33679
20	-2.83659	-44.04152	234.67059	-0.63236	45.74883	472.31256
21	-2.84507	-44.03755	234.67833	-0.61003	45.74520	472.28787
22	-2.85333	-44.03349	234.68611	-0.58804	45.74173	472.26260
23	-2.86136	-44.02933	234.69395	-0.56639	45.73841	472.23685
24	-2.86917	-44.02507	234.70181	-0.54508	45.73526	472.21057
25	-2.87674	-44.02071	234.70973	-0.52412	45.73230	472.18381
26	-2.88409	-44.01624	234.71765	-0.50350	45.72952	472.15649
27	-2.89122	-44.01167	234.72560	-0.48325	45.72692	472.12872
28	-2.89811	-44.00699	234.73355	-0.46336	45.72455	472.10040
29	-2.90479	-44.00220	234.74152	-0.44382	45.72239	472.07159
30	-2.91124	-43.99729	234.74945	-0.42465	45.72047	472.04230
31	-2.91748	-43.99226	234.75742	-0.40583	45.71878	472.01257
32	-2.92349	-43.98712	234.76537	-0.38736	45.71736	471.98236
33	-2.92930	-43.98185	234.77325	-0.36924	45.71621	471.95172
34	-2.93489	-43.97646	234.78117	-0.35145	45.71534	471.92075
35	-2.94027	-43.97095	234.78905	-0.33400	45.71476	471.88931
36	-2.94545	-43.96530	234.79686	-0.31688	45.71450	471.85754
37	-2.95043	-43.95953	234.80466	-0.30009	45.71455	471.82544
38	-2.95521	-43.95361	234.81241	-0.28362	45.71494	471.79303
39	-2.95979	-43.94757	234.82011	-0.26746	45.71567	471.76028
40	-2.96417	-43.94139	234.82776	-0.25160	45.71675	471.72733
41	-2.96837	-43.93508	234.83536	-0.23604	45.71819	471.69406
42	-2.97237	-43.92862	234.84291	-0.22078	45.71999	471.66055
43	-2.97618	-43.92203	234.85043	-0.20580	45.72217	471.62689
44	-2.97981	-43.91530	234.85788	-0.19109	45.72472	471.59305
45	-2.98326	-43.90843	234.86528	-0.17665	45.72766	471.55905
46	-2.98652	-43.90142	234.87262	-0.16248	45.73100	471.52487
47	-2.98960	-43.89426	234.87991	-0.14856	45.73473	471.49063
48	-2.99251	-43.88697	234.88715	-0.13489	45.73886	471.45627
49	-2.99523	-43.87954	234.89433	-0.12145	45.74340	471.42184
50	-2.99778	-43.87197	234.90149	-0.10825	45.74833	471.38736
51	-3.00015	-43.86427	234.90860	-0.09527	45.75365	471.35291
52	-3.00234	-43.85643	234.91570	-0.08251	45.75938	471.31842
53	-3.00435	-43.84846	234.92274	-0.06995	45.76550	471.28394
54	-3.00618	-43.84037	234.92979	-0.05759	45.77201	471.24951
55	-3.00783	-43.83214	234.93681	-0.04543	45.77892	471.21515
56	-3.00931	-43.82379	234.94383	-0.03345	45.78622	471.18088
57	-3.01061	-43.81531	234.95084	-0.02165	45.79390	471.14673
58	-3.01174	-43.80672	234.95787	-0.01002	45.80196	471.11267
59	-3.01269	-43.79802	234.96489	0.00144	45.81038	471.07877
60	-3.01348	-43.78920	234.97197	0.01274	45.81916	471.04501
61	-3.01410	-43.78028	234.97908	0.02387	45.82829	471.01144
62	-3.01455	-43.77127	234.98624	0.03485	45.83775	470.97806
63	-3.01484	-43.76215	234.99344	0.04568	45.84755	470.94485
64	-3.01497	-43.75294	235.00073	0.05636	45.85766	470.91190
65	-3.01494	-43.74365	235.00809	0.06691	45.86809	470.87918
66	-3.01476	-43.73428	235.01555	0.07731	45.87881	470.84674
67	-3.01442	-43.72483	235.02309	0.08758	45.88982	470.81454
68	-3.01393	-43.71531	235.03073	0.09772	45.90110	470.78259
69	-3.01328	-43.70571	235.03850	0.10772	45.91264	470.75095
70	-3.01250	-43.69605	235.04639	0.11760	45.92442	470.71960
71	-3.01156	-43.68634	235.05441	0.12735	45.93643	470.68857
72	-3.01048	-43.67656	235.06258	0.13697	45.94866	470.65778
73	-3.00926	-43.66674	235.07088	0.14648	45.96109	470.62735
74	-3.00791	-43.65686	235.07935	0.15586	45.97372	470.59726
75	-3.00641	-43.64695	235.08800	0.16513	45.98652	470.56747
76	-3.00478	-43.63700	235.09679	0.17429	45.99948	470.53802
77	-3.00302	-43.62701	235.10577	0.18334	46.01259	470.50891
78	-3.00113	-43.61699	235.11494	0.19229	46.02584	470.48016
79	-2.99911	-43.60694	235.12428	0.20114	46.03921	470.45175
80	-2.99697	-43.59687	235.13382	0.20990	46.05269	470.42368
81	-2.99471	-43.58678	235.14355	0.21858	46.06626	470.39587
82	-2.99232	-43.57668	235.15350	0.22717	46.07992	470.36847
83	-2.98982	-43.56657	235.16365	0.23568	46.09364	470.34137
84	-2.98720	-43.55644	235.17401	0.24411	46.10742	470.31467
85	-2.98447	-43.54631	235.18457	0.25247	46.12125	470.28824
86	-2.98163	-43.53617	235.19536	0.26077	46.13511	470.26215
87	-2.97868	-43.52602	235.20633	0.26900	46.14899	470.23636
88	-2.97562	-43.51586	235.21753	0.27716	46.16288	470.21085
89	-2.97246	-43.50570	235.22894	0.28527	46.17677	470.18561
90	-2.96919	-43.49552	235.24057	0.29333	46.19066	470.16068
91	-2.96583	-43.48535	235.25240	0.30133	46.20452	470.13596
92	-2.96237	-43.47517	235.26445	0.30929	46.21835	470.11151
93	-2.95882	-43.46498	235.27670	0.31720	46.23212	470.08734
94	-2.95517	-43.45479	235.28917	0.32506	46.24586	470.06332
95	-2.95142	-43.44460	235.30185	0.33287	46.25953	470.03952
96	-2.94759	-43.43439	235.31473	0.34063	46.27313	470.01590
97	-2.94367	-43.42419	235.32782	0.34834	46.28666	469.99243
98	-2.93966	-43.41397	235.34111	0.35599	46.30010	469.96912
99	-2.93556	-43.40376	235.35461	0.36360	46.31345	469.94592
100	-2.93138	-43.39355	235.36830	0.37116	46.32669	469.92285
101	-2.92712	-43.38333	235.38219	0.37866	46.33982	469.89987
102	-2.92278	-43.37310	235.39627	0.38611	46.35284	469.87695
103	-2.91836	-43.36287	235.41054	0.39349	46.36573	469.85403
104	-2.91386	-43.35263	235.42499	0.40080	46.37849	469.83109
105	-2.90930	-43.34238	235.43962	0.40804	46.39111	469.80823
106	-2.90466	-43.33213	235.45444	0.41521	46.40358	469.78522
107	-2.89996	-43.32186	235.46939	0.42228	46.41590	469.76218
108	-2.89519	-43.31158	235.48453	0.42927	46.42808	469.73898
109	-2.89036	-43.30130	235.49983	0.43617	46.44008	469.71567
110	-2.88547	-43.29099	235.51527	0.44296	46.45191	469.69217
111	-2.88052	-43.28068	235.53087	0.44964	46.46357	469.66849
112	-2.87552	-43.27035	235.54660	0.45620	46.47504	469.64456
113	-2.87047	-43.26001	235.56244	0.46263	46.48633	469.62042
114	-2.86536	-43.24965	235.57840	0.46892	46.49743	469.59592
115	-2.86021	-43.23927	235.59445	0.47505	46.50834	469.57111
116	-2.85501	-43.22887	235.61057	0.48102	46.51904	469.54593
117	-2.84977	-43.21846	235.62680	0.48682	46.52953	469.52032
118	-2.84449	-43.20802	235.64308	0.49244	46.53982	469.49432
119	-2.83917	-43.19757	235.65941	0.49786	46.54989	469.46783
120	-2.83381	-43.18710	235.67581	0.50308	46.55974	469.44089
121	-2.82842	-43.17661	235.69221	0.50809	46.56937	469.41339
122	-2.82300	-43.16610	235.70868	0.51289	46.57878	469.38535
123	-2.81755	-43.15558	235.72510	0.51745	46.58796	469.35672
124	-2.81208	-43.14504	235.74156	0.52178	46.59690	469.32748
125	-2.80659	-43.13450	235.75798	0.52587	46.60563	469.29764
126	-2.80108	-43.12394	235.77440	0.52971	46.61412	469.26709
127	-2.79555	-43.11337	235.79077	0.53329	46.62237	469.23587
128	-2.79001	-43.10280	235.80710	0.53661	46.63038	469.20392
129	-2.78446	-43.09221	235.82338	0.53966	46.63815	469.17123
130	-2.77890	-43.08162	235.83960	0.54243	46.64569	469.13779
131	-2.77334	-43.07102	235.85576	0.54493	46.65299	469.10361
132	-2.76777	-43.06042	235.87186	0.54716	46.66005	469.06860
133	-2.76221	-43.04980	235.88789	0.54911	46.66688	469.03278
134	-2.75666	-43.03919	235.90385	0.55077	46.67347	468.99612
135	-2.75111	-43.02857	235.91972	0.55216	46.67984	468.95865
136	-2.74558	-43.01795	235.93553	0.55326	46.68596	468.92032
137	-2.74006	-43.00733	235.95125	0.55407	46.69185	468.88110
138	-2.73457	-42.99671	235.96690	0.55460	46.69751	468.84100
139	-2.72909	-42.98610	235.98245	0.55484	46.70296	468.80011
140	-2.72365	-42.97549	235.99797	0.55480	46.70818	468.75833
141	-2.71825	-42.96489	236.01341	0.55448	46.71319	468.71567
142	-2.71289	-42.95431	236.02885	0.55389	46.71799	468.67215
143	-2.70757	-42.94374	236.04424	0.55301	46.72258	468.62781
144	-2.70231	-42.93320	236.05959	0.55187	46.72698	468.58264
145	-2.69711	-42.92269	236.07495	0.55045	46.73118	468.53662
146	-2.69197	-42.91220	236.09029	0.54876	46.73520	468.48978
147	-2.68690	-42.90175	236.10564	0.54681	46.73903	468.44211
148	-2.68190	-42.89133	236.12102	0.54460	46.74267	468.39368
149	-2.67699	-42.88096	236.13644	0.54212	46.74615	468.34445
150	-2.67215	-42.87063	236.15195	0.53940	46.74945	468.29446
151	-2.66740	-42.86036	236.16753	0.53642	46.75259	468.24377
152	-2.66275	-42.85014	236.18320	0.53320	46.75558	468.19235
153	-2.65819	-42.83998	236.19899	0.52973	46.75841	468.14023
154	-2.65374	-42.82989	236.21490	0.52603	46.76109	468.08743
155	-2.64940	-42.81987	236.23097	0.52209	46.76362	468.03397
156	-2.64516	-42.80992	236.24722	0.51793	46.76602	467.97989
157	-2.64104	-42.80005	236.26367	0.51355	46.76828	467.92517
158	-2.63703	-42.79026	236.28035	0.50896	46.77042	467.86993
159	-2.63313	-42.78057	236.29724	0.50417	46.77244	467.81412
160	-2.62936	-42.77097	236.31439	0.49918	46.77434	467.75775
161	-2.62571	-42.76146	236.33185	0.49401	46.77613	467.70087
162	-2.62218	-42.75206	236.34959	0.48866	46.77782	467.64349
163	-2.61877	-42.74277	236.36766	0.48314	46.77941	467.58569
164	-2.61550	-42.73360	236.38609	0.47745	46.78090	467.52747
165	-2.61235	-42.72454	236.40488	0.47162	46.78231	467.46881
166	-2.60934	-42.71560	236.42404	0.46565	46.78364	467.40982
167	-2.60645	-42.70678	236.44363	0.45956	46.78490	467.35046
168	-2.60371	-42.69809	236.46364	0.45335	46.78609	467.29080
169	-2.60110	-42.68954	236.48409	0.44705	46.78722	467.23083
170	-2.59863	-42.68112	236.50500	0.44067	46.78830	467.17059
171	-2.59630	-42.67284	236.52641	0.43421	46.78933	467.11011
172	-2.59412	-42.66470	236.54834	0.42770	46.79032	467.04944
173	-2.59207	-42.65671	236.57077	0.42114	46.79128	466.98856
174	-2.59018	-42.64887	236.59377	0.41455	46.79222	466.92755
175	-2.58843	-42.64118	236.61732	0.40793	46.79313	466.86639
176	-2.58683	-42.63365	236.64143	0.40130	46.79403	466.80511
177	-2.58538	-42.62628	236.66617	0.39467	46.79493	466.74380
178	-2.58407	-42.61907	236.69148	0.38806	46.79582	466.68237
179	-2.58292	-42.61203	236.71744	0.38146	46.79671	466.62091
180	-2.58192	-42.60516	236.74405	0.37489	46.79762	466.55948
181	-2.58107	-42.59845	236.77130	0.36837	46.79855	466.49802
182	-2.58038	-42.59193	236.79924	0.36190	46.79950	466.43658
183	-2.57984	-42.58558	236.82785	0.35549	46.80048	466.37524
184	-2.57945	-42.57941	236.85719	0.34915	46.80148	466.31396
185	-2.57921	-42.57343	236.88722	0.34289	46.80253	466.25275
186	-2.57913	-42.56764	236.91800	0.33672	46.80362	466.19165
187	-2.57919	-42.56204	236.94949	0.33064	46.80475	466.13068
188	-2.57941	-42.55663	236.98174	0.32466	46.80594	466.06989
189	-2.57978	-42.55143	237.01474	0.31880	46.80718	466.00925
190	-2.58029	-42.54642	237.04852	0.31305	46.80849	465.94876
191	-2.58095	-42.54161	237.08308	0.30743	46.80985	465.88852
192	-2.58176	-42.53702	237.11844	0.30195	46.81128	465.82843
193	-2.58272	-42.53263	237.15459	0.29662	46.81278	465.76859
194	-2.58381	-42.52846	237.19151	0.29143	46.81435	465.70901
195	-2.58505	-42.52450	237.22926	0.28641	46.81597	465.64966
196	-2.58642	-42.52075	237.26779	0.28156	46.81767	465.59058
197	-2.58792	-42.51723	237.30714	0.27689	46.81942	465.53174
198	-2.58956	-42.51393	237.34731	0.27241	46.82125	465.47321
199	-2.59133	-42.51085	237.38828	0.26812	46.82314	465.41498
200	-2.59323	-42.50799	237.43007	0.26404	46.82510	465.35703
201	-2.59525	-42.50536	237.47266	0.26017	46.82712	465.29941
202	-2.59739	-42.50296	237.51608	0.25651	46.82920	465.24213
203	-2.59966	-42.50078	237.56030	0.25307	46.83133	465.18512
204	-2.60205	-42.49883	237.60533	0.24985	46.83352	465.12848
205	-2.60455	-42.49709	237.65115	0.24686	46.83576	465.07217
206	-2.60717	-42.49559	237.69778	0.24411	46.83804	465.01620
207	-2.60991	-42.49430	237.74521	0.24159	46.84036	464.96057
208	-2.61275	-42.49323	237.79341	0.23931	46.84272	464.90527
209	-2.61571	-42.49239	237.84241	0.23727	46.84512	464.85037
210	-2.61877	-42.49176	237.89218	0.23549	46.84754	464.79578
211	-2.62193	-42.49135	237.94275	0.23395	46.85001	464.74161
212	-2.62518	-42.49115	237.99405	0.23266	46.85250	464.68774
