	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedRoundN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedRoundN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedRoundN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedRoundN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedRoundN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedRoundN3.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.00000	0.00000	1.94308	0.00000	0.00000	-0.19425
2	0.00000	0.00000	1.94639	0.00000	0.00000	-0.19036
3	0.00000	0.00000	1.94970	0.00000	0.00000	-0.18647
4	0.00000	0.00000	1.95301	0.00000	0.00000	-0.18261
5	0.00000	0.00000	1.95631	0.00000	0.00000	-0.17877
6	0.00000	0.00000	1.95960	0.00000	0.00000	-0.17496
7	0.00000	0.00000	1.96288	0.00000	0.00000	-0.17120
8	0.00000	0.00000	1.96615	0.00000	0.00000	-0.16749
9	0.00000	0.00000	1.96941	0.00000	0.00000	-0.16384
10	0.00000	0.00000	1.97265	0.00000	0.00000	-0.16027
11	0.00000	0.00000	1.97588	0.00000	0.00000	-0.15677
12	0.00000	0.00000	1.97908	0.00000	0.00000	-0.15334
13	0.00000	0.00000	1.98226	0.00000	0.00000	-0.15000
14	0.00000	0.00000	1.98542	0.00000	0.00000	-0.14673
15	0.00000	0.00000	1.98855	0.00000	0.00000	-0.14354
16	0.00000	0.00000	1.99166	0.00000	0.00000	-0.14042
17	0.00000	0.00000	1.99473	0.00000	0.00000	-0.13738
18	0.00000	0.00000	1.99777	0.00000	0.00000	-0.13441
19	0.00000	0.00000	2.00078	0.00000	0.00000	-0.13152
20	0.00000	0.00000	2.00375	0.00000	0.00000	-0.12870
21	0.00000	0.00000	2.00668	0.00000	0.00000	-0.12596
22	0.00000	0.00000	2.00957	0.00000	0.00000	-0.12329
23	0.00000	0.00000	2.01242	0.00000	0.00000	-0.12069
24	0.00000	0.00000	2.01523	0.00000	0.00000	-0.11817
25	0.00000	0.00000	2.01801	0.00000	0.00000	-0.11572
26	0.00000	0.00000	2.02074	0.00000	0.00000	-0.11335
27	0.00000	0.00000	2.02342	0.00000	0.00000	-0.11105
28	0.00000	0.00000	2.02607	0.00000	0.00000	-0.10883
29	0.00000	0.00000	2.02867	0.00000	0.00000	-0.10669
30	0.00000	0.00000	2.03122	0.00000	0.00000	-0.10461
