	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedRoundN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedRoundN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedRoundN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedRoundN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedRoundN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedRoundN3.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	9.85288	-34.37374	238.53571	-9.92020	38.26113	469.53757
2	9.85832	-34.38245	238.53543	-9.92587	38.26114	469.54031
3	9.86378	-34.39114	238.53508	-9.93154	38.26115	469.54297
4	9.86926	-34.39978	238.53461	-9.93722	38.26115	469.54553
5	9.87478	-34.40835	238.53394	-9.94289	38.26114	469.54785
6	9.88034	-34.41682	238.53297	-9.94856	38.26112	469.54990
7	9.88596	-34.42516	238.53171	-9.95424	38.26109	469.55164
8	9.89166	-34.43336	238.53003	-9.95991	38.26103	469.55295
9	9.89744	-34.44138	238.52788	-9.96558	38.26095	469.55377
10	9.90331	-34.44921	238.52518	-9.97126	38.26085	469.55408
11	9.90928	-34.45682	238.52190	-9.97694	38.26071	469.55380
12	9.91536	-34.46420	238.51802	-9.98261	38.26055	469.55289
13	9.92152	-34.47136	238.51358	-9.98827	38.26036	469.55139
14	9.92777	-34.47827	238.50856	-9.99392	38.26014	469.54926
15	9.93409	-34.48495	238.50299	-9.99955	38.25990	469.54651
16	9.94048	-34.49138	238.49689	-10.00515	38.25964	469.54318
17	9.94693	-34.49757	238.49028	-10.01073	38.25934	469.53925
18	9.95343	-34.50350	238.48314	-10.01627	38.25902	469.53467
19	9.95997	-34.50917	238.47552	-10.02178	38.25869	469.52951
20	9.96655	-34.51459	238.46742	-10.02724	38.25832	469.52371
21	9.97316	-34.51974	238.45883	-10.03265	38.25794	469.51733
22	9.97980	-34.52462	238.44980	-10.03802	38.25753	469.51031
23	9.98647	-34.52924	238.44028	-10.04332	38.25710	469.50266
24	9.99316	-34.53358	238.43034	-10.04857	38.25665	469.49438
25	9.99988	-34.53764	238.41994	-10.05376	38.25616	469.48547
26	10.00663	-34.54144	238.40909	-10.05888	38.25566	469.47589
27	10.01340	-34.54494	238.39783	-10.06394	38.25512	469.46573
28	10.02018	-34.54816	238.38614	-10.06891	38.25456	469.45486
29	10.02699	-34.55111	238.37404	-10.07382	38.25397	469.44333
30	10.03380	-34.55376	238.36154	-10.07864	38.25334	469.43118
31	10.04063	-34.55614	238.34868	-10.08337	38.25268	469.41843
32	10.04746	-34.55825	238.33546	-10.08802	38.25198	469.40503
33	10.05429	-34.56010	238.32190	-10.09258	38.25122	469.39099
34	10.06112	-34.56168	238.30803	-10.09704	38.25043	469.37634
35	10.06793	-34.56300	238.29387	-10.10140	38.24957	469.36115
36	10.07473	-34.56408	238.27943	-10.10565	38.24866	469.34537
37	10.08152	-34.56490	238.26474	-10.10980	38.24768	469.32898
38	10.08828	-34.56549	238.24982	-10.11384	38.24664	469.31207
39	10.09501	-34.56584	238.23468	-10.11776	38.24551	469.29459
40	10.10171	-34.56597	238.21933	-10.12158	38.24432	469.27661
41	10.10837	-34.56588	238.20381	-10.12529	38.24303	469.25812
42	10.11499	-34.56558	238.18813	-10.12890	38.24166	469.23914
43	10.12156	-34.56508	238.17230	-10.13240	38.24020	469.21970
44	10.12808	-34.56438	238.15636	-10.13580	38.23864	469.19980
45	10.13454	-34.56351	238.14029	-10.13910	38.23697	469.17944
46	10.14095	-34.56245	238.12415	-10.14231	38.23519	469.15869
47	10.14728	-34.56123	238.10793	-10.14542	38.23329	469.13757
48	10.15355	-34.55985	238.09164	-10.14843	38.23128	469.11600
49	10.15974	-34.55832	238.07535	-10.15137	38.22914	469.09412
50	10.16585	-34.55666	238.05904	-10.15422	38.22687	469.07187
51	10.17187	-34.55486	238.04274	-10.15701	38.22446	469.04935
52	10.17781	-34.55295	238.02646	-10.15972	38.22192	469.02652
53	10.18365	-34.55093	238.01022	-10.16237	38.21924	469.00345
54	10.18939	-34.54881	237.99405	-10.16497	38.21641	468.98010
55	10.19503	-34.54660	237.97798	-10.16752	38.21343	468.95657
56	10.20057	-34.54431	237.96201	-10.17002	38.21029	468.93280
57	10.20599	-34.54195	237.94615	-10.17248	38.20700	468.90894
58	10.21130	-34.53953	237.93045	-10.17490	38.20354	468.88486
59	10.21649	-34.53706	237.91490	-10.17729	38.19992	468.86069
60	10.22156	-34.53455	237.89952	-10.17966	38.19614	468.83643
61	10.22651	-34.53199	237.88432	-10.18200	38.19220	468.81204
62	10.23133	-34.52942	237.86932	-10.18432	38.18807	468.78760
63	10.23601	-34.52683	237.85458	-10.18663	38.18378	468.76318
64	10.24057	-34.52423	237.84006	-10.18893	38.17932	468.73871
65	10.24499	-34.52163	237.82579	-10.19122	38.17467	468.71426
66	10.24926	-34.51904	237.81178	-10.19351	38.16986	468.68985
67	10.25340	-34.51647	237.79810	-10.19579	38.16487	468.66553
68	10.25738	-34.51392	237.78468	-10.19807	38.15971	468.64127
69	10.26122	-34.51141	237.77158	-10.20034	38.15438	468.61707
70	10.26491	-34.50893	237.75879	-10.20261	38.14888	468.59299
71	10.26845	-34.50650	237.74638	-10.20487	38.14322	468.56912
72	10.27182	-34.50414	237.73428	-10.20714	38.13738	468.54535
73	10.27504	-34.50183	237.72256	-10.20939	38.13139	468.52176
74	10.27809	-34.49959	237.71123	-10.21165	38.12524	468.49838
75	10.28098	-34.49744	237.70029	-10.21389	38.11892	468.47519
76	10.28372	-34.49537	237.68973	-10.21614	38.11247	468.45224
77	10.28630	-34.49338	237.67960	-10.21837	38.10588	468.42953
78	10.28872	-34.49149	237.66988	-10.22060	38.09916	468.40707
79	10.29098	-34.48970	237.66058	-10.22282	38.09231	468.38486
80	10.29310	-34.48803	237.65172	-10.22503	38.08535	468.36292
81	10.29506	-34.48646	237.64330	-10.22723	38.07829	468.34128
82	10.29688	-34.48501	237.63535	-10.22941	38.07113	468.31992
83	10.29854	-34.48369	237.62784	-10.23158	38.06388	468.29886
84	10.30007	-34.48249	237.62082	-10.23373	38.05655	468.27814
85	10.30145	-34.48143	237.61426	-10.23586	38.04916	468.25775
86	10.30271	-34.48050	237.60815	-10.23796	38.04173	468.23764
87	10.30382	-34.47970	237.60251	-10.24004	38.03425	468.21786
88	10.30482	-34.47905	237.59732	-10.24207	38.02676	468.19839
89	10.30568	-34.47853	237.59261	-10.24406	38.01925	468.17923
90	10.30643	-34.47816	237.58835	-10.24601	38.01174	468.16043
91	10.30706	-34.47794	237.58458	-10.24791	38.00425	468.14194
92	10.30758	-34.47786	237.58125	-10.24976	37.99680	468.12378
93	10.30799	-34.47793	237.57840	-10.25154	37.98938	468.10593
94	10.30831	-34.47815	237.57597	-10.25327	37.98204	468.08844
95	10.30853	-34.47851	237.57401	-10.25492	37.97477	468.07129
96	10.30866	-34.47902	237.57246	-10.25650	37.96759	468.05444
97	10.30871	-34.47967	237.57140	-10.25801	37.96054	468.03793
98	10.30868	-34.48046	237.57072	-10.25942	37.95361	468.02167
99	10.30858	-34.48140	237.57047	-10.26075	37.94683	468.00580
100	10.30842	-34.48247	237.57063	-10.26199	37.94022	467.99023
101	10.30820	-34.48368	237.57120	-10.26312	37.93378	467.97498
102	10.30793	-34.48502	237.57217	-10.26415	37.92754	467.96002
103	10.30761	-34.48649	237.57350	-10.26508	37.92151	467.94547
104	10.30724	-34.48808	237.57523	-10.26590	37.91569	467.93115
105	10.30684	-34.48978	237.57732	-10.26660	37.91011	467.91714
106	10.30641	-34.49160	237.57974	-10.26718	37.90477	467.90344
107	10.30595	-34.49353	237.58252	-10.26765	37.89968	467.89011
108	10.30547	-34.49556	237.58562	-10.26799	37.89487	467.87704
109	10.30498	-34.49768	237.58904	-10.26820	37.89033	467.86429
110	10.30447	-34.49990	237.59276	-10.26828	37.88609	467.85184
111	10.30396	-34.50220	237.59674	-10.26822	37.88214	467.83969
112	10.30344	-34.50458	237.60100	-10.26801	37.87849	467.82785
113	10.30293	-34.50703	237.60551	-10.26767	37.87515	467.81628
114	10.30242	-34.50956	237.61024	-10.26716	37.87212	467.80505
115	10.30193	-34.51215	237.61522	-10.26650	37.86940	467.79410
116	10.30145	-34.51480	237.62038	-10.26567	37.86700	467.78342
117	10.30099	-34.51751	237.62569	-10.26468	37.86493	467.77301
118	10.30055	-34.52027	237.63116	-10.26351	37.86317	467.76291
119	10.30014	-34.52308	237.63676	-10.26216	37.86175	467.75311
120	10.29976	-34.52592	237.64253	-10.26063	37.86066	467.74353
121	10.29942	-34.52880	237.64835	-10.25892	37.85989	467.73431
122	10.29912	-34.53171	237.65425	-10.25703	37.85944	467.72531
123	10.29885	-34.53465	237.66023	-10.25496	37.85931	467.71658
124	10.29863	-34.53761	237.66626	-10.25271	37.85950	467.70822
125	10.29845	-34.54060	237.67230	-10.25029	37.85999	467.70001
126	10.29832	-34.54360	237.67838	-10.24768	37.86081	467.69214
127	10.29824	-34.54661	237.68440	-10.24490	37.86193	467.68454
128	10.29822	-34.54963	237.69041	-10.24194	37.86336	467.67719
129	10.29825	-34.55265	237.69637	-10.23880	37.86509	467.67014
130	10.29834	-34.55567	237.70227	-10.23550	37.86712	467.66336
131	10.29849	-34.55869	237.70808	-10.23203	37.86942	467.65680
132	10.29870	-34.56171	237.71379	-10.22841	37.87199	467.65048
133	10.29896	-34.56472	237.71941	-10.22463	37.87484	467.64447
134	10.29929	-34.56771	237.72490	-10.22070	37.87794	467.63870
135	10.29968	-34.57070	237.73022	-10.21662	37.88130	467.63312
136	10.30013	-34.57367	237.73543	-10.21240	37.88489	467.62781
137	10.30064	-34.57661	237.74045	-10.20805	37.88872	467.62274
138	10.30122	-34.57954	237.74527	-10.20356	37.89277	467.61786
139	10.30186	-34.58244	237.74994	-10.19895	37.89703	467.61325
140	10.30257	-34.58533	237.75438	-10.19421	37.90147	467.60883
141	10.30333	-34.58819	237.75862	-10.18936	37.90611	467.60468
142	10.30415	-34.59102	237.76265	-10.18439	37.91092	467.60065
143	10.30503	-34.59382	237.76646	-10.17931	37.91587	467.59686
144	10.30597	-34.59660	237.77003	-10.17412	37.92097	467.59323
145	10.30696	-34.59935	237.77336	-10.16883	37.92621	467.58981
146	10.30800	-34.60207	237.77644	-10.16345	37.93155	467.58658
147	10.30910	-34.60476	237.77928	-10.15798	37.93701	467.58350
148	10.31026	-34.60742	237.78185	-10.15242	37.94256	467.58063
149	10.31146	-34.61005	237.78418	-10.14678	37.94819	467.57785
150	10.31272	-34.61265	237.78622	-10.14106	37.95388	467.57526
151	10.31403	-34.61522	237.78802	-10.13528	37.95964	467.57281
152	10.31539	-34.61776	237.78958	-10.12944	37.96544	467.57047
153	10.31680	-34.62027	237.79089	-10.12354	37.97127	467.56827
154	10.31826	-34.62275	237.79192	-10.11759	37.97712	467.56619
155	10.31976	-34.62520	237.79269	-10.11159	37.98298	467.56424
156	10.32131	-34.62763	237.79320	-10.10556	37.98885	467.56241
157	10.32291	-34.63003	237.79346	-10.09950	37.99469	467.56067
158	10.32454	-34.63242	237.79347	-10.09343	38.00053	467.55902
159	10.32622	-34.63478	237.79324	-10.08735	38.00633	467.55743
160	10.32792	-34.63713	237.79277	-10.08128	38.01209	467.55594
161	10.32967	-34.63947	237.79207	-10.07522	38.01780	467.55453
162	10.33144	-34.64180	237.79112	-10.06918	38.02345	467.55316
163	10.33323	-34.64412	237.78996	-10.06318	38.02904	467.55188
164	10.33506	-34.64643	237.78857	-10.05722	38.03455	467.55063
165	10.33691	-34.64875	237.78699	-10.05132	38.03997	467.54941
166	10.33878	-34.65106	237.78519	-10.04547	38.04530	467.54825
167	10.34067	-34.65337	237.78319	-10.03969	38.05053	467.54712
168	10.34257	-34.65567	237.78102	-10.03397	38.05566	467.54599
169	10.34450	-34.65797	237.77867	-10.02835	38.06068	467.54486
170	10.34643	-34.66028	237.77614	-10.02280	38.06557	467.54373
171	10.34838	-34.66257	237.77347	-10.01736	38.07035	467.54266
172	10.35035	-34.66488	237.77065	-10.01201	38.07499	467.54153
173	10.35232	-34.66717	237.76768	-10.00677	38.07949	467.54041
174	10.35430	-34.66947	237.76459	-10.00165	38.08385	467.53928
175	10.35629	-34.67176	237.76135	-9.99664	38.08807	467.53812
176	10.35828	-34.67405	237.75806	-9.99175	38.09212	467.53696
177	10.36028	-34.67633	237.75461	-9.98699	38.09603	467.53574
178	10.36228	-34.67861	237.75107	-9.98235	38.09977	467.53448
179	10.36429	-34.68088	237.74744	-9.97785	38.10335	467.53323
180	10.36629	-34.68313	237.74373	-9.97348	38.10676	467.53192
181	10.36830	-34.68538	237.73996	-9.96926	38.10999	467.53058
182	10.37031	-34.68761	237.73611	-9.96517	38.11305	467.52921
183	10.37231	-34.68983	237.73222	-9.96123	38.11592	467.52777
184	10.37430	-34.69204	237.72827	-9.95744	38.11862	467.52634
185	10.37628	-34.69423	237.72429	-9.95379	38.12114	467.52484
186	10.37823	-34.69640	237.72026	-9.95029	38.12347	467.52332
187	10.38016	-34.69856	237.71625	-9.94695	38.12561	467.52173
188	10.38205	-34.70069	237.71217	-9.94375	38.12758	467.52011
189	10.38391	-34.70281	237.70811	-9.94071	38.12936	467.51840
190	10.38573	-34.70490	237.70406	-9.93783	38.13095	467.51672
191	10.38751	-34.70697	237.70000	-9.93510	38.13236	467.51495
192	10.38923	-34.70901	237.69597	-9.93252	38.13359	467.51315
193	10.39091	-34.71104	237.69196	-9.93010	38.13463	467.51135
194	10.39253	-34.71304	237.68799	-9.92782	38.13551	467.50952
195	10.39410	-34.71502	237.68407	-9.92570	38.13621	467.50763
196	10.39561	-34.71697	237.68021	-9.92372	38.13675	467.50568
197	10.39706	-34.71890	237.67642	-9.92188	38.13714	467.50372
198	10.39846	-34.72081	237.67270	-9.92018	38.13736	467.50177
199	10.39979	-34.72269	237.66905	-9.91863	38.13744	467.49979
200	10.40106	-34.72454	237.66550	-9.91721	38.13737	467.49777
201	10.40227	-34.72638	237.66206	-9.91592	38.13716	467.49576
202	10.40342	-34.72819	237.65872	-9.91475	38.13682	467.49377
203	10.40452	-34.72998	237.65553	-9.91371	38.13636	467.49179
204	10.40555	-34.73175	237.65245	-9.91278	38.13579	467.48987
205	10.40654	-34.73350	237.64952	-9.91196	38.13512	467.48792
206	10.40748	-34.73523	237.64673	-9.91125	38.13435	467.48608
207	10.40837	-34.73695	237.64410	-9.91062	38.13349	467.48425
208	10.40921	-34.73866	237.64165	-9.91010	38.13255	467.48254
209	10.41001	-34.74035	237.63936	-9.90965	38.13154	467.48090
210	10.41077	-34.74202	237.63728	-9.90929	38.13047	467.47937
211	10.41148	-34.74369	237.63538	-9.90900	38.12936	467.47791
212	10.41216	-34.74536	237.63367	-9.90876	38.12820	467.47659
213	10.41279	-34.74702	237.63217	-9.90859	38.12703	467.47540
214	10.41339	-34.74868	237.63091	-9.90846	38.12585	467.47433
