	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.00000	0.00000	-0.77210	0.00000	0.00000	-1.86077
2	0.00000	0.00000	-0.77288	0.00000	0.00000	-1.86038
3	0.00000	0.00000	-0.77367	0.00000	0.00000	-1.85999
4	0.00000	0.00000	-0.77445	0.00000	0.00000	-1.85960
5	0.00000	0.00000	-0.77523	0.00000	0.00000	-1.85922
6	0.00000	0.00000	-0.77601	0.00000	0.00000	-1.85884
7	0.00000	0.00000	-0.77678	0.00000	0.00000	-1.85847
8	0.00000	0.00000	-0.77755	0.00000	0.00000	-1.85811
9	0.00000	0.00000	-0.77831	0.00000	0.00000	-1.85776
10	0.00000	0.00000	-0.77906	0.00000	0.00000	-1.85742
11	0.00000	0.00000	-0.77981	0.00000	0.00000	-1.85709
12	0.00000	0.00000	-0.78055	0.00000	0.00000	-1.85677
13	0.00000	0.00000	-0.78128	0.00000	0.00000	-1.85647
14	0.00000	0.00000	-0.78201	0.00000	0.00000	-1.85617
15	0.00000	0.00000	-0.78272	0.00000	0.00000	-1.85588
16	0.00000	0.00000	-0.78342	0.00000	0.00000	-1.85560
17	0.00000	0.00000	-0.78412	0.00000	0.00000	-1.85533
18	0.00000	0.00000	-0.78479	0.00000	0.00000	-1.85506
19	0.00000	0.00000	-0.78546	0.00000	0.00000	-1.85479
20	0.00000	0.00000	-0.78612	0.00000	0.00000	-1.85453
21	0.00000	0.00000	-0.78676	0.00000	0.00000	-1.85428
22	0.00000	0.00000	-0.78739	0.00000	0.00000	-1.85402
23	0.00000	0.00000	-0.78800	0.00000	0.00000	-1.85376
24	0.00000	0.00000	-0.78860	0.00000	0.00000	-1.85351
25	0.00000	0.00000	-0.78918	0.00000	0.00000	-1.85326
26	0.00000	0.00000	-0.78974	0.00000	0.00000	-1.85300
27	0.00000	0.00000	-0.79029	0.00000	0.00000	-1.85275
28	0.00000	0.00000	-0.79082	0.00000	0.00000	-1.85249
29	0.00000	0.00000	-0.79133	0.00000	0.00000	-1.85223
