	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	5.75226	-57.64878	271.27142	-6.09400	57.78288	435.17239
2	5.75613	-57.64804	271.25528	-6.10739	57.77594	435.20731
3	5.75999	-57.64727	271.23907	-6.12079	57.76899	435.24234
4	5.76385	-57.64651	271.22275	-6.13419	57.76202	435.27753
5	5.76770	-57.64571	271.20630	-6.14760	57.75504	435.31308
6	5.77156	-57.64489	271.18958	-6.16102	57.74802	435.34906
7	5.77541	-57.64403	271.17267	-6.17446	57.74097	435.38550
8	5.77926	-57.64313	271.15543	-6.18791	57.73388	435.42261
9	5.78310	-57.64218	271.13782	-6.20139	57.72675	435.46045
10	5.78693	-57.64117	271.11978	-6.21489	57.71955	435.49915
11	5.79076	-57.64009	271.10132	-6.22841	57.71229	435.53873
12	5.79458	-57.63896	271.08237	-6.24195	57.70497	435.57922
13	5.79838	-57.63776	271.06296	-6.25549	57.69759	435.62064
14	5.80215	-57.63649	271.04315	-6.26904	57.69016	435.66281
15	5.80590	-57.63516	271.02295	-6.28258	57.68267	435.70581
16	5.80961	-57.63376	271.00229	-6.29610	57.67513	435.74957
17	5.81329	-57.63231	270.98129	-6.30960	57.66754	435.79404
18	5.81692	-57.63079	270.95990	-6.32306	57.65991	435.83917
19	5.82049	-57.62921	270.93811	-6.33648	57.65222	435.88492
20	5.82401	-57.62757	270.91599	-6.34985	57.64450	435.93127
21	5.82747	-57.62586	270.89346	-6.36316	57.63673	435.97824
22	5.83086	-57.62409	270.87061	-6.37641	57.62891	436.02579
23	5.83418	-57.62225	270.84738	-6.38960	57.62106	436.07394
24	5.83741	-57.62034	270.82376	-6.40271	57.61314	436.12265
25	5.84056	-57.61836	270.79971	-6.41576	57.60518	436.17191
26	5.84361	-57.61631	270.77527	-6.42872	57.59717	436.22174
27	5.84657	-57.61418	270.75046	-6.44161	57.58910	436.27209
28	5.84942	-57.61198	270.72516	-6.45441	57.58098	436.32306
29	5.85216	-57.60970	270.69946	-6.46711	57.57280	436.37454
30	5.85478	-57.60735	270.67331	-6.47973	57.56456	436.42654
31	5.85730	-57.60491	270.64676	-6.49224	57.55625	436.47903
32	5.85970	-57.60240	270.61975	-6.50466	57.54788	436.53204
33	5.86198	-57.59980	270.59232	-6.51697	57.53943	436.58548
34	5.86415	-57.59713	270.56442	-6.52918	57.53090	436.63937
35	5.86620	-57.59437	270.53607	-6.54128	57.52230	436.69370
36	5.86813	-57.59153	270.50726	-6.55327	57.51360	436.74841
37	5.86995	-57.58861	270.47800	-6.56514	57.50483	436.80353
38	5.87165	-57.58561	270.44827	-6.57690	57.49595	436.85898
39	5.87322	-57.58253	270.41809	-6.58854	57.48699	436.91479
40	5.87468	-57.57936	270.38745	-6.60006	57.47792	436.97095
41	5.87602	-57.57611	270.35635	-6.61147	57.46876	437.02744
42	5.87723	-57.57277	270.32474	-6.62275	57.45949	437.08420
43	5.87833	-57.56936	270.29269	-6.63391	57.45012	437.14124
44	5.87930	-57.56585	270.26016	-6.64496	57.44064	437.19858
45	5.88015	-57.56227	270.22717	-6.65588	57.43106	437.25613
46	5.88088	-57.55860	270.19370	-6.66667	57.42136	437.31393
47	5.88148	-57.55484	270.15973	-6.67735	57.41156	437.37198
48	5.88197	-57.55101	270.12531	-6.68790	57.40163	437.43021
49	5.88233	-57.54709	270.09045	-6.69833	57.39160	437.48859
50	5.88259	-57.54308	270.05505	-6.70865	57.38146	437.54724
51	5.88272	-57.53900	270.01926	-6.71884	57.37120	437.60602
52	5.88275	-57.53483	269.98294	-6.72891	57.36084	437.66492
53	5.88267	-57.53059	269.94620	-6.73887	57.35037	437.72403
54	5.88249	-57.52626	269.90897	-6.74871	57.33979	437.78323
55	5.88220	-57.52186	269.87128	-6.75844	57.32911	437.84256
56	5.88180	-57.51738	269.83316	-6.76805	57.31832	437.90198
57	5.88132	-57.51281	269.79456	-6.77755	57.30743	437.96149
58	5.88073	-57.50819	269.75552	-6.78695	57.29642	438.02109
59	5.88004	-57.50348	269.71606	-6.79625	57.28533	438.08078
60	5.87927	-57.49872	269.67618	-6.80545	57.27412	438.14053
61	5.87840	-57.49389	269.63589	-6.81456	57.26283	438.20032
62	5.87744	-57.48899	269.59518	-6.82359	57.25143	438.26016
63	5.87639	-57.48404	269.55402	-6.83253	57.23994	438.32007
64	5.87525	-57.47903	269.51251	-6.84140	57.22836	438.37994
65	5.87403	-57.47398	269.47061	-6.85019	57.21668	438.43985
66	5.87273	-57.46887	269.42831	-6.85892	57.20491	438.49979
67	5.87134	-57.46371	269.38565	-6.86758	57.19305	438.55972
68	5.86987	-57.45850	269.34262	-6.87620	57.18111	438.61966
69	5.86832	-57.45325	269.29926	-6.88477	57.16909	438.67957
70	5.86668	-57.44795	269.25552	-6.89330	57.15699	438.73944
71	5.86497	-57.44260	269.21152	-6.90180	57.14481	438.79932
72	5.86318	-57.43721	269.16711	-6.91027	57.13256	438.85913
73	5.86131	-57.43178	269.12244	-6.91872	57.12024	438.91888
74	5.85937	-57.42630	269.07745	-6.92716	57.10786	438.97861
75	5.85735	-57.42078	269.03220	-6.93559	57.09539	439.03824
76	5.85527	-57.41521	268.98660	-6.94402	57.08287	439.09784
77	5.85312	-57.40960	268.94077	-6.95243	57.07027	439.15732
78	5.85090	-57.40393	268.89468	-6.96084	57.05760	439.21674
79	5.84863	-57.39820	268.84836	-6.96925	57.04486	439.27606
80	5.84630	-57.39243	268.80176	-6.97766	57.03206	439.33527
81	5.84392	-57.38659	268.75494	-6.98607	57.01918	439.39438
82	5.84149	-57.38070	268.70792	-6.99448	57.00624	439.45337
83	5.83902	-57.37473	268.66068	-7.00290	56.99323	439.51224
84	5.83651	-57.36871	268.61322	-7.01133	56.98013	439.57098
85	5.83396	-57.36262	268.56561	-7.01975	56.96696	439.62958
86	5.83139	-57.35647	268.51776	-7.02818	56.95373	439.68802
87	5.82880	-57.35025	268.46982	-7.03660	56.94041	439.74625
88	5.82620	-57.34396	268.42166	-7.04501	56.92701	439.80438
89	5.82359	-57.33761	268.37338	-7.05342	56.91353	439.86234
90	5.82097	-57.33119	268.32495	-7.06182	56.89996	439.92007
91	5.81836	-57.32471	268.27640	-7.07020	56.88631	439.97766
92	5.81576	-57.31815	268.22769	-7.07857	56.87257	440.03503
93	5.81318	-57.31152	268.17892	-7.08693	56.85875	440.09219
94	5.81061	-57.30482	268.13004	-7.09526	56.84482	440.14914
95	5.80806	-57.29804	268.08105	-7.10357	56.83080	440.20587
96	5.80555	-57.29118	268.03198	-7.11185	56.81668	440.26242
97	5.80307	-57.28423	267.98282	-7.12011	56.80246	440.31870
98	5.80062	-57.27719	267.93359	-7.12833	56.78814	440.37476
99	5.79822	-57.27006	267.88425	-7.13651	56.77370	440.43054
100	5.79586	-57.26283	267.83490	-7.14466	56.75916	440.48608
101	5.79356	-57.25549	267.78549	-7.15277	56.74449	440.54138
102	5.79131	-57.24806	267.73602	-7.16083	56.72971	440.59641
103	5.78912	-57.24051	267.68646	-7.16885	56.71481	440.65115
104	5.78699	-57.23284	267.63690	-7.17681	56.69979	440.70563
105	5.78494	-57.22505	267.58731	-7.18472	56.68464	440.75980
106	5.78297	-57.21712	267.53763	-7.19257	56.66937	440.81363
107	5.78107	-57.20906	267.48798	-7.20035	56.65396	440.86716
108	5.77926	-57.20086	267.43826	-7.20807	56.63843	440.92041
109	5.77754	-57.19251	267.38852	-7.21572	56.62276	440.97330
110	5.77592	-57.18401	267.33875	-7.22330	56.60696	441.02585
111	5.77440	-57.17534	267.28897	-7.23079	56.59102	441.07806
112	5.77297	-57.16652	267.23917	-7.23821	56.57494	441.12988
113	5.77166	-57.15752	267.18933	-7.24553	56.55873	441.18134
114	5.77045	-57.14836	267.13950	-7.25277	56.54240	441.23239
115	5.76935	-57.13901	267.08966	-7.25991	56.52594	441.28305
116	5.76836	-57.12948	267.03976	-7.26694	56.50936	441.33334
117	5.76749	-57.11976	266.98990	-7.27387	56.49264	441.38321
118	5.76674	-57.10985	266.94000	-7.28070	56.47580	441.43262
119	5.76610	-57.09974	266.89011	-7.28740	56.45884	441.48157
120	5.76560	-57.08944	266.84021	-7.29400	56.44176	441.53012
121	5.76521	-57.07893	266.79025	-7.30047	56.42457	441.57816
122	5.76495	-57.06820	266.74033	-7.30683	56.40727	441.62576
123	5.76481	-57.05727	266.69034	-7.31307	56.38987	441.67285
124	5.76481	-57.04612	266.64038	-7.31919	56.37236	441.71945
125	5.76493	-57.03475	266.59033	-7.32519	56.35476	441.76556
126	5.76517	-57.02316	266.54028	-7.33107	56.33707	441.81119
127	5.76555	-57.01133	266.49017	-7.33682	56.31929	441.85626
128	5.76606	-56.99928	266.44003	-7.34245	56.30143	441.90085
129	5.76670	-56.98699	266.38986	-7.34795	56.28349	441.94482
130	5.76747	-56.97446	266.33963	-7.35333	56.26547	441.98834
131	5.76836	-56.96170	266.28934	-7.35858	56.24739	442.03128
132	5.76938	-56.94869	266.23898	-7.36370	56.22924	442.07367
133	5.77052	-56.93544	266.18854	-7.36869	56.21103	442.11551
134	5.77178	-56.92195	266.13803	-7.37354	56.19276	442.15677
135	5.77316	-56.90821	266.08740	-7.37827	56.17444	442.19745
136	5.77466	-56.89422	266.03671	-7.38286	56.15607	442.23761
137	5.77628	-56.87997	265.98590	-7.38732	56.13766	442.27716
138	5.77800	-56.86548	265.93497	-7.39164	56.11921	442.31616
139	5.77984	-56.85072	265.88394	-7.39582	56.10072	442.35455
140	5.78178	-56.83570	265.83279	-7.39986	56.08221	442.39243
141	5.78381	-56.82042	265.78143	-7.40375	56.06367	442.42969
142	5.78594	-56.80486	265.73001	-7.40749	56.04510	442.46643
143	5.78815	-56.78904	265.67841	-7.41108	56.02654	442.50259
144	5.79045	-56.77294	265.62659	-7.41452	56.00795	442.53815
145	5.79282	-56.75656	265.57465	-7.41780	55.98935	442.57321
146	5.79527	-56.73990	265.52252	-7.42092	55.97076	442.60773
147	5.79779	-56.72295	265.47018	-7.42388	55.95217	442.64169
148	5.80037	-56.70572	265.41766	-7.42669	55.93359	442.67514
149	5.80301	-56.68819	265.36493	-7.42934	55.91503	442.70807
150	5.80571	-56.67036	265.31201	-7.43183	55.89649	442.74054
151	5.80845	-56.65223	265.25888	-7.43417	55.87798	442.77249
152	5.81124	-56.63380	265.20551	-7.43635	55.85952	442.80405
153	5.81408	-56.61506	265.15192	-7.43839	55.84110	442.83508
154	5.81695	-56.59600	265.09811	-7.44027	55.82274	442.86569
155	5.81986	-56.57663	265.04407	-7.44200	55.80443	442.89587
156	5.82279	-56.55694	264.98978	-7.44358	55.78619	442.92569
157	5.82574	-56.53693	264.93524	-7.44502	55.76803	442.95508
158	5.82871	-56.51659	264.88049	-7.44631	55.74996	442.98413
159	5.83168	-56.49593	264.82544	-7.44745	55.73198	443.01282
160	5.83466	-56.47494	264.77014	-7.44846	55.71410	443.04123
161	5.83764	-56.45361	264.71460	-7.44933	55.69634	443.06927
162	5.84061	-56.43196	264.65875	-7.45006	55.67869	443.09711
163	5.84356	-56.40996	264.60266	-7.45065	55.66117	443.12463
164	5.84649	-56.38763	264.54630	-7.45111	55.64380	443.15195
165	5.84939	-56.36496	264.48962	-7.45144	55.62656	443.17902
166	5.85227	-56.34196	264.43271	-7.45165	55.60948	443.20593
167	5.85510	-56.31862	264.37546	-7.45173	55.59255	443.23264
168	5.85789	-56.29495	264.31796	-7.45169	55.57579	443.25928
169	5.86063	-56.27095	264.26016	-7.45154	55.55919	443.28577
170	5.86332	-56.24664	264.20206	-7.45127	55.54277	443.31226
171	5.86595	-56.22198	264.14368	-7.45090	55.52653	443.33862
172	5.86851	-56.19702	264.08496	-7.45042	55.51048	443.36502
173	5.87100	-56.17173	264.02594	-7.44985	55.49463	443.39139
174	5.87342	-56.14612	263.96664	-7.44918	55.47897	443.41785
175	5.87575	-56.12020	263.90704	-7.44842	55.46352	443.44434
176	5.87801	-56.09399	263.84711	-7.44759	55.44826	443.47101
177	5.88017	-56.06747	263.78690	-7.44668	55.43321	443.49777
178	5.88225	-56.04065	263.72638	-7.44570	55.41837	443.52469
179	5.88423	-56.01355	263.66553	-7.44467	55.40375	443.55185
180	5.88612	-55.98616	263.60437	-7.44359	55.38933	443.57928
181	5.88790	-55.95850	263.54294	-7.44246	55.37514	443.60690
182	5.88958	-55.93056	263.48120	-7.44129	55.36116	443.63486
183	5.89115	-55.90236	263.41913	-7.44009	55.34740	443.66312
184	5.89262	-55.87390	263.35678	-7.43888	55.33386	443.69177
185	5.89398	-55.84520	263.29413	-7.43765	55.32054	443.72083
186	5.89523	-55.81626	263.23120	-7.43641	55.30743	443.75027
187	5.89637	-55.78710	263.16794	-7.43518	55.29453	443.78009
188	5.89741	-55.75772	263.10443	-7.43397	55.28183	443.81046
189	5.89833	-55.72813	263.04059	-7.43277	55.26935	443.84131
190	5.89915	-55.69836	262.97650	-7.43161	55.25707	443.87268
191	5.89985	-55.66839	262.91211	-7.43048	55.24499	443.90460
192	5.90045	-55.63826	262.84750	-7.42940	55.23312	443.93710
193	5.90094	-55.60796	262.78256	-7.42838	55.22144	443.97015
194	5.90131	-55.57751	262.71741	-7.42741	55.20995	444.00388
195	5.90158	-55.54693	262.65198	-7.42651	55.19866	444.03821
196	5.90173	-55.51622	262.58627	-7.42569	55.18755	444.07318
197	5.90178	-55.48541	262.52032	-7.42496	55.17662	444.10883
198	5.90171	-55.45451	262.45416	-7.42431	55.16588	444.14517
199	5.90153	-55.42352	262.38773	-7.42377	55.15531	444.18222
200	5.90124	-55.39245	262.32108	-7.42333	55.14492	444.22000
201	5.90083	-55.36134	262.25421	-7.42300	55.13469	444.25851
202	5.90032	-55.33017	262.18710	-7.42279	55.12464	444.29779
203	5.89970	-55.29898	262.11975	-7.42270	55.11474	444.33786
204	5.89896	-55.26776	262.05225	-7.42274	55.10500	444.37866
205	5.89812	-55.23653	261.98450	-7.42292	55.09542	444.42032
206	5.89717	-55.20530	261.91656	-7.42324	55.08599	444.46274
207	5.89611	-55.17410	261.84845	-7.42370	55.07670	444.50595
208	5.89494	-55.14291	261.78015	-7.42431	55.06755	444.55002
209	5.89366	-55.11176	261.71164	-7.42508	55.05855	444.59494
210	5.89227	-55.08066	261.64301	-7.42601	55.04968	444.64066
211	5.89078	-55.04963	261.57413	-7.42710	55.04094	444.68726
212	5.88918	-55.01866	261.50516	-7.42838	55.03233	444.73471
213	5.88748	-54.98778	261.43597	-7.42983	55.02385	444.78296
214	5.88566	-54.95699	261.36670	-7.43146	55.01548	444.83212
