	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.14758	0.00202	0.01478	0.10330	0.47661	0.00895
2	0.14772	0.00215	0.01450	0.10371	0.47667	0.00876
3	0.14786	0.00213	0.01435	0.10408	0.47677	0.00884
4	0.14789	0.00206	0.01435	0.10428	0.47690	0.00902
5	0.14782	0.00204	0.01444	0.10433	0.47700	0.00912
6	0.14774	0.00212	0.01453	0.10427	0.47705	0.00901
7	0.14772	0.00226	0.01456	0.10405	0.47702	0.00872
8	0.14778	0.00237	0.01458	0.10369	0.47696	0.00841
9	0.14785	0.00243	0.01469	0.10321	0.47688	0.00836
10	0.14789	0.00241	0.01482	0.10281	0.47682	0.00866
11	0.14789	0.00231	0.01478	0.10278	0.47680	0.00903
12	0.14790	0.00218	0.01454	0.10321	0.47679	0.00911
13	0.14791	0.00207	0.01427	0.10366	0.47677	0.00883
14	0.14790	0.00196	0.01414	0.10371	0.47674	0.00843
15	0.14791	0.00178	0.01411	0.10347	0.47668	0.00819
16	0.14805	0.00153	0.01410	0.10331	0.47656	0.00827
17	0.14830	0.00134	0.01404	0.10337	0.47645	0.00855
18	0.14851	0.00136	0.01397	0.10355	0.47645	0.00876
19	0.14847	0.00158	0.01392	0.10372	0.47661	0.00873
20	0.14817	0.00186	0.01393	0.10387	0.47690	0.00851
21	0.14785	0.00202	0.01401	0.10396	0.47718	0.00832
22	0.14773	0.00198	0.01414	0.10389	0.47734	0.00826
23	0.14783	0.00185	0.01428	0.10361	0.47736	0.00826
24	0.14801	0.00180	0.01438	0.10322	0.47732	0.00818
25	0.14811	0.00196	0.01439	0.10287	0.47732	0.00798
26	0.14808	0.00225	0.01439	0.10257	0.47735	0.00783
27	0.14802	0.00239	0.01449	0.10229	0.47733	0.00791
28	0.14801	0.00225	0.01464	0.10215	0.47718	0.00820
29	0.14807	0.00199	0.01467	0.10224	0.47696	0.00844
30	0.14819	0.00184	0.01460	0.10249	0.47673	0.00843
31	0.14835	0.00181	0.01458	0.10283	0.47660	0.00822
